Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,15.36,15.64,15.14,15.49,,,,,,,0,15.1400,1,8261,,,,,0
2023-07-13,15.51,15.68,15.38,15.46,,,,,,,0,15.1400,1,7289,,,,,0
2023-07-14,15.53,15.53,15.08,15.31,,,,,,,0,15.6750,0,5888,,,,,0
2023-07-17,16.10,16.22,14.94,15.87,,,,,,,0,15.0800,1,19817,,,,,0
2023-07-18,15.26,15.77,15.00,15.11,,,,,,,0,14.9400,1,13582,,,,,0
2023-07-19,15.16,15.60,15.03,15.45,,,,,,,0,14.9400,1,15442,,,,,0
2023-07-20,15.50,16.05,15.48,15.63,,,,,,,0,14.9656,1,7842,,,,,0
2023-07-21,16.12,16.37,15.72,16.11,,,,,,,0,14.9907,1,19448,,,,,0
2023-07-24,16.25,16.44,15.31,15.33,,,,,,,0,15.0459,1,17433,,,,,0
2023-07-25,15.29,16.04,15.24,15.87,15.56,,,,,17.8090,0,15.1295,1,9279,,,,,0
2023-07-26,15.88,16.53,15.82,16.34,15.65,,,,,17.8090,0,15.2081,1,12420,,,,,0
2023-07-27,16.50,16.80,16.35,16.67,15.77,,,,,17.8090,0,15.2400,1,19272,,,,,0
2023-07-28,16.85,17.46,16.85,17.25,15.96,,,,,17.8090,0,15.3960,1,15999,,,,,0
2023-07-31,17.28,17.57,16.75,17.19,16.10,,,,,17.8090,0,15.6437,1,13704,,,,,0
2023-08-01,17.06,17.23,16.50,16.72,16.26,,,,,17.8090,0,15.9134,1,12369,,,,,0
2023-08-02,16.55,16.77,16.44,16.62,16.37,,,,,17.8090,0,16.1453,1,10401,,,,,0
2023-08-03,16.54,16.79,16.19,16.28,16.44,,,,,17.8090,0,17.5699,0,33208,,,,,0
2023-08-04,15.63,15.98,15.10,15.52,16.38,,,,,17.7062,0,17.5423,0,26811,,,,,0
2023-08-07,15.57,15.65,14.87,15.39,16.39,,,,,17.4396,0,17.4446,0,20972,,,,,0
2023-08-08,15.44,15.74,14.94,15.50,16.35,15.96,,,,17.4396,0,17.2901,0,23380,,,,,0
2023-08-09,15.56,15.69,15.17,15.25,16.24,15.94,,,,17.4396,0,17.1449,0,15094,,,,,0
2023-08-10,15.16,15.68,15.16,15.68,16.14,15.95,,,,17.4396,0,17.0084,0,14501,,,,,0
2023-08-11,15.56,15.90,15.49,15.49,15.96,15.96,,,,17.4396,0,16.8801,0,7731,,,,,0
2023-08-14,15.27,15.84,14.98,15.61,15.81,15.95,,,,17.4396,0,16.7595,0,8592,,,,,0
2023-08-15,15.57,15.57,15.10,15.20,15.65,15.96,,,,17.3373,0,16.6461,0,9974,,,,,0
2023-08-16,15.17,15.20,14.65,14.68,15.46,15.92,,,,16.8930,0,16.5396,0,17951,,,,,0
2023-08-17,14.67,14.83,13.94,14.12,15.24,15.84,,,,16.4210,0,16.3888,0,17654,,,,,0
2023-08-18,13.99,14.19,13.56,13.57,15.05,15.71,,,,15.8964,0,16.1439,0,10149,,,,,0
2023-08-21,13.50,13.54,13.04,13.20,14.83,15.61,,,,15.2683,0,15.8339,0,10978,,,,,0
2023-08-22,13.13,13.26,12.66,12.84,14.56,15.46,,,,14.9204,0,15.4427,0,12231,,,,,0
2023-08-23,12.83,13.13,12.57,12.72,14.31,15.28,,,,14.7834,0,14.9975,0,11018,,,,,0
2023-08-24,12.79,13.26,12.63,13.23,14.07,15.10,,,,14.7834,0,14.5614,0,15359,,,,,0
2023-08-25,13.27,13.39,12.91,12.96,13.81,14.89,,,,14.7834,0,14.2039,0,8951,,,,,0
2023-08-28,13.00,13.42,12.93,13.37,13.59,14.70,,,,14.7834,0,13.9107,0,7527,,-0.8183,-0.6390,-0.1793,0
2023-08-29,13.34,13.40,12.98,13.12,13.38,14.52,,,,14.7834,0,13.6703,0,14118,,-0.8117,-0.6736,-0.1382,0
2023-08-30,13.21,13.34,12.99,13.19,13.23,14.35,,,,14.7834,0,13.4731,0,14380,,-0.7918,-0.6972,-0.0946,0
2023-08-31,13.23,14.91,13.23,14.28,13.25,14.25,,,,14.7834,0,12.5750,1,26973,,-0.6802,-0.6938,0.0136,0
2023-09-01,14.39,15.39,14.39,14.87,13.38,14.21,,,,12.7120,1,12.6217,1,19495,,-0.5380,-0.6626,0.1247,0
2023-09-05,14.71,15.04,14.06,14.19,13.48,14.15,,,,12.7120,1,12.7324,1,17211,,-0.4746,-0.6250,0.1504,0
2023-09-06,14.28,14.54,14.19,14.48,13.64,14.10,,,,12.7120,1,12.8387,1,13940,,-0.3965,-0.5793,0.1828,0
2023-09-07,14.35,14.38,13.95,14.15,13.78,14.05,,,,12.7120,1,12.9408,1,10513,,-0.3571,-0.5349,0.1778,0
2023-09-08,14.13,14.82,13.77,14.41,13.90,13.98,,,,12.7120,1,13.0388,1,11070,,-0.3014,-0.4882,0.1868,0
