Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-12,5.97,6.04,5.94,5.99,,,,,,,0,5.9428,1,1474,,,,,0
2023-07-13,5.99,6.11,5.99,6.08,,,,,,,0,5.9428,1,1321,,,,,0
2023-07-14,6.13,6.13,5.97,6.01,,,,,,,0,5.9428,1,1194,,,,,0
2023-07-17,5.98,6.16,5.94,6.04,,,,,,,0,6.1306,0,1609,,,,,0
2023-07-18,6.04,6.27,6.04,6.24,,,,,,,0,5.9428,1,1515,,,,,0
2023-07-19,6.26,6.47,6.22,6.39,,,,,,,0,5.9428,1,2720,,,,,0
2023-07-20,6.39,6.43,6.22,6.29,,,,,,,0,5.9641,1,3731,,,,,0
2023-07-21,6.33,6.37,6.16,6.19,,,,,,,0,5.9844,1,2216,,,,,0
2023-07-24,6.16,6.43,6.16,6.41,,,,,,,0,6.0040,1,1375,,,,,0
2023-07-25,6.39,6.44,6.33,6.40,6.20,,,,,6.9493,0,6.0228,1,1644,,,,,0
2023-07-26,6.47,6.73,6.29,6.70,6.28,,,,,6.9493,0,6.0408,1,2358,,,,,0
2023-07-27,6.93,7.05,6.73,7.00,6.37,,,,,6.2113,1,6.0819,1,2701,,,,,0
2023-07-28,7.07,7.20,6.99,7.16,6.48,,,,,6.4159,1,6.1596,1,2709,,,,,0
2023-07-31,7.13,7.20,6.91,7.01,6.58,,,,,6.4159,1,6.2637,1,3677,,,,,0
2023-08-01,7.00,7.00,6.83,6.90,6.64,,,,,6.4159,1,6.3573,1,1854,,,,,0
2023-08-02,6.78,6.88,6.69,6.75,6.68,,,,,6.4159,1,6.4416,1,1881,,,,,0
2023-08-03,6.73,6.98,6.68,6.87,6.74,,,,,6.4159,1,6.5174,1,2664,,,,,0
2023-08-04,6.90,6.97,6.87,6.96,6.82,,,,,6.4159,1,6.5857,1,1638,,,,,0
2023-08-07,6.95,7.08,6.93,7.01,6.88,,,,,6.4159,1,6.6471,1,1949,,,,,0
2023-08-08,6.88,6.98,6.68,6.95,6.93,6.57,,,,6.4159,1,7.2000,0,1336,,,,,0
2023-08-09,6.94,6.96,6.80,6.88,6.95,6.61,,,,6.4159,1,7.1896,0,2026,,,,,0
2023-08-10,6.88,6.96,6.74,6.86,6.94,6.65,,,,6.4159,1,7.1794,0,1962,,,,,0
2023-08-11,6.81,6.92,6.71,6.90,6.91,6.70,,,,6.4159,1,7.1695,0,1558,,,,,0
2023-08-14,6.86,6.88,6.79,6.84,6.89,6.74,,,,6.4159,1,7.1597,0,1059,,,,,0
2023-08-15,6.76,6.80,6.66,6.70,6.87,6.76,,,,6.4159,1,7.1501,0,1688,,,,,0
2023-08-16,6.68,6.74,6.57,6.59,6.86,6.77,,,,6.4159,1,7.1307,0,1200,,,,,0
2023-08-17,6.60,6.65,6.57,6.62,6.83,6.78,,,,6.4159,1,7.0973,0,1686,,,,,0
2023-08-18,6.57,6.66,6.57,6.62,6.80,6.81,,,,6.4159,1,7.0548,0,2975,,,,,0
2023-08-21,6.62,6.64,6.47,6.47,6.74,6.81,,,,6.4159,1,7.0157,0,1403,,,,,0
2023-08-22,6.47,6.55,6.22,6.22,6.67,6.80,,,,6.9650,0,6.9607,0,1948,,,,,0
2023-08-23,6.25,6.30,6.20,6.23,6.60,6.78,,,,6.8043,0,6.8717,0,1372,,,,,0
2023-08-24,6.22,6.38,6.22,6.29,6.55,6.74,,,,6.8043,0,6.7779,0,1329,,,,,0
2023-08-25,6.31,6.34,6.09,6.12,6.47,6.69,,,,6.7831,0,6.6972,0,1154,,,,,0
2023-08-28,6.14,6.23,6.10,6.15,6.40,6.65,,,,6.7167,0,6.6008,0,1676,,-0.0694,0.0405,-0.1099,0
2023-08-29,6.17,6.24,6.12,6.19,6.35,6.61,,,,6.7115,0,6.5197,0,1222,,-0.0814,0.0161,-0.0976,0
2023-08-30,6.19,6.23,6.09,6.20,6.31,6.58,,,,6.6775,0,6.4517,0,1654,,-0.0892,-0.0049,-0.0843,0
