Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,21.74,21.79,21.08,21.29,,,,,,,0,21.7915,0,5504,,,,,0
2023-07-17,21.14,21.31,21.07,21.08,,,,,,,0,21.7915,0,3319,,,,,0
2023-07-18,21.04,21.54,21.04,21.41,,,,,,,0,21.7915,0,4035,,,,,0
2023-07-19,21.41,21.66,21.36,21.54,,,,,,,0,21.7613,0,4368,,,,,0
2023-07-20,21.44,21.77,21.29,21.72,,,,,,,0,21.0376,1,3237,,,,,0
2023-07-21,21.94,21.95,21.50,21.57,,,,,,,0,21.0523,1,2525,,,,,0
2023-07-24,21.67,22.19,21.67,22.00,,,,,,,0,21.0882,1,6119,,,,,0
2023-07-25,21.98,22.30,21.82,21.87,,,,,,,0,21.1542,1,9601,,,,,0
2023-07-26,21.94,22.07,21.42,21.46,,,,,,,0,21.2456,1,3854,,,,,0
2023-07-27,21.54,21.62,21.27,21.41,21.54,,,,,22.8765,0,22.2963,0,4361,,,,,0
2023-07-28,21.60,22.01,21.33,21.38,21.55,,,,,22.8765,0,22.2757,0,3652,,,,,0
2023-07-31,21.36,21.43,21.07,21.11,21.55,,,,,22.7028,0,22.2555,0,9336,,,,,0
2023-08-01,21.07,21.36,20.95,21.35,21.54,,,,,22.5884,0,22.2082,0,3734,,,,,0
2023-08-02,21.00,21.19,20.77,20.94,21.48,,,,,22.4393,0,22.1326,0,3513,,,,,0
2023-08-03,20.27,20.49,19.36,19.85,21.29,,,,,21.7149,0,22.0236,0,5123,,,,,0
2023-08-04,20.01,20.77,19.88,20.43,21.18,,,,,21.7149,0,21.7574,0,3164,,,,,0
2023-08-07,20.41,20.52,20.15,20.31,21.01,,,,,21.7149,0,21.5178,0,3385,,,,,0
2023-08-08,20.16,20.16,19.67,19.80,20.80,,,,,21.7149,0,21.3021,0,2866,,,,,0
2023-08-09,19.91,20.16,19.69,20.00,20.66,,,,,21.7064,0,21.1080,0,2201,,,,,0
2023-08-10,20.05,20.19,19.85,19.88,20.50,21.02,,,,21.7064,0,20.9334,0,4028,,,,,0
2023-08-11,19.86,19.93,19.71,19.77,20.34,20.94,,,,21.4234,0,20.7762,0,1632,,,,,0
2023-08-14,19.69,19.81,19.36,19.78,20.21,20.88,,,,21.1601,0,20.6347,0,2163,,,,,0
2023-08-15,19.65,19.73,19.44,19.48,20.02,20.78,,,,21.1037,0,20.5074,0,1218,,,,,0
2023-08-16,19.51,19.73,19.47,19.67,19.90,20.69,,,,21.0430,0,20.3928,0,2362,,,,,0
2023-08-17,19.72,20.50,19.70,20.46,19.96,20.63,,,,21.0430,0,19.3614,1,4382,,,,,0
2023-08-18,20.22,20.74,20.22,20.64,19.98,20.58,,,,21.0430,0,19.3842,1,3311,,,,,0
2023-08-21,20.53,20.79,20.43,20.63,20.01,20.51,,,,21.0430,0,19.4384,1,3584,,,,,0
2023-08-22,20.64,20.91,20.40,20.63,20.09,20.45,,,,21.0430,0,19.5195,1,3667,,,,,0
2023-08-23,20.63,21.38,20.53,21.35,20.23,20.44,,,,19.3483,1,19.6306,1,3252,,,,,0
2023-08-24,21.23,21.40,20.80,20.89,20.33,20.42,,,,19.4716,1,19.8060,1,3353,,,,,0
2023-08-25,21.07,21.19,20.69,21.00,20.45,20.40,,,,19.4716,1,19.9979,1,1505,,,,,0
2023-08-28,21.01,21.23,20.93,20.93,20.57,20.39,,,,19.5335,1,20.1667,1,2361,,,,,0
