Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,119.85,120.90,119.64,120.44,,,,,,,0,119.6406,1,618762,,,,,0
2023-07-14,121.47,123.17,120.92,122.62,,,,,,,0,119.6406,1,754053,,,,,0
2023-07-17,122.45,122.82,121.32,121.56,,,,,,,0,119.6406,1,543769,,,,,0
2023-07-18,121.53,124.33,121.45,123.14,,,,,,,0,119.7112,1,736549,,,,,0
2023-07-19,123.73,124.47,123.47,124.13,,,,,,,0,119.8959,1,658689,,,,,0
2023-07-20,125.18,128.67,124.91,128.20,,,,,,,0,120.1706,1,996723,,,,,0
2023-07-21,128.21,129.99,127.97,129.59,,,,,,,0,120.8509,1,812749,,,,,0
2023-07-24,129.02,130.22,128.78,129.09,,,,,,,0,121.7649,1,639828,,,,,0
2023-07-25,128.39,128.86,127.41,127.69,,,,,,,0,122.7790,1,676736,,,,,0
2023-07-26,127.51,128.28,126.69,127.94,125.44,,,,,133.7757,0,123.6715,1,710465,,,,,0
2023-07-27,130.26,136.47,130.26,134.20,126.82,,,,,125.1437,1,124.4569,1,2033946,,,,,0
2023-07-28,135.17,136.82,133.94,136.00,128.15,,,,,127.1156,1,126.1391,1,1206845,,,,,0
2023-07-31,135.63,135.69,133.09,134.86,129.48,,,,,127.1156,1,127.8488,1,1362554,,,,,0
2023-08-01,135.24,136.02,133.29,133.92,130.56,,,,,127.1156,1,129.2850,1,655002,,,,,0
2023-08-02,133.53,135.75,133.53,134.68,131.62,,,,,127.1156,1,130.4914,1,859891,,,,,0
2023-08-03,134.30,134.66,133.60,134.38,132.24,,,,,127.1156,1,131.5047,1,696704,,,,,0
2023-08-04,134.31,135.75,132.68,133.19,132.60,,,,,127.1156,1,132.3559,1,625075,,,,,0
2023-08-07,133.43,136.03,133.25,135.54,133.24,,,,,127.1156,1,132.6775,1,571344,,,,,0
2023-08-08,135.94,136.82,134.26,134.90,133.96,,,,,127.6854,1,132.6775,1,600485,,,,,0
2023-08-09,135.68,137.10,135.16,135.93,134.76,130.10,,,,128.3969,1,133.2545,1,563443,,,,,0
2023-08-10,136.32,137.80,135.75,136.54,134.99,130.90,,,,129.2050,1,133.9459,1,496087,,,,,0
2023-08-11,137.00,138.39,136.79,137.20,135.11,131.63,,,,130.2208,1,134.7164,1,525751,,,,,0
2023-08-14,137.96,138.07,136.65,137.28,135.36,132.42,,,,130.3032,1,135.4518,1,391471,,,,,0
2023-08-15,136.65,137.85,135.95,137.15,135.68,133.12,,,,130.3032,1,138.3936,0,553154,,,,,0
