Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,28.37,28.74,28.18,28.18,,,,,,,0,28.1843,1,280,,,,,0
2023-07-17,28.98,29.52,28.98,29.41,,,,,,,0,28.1843,1,256,,,,,0
2023-07-18,29.35,30.31,28.39,30.31,,,,,,,0,28.1843,1,1084,,,,,0
2023-07-19,30.68,30.68,30.09,30.56,,,,,,,0,28.2695,1,359,,,,,0
2023-07-20,30.37,31.08,30.15,31.08,,,,,,,0,28.3901,1,424,,,,,0
2023-07-21,31.08,31.08,29.62,29.62,,,,,,,0,28.6054,1,586,,,,,0
2023-07-24,29.93,30.32,29.49,30.23,,,,,,,0,28.8531,1,352,,,,,0
2023-07-25,29.57,30.36,29.46,29.71,,,,,,,0,29.0761,1,369,,,,,0
2023-07-26,29.50,30.83,29.18,30.80,,,,,,,0,31.0824,0,499,,,,,0
2023-07-27,30.91,30.91,28.92,29.48,29.94,,,,,33.5672,0,31.0443,0,850,,,,,0
2023-07-28,29.53,30.39,28.88,30.30,30.15,,,,,33.3782,0,30.9592,0,850,,,,,0
2023-07-31,30.56,31.07,30.02,31.04,30.31,,,,,33.3782,0,28.8820,1,541,,,,,0
2023-08-01,30.77,31.03,29.97,30.93,30.37,,,,,33.3782,0,28.8820,1,896,,,,,0
2023-08-02,30.54,31.60,30.54,31.37,30.46,,,,,33.3782,0,28.9258,1,838,,,,,0
2023-08-03,31.05,31.33,30.89,31.10,30.46,,,,,33.3782,0,29.0329,1,449,,,,,0
2023-08-04,31.31,32.10,30.42,30.51,30.55,,,,,33.3782,0,29.1356,1,1190,,,,,0
2023-08-07,30.88,31.10,30.06,30.98,30.62,,,,,33.3782,0,29.3136,1,1011,,,,,0
2023-08-08,30.79,31.03,30.12,30.87,30.74,,,,,33.3782,0,29.4809,1,825,,,,,0
2023-08-09,30.48,31.00,30.48,30.64,30.72,,,,,33.3782,0,29.6382,1,620,,,,,0
2023-08-10,30.89,30.89,30.19,30.70,30.84,30.39,,,,33.3782,0,29.7860,1,494,,,,,0
2023-08-11,30.38,30.72,30.25,30.51,30.86,30.51,,,,33.3782,0,29.9250,1,767,,,,,0
