Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,186.80,189.42,186.07,188.31,,,,,,,0,189.4241,0,667060,,,,,0
2023-07-14,187.47,187.48,181.87,182.33,,,,,,,0,189.4241,0,560956,,,,,0
2023-07-17,181.01,187.62,181.01,186.50,,,,,,,0,189.4241,0,637993,,,,,0
2023-07-18,185.13,186.93,184.09,186.63,,,,,,,0,189.0875,0,594000,,,,,0
2023-07-19,187.27,187.49,185.50,185.96,,,,,,,0,188.7644,0,399568,,,,,0
2023-07-20,182.24,184.21,179.28,180.13,,,,,,,0,188.4542,0,756893,,,,,0
2023-07-21,182.03,183.92,181.14,182.32,,,,,,,0,187.9038,0,1679343,,,,,0
2023-07-24,181.83,183.89,181.08,182.71,,,,,,,0,187.3864,0,512377,,,,,0
2023-07-25,183.31,187.06,183.31,185.83,,,,,,,0,179.2804,1,578899,,,,,0
2023-07-26,182.29,183.14,180.36,181.90,184.26,,,,,195.0506,0,179.4360,1,534954,,,,,0
2023-07-27,185.68,188.15,183.96,185.63,183.99,,,,,195.0506,0,179.5885,1,679111,,,,,0
2023-07-28,188.33,189.03,186.34,188.46,184.61,,,,,195.0506,0,179.9310,1,572223,,,,,0
2023-07-31,188.76,190.05,188.46,189.51,184.91,,,,,195.0506,0,180.4767,1,417277,,,,,0
2023-08-01,187.71,190.02,186.94,189.46,185.19,,,,,195.0506,0,181.2426,1,379072,,,,,0
2023-08-02,188.14,188.21,182.23,182.79,184.87,,,,,195.0506,0,181.9473,1,719743,,,,,0
2023-08-03,181.10,183.54,179.45,181.87,185.05,,,,,194.6123,0,190.0510,0,582149,,,,,0
2023-08-04,179.51,180.71,175.46,178.89,184.71,,,,,191.8140,0,189.8390,0,684257,,,,,0
2023-08-07,181.12,181.76,179.38,180.55,184.49,,,,,191.8140,0,189.2639,0,386892,,,,,0
2023-08-08,177.61,177.95,174.52,177.24,183.63,,,,,189.9417,0,188.7118,0,548540,,,,,0
2023-08-09,177.05,178.08,175.13,175.53,182.99,183.63,,,,189.8277,0,187.8605,0,432807,,,,,0
