Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,71.11,71.47,70.53,71.23,,,,,,,0,70.5323,1,173762,,,,,0
2023-07-14,71.67,71.67,70.25,70.36,,,,,,,0,71.6750,0,146218,,,,,0
2023-07-17,70.75,71.76,70.42,71.58,,,,,,,0,70.2533,1,194214,,,,,0
2023-07-18,71.60,73.44,71.46,72.66,,,,,,,0,70.2533,1,225607,,,,,0
2023-07-19,72.91,73.39,72.26,72.88,,,,,,,0,70.3807,1,188690,,,,,0
2023-07-20,73.67,74.57,73.45,74.35,,,,,,,0,70.5031,1,242461,,,,,0
2023-07-21,74.64,74.67,73.87,73.91,,,,,,,0,70.7472,1,208463,,,,,0
2023-07-24,74.28,75.35,74.06,74.78,,,,,,,0,71.0611,1,254283,,,,,0
2023-07-25,74.90,77.65,74.42,77.42,,,,,,,0,71.4896,1,372622,,,,,0
2023-07-26,78.10,78.55,77.68,78.19,73.74,,,,,82.6611,0,72.2288,1,272379,,,,,0
2023-07-27,78.19,78.54,76.90,77.19,74.33,,,,,82.3061,0,73.1136,1,229608,,,,,0
2023-07-28,77.63,77.82,77.30,77.73,75.07,,,,,81.8746,0,73.8746,1,140030,,,,,0
2023-07-31,78.27,78.28,75.90,76.44,75.55,,,,,81.6878,0,74.5290,1,465887,,,,,0
2023-08-01,75.97,76.69,75.48,76.46,75.94,,,,,80.5822,0,75.0919,1,194876,,,,,0
2023-08-02,76.02,77.27,75.85,76.29,76.28,,,,,80.5822,0,75.4810,1,236861,,,,,0
2023-08-03,76.02,76.94,75.84,76.45,76.49,,,,,80.5822,0,75.4810,1,181343,,,,,0
2023-08-04,76.97,78.28,76.94,76.97,76.79,,,,,80.5822,0,75.8409,1,294078,,,,,0
2023-08-07,76.97,78.54,76.84,78.47,77.16,,,,,80.5822,0,75.8409,1,239880,,,,,0
2023-08-08,77.69,78.09,76.62,77.78,77.20,,,,,80.5822,0,76.2200,1,204992,,,,,0
2023-08-09,78.14,78.14,77.10,77.24,77.10,75.42,,,,80.5822,0,76.5461,1,157698,,,,,0
2023-08-10,77.35,78.18,76.90,77.29,77.11,75.72,,,,80.5822,0,76.6237,1,173784,,,,,0
2023-08-11,77.26,77.28,75.94,76.32,76.97,76.02,,,,80.5822,0,78.5491,0,192601,,,,,0
2023-08-14,76.24,76.49,75.87,76.43,76.97,76.26,,,,80.3070,0,78.4970,0,157963,,,,,0
2023-08-15,76.08,76.34,74.48,74.56,76.78,76.36,,,,79.7074,0,78.3918,0,166558,,,,,0
2023-08-16,74.41,74.80,74.19,74.33,76.58,76.43,,,,78.5457,0,78.1571,0,156846,,,,,0
2023-08-17,74.73,75.21,74.37,74.66,76.40,76.45,,,,78.5457,0,77.8399,0,127714,,,,,0
2023-08-18,74.25,75.11,74.17,74.92,76.20,76.50,,,,78.4395,0,77.5480,0,144008,,,,,0
2023-08-21,75.06,75.08,74.16,74.63,75.82,76.49,,,,78.3155,0,77.2105,0,205458,,,,,0
2023-08-22,74.64,74.82,73.00,73.06,75.34,76.27,,,,77.7769,0,76.8450,0,162509,,,,,0
2023-08-23,72.86,73.41,72.08,73.39,74.96,76.03,,,,76.6309,0,76.3063,0,167144,,,,,0
2023-08-24,73.33,73.68,72.57,72.66,74.50,75.80,,,,76.6309,0,75.6307,0,183337,,,,,0
2023-08-25,73.04,73.36,72.53,73.12,74.18,75.57,,,,76.6309,0,75.0632,0,300494,,,,,0
2023-08-28,73.39,74.06,72.91,73.15,73.85,75.41,,,,76.6309,0,74.5865,0,183518,,,,,0
2023-08-29,73.46,73.87,72.40,73.82,73.77,75.28,,,,76.6309,0,74.1861,0,177747,,-0.5067,-0.1830,-0.3238,0
2023-08-30,73.78,73.90,73.03,73.04,73.65,75.11,,,,76.6309,0,74.0558,0,239755,,-0.5508,-0.2565,-0.2942,0
2023-08-31,73.15,73.15,71.70,71.73,73.35,74.88,,,,76.1260,0,73.9020,0,331062,,-0.6836,-0.3419,-0.3417,0
2023-09-01,72.22,72.79,71.66,72.17,73.08,74.64,,,,75.8919,0,73.9020,0,285018,,-0.7445,-0.4225,-0.3221,0
