Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,7.62,7.72,7.24,7.36,,,,,,,0,7.7200,0,8839,,,,,0
2023-07-14,7.38,7.45,7.08,7.17,,,,,,,0,7.7200,0,5409,,,,,0
2023-07-17,7.16,7.52,7.04,7.37,,,,,,,0,7.7200,0,7133,,,,,0
2023-07-18,7.39,7.62,7.31,7.59,,,,,,,0,7.6926,0,6023,,,,,0
2023-07-19,7.60,7.95,7.59,7.75,,,,,,,0,7.0360,1,6783,,,,,0
2023-07-20,7.69,7.79,7.60,7.70,,,,,,,0,7.0542,1,6461,,,,,0
2023-07-21,7.78,8.12,7.48,8.08,,,,,,,0,7.0720,1,7766,,,,,0
2023-07-24,8.08,8.17,7.76,7.80,,,,,,,0,7.1139,1,6118,,,,,0
2023-07-25,7.77,7.98,7.66,7.85,,,,,,,0,7.1773,1,4343,,,,,0
2023-07-26,7.78,8.10,7.67,8.06,7.67,,,,,9.0729,0,7.2368,1,5219,,,,,0
2023-07-27,8.19,8.20,7.75,7.82,7.72,,,,,9.0729,0,7.2928,1,5965,,,,,0
2023-07-28,7.94,8.09,7.76,8.07,7.81,,,,,9.0729,0,7.3654,1,5241,,,,,0
2023-07-31,8.16,8.51,8.12,8.44,7.92,,,,,9.0729,0,7.4322,1,8676,,,,,0
2023-08-01,8.35,8.39,8.15,8.25,7.98,,,,,9.0729,0,7.5400,1,5751,,,,,0
2023-08-02,8.05,8.10,7.87,7.96,8.00,,,,,9.0729,0,7.6370,1,6780,,,,,0
2023-08-03,7.64,7.73,6.71,6.97,7.93,,,,,8.6416,0,8.5100,0,24784,,,,,0
2023-08-04,7.19,7.19,6.64,6.83,7.80,,,,,8.3594,0,8.4740,0,14180,,,,,0
2023-08-07,6.78,6.80,6.48,6.70,7.69,,,,,8.0429,0,8.4006,0,9069,,,,,0
2023-08-08,6.60,6.67,6.45,6.65,7.57,,,,,7.8990,0,8.2855,0,6240,,,,,0
2023-08-09,6.63,6.66,6.41,6.49,7.42,7.55,,,,7.8141,0,8.1387,0,6697,,,,,0
2023-08-10,6.50,6.65,6.26,6.42,7.28,7.50,,,,7.7244,0,7.9653,0,7141,,,,,0
2023-08-11,6.34,6.45,6.19,6.30,7.10,7.45,,,,7.5427,0,7.7601,0,6833,,,,,0
2023-08-14,6.24,6.28,6.00,6.26,6.88,7.40,,,,7.3304,0,7.5403,0,9335,,,,,0
2023-08-15,6.18,6.55,6.17,6.29,6.69,7.33,,,,7.3304,0,7.2938,0,8297,,,,,0
2023-08-16,6.20,6.38,6.13,6.22,6.51,7.26,,,,7.3304,0,7.0868,0,8116,,,,,0
2023-08-17,6.21,6.25,6.04,6.12,6.43,7.18,,,,7.2369,0,6.9129,0,7317,,,,,0
2023-08-18,6.01,6.28,5.99,6.22,6.37,7.09,,,,7.2049,0,6.7669,0,13164,,,,,0
2023-08-21,6.24,6.49,6.09,6.44,6.34,7.02,,,,7.2049,0,6.6272,0,6785,,,,,0
2023-08-22,6.49,6.54,6.23,6.33,6.31,6.94,,,,7.2049,0,5.9910,1,8590,,,,,0
2023-08-23,6.37,6.59,6.27,6.50,6.31,6.86,,,,7.2049,0,6.0020,1,10074,,,,,0
2023-08-24,6.50,6.51,6.04,6.07,6.28,6.78,,,,7.2049,0,6.0257,1,7771,,,,,0
2023-08-25,6.09,6.26,6.04,6.16,6.26,6.68,,,,7.1999,0,6.0400,1,7002,,,,,0
2023-08-28,6.21,6.30,6.12,6.17,6.25,6.57,,,,7.1999,0,6.0400,1,5088,,,,,0
2023-08-29,6.17,6.73,6.12,6.68,6.29,6.49,,,,7.1999,0,6.0400,1,11748,,-0.4202,-0.5425,0.1223,0
2023-08-30,6.64,6.86,6.56,6.83,6.35,6.43,,,,7.1999,0,6.0814,1,6484,,-0.3552,-0.5050,0.1498,0
2023-08-31,6.86,6.93,6.70,6.77,6.42,6.42,,,,7.1999,0,6.1200,1,5715,,-0.3050,-0.4650,0.1600,0
2023-09-01,6.82,6.96,6.72,6.81,6.48,6.42,,,,7.1999,0,6.2010,1,3641,,-0.2591,-0.4238,0.1648,0
2023-09-05,6.73,6.80,6.56,6.64,6.50,6.42,,,,7.1999,0,6.2921,1,4553,,-0.2337,-0.3858,0.1521,0
2023-09-06,6.63,6.64,6.41,6.57,6.52,6.41,,,,7.1999,0,6.3722,1,4521,,-0.2167,-0.3520,0.1353,0
2023-09-07,6.44,6.45,6.18,6.30,6.50,6.40,,,,7.1999,0,6.9600,0,7307,,-0.2225,-0.3261,0.1036,0
2023-09-08,6.29,6.29,6.00,6.00,6.49,6.38,,,,7.1032,0,6.9444,0,6701,,-0.2484,-0.3105,0.0622,0
2023-09-11,6.10,6.24,6.01,6.23,6.50,6.38,,,,7.0569,0,6.9066,0,6581,,-0.2475,-0.2979,0.0504,0
2023-09-12,6.20,6.85,6.14,6.67,6.55,6.40,,,,7.0569,0,6.8704,0,8804,,-0.2089,-0.2801,0.0712,0
2023-09-13,6.69,6.86,6.54,6.56,6.54,6.41,,,,7.0569,0,6.0000,1,5569,,-0.1850,-0.2611,0.0761,0
2023-09-14,6.61,6.67,6.18,6.21,6.48,6.41,,,,7.0569,0,6.0172,1,11224,,-0.1922,-0.2473,0.0552,0
2023-09-15,6.20,6.28,6.05,6.06,6.41,6.41,,,,7.0569,0,6.0341,1,8512,,-0.2075,-0.2394,0.0318,0
2023-09-18,6.04,6.05,5.51,5.52,6.28,6.38,,,,6.8877,0,6.8600,0,9005,,-0.2603,-0.2435,-0.0167,0
2023-09-19,5.51,5.57,5.09,5.43,6.16,6.33,,,,6.4719,0,6.8330,0,10735,,-0.3058,-0.2560,-0.0498,0
2023-09-20,5.46,5.49,5.16,5.18,6.02,6.27,,,,6.4494,0,6.7635,0,5272,,-0.3579,-0.2764,-0.0816,0
2023-09-21,5.03,5.25,4.95,5.18,5.90,6.20,6.76,,,6.2020,0,6.6967,0,8764,7763,-0.3947,-0.3000,-0.0947,0
2023-09-22,5.21,5.29,5.05,5.07,5.81,6.15,6.72,,,6.2020,0,6.5919,0,6385,7714,-0.4278,-0.3256,-0.1022,0
2023-09-25,4.99,5.19,4.98,5.08,5.70,6.10,6.67,,,6.1068,0,6.4934,0,5466,7715,-0.4480,-0.3501,-0.0980,0
2023-09-26,5.90,6.34,5.49,5.56,5.58,6.07,6.64,,,6.1068,0,6.4008,0,31233,8197,-0.4205,-0.3642,-0.0563,0
2023-09-27,5.66,5.77,5.35,5.64,5.49,6.02,6.60,,,6.1068,0,6.3400,0,11788,8312,-0.3878,-0.3689,-0.0189,0
2023-09-28,5.64,5.73,5.44,5.55,5.43,5.95,6.55,,,6.1068,0,6.3400,0,8543,8347,-0.3649,-0.3681,0.0032,0
2023-09-29,5.63,5.68,5.39,5.45,5.37,5.89,6.51,,,6.1068,0,6.2566,0,6342,8345,-0.3507,-0.3646,0.0139,0
2023-10-02,5.44,5.44,5.13,5.19,5.33,5.80,6.45,,,6.1068,0,6.1782,0,7387,8337,-0.3564,-0.3630,0.0065,0
2023-10-03,5.15,5.30,5.12,5.22,5.31,5.73,6.40,,,6.1068,0,6.1045,0,7004,8355,-0.3544,-0.3613,0.0068,0
2023-10-04,5.26,5.26,4.80,4.81,5.27,5.65,6.34,,,6.1068,0,6.0352,0,10200,8472,-0.3815,-0.3653,-0.0162,0
2023-10-05,4.80,4.80,4.50,4.74,5.23,5.57,6.27,,,5.7776,0,5.9364,0,9249,8553,-0.4040,-0.3730,-0.0309,0
2023-10-06,4.68,4.78,4.55,4.70,5.19,5.50,6.21,,,5.7448,0,5.7928,0,6216,8558,-0.4202,-0.3825,-0.0377,0
2023-10-09,4.65,4.70,4.49,4.63,5.15,5.42,6.14,,,5.6321,0,5.6635,0,4915,8551,-0.4337,-0.3927,-0.0409,0
2023-10-10,4.63,5.03,4.62,4.95,5.09,5.34,6.07,,,5.6321,0,5.5227,0,6384,8505,-0.4137,-0.3969,-0.0168,0
2023-10-11,4.96,5.04,4.73,4.76,5.00,5.25,6.00,,,5.6321,0,5.3988,0,3930,8469,-0.4086,-0.3993,-0.0093,0
2023-10-12,4.79,4.79,4.28,4.32,4.88,5.15,5.93,,,5.6261,0,5.2897,0,5374,8441,-0.4350,-0.4064,-0.0286,0
2023-10-13,4.30,4.42,4.28,4.28,4.76,5.06,5.88,,,5.3740,0,5.1483,0,3361,8012,-0.4535,-0.4158,-0.0377,0
2023-10-16,4.24,4.38,4.10,4.36,4.68,5.01,5.83,,,5.2456,0,5.0268,0,6475,7858,-0.4569,-0.4240,-0.0328,0
2023-10-17,4.29,4.60,4.29,4.44,4.60,4.96,5.78,,,5.2456,0,4.8785,0,5533,7787,-0.4479,-0.4288,-0.0191,0
2023-10-18,4.39,4.39,4.15,4.15,4.53,4.90,5.73,,,5.2456,0,4.7539,0,3237,7727,-0.4589,-0.4348,-0.0241,0
2023-10-19,4.12,4.20,3.96,4.08,4.47,4.85,5.68,,,5.0347,0,4.6493,0,4546,7684,-0.4679,-0.4415,-0.0265,0
2023-10-20,4.05,4.17,3.94,4.12,4.41,4.80,5.64,,,4.9855,0,4.5252,0,4612,7634,-0.4664,-0.4464,-0.0200,0
2023-10-23,4.09,4.30,4.00,4.18,4.36,4.76,5.59,,,4.9855,0,4.4082,0,4711,7591,-0.4552,-0.4482,-0.0070,0
2023-10-24,4.19,4.75,4.19,4.69,4.34,4.71,5.56,,,4.9855,0,3.9400,1,8608,7577,-0.4005,-0.4386,0.0382,0
2023-10-25,4.65,4.71,4.22,4.28,4.29,4.65,5.52,,,4.9855,0,3.9562,1,7333,7557,-0.3858,-0.4281,0.0423,0
2023-10-26,4.30,4.54,4.26,4.45,4.30,4.59,5.49,,,4.9855,0,3.9721,1,5456,7504,-0.3567,-0.4138,0.0571,0
2023-10-27,4.46,4.46,4.02,4.25,4.30,4.53,5.45,,,4.9855,0,3.9876,1,8985,7538,-0.3454,-0.4001,0.0547,0
2023-10-30,4.34,4.35,4.07,4.33,4.30,4.49,5.41,,,4.9855,0,4.0029,1,3718,7349,-0.3262,-0.3853,0.0591,0
2023-10-31,4.31,4.59,4.28,4.44,4.30,4.45,5.37,,,4.9855,0,4.0178,1,8541,7384,-0.2987,-0.3680,0.0693,0
2023-11-01,4.47,4.51,4.24,4.44,4.33,4.43,5.33,,,4.9855,0,4.0325,1,5289,7318,-0.2737,-0.3491,0.0754,0
2023-11-02,4.58,4.88,4.57,4.86,4.40,4.44,5.30,,,4.9855,0,4.0468,1,6565,7248,-0.2176,-0.3228,0.1053,0
2023-11-03,4.96,5.28,4.80,4.97,4.49,4.45,5.28,,,4.9855,0,4.0801,1,10721,7307,-0.1623,-0.2907,0.1284,0
2023-11-06,5.09,5.09,4.74,4.80,4.55,4.46,5.25,,,4.9855,0,4.1521,1,6581,7298,-0.1307,-0.2587,0.1280,0
2023-11-07,4.75,4.92,4.63,4.82,4.56,4.45,5.22,,,4.9855,0,4.2198,1,8307,7363,-0.1029,-0.2276,0.1247,0
2023-11-08,4.84,4.84,4.47,4.51,4.59,4.44,5.18,,,4.9855,0,4.2834,1,8382,7295,-0.1046,-0.2030,0.0983,0
2023-11-09,4.59,4.61,4.26,4.29,4.57,4.44,5.13,,,4.9855,0,5.2800,0,7575,7317,-0.1223,-0.1868,0.0645,0
2023-11-10,3.83,3.84,2.61,3.51,4.50,4.40,5.07,,,4.6815,0,5.2596,0,22568,7654,-0.1971,-0.1889,-0.0082,0
2023-11-13,3.42,3.49,3.15,3.45,4.41,4.35,5.00,,,4.6815,0,5.1534,0,10418,7790,-0.2577,-0.2027,-0.0551,0
2023-11-14,3.64,4.10,3.58,4.09,4.37,4.34,4.95,,,4.6815,0,5.0515,0,14077,7980,-0.2517,-0.2125,-0.0392,0
2023-11-15,4.11,4.51,4.09,4.28,4.36,4.34,4.90,,,4.6815,0,4.9536,0,6396,8018,-0.2289,-0.2158,-0.0132,0
2023-11-16,4.13,4.24,3.98,4.03,4.28,4.34,4.86,,,4.6815,0,4.8597,0,4369,7959,-0.2284,-0.2183,-0.0101,0
2023-11-17,4.06,4.36,4.06,4.31,4.21,4.35,4.82,,,4.6815,0,4.7695,0,6107,7947,-0.2031,-0.2153,0.0122,0
2023-11-20,4.34,4.64,4.22,4.44,4.17,4.36,4.79,,,4.6815,0,4.6829,0,5804,7931,-0.1706,-0.2063,0.0358,0
2023-11-21,4.40,4.42,4.06,4.22,4.11,4.34,4.74,,,4.6815,0,4.6450,0,7304,7901,-0.1607,-0.1972,0.0365,0
2023-11-22,4.31,4.48,4.21,4.25,4.09,4.34,4.69,,,4.6815,0,4.6450,0,3688,7864,-0.1487,-0.1875,0.0388,0
2023-11-24,4.23,4.45,4.20,4.37,4.10,4.33,4.65,,,4.6815,0,4.5634,0,2315,7686,-0.1281,-0.1756,0.0475,0
2023-11-27,4.34,4.38,4.14,4.33,4.18,4.34,4.62,,,4.6815,0,4.4851,0,3613,7588,-0.1136,-0.1632,0.0496,0
2023-11-28,4.32,4.49,4.22,4.37,4.27,4.34,4.60,,,4.6815,0,2.6050,1,3100,7470,-0.0978,-0.1501,0.0523,0
2023-11-29,4.43,4.72,4.43,4.62,4.32,4.35,4.58,,,4.6815,0,2.6426,1,5403,7363,-0.0644,-0.1330,0.0686,0
2023-11-30,4.68,4.70,4.31,4.38,4.33,4.35,4.56,,,4.6815,0,2.7257,1,6131,7380,-0.0566,-0.1177,0.0611,0
2023-12-01,4.36,4.77,4.21,4.70,4.40,4.34,4.56,,,3.4484,1,2.8055,1,4826,7301,-0.0243,-0.0990,0.0747,0
2023-12-04,4.69,4.89,4.63,4.76,4.44,4.33,4.55,,,3.6147,1,2.9233,1,3591,7245,0.0060,-0.0780,0.0840,0
2023-12-05,4.74,4.78,4.39,4.42,4.44,4.31,4.54,,,3.6147,1,3.0807,1,4838,7233,0.0026,-0.0619,0.0645,0
2023-12-06,4.40,4.89,4.34,4.62,4.48,4.30,4.52,,,3.6147,1,3.2254,1,8510,6778,0.0158,-0.0464,0.0622,0
2023-12-07,4.67,4.72,4.53,4.66,4.52,4.31,4.50,,,3.6147,1,3.3586,1,4518,6633,0.0292,-0.0312,0.0605,0
2023-12-08,4.63,4.74,4.50,4.71,4.56,4.33,4.48,,,3.6147,1,3.4811,1,4711,6556,0.0434,-0.0163,0.0597,0
2023-12-11,4.69,4.70,4.46,4.59,4.58,4.38,4.46,,,3.6147,1,3.5938,1,4857,6527,0.0444,-0.0042,0.0486,0
2023-12-12,4.66,4.66,4.36,4.38,4.58,4.43,4.45,,,3.6147,1,3.6975,1,5932,6498,0.0279,0.0023,0.0257,0
2023-12-13,4.42,5.01,4.31,4.96,4.62,4.47,4.44,,,3.6147,1,3.7929,1,8962,6537,0.0610,0.0140,0.0470,0
2023-12-14,5.19,5.47,5.09,5.18,4.70,4.51,4.45,,,4.0918,1,3.9151,1,10951,6552,0.1037,0.0320,0.0718,0
2023-12-15,5.25,5.39,4.73,4.87,4.72,4.56,4.45,,,4.0918,1,4.1017,1,12404,6615,0.1113,0.0478,0.0635,0
2023-12-18,4.90,5.01,4.70,4.71,4.71,4.58,4.45,,,4.0918,1,4.2659,1,7073,6632,0.1032,0.0589,0.0443,0
2023-12-19,4.80,5.16,4.80,5.06,4.77,4.61,4.46,,,4.0918,1,4.4104,1,9672,6727,0.1236,0.0719,0.0518,0
2023-12-20,5.08,5.23,4.72,4.74,4.79,4.63,4.46,,,4.0918,1,4.5375,1,6769,6735,0.1127,0.0800,0.0327,0
2023-12-21,4.92,5.09,4.90,5.03,4.82,4.67,4.46,,,4.0918,1,4.6494,1,6280,6782,0.1260,0.0892,0.0368,0
2023-12-22,5.11,5.18,4.93,4.95,4.85,4.70,4.47,,,4.0918,1,4.7200,1,6238,6799,0.1285,0.0971,0.0315,0
2023-12-26,5.00,5.11,4.89,5.05,4.89,4.74,4.49,,,4.0918,1,4.8100,1,6754,6867,0.1371,0.1051,0.0320,0
2023-12-27,5.20,5.29,4.99,5.11,4.97,4.78,4.51,,,4.0918,1,4.8892,1,8546,6908,0.1470,0.1135,0.0335,0
2023-12-28,5.10,5.49,5.07,5.33,5.00,4.81,4.52,,,4.1419,1,4.8900,1,12165,7041,0.1706,0.1249,0.0457,0
