Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-07-30,38.00,48.43,36.25,38.53,,,,,,,0,36.2500,1,211125,,,,,0
2025-07-31,42.23,51.76,41.17,43.85,,,,,,,0,36.2500,1,181258,,,,,0
2025-08-01,41.50,42.30,37.30,39.51,,,,,,,0,36.2500,1,38360,,,,,0
2025-08-04,39.87,40.56,35.00,38.16,,,,,,,0,51.7620,0,25262,,,,,0
2025-08-05,38.17,38.86,35.02,35.56,,,,,,,0,51.4268,0,13484,,,,,0
2025-08-06,35.00,43.17,32.89,43.17,,,,,,,0,51.0982,0,24318,,,,,0
2025-08-07,42.31,42.90,39.38,40.80,,,,,,,0,50.3699,0,14170,,,,,0
2025-08-08,40.82,42.09,37.21,39.47,,,,,,,0,49.6707,0,10010,,,,,0
2025-08-11,38.99,40.66,36.16,36.39,,,,,,,0,48.9995,0,10408,,,,,0
2025-08-12,37.95,41.77,37.40,41.30,39.67,,,,,60.6434,0,48.3551,0,15252,,,,,0
2025-08-13,41.30,41.74,37.50,38.34,39.65,,,,,59.8428,0,47.7365,0,11606,,,,,0
2025-08-14,37.57,39.50,36.60,37.79,39.05,,,,,57.1205,0,47.1426,0,12350,,,,,0
2025-08-15,38.05,39.10,37.00,37.98,38.90,,,,,55.8434,0,46.5725,0,5515,,,,,0
2025-08-18,39.32,40.82,38.22,38.56,38.94,,,,,55.8434,0,46.0252,0,7207,,,,,0
2025-08-19,38.68,39.02,35.25,36.04,38.98,,,,,53.4487,0,45.4998,0,8826,,,,,0
2025-08-20,35.20,36.58,34.50,35.71,38.24,,,,,50.8445,0,44.9954,0,12131,,,,,0
2025-08-21,35.65,39.11,35.65,37.01,37.86,,,,,50.8445,0,44.5112,0,12443,,,,,0
2025-08-22,37.12,39.36,35.50,38.47,37.76,,,,,50.8445,0,44.0464,0,8121,,,,,0
2025-08-25,38.25,39.33,36.88,38.49,37.97,,,,,50.8445,0,43.6001,0,6309,,,,,0
2025-08-26,38.49,40.98,38.27,40.94,37.93,38.80,,,,50.8445,0,43.1717,0,6305,,,,,0
2025-08-27,40.85,40.85,38.31,39.83,38.08,38.87,,,,50.8445,0,42.7604,0,4278,,,,,0
2025-08-28,40.00,40.62,38.31,39.11,38.21,38.63,,,,50.8445,0,42.3656,0,4983,,,,,0
2025-08-29,38.89,40.38,38.89,39.71,38.39,38.64,,,,50.8445,0,41.9866,0,4348,,,,,0
2025-09-02,40.19,40.19,36.50,37.01,38.23,38.58,,,,49.6587,0,41.6227,0,6073,,,,,0
2025-09-03,37.05,39.06,37.05,38.40,38.47,38.73,,,,48.8483,0,41.2734,0,5053,,,,,0
2025-09-04,38.40,40.75,36.60,40.59,38.96,38.60,,,,48.8483,0,40.9381,0,9587,,,,,0
2025-09-05,36.56,36.71,34.28,34.44,38.70,38.28,,,,47.2547,0,40.7500,0,22451,,,,,0
2025-09-08,34.45,35.17,31.60,33.24,38.18,37.97,,,,45.0366,0,40.7500,0,13881,,,,,0
2025-09-09,33.84,36.60,33.60,36.59,37.99,37.98,,,,45.0366,0,40.2010,0,8116,,,,,0
2025-09-10,36.00,37.49,34.76,35.04,37.40,37.66,,,,45.0366,0,39.6849,0,5011,,,,,0
2025-09-11,34.44,36.97,34.44,36.57,37.07,37.58,,,,45.0366,0,39.1998,0,5050,,,,,0
2025-09-12,36.10,36.81,33.71,34.45,36.60,37.41,,,,45.0366,0,38.7439,0,6718,,,,,0
2025-09-15,34.42,35.23,33.25,34.69,36.10,37.24,,,,44.4258,0,38.3152,0,4874,,,,,0
2025-09-16,34.83,35.15,33.90,34.68,35.87,37.05,,,,44.0689,0,37.9123,0,3874,,-1.0726,-0.7071,-0.3654,0
2025-09-17,34.02,34.60,32.64,32.97,35.33,36.90,,,,42.8190,0,37.5336,0,5453,,-1.2355,-0.8128,-0.4227,0
2025-09-18,33.69,35.00,32.87,33.02,34.57,36.76,,,,42.8190,0,37.1776,0,9546,,-1.3451,-0.9193,-0.4259,0
2025-09-19,33.10,33.68,31.21,31.21,34.25,36.47,,,,41.2157,0,36.8429,0,34603,,-1.5601,-1.0474,-0.5126,0
2025-09-22,31.02,32.74,31.02,32.06,34.13,36.15,,,,40.2880,0,36.3923,0,7537,,-1.6429,-1.1665,-0.4764,0
2025-09-23,32.35,32.74,31.70,32.20,33.69,35.84,,,,40.1051,0,35.8550,0,4595,,-1.6779,-1.2688,-0.4091,0
2025-09-24,32.59,32.81,31.30,31.40,33.33,35.36,,,,39.6001,0,35.3715,0,2371,,-1.7500,-1.3650,-0.3849,0
2025-09-25,31.06,31.38,30.25,30.38,32.71,34.89,,,,37.9506,0,34.9364,0,4536,,-1.8679,-1.4656,-0.4023,0
2025-09-26,30.40,31.00,29.21,30.08,32.27,34.44,,,,37.0640,0,34.3740,0,7878,,-1.9629,-1.5651,-0.3979,0
2025-09-29,30.19,30.87,30.19,30.40,31.84,33.97,,,,37.0301,0,33.6511,0,4457,,-1.9895,-1.6499,-0.3395,0
2025-09-30,29.90,30.40,28.83,29.92,31.36,33.62,,,,35.9361,0,33.0293,0,10535,,-2.0259,-1.7251,-0.3008,0
2025-10-01,29.85,30.20,28.92,29.87,31.05,33.19,,,,35.6330,0,32.3574,0,8686,,-2.0353,-1.7872,-0.2482,0
2025-10-02,29.85,30.15,28.61,29.68,30.72,32.64,,,,35.3077,0,31.7930,0,12575,,-2.0347,-1.8367,-0.1980,0
2025-10-03,29.66,30.38,29.33,29.83,30.58,32.41,,,,35.3077,0,31.2201,0,5214,,-1.9991,-1.8692,-0.1299,0
2025-10-06,30.40,31.92,30.00,31.22,30.50,32.31,,,,35.3077,0,28.6100,1,4436,,-1.8375,-1.8628,0.0254,0
2025-10-07,31.50,32.66,31.50,32.10,30.49,32.09,,,,35.3077,0,28.6762,1,5723,,-1.6197,-1.8142,0.1945,0
2025-10-08,32.56,34.82,32.36,33.83,30.73,32.03,35.81,,,35.3077,0,28.8356,1,5978,17458,-1.2926,-1.7099,0.4172,0
2025-10-09,34.00,34.08,31.75,32.29,30.92,31.81,35.69,,,35.3077,0,29.1948,1,3074,13297,-1.1445,-1.5968,0.4523,0
2025-10-10,32.19,32.87,30.77,30.77,30.99,31.63,35.43,,,35.3077,0,29.5325,1,3862,9749,-1.1367,-1.5048,0.3681,0
2025-10-13,31.64,32.24,31.40,32.08,31.16,31.50,35.28,,,35.3077,0,29.8499,1,2246,9026,-1.0131,-1.4064,0.3934,0
2025-10-14,31.84,32.43,30.45,32.04,31.37,31.37,35.15,,,35.3077,0,30.1483,1,2246,8566,-0.9079,-1.3067,0.3989,0
2025-10-15,32.48,33.28,31.57,31.57,31.54,31.30,35.07,,,35.3077,0,30.4288,1,3069,8358,-0.8526,-1.2159,0.3633,0
2025-10-16,32.01,32.01,29.24,29.42,31.52,31.12,34.80,,,35.3077,0,34.8230,0,2945,7930,-0.9711,-1.1669,0.1958,0
2025-10-17,29.42,30.64,29.29,30.36,31.57,31.08,34.59,,,35.3077,0,34.7113,0,3716,7721,-0.9779,-1.1291,0.1512,0
2025-10-20,30.79,32.54,30.74,31.78,31.62,31.06,34.44,,,35.3077,0,34.6019,0,2206,7565,-0.8588,-1.0751,0.2163,0
2025-10-21,32.25,32.25,31.25,31.91,31.61,31.05,34.35,,,35.3077,0,34.4947,0,1516,7387,-0.7453,-1.0091,0.2638,0
2025-10-22,31.74,31.74,29.40,29.63,31.19,30.96,34.11,,,35.3077,0,34.3896,0,5487,7192,-0.8298,-0.9732,0.1435,0
2025-10-23,29.72,30.41,29.66,30.36,30.99,30.96,33.95,,,35.3077,0,34.2866,0,1685,6994,-0.8283,-0.9442,0.1160,0
2025-10-24,30.68,31.22,30.51,31.09,31.02,31.01,33.82,,,35.3077,0,34.1857,0,1921,6785,-0.7594,-0.9073,0.1479,0
2025-10-27,31.44,31.58,29.99,30.45,30.86,31.01,33.67,,,35.3077,0,34.0867,0,2058,6716,-0.7479,-0.8754,0.1275,0
2025-10-28,29.89,30.29,29.51,29.62,30.62,31.00,33.49,,,34.7971,0,33.9898,0,2254,6617,-0.7965,-0.8596,0.0631,0
2025-10-29,29.94,31.00,29.67,30.41,30.50,31.02,33.38,,,34.7971,0,33.8948,0,2615,6493,-0.7626,-0.8402,0.0777,0
2025-10-30,30.18,30.66,29.53,29.72,30.53,31.02,33.26,,,34.7684,0,33.8017,0,2104,6292,-0.7823,-0.8286,0.0463,0
2025-10-31,30.15,30.86,29.88,30.56,30.55,31.06,33.13,,,34.7684,0,33.7105,0,2500,6093,-0.7218,-0.8073,0.0855,0
2025-11-03,30.78,30.78,29.01,29.29,30.30,30.96,32.95,,,34.5213,0,33.6211,0,2103,5973,-0.7675,-0.7993,0.0318,0
2025-11-04,29.00,29.05,27.14,27.54,29.87,30.74,32.73,,,32.9037,0,33.4366,0,3363,5914,-0.9342,-0.8263,-0.1079,0
2025-11-05,27.50,28.63,27.17,28.41,29.75,30.47,32.48,,,32.6658,0,33.0588,0,2156,5831,-0.9847,-0.8580,-0.1267,0
2025-11-06,28.52,29.53,27.50,29.21,29.63,30.31,32.26,,,32.6658,0,32.7037,0,4817,5842,-0.9493,-0.8762,-0.0730,0
2025-11-07,28.67,28.67,24.00,27.27,29.25,30.14,32.03,,,32.3064,0,32.3699,0,8931,5921,-1.0654,-0.9141,-0.1514,0
2025-11-10,27.43,28.99,27.28,28.75,29.08,29.97,31.81,,,32.3064,0,31.7003,0,2038,5874,-1.0262,-0.9365,-0.0897,0
2025-11-11,29.00,29.53,28.13,28.71,28.99,29.80,31.64,,,32.3064,0,31.0843,0,1545,5784,-0.9870,-0.9466,-0.0404,0
2025-11-12,28.73,29.08,27.64,28.05,28.75,29.63,31.44,,,32.3064,0,30.5175,0,1733,5718,-0.9977,-0.9568,-0.0409,0
2025-11-13,27.95,28.15,25.82,25.87,28.37,29.45,31.14,,,32.3064,0,29.9961,0,3402,5594,-1.1686,-0.9992,-0.1694,0
2025-11-14,25.50,25.88,24.40,24.66,27.78,29.16,30.95,,,30.7326,0,29.5164,0,1849,5182,-1.3857,-1.0765,-0.3092,0
2025-11-17,24.70,25.37,23.90,24.26,27.27,28.79,30.77,,,30.1083,0,29.0751,0,2251,4949,-1.5719,-1.1756,-0.3964,0
2025-11-18,23.42,24.03,22.97,23.06,26.82,28.35,30.49,,,28.8142,0,28.5571,0,2172,4830,-1.7956,-1.2996,-0.4960,0
2025-11-19,22.99,23.83,22.81,23.54,26.34,28.04,30.26,,,28.4079,0,27.8861,0,2319,4776,-1.9122,-1.4221,-0.4900,0
2025-11-20,24.17,24.66,22.72,22.76,25.69,27.66,29.99,,,28.4079,0,27.1754,0,2060,4717,-2.0439,-1.5465,-0.4974,0
2025-11-21,22.70,24.04,22.12,23.42,25.31,27.28,29.77,,,28.3026,0,26.4625,0,2815,4639,-2.0711,-1.6514,-0.4197,0
2025-11-24,23.22,23.93,23.13,23.75,24.81,26.94,29.55,,,28.3026,0,25.6809,0,1430,4570,-2.0426,-1.7296,-0.3129,0
2025-11-25,23.87,23.87,22.81,23.44,24.28,26.63,29.32,,,28.1057,0,25.0399,0,1465,4522,-2.0216,-1.7880,-0.2336,0
2025-11-26,23.50,24.35,23.34,24.08,23.88,26.32,29.15,,,28.1057,0,24.5143,0,1840,4449,-1.9311,-1.8166,-0.1145,0
2025-11-28,24.40,24.73,24.01,24.51,23.75,26.06,28.98,,,28.1057,0,22.1200,1,1034,4279,-1.8039,-1.8141,0.0102,0
2025-12-01,24.00,24.43,23.82,23.93,23.68,25.73,28.83,,,28.1057,0,22.1722,1,1780,3623,-1.7300,-1.7973,0.0673,0
2025-12-02,24.29,25.49,24.29,24.86,23.74,25.50,28.69,,,28.1057,0,22.2234,1,1698,3506,-1.5781,-1.7534,0.1753,0
2025-12-03,25.28,28.00,25.24,27.53,24.18,25.50,28.59,,,28.1057,0,22.3540,1,2544,3465,-1.2282,-1.6484,0.4202,0
2025-12-04,27.83,29.66,27.24,27.99,24.63,25.48,28.53,,,28.1057,0,22.6928,1,4171,3501,-0.9033,-1.4994,0.5961,0
2025-12-05,27.92,29.29,27.92,29.00,25.25,25.47,28.50,,,23.7307,1,23.2502,1,2282,3456,-0.5579,-1.3111,0.7532,0
2025-12-08,29.38,29.69,28.15,29.31,25.84,25.57,28.48,,,24.0711,1,23.7629,1,1700,3332,-0.2562,-1.1001,0.8439,0
2025-12-09,29.12,30.76,28.65,29.47,26.41,25.61,28.46,,,24.7080,1,24.3557,1,2431,3292,-0.0042,-0.8809,0.8767,0
2025-12-10,29.33,30.41,29.17,30.20,27.09,25.68,28.47,,,24.9207,1,25.1242,1,2280,3127,0.2516,-0.6544,0.9060,0
2025-12-11,30.17,30.65,29.33,30.16,27.70,25.79,28.48,,,25.2084,1,25.8005,1,1644,2986,0.4459,-0.4344,0.8803,0
2025-12-12,30.00,30.00,28.95,29.12,28.16,25.95,28.46,,,25.2084,1,26.3956,1,1680,2768,0.5101,-0.2455,0.7556,0
2025-12-15,29.20,29.90,27.10,27.38,28.50,26.09,28.41,,,25.2084,1,26.9193,1,2407,2712,0.4158,-0.1132,0.5290,0
2025-12-16,27.10,28.49,27.10,27.66,28.78,26.26,28.34,,,25.2084,1,27.1000,1,1416,2651,0.3595,-0.0187,0.3782,0
2025-12-17,27.98,28.33,26.43,27.21,28.75,26.47,28.25,,,25.2084,1,30.7600,0,3214,2601,0.2754,0.0401,0.2352,0
2025-12-18,27.60,29.50,27.22,28.85,28.84,26.73,28.15,,,25.2084,1,30.6735,0,3661,2555,0.3372,0.0995,0.2376,0
2025-12-19,29.18,30.64,27.99,30.37,28.97,27.11,28.11,,,25.2084,1,26.4350,1,4501,2583,0.5030,0.1802,0.3228,0
2025-12-22,30.51,32.99,30.06,30.92,29.13,27.49,28.11,,,25.7157,1,26.5191,1,3339,2573,0.6711,0.2784,0.3927,0
2025-12-23,30.76,31.09,30.21,30.41,29.23,27.82,28.08,,,25.7157,1,26.7779,1,1670,2561,0.7544,0.3736,0.3808,0
2025-12-24,30.12,31.85,30.12,30.83,29.29,28.19,28.05,,,25.7157,1,27.0264,1,1415,2545,0.8446,0.4678,0.3768,0
2025-12-26,31.29,31.29,29.09,30.00,29.28,28.49,28.02,,,25.7157,1,27.2650,1,2829,2540,0.8394,0.5421,0.2973,0
2025-12-29,29.58,30.24,28.86,29.16,29.28,28.72,28.02,,,25.7157,1,27.4940,1,2683,2535,0.7588,0.5855,0.1734,0
2025-12-30,29.51,29.97,29.00,29.32,29.47,28.99,28.00,,,25.7157,1,27.7138,1,2727,2515,0.6998,0.6083,0.0914,0
2025-12-31,29.11,29.98,28.40,28.50,29.56,29.17,27.93,,,25.7157,1,27.9249,1,3651,2544,0.5801,0.6027,-0.0226,0
2026-01-02,28.40,30.48,28.40,30.35,29.87,29.31,27.90,,,25.7157,1,28.1275,1,5138,2616,0.6274,0.6076,0.0197,0
2026-01-05,30.48,32.17,30.48,30.67,30.05,29.44,27.92,,,26.0565,1,28.3220,1,3380,2574,0.6827,0.6226,0.0601,0
2026-01-06,30.40,32.48,30.16,32.35,30.25,29.61,27.96,,,26.0565,1,28.4000,1,1896,2578,0.8524,0.6686,0.1838,0
2026-01-07,32.16,32.41,31.55,32.29,30.39,29.76,27.98,,,26.8281,1,28.5836,1,2222,2584,0.9707,0.7290,0.2417,0
2026-01-08,32.00,32.49,31.07,32.40,30.59,29.91,28.02,,,26.8281,1,28.7599,1,1918,2581,1.0612,0.7955,0.2658,0
2026-01-09,32.50,33.74,31.50,33.34,30.84,30.06,28.10,,,27.3916,1,28.9291,1,3611,2609,1.1950,0.8754,0.3196,0
2026-01-12,33.00,35.78,32.71,35.19,31.36,30.32,28.19,,,28.6184,1,29.2177,1,4040,2637,1.4338,0.9870,0.4467,0
2026-01-13,35.57,35.57,32.00,32.88,31.73,30.50,28.26,,,28.6184,1,29.7427,1,6747,2730,1.4202,1.0737,0.3465,0
2026-01-14,33.00,35.98,32.59,35.22,32.32,30.90,28.35,,,28.6184,1,30.2257,1,4867,2777,1.5801,1.1750,0.4051,0
2026-01-15,35.75,37.41,34.80,34.89,32.96,31.26,28.46,,,29.4374,1,30.8011,1,4906,2833,1.6610,1.2722,0.3888,0
2026-01-16,35.20,36.50,34.61,34.64,33.39,31.63,28.60,,,29.4374,1,31.5942,1,4378,2854,1.6855,1.3549,0.3307,0
2026-01-20,33.56,34.64,32.95,33.02,33.62,31.84,28.70,,,29.4374,1,32.2921,1,4411,2899,1.5563,1.3951,0.1612,0
2026-01-21,32.00,33.97,31.76,33.03,33.69,31.97,28.77,,,29.4374,1,37.4100,0,6507,2933,1.4381,1.4037,0.0344,0
