Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,43.40,43.90,42.70,43.70,,,,,,,0,42.7000,1,53870,,,,,0
2023-07-18,43.50,45.40,42.70,43.10,,,,,,,0,42.7000,1,79423,,,,,0
2023-07-19,43.50,44.00,42.80,43.70,,,,,,,0,42.7000,1,88267,,,,,0
2023-07-20,43.30,43.70,42.30,43.30,,,,,,,0,45.4000,0,86128,,,,,0
2023-07-21,43.40,44.80,42.90,44.00,,,,,,,0,45.3380,0,374925,,,,,0
2023-07-24,58.40,62.30,48.70,58.50,,,,,,,0,42.3000,1,1502975,,,,,0
2023-07-25,53.60,54.80,50.30,51.20,,,,,,,0,42.7000,1,299032,,,,,0
2023-07-26,51.50,52.50,49.10,50.70,,,,,,,0,43.0920,1,158172,,,,,0
2023-07-27,51.10,51.50,45.10,45.20,,,,,,,0,43.4762,1,191686,,,,,0
2023-07-28,46.60,46.70,45.20,46.40,46.98,,,,,59.8100,0,43.8526,1,115132,,,,,0
2023-07-31,46.60,50.80,46.40,49.70,47.58,,,,,59.8100,0,44.2216,1,184766,,,,,0
2023-08-01,49.30,51.70,48.40,49.30,48.20,,,,,59.8100,0,44.5832,1,117734,,,,,0
2023-08-02,48.50,48.80,46.80,48.00,48.63,,,,,59.8100,0,44.9375,1,74558,,,,,0
2023-08-03,47.90,49.80,47.40,49.10,49.21,,,,,59.8100,0,45.2847,1,72257,,,,,0
2023-08-04,49.10,50.80,48.20,49.30,49.74,,,,,59.8100,0,45.6250,1,102916,,,,,0
2023-08-07,50.40,52.80,50.10,51.20,49.01,,,,,59.8100,0,45.9585,1,138404,,,,,0
2023-08-08,54.60,54.60,49.90,50.90,48.98,,,,,59.8100,0,46.2854,1,154853,,,,,0
2023-08-09,50.90,51.60,48.60,49.00,48.81,,,,,59.8100,0,46.6057,1,88644,,,,,0
2023-08-10,49.50,51.00,49.00,49.80,49.27,,,,,59.8100,0,46.9196,1,69339,,,,,0
2023-08-11,49.10,52.80,49.10,52.60,49.89,48.44,,,,59.8100,0,47.2272,1,313874,,,,,0
2023-08-14,33.30,36.40,31.80,33.90,48.31,47.95,,,,50.3012,0,62.3000,0,454806,,,,,0
2023-08-15,34.90,38.00,33.00,36.80,47.06,47.63,,,,50.3012,0,61.6900,0,259079,,,,,0
2023-08-16,36.80,38.40,34.70,37.50,46.01,47.32,,,,50.3012,0,61.0922,0,213722,,,,,0
2023-08-17,36.70,40.60,36.40,40.40,45.14,47.18,,,,50.3012,0,60.5064,0,288771,,,,,0
2023-08-18,40.60,41.90,38.60,40.90,44.30,47.02,,,,50.3012,0,59.9322,0,211283,,,,,0
2023-08-21,40.00,40.30,30.50,31.20,42.30,45.66,,,,50.3012,0,59.3696,0,354783,,,,,0
2023-08-22,31.00,31.10,24.60,25.50,39.76,44.37,,,,44.5824,0,58.2148,0,277246,,,,,0
2023-08-23,19.50,22.00,19.40,19.60,36.82,42.82,,,,37.5892,0,56.1979,0,391715,,,,,0
2023-08-24,16.31,16.60,13.33,14.37,33.28,41.27,,,,32.0463,0,53.2541,0,379483,,,,,0
2023-08-25,13.44,14.45,12.40,12.43,29.26,39.58,,,,29.4131,0,49.2617,0,299086,,,,,0
2023-08-28,11.99,12.35,11.05,11.07,26.98,37.64,,,,26.5033,0,44.8383,0,272974,,,,,0
2023-08-29,11.24,11.70,10.72,10.91,24.39,35.72,,,,24.8270,0,40.1079,0,297979,,,,,0
2023-08-30,11.10,13.64,10.73,12.73,21.91,33.96,,,,24.8270,0,35.4058,0,702318,,,,,0
2023-08-31,13.90,13.90,12.55,12.55,19.13,32.13,,,,24.8270,0,31.4561,0,488974,,-10.3083,-8.0721,-2.2363,0
2023-09-01,12.68,13.23,12.12,13.10,16.35,30.32,,,,24.0064,0,28.1383,0,300578,,-10.1727,-8.4922,-1.6805,0
2023-09-05,13.00,13.76,12.64,13.64,14.59,28.45,,,,23.7343,0,25.3514,0,274127,,-9.9074,-8.7752,-1.1322,0
2023-09-06,11.70,11.70,8.43,8.62,12.90,26.33,,,,21.1088,0,23.0104,0,732610,,-9.9871,-9.0176,-0.9695,0
2023-09-07,8.25,8.38,7.71,8.12,11.75,24.29,,,,18.2575,0,20.3859,0,388072,,-9.9757,-9.2092,-0.7664,0
2023-09-08,7.96,8.00,7.10,7.18,11.03,22.16,,,,17.0472,0,17.8507,0,232293,,-9.9280,-9.3530,-0.5750,0
2023-09-11,7.42,7.64,7.05,7.34,10.53,19.89,,,,16.0695,0,15.7006,0,193546,,-9.7647,-9.4353,-0.3294,0
2023-09-12,7.38,8.14,7.22,7.57,10.18,18.58,,,,15.8080,0,13.9705,0,286056,,-9.5072,-9.4497,-0.0575,0
2023-09-13,7.57,8.35,7.38,8.24,9.91,17.15,,,,15.4712,0,12.5864,0,309827,,-9.1436,-9.3885,0.2449,0
2023-09-14,8.91,9.10,8.05,8.14,9.45,15.68,,,,15.4712,0,11.4791,0,381403,,-8.7625,-9.2633,0.5008,0
