Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,115.76,116.16,113.58,115.92,,,,,,,0,113.5800,1,5704041,,,,,0
2023-07-14,116.17,122.12,115.25,115.94,,,,,,,0,113.5800,1,10658040,,,,,0
2023-07-17,115.95,118.84,112.73,118.32,,,,,,,0,122.1200,0,8115959,,,,,0
2023-07-18,117.55,118.43,115.19,117.93,,,,,,,0,122.1200,0,6837593,,,,,0
2023-07-19,121.30,121.67,115.55,116.43,,,,,,,0,121.9322,0,8192376,,,,,0
2023-07-20,114.96,115.05,109.24,110.25,,,,,,,0,121.7482,0,8416529,,,,,0
2023-07-21,110.97,112.30,109.54,110.95,,,,,,,0,121.6700,0,8522668,,,,,0
2023-07-24,110.62,111.31,108.55,110.61,,,,,,,0,121.1728,0,5042002,,,,,0
2023-07-25,111.14,114.05,111.00,113.00,,,,,,,0,120.4154,0,5075542,,,,,0
2023-07-26,111.91,112.36,109.30,110.09,113.94,,,,,124.2610,0,119.7035,0,5694042,,,,,0
2023-07-27,111.79,115.08,110.51,111.10,113.46,,,,,124.2610,0,119.0343,0,7852326,,,,,0
2023-07-28,113.38,114.86,112.44,112.96,113.16,,,,,124.2610,0,118.4052,0,6272217,,,,,0
2023-07-31,114.16,114.68,112.35,114.40,112.77,,,,,124.2610,0,117.8139,0,6199027,,,,,0
2023-08-01,114.26,118.19,113.16,117.60,112.74,,,,,124.2610,0,108.5500,1,11204846,,,,,0
2023-08-02,119.49,119.50,107.38,109.35,112.03,,,,,124.2610,0,118.1900,0,18958228,,,,,0
2023-08-03,108.95,114.96,108.95,113.15,112.32,,,,,124.2610,0,119.5000,0,10252001,,,,,0
2023-08-04,114.48,118.85,113.96,115.82,112.81,,,,,124.2610,0,119.5000,0,9632715,,,,,0
2023-08-07,116.36,119.08,115.49,116.81,113.43,,,,,124.2610,0,119.2576,0,7692499,,,,,0
2023-08-08,114.94,115.46,111.41,113.23,113.45,,,,,124.2610,0,119.0800,0,6130476,,,,,0
2023-08-09,112.89,113.15,108.78,110.47,113.49,113.72,,,,124.2610,0,119.0800,0,6214722,,,,,0
2023-08-10,111.30,113.89,109.47,110.23,113.40,113.43,,,,124.2610,0,118.8460,0,6315937,,,,,0
2023-08-11,108.85,109.07,106.48,107.57,112.86,113.01,,,,122.3461,0,118.6167,0,5988174,,,,,0
2023-08-14,106.75,111.99,105.42,111.98,112.62,112.70,,,,122.3461,0,118.1312,0,6430093,,,,,0
2023-08-15,111.99,113.18,110.17,111.35,112.00,112.37,,,,122.3461,0,117.3685,0,5992478,,,,,0
2023-08-16,110.09,110.44,106.98,107.19,111.78,111.91,,,,122.3461,0,116.6516,0,5823343,,,,,0
2023-08-17,107.62,107.85,104.10,104.44,110.91,111.62,,,,120.0083,0,115.9777,0,6168676,,,,,0
2023-08-18,102.40,106.07,101.68,105.45,109.87,111.34,,,,117.8220,0,115.0275,0,6318216,,,,,0
2023-08-21,106.20,108.54,105.67,108.22,109.01,111.22,,,,117.8220,0,113.6928,0,5337324,,,,,0
2023-08-22,109.40,109.72,104.85,105.66,108.26,110.85,,,,117.8220,0,112.4915,0,4997211,,,,,0
2023-08-23,105.65,110.08,105.00,109.43,108.15,110.82,,,,117.8220,0,111.4103,0,5981039,,,,,0
2023-08-24,111.06,111.64,100.87,101.80,107.31,110.36,,,,117.8220,0,101.6800,1,11114433,,,,,0
2023-08-25,101.17,104.12,99.58,102.25,106.78,109.82,,,,117.2632,0,111.6400,0,7647594,,,,,0
2023-08-28,103.47,104.07,100.89,102.61,105.84,109.23,,,,117.2632,0,111.6400,0,5683240,,,,,0
2023-08-29,102.11,106.57,101.79,105.92,105.30,108.65,,,,117.2632,0,111.3988,0,5386064,,-2.8754,-2.6472,-0.2282,0
2023-08-30,105.40,107.67,104.50,106.59,105.24,108.51,,,,117.2632,0,111.1624,0,5846174,,-2.6317,-2.6441,0.0124,0
2023-08-31,106.19,108.06,104.86,105.72,105.37,108.14,,,,117.2632,0,110.9308,0,6228917,,-2.4802,-2.6113,0.1311,0
2023-09-01,107.00,110.06,106.61,109.45,105.77,107.82,,,,117.2632,0,110.7038,0,6004000,,-2.0357,-2.4962,0.4604,0
2023-09-05,109.00,111.82,106.30,110.78,106.02,107.52,,,,117.2632,0,99.5800,1,7316155,,-1.5582,-2.3086,0.7504,0
