Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,161.77,163.78,161.72,162.21,,,,,,,0,163.7778,0,37252,,,,,0
2023-07-20,162.36,163.42,161.55,162.16,,,,,,,0,163.7778,0,34158,,,,,0
2023-07-21,163.51,163.51,161.21,162.02,,,,,,,0,163.7778,0,21434,,,,,0
2023-07-24,162.11,163.82,161.56,161.93,,,,,,,0,161.2096,1,38825,,,,,0
2023-07-25,162.01,162.62,160.79,161.46,,,,,,,0,163.8178,0,77004,,,,,0
2023-07-26,155.20,155.20,137.54,141.47,,,,,,,0,163.8178,0,149314,,,,,0
2023-07-27,142.20,144.56,139.17,139.64,,,,,,,0,162.7665,0,88945,,,,,0
2023-07-28,141.95,141.95,136.77,138.01,,,,,,,0,161.7573,0,74146,,,,,0
2023-07-31,138.20,140.10,138.06,138.55,,,,,,,0,160.2578,0,56260,,,,,0
2023-08-01,138.36,142.15,138.36,141.69,150.91,,,,,155.4655,0,158.8483,0,39900,,,,,0
2023-08-02,140.11,140.59,136.34,138.21,148.51,,,,,153.7625,0,157.5234,0,39014,,,,,0
2023-08-03,137.10,137.61,136.13,136.34,145.93,,,,,151.2574,0,155.8285,0,38883,,,,,0
2023-08-04,136.49,141.33,136.03,139.62,143.69,,,,,151.2574,0,153.8583,0,35151,,,,,0
2023-08-07,139.56,141.44,139.56,141.04,141.60,,,,,151.2574,0,151.7185,0,29016,,,,,0
2023-08-08,139.14,139.55,136.38,136.79,139.14,,,,,151.2574,0,149.8355,0,28907,,,,,0
2023-08-09,136.14,136.90,135.01,135.28,138.52,,,,,148.8378,0,148.1785,0,28669,,,,,0
2023-08-10,135.98,136.67,133.54,133.98,137.95,,,,,147.6382,0,146.3345,0,51935,,,,,0
2023-08-11,133.13,134.30,132.66,133.97,137.55,,,,,145.2523,0,144.2871,0,27252,,,,,0
2023-08-14,133.09,133.27,132.04,132.96,136.99,,,,,143.8291,0,142.1940,0,41868,,,,,0
2023-08-15,131.61,133.88,131.55,132.96,136.11,143.51,,,,143.4701,0,140.1631,0,45087,,,,,0
2023-08-16,131.92,133.98,131.15,131.18,135.41,141.96,,,,143.0930,0,138.4404,0,27880,,,,,0
2023-08-17,131.51,133.15,130.55,131.54,134.93,140.43,,,,142.1051,0,136.9823,0,25903,,,,,0
2023-08-18,130.34,132.37,130.34,131.78,134.15,138.92,,,,141.1934,0,135.6958,0,44120,,,,,0
2023-08-21,131.94,132.72,131.36,132.22,133.26,137.43,,,,141.1934,0,134.6247,0,23999,,,,,0
2023-08-22,132.91,133.21,129.62,130.12,132.60,135.87,,,,140.8273,0,133.7678,0,24530,,,,,0
2023-08-23,130.04,131.95,129.43,131.87,132.26,135.39,,,,139.9170,0,133.2085,0,19027,,,,,0
2023-08-24,131.53,132.93,130.47,131.07,131.97,134.96,,,,139.9170,0,133.2085,0,21836,,,,,0
2023-08-25,131.91,132.43,130.44,131.39,131.71,134.63,,,,139.9170,0,132.9287,0,48473,,,,,0
2023-08-28,132.13,132.99,130.90,131.42,131.55,134.27,,,,139.9170,0,129.4308,1,21474,,,,,0
2023-08-29,131.48,133.79,130.54,133.33,131.59,133.85,,,,139.9170,0,129.5020,1,35941,,,,,0
2023-08-30,132.90,134.65,132.24,133.75,131.85,133.63,,,,139.9170,0,129.6734,1,23982,,,,,0
2023-08-31,134.19,134.71,133.28,133.93,132.09,133.51,,,,139.9170,0,129.9719,1,24041,,,,,0
2023-09-01,135.28,136.04,134.79,135.74,132.48,133.31,,,,139.9170,0,130.3507,1,25928,,,,,0
2023-09-05,134.66,135.75,132.68,134.84,132.74,133.00,,,,139.9170,0,130.9193,1,31598,,-3.5630,-5.2629,1.6999,0
2023-09-06,134.59,135.20,131.99,132.12,132.94,132.77,,,,139.9170,0,131.4311,1,21007,,-3.4347,-4.8972,1.4625,0
2023-09-07,130.91,131.52,129.23,129.50,132.71,132.48,,,,138.5999,0,136.0368,0,38446,,-3.5040,-4.6186,1.1146,0
2023-09-08,129.54,132.20,129.00,132.12,132.81,132.39,,,,138.5999,0,135.9007,0,28119,,-3.3094,-4.3567,1.0474,0
2023-09-11,132.86,133.96,131.82,132.01,132.87,132.29,,,,138.5999,0,135.6247,0,22469,,-3.1280,-4.1110,0.9830,0
2023-09-12,131.84,134.21,131.60,133.33,133.07,132.31,,,,138.5999,0,135.3598,0,21332,,-2.8450,-3.8578,1.0128,0
2023-09-13,134.30,134.30,131.46,133.79,133.11,132.35,,,,138.5999,0,135.1054,0,31165,,-2.5542,-3.5971,1.0429,0
2023-09-14,134.75,135.14,133.11,133.89,133.13,132.49,,,,138.5999,0,129.0011,1,30344,,-2.2893,-3.3355,1.0462,0
2023-09-15,133.36,135.44,133.08,134.51,133.18,132.64,,,,138.5999,0,129.1238,1,94428,,-2.0062,-3.0697,1.0634,0
2023-09-18,135.46,135.46,132.73,134.83,133.09,132.79,,,,138.5999,0,129.3764,1,26739,,-1.7361,-2.8029,1.0669,0
2023-09-19,134.89,135.80,134.80,134.95,133.10,132.92,,,,138.5999,0,129.7412,1,22307,,-1.4950,-2.5414,1.0463,0
2023-09-20,135.38,136.92,134.56,134.69,133.36,133.15,,,,138.5999,0,130.2257,1,32291,,-1.3099,-2.2951,0.9852,0
2023-09-21,134.03,134.41,132.18,133.14,133.72,133.22,,,,138.5999,0,130.8947,1,25325,,-1.2735,-2.0908,0.8173,0
2023-09-22,133.34,134.42,132.18,132.32,133.74,133.28,,,,138.5999,0,131.4969,1,20853,,-1.2958,-1.9318,0.6359,0
2023-09-25,131.18,132.86,131.18,132.78,133.82,133.35,,,,138.5999,0,136.9162,0,21072,,-1.2619,-1.7978,0.5359,0
2023-09-26,131.77,132.70,131.45,131.65,133.65,133.36,,,,138.5999,0,136.8015,0,39914,,-1.3110,-1.7004,0.3894,0
2023-09-27,132.19,132.67,131.04,131.95,133.47,133.29,137.04,,,138.4513,0,136.6891,0,29139,37734,-1.3106,-1.6225,0.3118,0
2023-09-28,132.02,134.38,131.25,132.12,133.29,133.21,136.44,,,138.4513,0,136.4631,0,70952,38408,-1.2818,-1.5544,0.2725,0
2023-09-29,133.07,134.13,130.19,130.26,132.87,133.03,135.80,,,138.4513,0,136.2462,0,41631,38557,-1.3930,-1.5221,0.1291,0
2023-10-02,130.25,131.73,129.59,131.01,132.49,132.79,135.18,,,137.9342,0,135.8828,0,31920,38767,-1.4044,-1.4985,0.0942,0
2023-10-03,129.72,130.20,126.51,126.98,131.69,132.40,134.48,,,136.2524,0,135.3794,0,43429,38859,-1.7186,-1.5425,-0.1760,0
2023-10-04,127.24,127.62,125.87,127.36,130.96,132.16,133.80,,,134.3784,0,134.4928,0,32535,37970,-1.9149,-1.6170,-0.2979,0
2023-10-05,126.96,129.25,126.96,129.10,130.55,132.14,133.55,,,134.3784,0,133.4584,0,23110,35446,-1.9081,-1.6752,-0.2329,0
2023-10-06,128.53,131.87,128.53,130.54,130.38,132.06,133.37,,,134.3784,0,132.5481,0,53646,34740,-1.7663,-1.6934,-0.0729,0
2023-10-09,129.90,130.81,128.89,129.81,130.08,131.95,133.21,,,134.3784,0,131.8693,0,20717,33671,-1.6932,-1.6934,0.0002,0
2023-10-10,130.28,131.52,130.17,130.50,129.96,131.81,133.04,,,134.3784,0,131.8693,0,25816,33062,-1.5617,-1.6671,0.1054,0
2023-10-11,130.83,131.93,130.52,130.94,129.86,131.67,132.83,,,134.3784,0,125.8730,1,33908,32943,-1.4058,-1.6148,0.2090,0
2023-10-12,131.65,131.65,126.40,127.51,129.40,131.35,132.62,,,134.3784,0,125.9941,1,31617,32795,-1.5410,-1.6001,0.0590,0
2023-10-13,127.76,128.93,124.61,125.24,128.90,130.88,132.39,,,134.3784,0,131.9293,0,24137,32500,-1.8104,-1.6421,-0.1683,0
2023-10-16,126.64,129.03,126.64,127.60,128.56,130.52,132.15,,,134.3784,0,131.7830,0,30618,32409,-1.8127,-1.6762,-0.1365,0
2023-10-17,127.12,131.29,127.12,130.38,128.90,130.29,131.94,,,134.3784,0,131.6396,0,36150,32552,-1.5722,-1.6554,0.0832,0
2023-10-18,129.05,129.05,126.52,126.84,128.85,129.90,131.74,,,134.3784,0,131.4991,0,17299,32320,-1.6481,-1.6540,0.0059,0
2023-10-19,126.85,127.57,124.80,125.11,128.45,129.50,131.54,,,134.3784,0,131.3614,0,28180,32310,-1.8266,-1.6885,-0.1382,0
2023-10-20,125.76,126.27,123.67,123.77,127.77,129.07,131.33,,,134.0648,0,131.2264,0,26739,31806,-2.0526,-1.7613,-0.2913,0
2023-10-23,122.84,124.51,122.22,122.75,127.07,128.57,131.11,,,132.2362,0,130.9244,0,21446,31690,-2.2875,-1.8665,-0.4210,0
2023-10-24,123.46,124.66,122.88,123.18,126.33,128.15,130.91,,,132.2362,0,130.4018,0,19943,31251,-2.4112,-1.9755,-0.4357,0
2023-10-25,122.34,122.36,120.15,121.47,125.39,127.62,130.68,,,129.8637,0,129.9106,0,17417,30698,-2.6178,-2.1039,-0.5139,0
2023-10-26,121.83,124.04,121.83,123.00,124.94,127.17,130.52,,,129.8637,0,129.1295,0,20481,30550,-2.6270,-2.2086,-0.4185,0
2023-10-27,123.89,123.89,121.50,122.52,124.66,126.78,130.34,,,129.8637,0,128.4108,0,22140,30475,-2.6434,-2.2955,-0.3479,0
2023-10-30,123.55,123.55,122.29,122.84,124.19,126.37,130.16,,,129.8637,0,127.7497,0,22912,30050,-2.5998,-2.3564,-0.2434,0
2023-10-31,123.19,123.75,122.07,122.68,123.42,126.16,129.97,,,129.8637,0,127.1414,0,19372,29958,-2.5488,-2.3949,-0.1539,0
2023-11-01,123.47,123.52,121.49,123.18,123.05,125.95,129.83,,,129.8637,0,126.5819,0,32146,30110,-2.4399,-2.4039,-0.0360,0
2023-11-02,124.45,124.92,123.57,124.82,123.02,125.74,129.69,,,129.8637,0,126.0670,0,69057,31111,-2.1960,-2.3623,0.1663,0
2023-11-03,126.98,129.08,126.36,127.90,123.44,125.60,129.63,,,129.8637,0,120.1465,1,39943,31473,-1.7344,-2.2367,0.5023,0
2023-11-06,137.56,137.87,130.03,130.43,124.20,125.64,129.61,,,123.9237,1,120.3252,1,56615,31636,-1.1512,-2.0196,0.8684,0
2023-11-07,130.31,131.89,129.70,130.07,124.89,125.61,129.58,,,123.9237,1,121.0268,1,37665,31960,-0.7099,-1.7577,1.0478,0
2023-11-08,129.94,131.81,129.94,130.29,125.78,125.58,129.52,,,123.9237,1,121.7004,1,35956,31960,-0.3385,-1.4738,1.1353,0
2023-11-09,130.99,132.17,129.49,129.62,126.44,125.69,129.44,,,123.9237,1,122.3470,1,33657,32153,-0.0971,-1.1985,1.1014,0
2023-11-10,129.69,132.43,129.69,132.35,127.42,126.04,129.41,,,123.9237,1,122.9677,1,40378,32480,0.3108,-0.8966,1.2074,0
2023-11-13,131.36,131.67,129.91,130.48,128.18,126.19,129.30,,,123.9237,1,123.5636,1,22652,32415,0.4777,-0.6218,1.0995,0
