Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,211.24,212.66,210.34,210.40,,,,,,,0,210.3425,1,475053,,,,,0
2023-07-20,211.99,216.23,211.18,211.47,,,,,,,0,210.3425,1,872583,,,,,0
2023-07-21,211.96,214.32,211.06,212.91,,,,,,,0,210.3425,1,2202870,,,,,0
2023-07-24,213.07,214.10,212.09,213.45,,,,,,,0,210.4602,1,416999,,,,,0
2023-07-25,212.49,214.50,212.42,213.35,,,,,,,0,210.5755,1,311927,,,,,0
2023-07-26,212.12,213.74,210.75,213.26,,,,,,,0,210.6885,1,370879,,,,,0
2023-07-27,212.60,216.23,212.45,214.02,,,,,,,0,210.7505,1,575868,,,,,0
2023-07-28,214.72,215.95,213.15,214.31,,,,,,,0,210.7505,1,446621,,,,,0
2023-07-31,214.41,214.41,211.28,212.30,,,,,,,0,210.8601,1,661848,,,,,0
2023-08-01,213.01,213.42,209.07,210.46,212.59,,,,,221.0097,0,216.2269,0,427890,,,,,0
2023-08-02,211.00,211.29,207.36,208.91,212.45,,,,,219.2889,0,216.0838,0,597568,,,,,0
2023-08-03,209.25,209.54,206.92,209.17,212.22,,,,,217.9812,0,215.7349,0,535732,,,,,0
2023-08-04,215.71,223.43,214.89,220.58,212.98,,,,,206.0994,1,206.9153,1,1260482,,,,,0
2023-08-07,221.46,230.14,220.74,229.34,214.57,,,,,210.8214,1,206.9153,1,1031135,,,,,0
2023-08-08,233.49,239.18,232.57,236.46,216.88,,,,,219.7633,1,207.8441,1,1387873,,,,,0
2023-08-09,235.67,239.16,234.94,235.12,219.07,,,,,221.2878,1,209.7239,1,629655,,,,,0
2023-08-10,237.14,240.07,236.16,237.61,221.43,,,,,222.4442,1,211.4910,1,502946,,,,,0
2023-08-11,237.28,239.47,236.49,238.01,223.80,,,,,222.9830,1,213.7776,1,409673,,,,,0
2023-08-14,237.75,238.89,235.60,236.62,226.23,,,,,222.9830,1,215.8812,1,513093,,,,,0
2023-08-15,236.94,241.75,235.70,241.19,229.30,220.95,,,,223.8797,1,217.8165,1,739827,,,,,0
2023-08-16,241.48,243.21,239.89,240.29,232.44,222.44,,,,227.1931,1,220.2099,1,594705,,,,,0
2023-08-17,241.19,243.66,240.64,241.17,235.64,223.93,,,,228.2168,1,222.9699,1,595272,,,,,0
2023-08-18,240.03,240.38,238.63,239.31,237.51,225.25,,,,228.2168,1,225.8669,1,736892,,,,,0
2023-08-21,239.09,239.91,236.74,238.29,238.41,226.49,,,,228.2168,1,228.3584,1,605893,,,,,0
2023-08-22,237.87,238.01,235.23,235.47,238.31,227.60,,,,228.2168,1,230.5011,1,443184,,,,,0
2023-08-23,237.19,237.51,233.97,235.24,238.32,228.69,,,,228.2168,1,232.3438,1,580810,,,,,0
2023-08-24,234.66,237.82,234.15,234.56,238.01,229.72,,,,228.2168,1,233.9285,1,484730,,,,,0
2023-08-25,235.01,235.58,232.91,234.34,237.65,230.72,,,,228.2168,1,243.6632,0,458049,,,,,0
2023-08-28,234.87,235.93,233.21,234.50,237.44,231.83,,,,228.2168,1,243.4480,0,426206,,,,,0
2023-08-29,235.24,237.51,234.74,237.32,237.05,233.17,,,,228.2168,1,243.2372,0,575518,,,,,0
2023-08-30,237.65,238.44,234.86,235.71,236.59,234.51,,,,228.2168,1,243.0305,0,436926,,,,,0
2023-08-31,236.02,236.73,234.26,234.30,235.90,235.77,,,,228.2168,1,242.8280,0,529342,,,,,0
2023-09-01,236.44,236.76,234.08,234.64,235.44,236.47,,,,228.2168,1,242.6296,0,346610,,,,,0
2023-09-05,234.64,235.26,232.09,232.17,234.83,236.62,,,,228.2168,1,242.4351,0,447972,,5.1586,7.4030,-2.2445,0
2023-09-06,232.57,232.57,227.03,227.60,234.04,236.17,,,,240.8267,0,242.0213,0,495256,,4.2228,6.7670,-2.5442,0
2023-09-07,229.00,232.80,228.87,232.52,233.77,236.04,,,,240.8267,0,241.1217,0,566857,,3.8338,6.1804,-2.3465,0
2023-09-08,233.76,237.96,233.05,237.13,234.02,236.02,,,,240.8267,0,240.2761,0,635344,,3.8529,5.7149,-1.8620,0
2023-09-11,236.01,240.22,235.28,239.22,234.51,236.08,,,,240.8267,0,227.0278,1,558798,,3.9908,5.3701,-1.3792,0
2023-09-12,240.10,240.41,235.69,237.93,234.86,236.15,,,,240.8267,0,227.2916,1,409728,,3.9507,5.0862,-1.1355,0
2023-09-13,237.05,237.85,234.93,235.12,234.64,235.84,,,,240.8267,0,227.8163,1,561482,,3.6496,4.7989,-1.1493,0
2023-09-14,236.64,240.52,236.31,239.75,235.04,235.81,,,,240.8267,0,228.3200,1,805890,,3.7418,4.5874,-0.8457,0
2023-09-15,241.09,241.24,237.48,238.31,235.44,235.67,,,,240.8267,0,229.0519,1,1606322,,3.6562,4.4012,-0.7450,0
2023-09-18,240.74,242.42,239.41,240.53,236.03,235.73,,,,240.8267,0,230.0271,1,465802,,3.7246,4.2659,-0.5413,0
2023-09-19,240.52,242.92,239.88,241.59,236.97,235.90,,,,229.3437,1,231.2664,1,403919,,3.8203,4.1768,-0.3564,0
2023-09-20,242.22,249.60,241.28,248.12,239.02,236.53,,,,232.0914,1,232.6652,1,970551,,4.3732,4.2160,0.1571,0
2023-09-21,248.68,249.06,244.69,246.25,240.39,237.08,,,,233.5461,1,235.0366,1,656579,,4.6070,4.2942,0.3128,0
2023-09-22,244.66,246.33,243.61,244.69,241.15,237.59,,,,233.5461,1,237.0761,1,507051,,4.6130,4.3580,0.2550,0
2023-09-25,244.54,244.79,242.23,243.92,241.62,238.07,,,,233.5461,1,238.8301,1,455076,,4.5039,4.3872,0.1167,0
2023-09-26,243.75,246.69,242.83,245.91,242.42,238.64,,,,233.5461,1,240.3385,1,636979,,4.5260,4.4149,0.1111,0
2023-09-27,248.37,250.09,243.83,245.86,243.49,239.06,231.41,,,234.0782,1,241.6357,1,627234,639910,4.4874,4.4294,0.0580,0
2023-09-28,244.77,248.05,243.63,247.54,244.27,239.66,232.16,,,234.0782,1,242.8314,1,658282,643575,4.5402,4.4516,0.0886,0
2023-09-29,247.70,247.70,244.25,245.66,245.01,240.22,232.84,,,234.0782,1,243.6266,1,569261,637508,4.3796,4.4372,-0.0576,0
2023-10-02,244.70,245.41,241.65,243.42,245.29,240.66,233.45,,,234.0782,1,250.0889,0,509265,603636,4.0252,4.3548,-0.3296,0
2023-10-03,241.34,243.15,237.35,238.57,244.99,240.98,233.95,,,234.0782,1,249.9202,0,730280,609902,3.3153,4.1469,-0.8316,0
2023-10-04,239.57,243.26,238.48,242.62,244.44,241.73,234.54,,,234.0782,1,249.4172,0,670608,617075,3.0442,3.9263,-0.8821,0
2023-10-05,243.31,244.89,239.97,242.29,244.05,242.22,235.12,,,234.0782,1,248.9344,0,764411,624946,2.7710,3.6953,-0.9243,0
2023-10-06,240.53,245.50,239.69,244.48,244.03,242.59,235.73,,,234.0782,1,248.4710,0,759080,628610,2.6996,3.4961,-0.7966,0
2023-10-09,247.74,249.17,245.49,248.20,244.45,243.04,236.41,,,234.0782,1,237.3473,1,620279,632083,2.9096,3.3788,-0.4692,0
2023-10-10,247.60,248.70,245.07,247.93,244.66,243.54,237.12,,,234.0782,1,237.5836,1,490610,628659,3.0199,3.3070,-0.2872,0
2023-10-11,251.23,259.89,250.58,259.22,245.99,244.74,238.09,,,239.4494,1,237.8153,1,1282751,645756,3.9723,3.4401,0.5322,0
2023-10-12,259.57,263.10,259.22,260.54,247.29,245.78,239.13,,,245.7901,1,238.6982,1,870113,651207,4.7783,3.7077,1.0706,0
2023-10-13,262.97,263.66,255.93,259.68,248.69,246.85,240.14,,,245.7901,1,240.1626,1,986736,660227,5.2868,4.0235,1.2632,0
2023-10-16,260.04,263.07,259.41,262.22,250.57,247.93,240.97,,,245.7901,1,242.0425,1,705553,649128,5.8276,4.3844,1.4432,0
2023-10-17,260.67,262.64,258.21,259.97,252.71,248.85,241.58,,,245.7901,1,243.7721,1,814351,644792,6.0055,4.7086,1.2969,0
2023-10-18,258.95,260.73,256.83,259.20,254.37,249.41,242.04,,,245.7901,1,245.3633,1,790933,632854,6.0152,4.9699,1.0453,0
2023-10-19,257.84,258.86,254.19,256.48,255.79,249.92,242.46,,,245.7901,1,246.8273,1,711714,634495,5.7370,5.1233,0.6137,0
2023-10-20,256.48,256.90,252.04,254.84,256.83,250.43,242.81,,,245.7901,1,248.1741,1,684479,638125,5.3232,5.1633,0.1599,0
2023-10-23,256.04,256.04,249.26,249.59,256.97,250.71,243.04,,,245.7901,1,263.6623,0,664492,643222,4.5190,5.0344,-0.5155,0
2023-10-24,248.70,253.24,247.82,252.38,257.41,251.03,243.36,,,245.7901,1,263.3742,0,622098,645402,4.0605,4.8397,-0.7791,0
2023-10-25,251.44,252.90,248.70,248.76,256.37,251.18,243.51,,,245.7901,1,262.7521,0,626594,643137,3.3664,4.5450,-1.1786,0
2023-10-26,248.16,249.93,246.00,246.52,254.96,251.13,243.63,,,245.7901,1,262.1549,0,612215,643488,2.6055,4.1571,-1.5516,0
2023-10-27,245.83,246.20,237.80,239.08,252.91,250.80,243.59,,,258.0678,0,261.1858,0,751988,646622,1.3861,3.6029,-2.2168,0
2023-10-30,242.22,243.45,239.93,240.56,250.74,250.66,243.61,,,257.4655,0,259.3146,0,782885,647542,0.5331,2.9889,-2.4558,0
2023-10-31,233.89,235.29,228.23,233.72,248.11,250.41,243.52,,,249.6564,0,257.5930,0,1249120,660406,-0.6874,2.2537,-2.9411,0
2023-11-01,234.24,238.74,233.16,238.42,246.04,250.20,243.58,,,249.6564,0,254.6571,0,654604,664635,-1.2610,1.5507,-2.8118,0
2023-11-02,240.67,245.05,239.90,243.67,244.76,250.27,243.75,,,249.6564,0,252.0149,0,658584,666190,-1.2768,0.9852,-2.2620,0
2023-11-03,245.44,247.29,242.68,246.66,243.94,250.38,243.99,,,249.6564,0,249.6368,0,677295,670041,-1.0362,0.5809,-1.6172,0
2023-11-06,247.49,251.31,247.47,249.38,243.92,250.44,244.29,,,249.6564,0,228.2343,1,755221,675985,-0.6193,0.3409,-0.9602,0
2023-11-07,249.50,250.45,246.22,247.80,243.46,250.43,244.56,,,249.6564,0,228.6959,1,684959,681160,-0.4111,0.1905,-0.6016,0
2023-11-08,249.00,251.15,247.47,249.77,243.56,249.96,244.81,,,233.1260,1,229.1483,1,523785,680125,-0.0865,0.1351,-0.2216,0
2023-11-09,248.74,249.74,241.03,241.36,243.04,249.00,244.92,,,233.1260,1,229.5916,1,598360,683354,-0.5020,0.0077,-0.5097,0
2023-11-10,243.72,244.91,239.94,244.33,243.57,248.24,245.12,,,233.1260,1,230.0260,1,553492,683837,-0.5848,-0.1108,-0.4740,0
2023-11-13,242.84,244.25,240.87,243.76,243.89,247.31,245.30,,,233.1260,1,230.4518,1,421317,685331,-0.6883,-0.2263,-0.4620,0
2023-11-14,246.08,249.49,245.29,246.81,245.20,246.66,245.60,,,233.1260,1,230.8690,1,556241,687496,-0.5187,-0.2848,-0.2339,0
2023-11-15,247.05,251.00,246.81,249.56,246.31,246.17,246.04,,,233.1260,1,231.2779,1,763146,692854,-0.1604,-0.2599,0.0995,0
2023-11-16,251.13,252.82,246.77,247.81,246.72,245.74,246.34,,,233.5704,1,231.6786,1,636508,694247,-0.0175,-0.2114,0.1939,0
2023-11-17,248.19,248.19,243.76,244.48,246.51,245.22,246.49,,,233.5704,1,232.5243,1,701399,695568,-0.1707,-0.2033,0.0326,0
2023-11-20,241.90,245.69,240.85,244.45,246.01,244.96,246.59,,,233.5704,1,233.3361,1,587458,696142,-0.2916,-0.2209,-0.0707,0
2023-11-21,244.44,245.08,240.00,242.12,245.44,244.45,246.68,,,233.5704,1,234.1154,1,692951,701806,-0.5690,-0.2906,-0.2785,0
2023-11-22,243.93,245.48,241.60,243.75,244.84,244.20,246.85,,,233.5704,1,234.8636,1,436335,699303,-0.6498,-0.3624,-0.2874,0
2023-11-24,244.23,245.14,244.02,244.55,245.16,244.10,246.95,,,233.5704,1,235.5819,1,247090,688127,-0.6417,-0.4183,-0.2235,0
2023-11-27,244.52,244.65,241.05,243.45,245.07,244.32,247.05,,,233.5704,1,236.2714,1,487948,665760,-0.7155,-0.4777,-0.2378,0
2023-11-28,243.53,245.60,242.88,244.60,245.16,244.52,247.13,,,233.5704,1,236.9333,1,465563,665755,-0.6734,-0.5168,-0.1565,0
2023-11-29,243.88,246.99,242.74,245.60,245.04,245.12,247.21,,,233.5704,1,237.5688,1,534586,668368,-0.5533,-0.5241,-0.0291,0
2023-11-30,246.62,249.25,246.28,248.40,244.92,245.61,247.22,,,234.7502,1,238.1788,1,724361,663444,-0.2295,-0.4652,0.2357,0
2023-12-01,248.69,251.12,246.54,250.99,245.24,245.98,247.31,,,235.7419,1,238.7645,1,627698,662867,0.2333,-0.3255,0.5588,0
2023-12-04,249.54,251.89,248.82,251.07,245.90,246.20,247.44,,,237.6592,1,239.3267,1,642486,665575,0.5999,-0.1404,0.7403,0
2023-12-05,250.45,250.57,247.32,249.53,246.40,246.21,247.55,,,237.6592,1,239.8664,1,502085,666516,0.7575,0.0392,0.7183,0
2023-12-06,250.03,250.54,247.93,248.13,247.01,246.23,247.60,,,237.6592,1,240.3845,1,475645,663289,0.7606,0.1835,0.5772,0
2023-12-07,249.19,251.87,245.63,249.94,247.63,246.23,247.68,,,237.6592,1,240.8820,1,564677,662038,0.8985,0.3265,0.5720,0
2023-12-08,249.81,250.54,247.64,247.92,247.96,246.56,247.68,,,237.6592,1,241.3595,1,701919,662911,0.8353,0.4282,0.4071,0
2023-12-11,250.54,254.16,249.12,250.70,248.69,246.88,247.79,,,238.6605,1,241.8179,1,772497,666975,0.9982,0.5422,0.4560,0
2023-12-12,255.30,255.41,251.73,252.41,249.47,247.31,247.97,,,240.4763,1,242.5587,1,700565,670801,1.2504,0.6839,0.5666,0
2023-12-13,252.56,259.65,251.78,259.43,250.85,247.94,248.38,,,241.5673,1,243.5867,1,670256,669601,1.9945,0.9460,1.0485,0
2023-12-14,259.16,260.46,252.49,254.55,251.47,248.19,248.62,,,241.5673,1,245.1926,1,811054,672410,2.1652,1.1898,0.9754,0
2023-12-15,254.51,257.27,251.80,253.75,251.74,248.49,248.85,,,241.5673,1,247.0243,1,2404954,705221,2.2104,1.3940,0.8165,0
2023-12-18,255.18,255.27,252.74,253.78,252.01,248.95,249.04,,,241.5673,1,248.6362,1,613659,702312,2.2228,1.5597,0.6631,0
2023-12-19,256.74,258.47,254.80,256.50,252.71,249.56,249.20,,,242.1899,1,250.0547,1,691673,703740,2.4247,1.7327,0.6920,0
2023-12-20,255.94,256.84,253.34,253.50,253.25,250.13,249.31,,,242.1899,1,251.3029,1,704791,708024,2.3157,1.8493,0.4664,0
2023-12-21,254.76,257.78,254.63,257.32,253.99,250.81,249.28,,,242.2763,1,252.4014,1,516760,692704,2.5089,1.9812,0.5276,0
2023-12-22,257.94,263.17,257.94,261.77,255.37,251.67,249.30,,,246.2711,1,253.3450,1,515523,685612,2.9866,2.1823,0.8043,0
2023-12-26,261.74,262.29,259.48,261.53,256.46,252.57,249.34,,,247.1840,1,254.6254,1,377701,673431,3.3077,2.4074,0.9003,0
2023-12-27,262.09,264.66,261.03,263.96,257.61,253.54,249.37,,,249.4228,1,255.8223,1,534894,670018,3.7149,2.6689,1.0460,0
