Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,23.05,23.52,22.98,23.00,,,,,,,0,23.5200,0,18027,,,,,0
2023-07-14,22.98,22.99,22.24,22.66,,,,,,,0,23.5200,0,18914,,,,,0
2023-07-17,22.63,23.17,22.47,22.78,,,,,,,0,23.5200,0,15251,,,,,0
2023-07-18,22.80,23.00,22.06,22.33,,,,,,,0,23.4944,0,18882,,,,,0
2023-07-19,22.53,23.12,21.69,22.14,,,,,,,0,23.4370,0,38043,,,,,0
2023-07-20,22.18,23.01,22.05,22.41,,,,,,,0,23.3322,0,28535,,,,,0
2023-07-21,22.51,22.79,22.10,22.55,,,,,,,0,23.2337,0,13174,,,,,0
2023-07-24,24.16,25.48,22.85,22.92,,,,,,,0,21.6900,1,59571,,,,,0
2023-07-25,23.00,23.95,22.30,22.50,,,,,,,0,21.7658,1,27977,,,,,0
2023-07-26,22.66,23.10,22.21,22.83,22.61,,,,,26.1014,0,21.8401,1,19184,,,,,0
2023-07-27,22.88,23.15,22.03,22.26,22.54,,,,,26.0288,0,21.9129,1,20660,,,,,0
2023-07-28,22.81,23.52,21.67,22.54,22.53,,,,,26.0288,0,25.4800,0,52759,,,,,0
2023-07-31,22.99,23.61,22.86,23.45,22.59,,,,,26.0288,0,25.4038,0,32900,,,,,0
2023-08-01,23.63,23.72,22.94,23.38,22.70,,,,,26.0288,0,25.3290,0,28138,,,,,0
2023-08-02,22.91,23.61,22.71,22.80,22.76,,,,,26.0288,0,25.2558,0,18584,,,,,0
2023-08-03,22.53,22.80,22.18,22.55,22.78,,,,,25.7362,0,25.1841,0,15021,,,,,0
2023-08-04,22.53,22.80,22.00,22.50,22.77,,,,,25.5615,0,25.1137,0,22084,,,,,0
2023-08-07,22.50,22.51,21.67,22.00,22.68,,,,,25.1874,0,25.0448,0,18119,,,,,0
2023-08-08,22.00,22.22,21.57,21.71,22.60,,,,,24.8776,0,24.9773,0,15186,,,,,0
2023-08-09,21.85,22.16,21.32,21.49,22.47,22.54,,,,24.6764,0,24.8410,0,21370,,,,,0
2023-08-10,21.39,21.81,21.08,21.17,22.36,22.45,,,,24.3051,0,24.6297,0,24248,,,,,0
2023-08-11,21.01,21.88,20.29,21.60,22.26,22.40,,,,24.1370,0,24.3458,0,42850,,,,,0
2023-08-14,21.56,21.56,20.86,20.98,22.02,22.31,,,,24.1370,0,23.9402,0,33132,,,,,0
2023-08-15,20.84,21.31,20.42,21.00,21.78,22.24,,,,23.8026,0,23.5752,0,23276,,,,,0
2023-08-16,20.81,20.97,19.62,20.01,21.50,22.13,,,,23.3528,0,23.2467,0,82049,,,,,0
2023-08-17,20.08,20.35,20.01,20.21,21.27,22.02,,,,23.0341,0,22.8115,0,19232,,,,,0
2023-08-18,19.96,20.35,19.89,20.22,21.04,21.91,,,,22.8266,0,22.4285,0,30170,,,,,0
2023-08-21,20.31,21.36,20.29,21.30,20.97,21.83,,,,22.8266,0,22.0915,0,34902,,,,,0
2023-08-22,21.47,21.79,21.05,21.59,20.96,21.78,,,,22.8266,0,21.7949,0,17270,,,,,0
2023-08-23,21.65,21.72,21.19,21.41,20.95,21.71,,,,22.8266,0,21.7900,0,23093,,,,,0
2023-08-24,21.42,22.00,21.00,21.73,21.01,21.68,,,,22.8266,0,19.6200,1,25841,,,,,0
2023-08-25,21.74,22.08,21.44,21.85,21.03,21.65,,,,22.8266,0,19.6675,1,21546,,,,,0
2023-08-28,22.01,22.36,21.73,21.89,21.12,21.57,,,,22.8266,0,19.7640,1,15052,,,,,0
2023-08-29,21.88,22.11,21.49,21.70,21.19,21.49,,,,22.8266,0,19.9196,1,17701,,-0.3471,-0.6240,0.2769,0
2023-08-30,21.61,21.82,21.52,21.77,21.37,21.43,,,,22.8266,0,20.0659,1,14521,,-0.3010,-0.5594,0.2584,0
2023-08-31,21.73,21.93,21.49,21.56,21.50,21.38,,,,22.8266,0,20.2035,1,13624,,-0.2781,-0.5031,0.2250,0
2023-09-01,21.77,22.03,21.64,21.82,21.66,21.35,,,,22.8266,0,20.3327,1,13424,,-0.2363,-0.4498,0.2135,0
2023-09-05,21.75,22.02,20.46,20.64,21.60,21.28,,,,22.8266,0,20.4543,1,28337,,-0.2950,-0.4188,0.1238,0
2023-09-06,20.75,21.22,20.29,21.19,21.56,21.26,,,,22.8266,0,22.3580,0,17658,,-0.2937,-0.3938,0.1001,0
2023-09-07,21.06,21.28,20.71,20.88,21.50,21.23,,,,22.8266,0,22.3166,0,13052,,-0.3141,-0.3779,0.0637,0
2023-09-08,20.89,20.89,20.43,20.52,21.38,21.19,,,,22.8266,0,22.2761,0,10350,,-0.3553,-0.3734,0.0181,0
2023-09-11,20.63,20.63,20.14,20.28,21.23,21.13,,,,22.5531,0,22.2364,0,10531,,-0.4026,-0.3792,-0.0234,0
2023-09-12,20.16,20.71,20.16,20.67,21.10,21.11,,,,22.5513,0,22.1525,0,13427,,-0.4039,-0.3841,-0.0198,0
2023-09-13,20.67,20.99,20.05,20.13,20.95,21.07,,,,22.5513,0,22.0720,0,29881,,-0.4435,-0.3960,-0.0475,0
2023-09-14,20.13,20.44,19.48,19.61,20.73,21.05,,,,22.2152,0,21.9507,0,34108,,-0.5109,-0.4190,-0.0919,0
2023-09-15,19.64,19.92,19.36,19.78,20.55,21.03,,,,21.8376,0,21.7530,0,22557,,-0.5443,-0.4441,-0.1003,0
2023-09-18,19.70,19.76,18.56,18.70,20.24,20.95,,,,21.5039,0,21.5137,0,19669,,-0.6505,-0.4853,-0.1651,0
2023-09-19,18.77,18.97,18.52,18.88,20.06,20.83,,,,20.9895,0,21.1593,0,12891,,-0.7119,-0.5306,-0.1812,0
2023-09-20,18.88,18.90,18.49,18.57,19.80,20.68,,,,20.8380,0,20.7898,0,13942,,-0.7770,-0.5799,-0.1971,0
2023-09-21,18.33,18.37,18.03,18.08,19.52,20.51,21.41,,,20.2892,0,20.4218,0,11361,23841,-0.8578,-0.6355,-0.2223,0
2023-09-22,18.23,18.51,18.04,18.48,19.32,20.35,21.32,,,20.2892,0,19.9913,0,17545,23832,-0.8795,-0.6843,-0.1952,0
2023-09-25,18.41,18.72,17.80,18.72,19.16,20.19,21.24,,,20.2892,0,19.6383,0,54254,24539,-0.8673,-0.7209,-0.1464,0
2023-09-26,18.71,19.08,18.50,18.81,18.98,20.04,21.16,,,20.2892,0,19.2706,0,22224,24678,-0.8407,-0.7448,-0.0958,0
2023-09-27,18.93,19.24,18.69,18.70,18.83,19.89,21.09,,,20.2892,0,17.8000,1,18270,24666,-0.8190,-0.7597,-0.0593,0
2023-09-28,18.57,18.66,17.81,18.50,18.72,19.73,21.02,,,20.2892,0,19.2400,0,38247,24670,-0.8087,-0.7695,-0.0392,0
2023-09-29,18.77,18.90,18.15,18.31,18.57,19.56,20.93,,,20.2892,0,19.2400,0,15054,24400,-0.8065,-0.7769,-0.0296,0
2023-10-02,18.30,18.40,17.95,18.12,18.52,19.38,20.85,,,20.2014,0,19.2114,0,16406,24465,-0.8108,-0.7837,-0.0271,0
2023-10-03,18.12,18.31,17.64,17.91,18.42,19.24,20.75,,,19.9997,0,19.1834,0,15542,23584,-0.8216,-0.7912,-0.0304,0
2023-10-04,17.71,17.83,17.38,17.48,18.31,19.06,20.65,,,19.5863,0,19.1216,0,24058,23506,-0.8551,-0.8040,-0.0510,0
2023-10-05,17.48,17.77,17.13,17.77,18.28,18.90,20.54,,,19.4251,0,19.0171,0,23696,23596,-0.8484,-0.8129,-0.0355,0
2023-10-06,17.59,17.97,17.33,17.33,18.16,18.74,20.45,,,19.4251,0,18.8662,0,35927,23902,-0.8686,-0.8240,-0.0446,0
2023-10-09,17.25,17.92,17.25,17.70,18.06,18.61,20.35,,,19.4251,0,18.7273,0,48309,23813,-0.8450,-0.8282,-0.0168,0
2023-10-10,17.77,18.27,17.56,18.22,18.00,18.49,20.24,,,19.4251,0,18.5995,0,21279,23580,-0.7754,-0.8177,0.0422,0
2023-10-11,18.30,18.49,17.84,18.46,17.98,18.41,20.15,,,19.4251,0,17.1300,1,36117,23740,-0.6929,-0.7927,0.0998,0
2023-10-12,18.38,18.38,17.50,17.61,17.89,18.31,20.04,,,19.4251,0,17.1572,1,32975,24028,-0.6882,-0.7718,0.0836,0
2023-10-13,16.95,17.43,16.76,17.32,17.79,18.18,19.94,,,19.2184,0,18.4900,0,40582,24539,-0.6998,-0.7574,0.0576,0
2023-10-16,17.45,17.91,17.24,17.71,17.75,18.13,19.84,,,19.2184,0,18.4554,0,21681,24531,-0.6697,-0.7399,0.0701,0
2023-10-17,17.55,18.33,17.55,17.89,17.75,18.08,19.76,,,19.2184,0,18.4215,0,18987,24548,-0.6242,-0.7167,0.0925,0
2023-10-18,17.75,17.75,16.93,17.02,17.70,18.01,19.67,,,19.2184,0,18.3883,0,28783,24820,-0.6509,-0.7036,0.0527,0
2023-10-19,16.90,16.94,16.51,16.55,17.58,17.93,19.57,,,18.8697,0,18.3557,0,17626,24745,-0.7018,-0.7032,0.0014,0
2023-10-20,16.63,17.14,16.58,16.84,17.53,17.85,19.48,,,18.8697,0,18.2821,0,26535,24791,-0.7106,-0.7047,-0.0059,0
2023-10-23,16.70,16.71,16.33,16.45,17.41,17.73,19.38,,,18.5641,0,18.2114,0,16085,24256,-0.7405,-0.7119,-0.0286,0
2023-10-24,16.55,17.17,16.50,16.98,17.28,17.64,19.30,,,18.5641,0,18.0985,0,24061,24074,-0.7132,-0.7121,-0.0011,0
2023-10-25,16.88,16.88,16.03,16.11,17.05,17.51,19.20,,,18.5641,0,17.9924,0,17930,23967,-0.7531,-0.7203,-0.0328,0
2023-10-26,16.15,16.31,15.85,15.95,16.88,17.39,19.12,,,18.1398,0,17.8354,0,18146,22689,-0.7885,-0.7340,-0.0546,0
2023-10-27,15.95,17.00,15.68,15.74,16.72,17.26,19.03,,,18.1398,0,17.6370,0,24003,22785,-0.8241,-0.7520,-0.0721,0
2023-10-30,15.91,16.06,15.61,15.76,16.53,17.14,18.94,,,17.9891,0,17.4021,0,19472,22571,-0.8413,-0.7698,-0.0715,0
2023-10-31,15.78,16.42,15.74,16.31,16.37,17.06,18.84,,,17.9891,0,17.1512,0,36148,22596,-0.8010,-0.7761,-0.0249,0
2023-11-01,16.24,17.15,16.14,17.10,16.38,17.04,18.75,,,17.9891,0,15.6100,1,17327,22597,-0.6972,-0.7603,0.0631,0
2023-11-02,17.55,18.47,17.30,18.02,16.53,17.05,18.68,,,15.4641,1,15.6408,1,37401,22883,-0.5346,-0.7151,0.1806,0
2023-11-03,18.45,18.88,18.26,18.43,16.68,17.11,18.62,,,16.1355,1,15.7538,1,22094,22808,-0.3683,-0.6458,0.2774,0
2023-11-06,18.64,18.70,17.86,17.95,16.83,17.12,18.54,,,16.1355,1,15.9413,1,20734,22792,-0.2722,-0.5711,0.2989,0
2023-11-07,18.01,18.30,17.70,18.18,16.96,17.12,18.46,,,16.1355,1,16.1177,1,16339,22817,-0.1751,-0.4919,0.3168,0
2023-11-08,18.19,18.38,17.61,18.00,17.14,17.10,18.39,,,16.1355,1,16.2834,1,17046,22804,-0.1117,-0.4158,0.3041,0
2023-11-09,12.66,14.34,12.24,12.26,16.78,16.83,18.20,,,17.1519,0,18.8800,0,126239,25039,-0.5187,-0.4364,-0.0823,0
2023-11-10,12.56,13.18,11.91,12.48,16.45,16.59,18.02,,,16.4017,0,18.7472,0,48504,25736,-0.8141,-0.5119,-0.3021,0
2023-11-13,12.53,13.10,12.46,12.94,16.17,16.35,17.84,,,16.4017,0,18.4737,0,38512,26238,-0.9995,-0.6094,-0.3901,0
2023-11-14,13.38,13.42,12.34,12.52,15.79,16.08,17.68,,,16.4017,0,18.2112,0,61453,26900,-1.1669,-0.7209,-0.4460,0
2023-11-15,12.53,13.25,12.42,13.08,15.39,15.88,17.52,,,16.3427,0,17.9591,0,22160,26990,-1.2401,-0.8248,-0.4154,0
2023-11-16,12.86,13.04,11.82,12.13,14.80,15.66,17.34,,,15.9669,0,17.7172,0,29078,27311,-1.3591,-0.9317,-0.4275,0
2023-11-17,12.24,12.46,11.94,12.07,14.16,15.42,17.17,,,15.5374,0,17.3633,0,14949,27403,-1.4417,-1.0337,-0.4080,0
2023-11-20,12.17,12.94,12.01,12.91,13.66,15.25,17.02,,,15.5374,0,17.0307,0,15066,27494,-1.4229,-1.1115,-0.3114,0
2023-11-21,12.89,13.19,12.60,12.64,13.10,15.03,16.86,,,15.5374,0,16.7181,0,11964,27464,-1.4135,-1.1719,-0.2416,0
2023-11-22,12.68,12.81,12.37,12.71,12.57,14.86,16.72,,,15.5363,0,16.4242,0,9426,27055,-1.3845,-1.2144,-0.1700,0
2023-11-24,12.72,13.20,12.70,13.17,12.66,14.72,16.59,,,15.5363,0,16.1479,0,4791,26469,-1.3092,-1.2334,-0.0758,0
2023-11-27,13.03,13.09,12.56,12.93,12.71,14.58,16.45,,,15.5315,0,15.8883,0,12424,26266,-1.2545,-1.2376,-0.0169,0
2023-11-28,12.87,13.02,12.66,12.91,12.71,14.44,16.33,,,15.3838,0,15.6442,0,11251,26098,-1.1989,-1.2299,0.0309,0
2023-11-29,13.11,13.75,12.90,13.58,12.81,14.30,16.23,,,15.3838,0,15.4147,0,25391,26348,-1.0883,-1.2016,0.1133,0
2023-11-30,13.70,14.37,13.44,14.16,12.92,14.15,16.14,,,15.3838,0,15.1990,0,19548,26460,-0.9429,-1.1498,0.2069,0
2023-12-01,14.10,14.30,13.36,14.22,13.13,13.96,16.06,,,15.3838,0,14.9963,0,12895,26491,-0.8135,-1.0826,0.2691,0
2023-12-04,14.25,14.86,14.25,14.46,13.37,13.77,15.98,,,15.3838,0,11.8200,1,16262,26465,-0.6837,-1.0028,0.3191,0
2023-12-05,14.47,15.10,14.26,14.88,13.57,13.61,15.91,,,15.3838,0,11.8808,1,27736,25935,-0.5407,-0.9104,0.3697,0
2023-12-06,14.95,15.30,14.59,15.09,13.81,13.46,15.83,,,15.3838,0,12.0096,1,12612,25742,-0.4057,-0.8094,0.4037,0
2023-12-07,13.73,14.81,13.60,14.22,13.96,13.27,15.74,,,15.3838,0,12.2070,1,25043,25878,-0.3648,-0.7205,0.3557,0
2023-12-08,14.23,14.39,13.60,14.00,14.05,13.36,15.65,,,15.3838,0,12.3926,1,18066,25474,-0.3461,-0.6456,0.2995,0
2023-12-11,14.10,14.33,13.71,14.25,14.18,13.44,15.57,,,15.3838,0,12.5670,1,14669,25466,-0.3076,-0.5780,0.2705,0
2023-12-12,14.61,14.84,13.94,14.71,14.36,13.53,15.50,,,15.3838,0,12.7310,1,15394,25446,-0.2372,-0.5099,0.2727,0
2023-12-13,14.52,14.87,14.05,14.72,14.47,13.64,15.44,,,15.3838,0,12.8851,1,14721,25430,-0.1785,-0.4436,0.2651,0
2023-12-14,15.20,15.23,14.32,14.74,14.53,13.73,15.38,,,15.3838,0,13.0300,1,22694,25403,-0.1290,-0.3807,0.2517,0
2023-12-15,14.97,14.97,13.94,14.23,14.53,13.83,15.31,,,15.3838,0,13.1662,1,30252,25534,-0.1293,-0.3304,0.2011,0
2023-12-18,14.45,14.69,13.92,14.19,14.50,13.94,15.25,,,15.3838,0,13.2943,1,12733,25070,-0.1313,-0.2906,0.1593,0
2023-12-19,14.47,14.47,13.74,13.98,14.41,13.99,15.18,,,15.3838,0,13.4146,1,23088,24565,-0.1482,-0.2621,0.1139,0
2023-12-20,14.28,14.30,13.63,13.81,14.28,14.05,15.09,,,15.3838,0,13.5277,1,19718,24534,-0.1732,-0.2443,0.0711,0
2023-12-21,14.02,14.27,13.85,13.95,14.26,14.11,15.00,,,15.3838,0,13.6300,1,11412,24040,-0.1797,-0.2314,0.0517,0
2023-12-22,14.08,14.61,13.96,14.50,14.31,14.18,14.93,,,15.3838,0,13.6300,1,18299,23747,-0.1389,-0.2129,0.0740,0
2023-12-26,14.63,14.63,14.08,14.24,14.31,14.24,14.87,,,15.3838,0,13.7302,1,12417,23183,-0.1260,-0.1955,0.0695,0
2023-12-27,14.48,14.67,14.08,14.54,14.29,14.32,14.81,,,15.3838,0,13.8244,1,12375,22997,-0.0906,-0.1745,0.0839,0
2023-12-28,14.55,15.08,14.41,14.75,14.29,14.38,14.75,,,15.3838,0,13.9129,1,14607,22910,-0.0451,-0.1486,0.1036,0
2023-12-29,14.87,15.13,14.40,14.72,14.29,14.41,14.70,,,15.3838,0,13.9961,1,13788,22610,-0.0113,-0.1212,0.1099,0
2024-01-02,14.72,15.62,14.57,14.97,14.36,14.45,14.67,,,15.3838,0,14.0744,1,14880,22555,0.0353,-0.0899,0.1252,0
2024-01-03,15.64,16.55,15.27,16.02,14.55,14.53,14.65,,,13.3633,1,14.1980,1,48173,22987,0.1555,-0.0408,0.1963,0
2024-01-04,16.16,17.06,16.05,16.64,14.81,14.61,14.66,,,13.9525,1,14.4332,1,28225,23230,0.2970,0.0268,0.2702,0
2024-01-05,16.69,17.05,16.23,16.83,15.12,14.70,14.65,,,14.0525,1,14.7484,1,24127,23232,0.4196,0.1053,0.3143,0
2024-01-08,16.75,17.01,16.39,16.87,15.41,14.83,14.67,,,14.1808,1,15.0258,1,17589,23225,0.5141,0.1871,0.3270,0
2024-01-09,16.86,16.86,16.09,16.40,15.60,14.95,14.68,,,14.1808,1,15.2699,1,16493,23192,0.5448,0.2586,0.2861,0
