Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,109.63,110.35,108.52,109.81,,,,,,,0,108.5200,1,74001,,,,,0
2023-07-18,109.73,111.00,109.02,109.86,,,,,,,0,108.5200,1,44977,,,,,0
2023-07-19,110.32,111.43,109.48,110.72,,,,,,,0,108.5200,1,48030,,,,,0
2023-07-20,111.49,112.38,110.96,111.69,,,,,,,0,108.6364,1,35920,,,,,0
2023-07-21,112.02,112.11,110.73,111.06,,,,,,,0,108.8610,1,37250,,,,,0
2023-07-24,111.40,112.02,110.58,111.12,,,,,,,0,109.0722,1,38925,,,,,0
2023-07-25,110.48,112.31,102.48,107.54,,,,,,,0,112.3800,0,183420,,,,,0
2023-07-26,106.92,107.65,103.99,105.41,,,,,,,0,112.3100,0,102448,,,,,0
2023-07-27,105.25,107.45,103.36,104.45,,,,,,,0,112.3100,0,76343,,,,,0
2023-07-28,105.22,106.50,104.67,106.47,108.81,,,,,114.5460,0,112.1134,0,39128,,,,,0
2023-07-31,107.10,108.62,106.35,107.15,108.55,,,,,114.5460,0,111.9207,0,61043,,,,,0
2023-08-01,107.20,108.26,104.73,106.21,108.18,,,,,114.5460,0,111.7319,0,71171,,,,,0
2023-08-02,105.31,108.21,105.03,107.58,107.87,,,,,114.5460,0,111.5469,0,73950,,,,,0
2023-08-03,101.97,103.89,100.19,101.68,106.87,,,,,112.3492,0,111.3655,0,162017,,,,,0
2023-08-04,94.23,94.72,88.25,89.91,104.75,,,,,104.7922,0,110.9185,0,292396,,,,,0
2023-08-07,90.00,92.15,89.48,90.30,102.67,,,,,103.5925,0,109.5584,0,106978,,,,,0
2023-08-08,90.57,91.27,89.23,89.69,100.89,,,,,102.3618,0,108.2799,0,84371,,,,,0
2023-08-09,89.50,91.99,89.50,91.93,99.54,,,,,102.3618,0,107.0781,0,58624,,,,,0
2023-08-10,91.58,92.53,90.00,90.56,98.15,,,,,102.3618,0,105.9484,0,74169,,,,,0
2023-08-11,91.32,91.40,89.72,89.81,96.48,102.65,,,,101.1816,0,104.8865,0,46234,,,,,0
2023-08-14,89.68,90.44,89.04,90.00,94.77,101.66,,,,99.7195,0,103.8883,0,65790,,,,,0
2023-08-15,89.99,91.09,89.66,90.49,93.20,100.69,,,,99.7195,0,102.9500,0,51833,,,,,0
2023-08-16,90.73,91.58,87.22,87.39,91.18,99.52,,,,99.1775,0,102.0680,0,37919,,,,,0
2023-08-17,86.91,87.91,86.53,87.80,89.79,98.33,,,,96.4337,0,100.8802,0,36376,,,,,0
2023-08-18,87.81,90.24,87.70,89.16,89.71,97.23,,,,96.4337,0,99.4452,0,48048,,,,,0
2023-08-21,89.31,90.21,88.50,89.30,89.61,96.14,,,,96.4337,0,98.1536,0,26853,,,,,0
2023-08-22,89.78,90.95,87.23,87.56,89.40,95.14,,,,96.4337,0,96.9913,0,45190,,,,,0
2023-08-23,87.79,89.01,87.71,88.67,89.07,94.31,,,,96.4337,0,95.9452,0,28835,,,,,0
2023-08-24,88.82,89.03,87.84,88.38,88.86,93.50,,,,96.4020,0,95.0036,0,31189,,,,,0
2023-08-25,89.11,89.68,86.60,87.53,88.63,92.56,,,,96.2343,0,94.1563,0,25725,,,,,0
2023-08-28,87.62,88.42,86.61,87.19,88.35,91.56,,,,95.3429,0,93.3936,0,24797,,,,,0
2023-08-29,87.52,87.81,86.97,87.54,88.05,90.62,,,,94.6871,0,92.7073,0,36417,,,,,0
2023-08-30,87.59,90.17,87.18,89.79,88.29,89.73,,,,94.6871,0,92.0896,0,45155,,,,,0
2023-08-31,89.67,89.67,88.00,88.38,88.35,89.07,,,,94.6871,0,91.5336,0,45145,,-5.1373,-6.5067,1.3694,0
2023-09-01,88.65,89.95,87.15,87.61,88.19,88.95,,,,94.6871,0,91.0332,0,38890,,-4.8802,-6.1814,1.3012,0
2023-09-05,86.38,87.61,84.58,86.96,87.96,88.79,,,,93.6365,0,90.5829,0,33949,,-4.6750,-5.8801,1.2051,0
