Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,3.07,3.11,3.00,3.04,,,,,,,0,3.1100,0,1500,,,,,0
2023-07-14,3.04,3.05,2.95,3.03,,,,,,,0,3.1100,0,1249,,,,,0
2023-07-17,3.02,3.19,3.00,3.18,,,,,,,0,2.9500,1,1983,,,,,0
2023-07-18,3.17,3.32,3.17,3.24,,,,,,,0,2.9500,1,2140,,,,,0
2023-07-19,3.24,3.28,3.20,3.22,,,,,,,0,2.9648,1,1559,,,,,0
2023-07-20,3.31,3.56,3.26,3.55,,,,,,,0,2.9790,1,5924,,,,,0
2023-07-21,3.60,3.61,3.36,3.37,,,,,,,0,3.0139,1,5702,,,,,0
2023-07-24,3.38,3.46,3.25,3.28,,,,,,,0,3.0616,1,2812,,,,,0
2023-07-25,3.26,3.26,3.02,3.06,,,,,,,0,3.6100,0,2325,,,,,0
2023-07-26,3.05,3.14,3.01,3.05,3.20,,,,,3.6170,0,3.5982,0,1661,,,,,0
2023-07-27,3.06,3.12,2.99,3.03,3.20,,,,,3.5840,0,3.5745,0,2579,,,,,0
2023-07-28,2.99,3.19,2.99,3.16,3.21,,,,,3.5840,0,3.5394,0,2052,,,,,0
2023-07-31,3.15,3.23,3.15,3.20,3.22,,,,,3.5840,0,3.5064,0,1662,,,,,0
2023-08-01,3.20,3.22,3.10,3.17,3.21,,,,,3.5840,0,3.4755,0,1735,,,,,0
2023-08-02,3.14,3.21,3.09,3.19,3.21,,,,,3.5840,0,3.4463,0,1988,,,,,0
2023-08-03,3.19,3.37,3.16,3.36,3.19,,,,,3.5840,0,3.4189,0,3283,,,,,0
2023-08-04,3.60,4.27,3.43,4.11,3.26,,,,,3.1346,1,2.9900,1,17704,,,,,0
2023-08-07,4.27,4.74,4.17,4.59,3.39,,,,,3.6222,1,3.0156,1,13877,,,,,0
2023-08-08,4.48,4.70,4.39,4.48,3.53,,,,,3.7025,1,3.0846,1,5073,,,,,0
2023-08-09,4.48,4.51,4.22,4.23,3.65,3.43,,,,3.7025,1,3.1508,1,4715,,,,,0
2023-08-10,4.21,4.35,4.16,4.23,3.77,3.49,,,,3.7025,1,3.2144,1,4827,,,,,0
2023-08-11,4.18,4.29,3.92,3.97,3.85,3.53,,,,3.7025,1,3.2754,1,7512,,,,,0
2023-08-14,4.00,4.11,3.91,3.93,3.93,3.57,,,,3.7025,1,3.3340,1,4775,,,,,0
2023-08-15,3.91,4.03,3.86,3.91,4.00,3.60,,,,3.7025,1,3.3902,1,4035,,,,,0
2023-08-16,3.91,3.95,3.65,3.66,4.05,3.63,,,,4.6029,0,3.4442,1,4071,,,,,0
2023-08-17,3.68,3.84,3.68,3.70,4.08,3.63,,,,4.5366,0,3.4960,1,3834,,,,,0
2023-08-18,3.65,3.79,3.58,3.73,4.04,3.65,,,,4.4470,0,3.5458,1,3265,,,,,0
2023-08-21,3.73,3.96,3.68,3.81,3.97,3.68,,,,4.4470,0,3.5800,1,6739,,,,,0
2023-08-22,3.88,4.11,3.85,4.05,3.92,3.73,,,,4.4470,0,3.5800,1,3679,,,,,0
2023-08-23,4.03,4.15,3.98,4.09,3.91,3.78,,,,4.4470,0,3.6264,1,2725,,,,,0
