Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,17.87,18.18,17.86,18.05,,,,,,,0,18.1781,0,970,,,,,0
2023-07-14,18.16,18.16,17.40,17.42,,,,,,,0,18.1781,0,1189,,,,,0
2023-07-17,17.36,17.73,17.32,17.64,,,,,,,0,18.1781,0,1036,,,,,0
2023-07-18,17.63,18.58,17.63,18.17,,,,,,,0,17.3166,1,1211,,,,,0
2023-07-19,18.39,18.95,18.39,18.90,,,,,,,0,17.3166,1,1269,,,,,0
2023-07-20,18.91,19.17,18.55,19.15,,,,,,,0,17.3817,1,1442,,,,,0
2023-07-21,19.88,19.88,18.38,18.38,,,,,,,0,17.4891,1,1392,,,,,0
2023-07-24,18.39,19.43,18.39,19.10,,,,,,,0,17.6806,1,1692,,,,,0
2023-07-25,19.07,19.42,18.23,18.54,,,,,,,0,17.8567,1,938,,,,,0
2023-07-26,18.76,19.31,18.76,19.18,18.45,,,,,21.5458,0,18.0188,1,1406,,,,,0
2023-07-27,19.36,19.36,18.92,19.03,18.55,,,,,21.5324,0,18.1678,1,1198,,,,,0
2023-07-28,19.21,19.36,18.79,18.92,18.70,,,,,21.4019,0,18.3050,1,925,,,,,0
2023-07-31,18.99,19.13,18.56,18.77,18.81,,,,,21.1108,0,18.4312,1,1358,,,,,0
2023-08-01,18.77,18.99,18.46,18.95,18.89,,,,,20.9250,0,19.8823,0,959,,,,,0
2023-08-02,18.71,19.15,18.66,19.08,18.91,,,,,20.9250,0,19.8539,0,1179,,,,,0
2023-08-03,19.03,19.38,19.03,19.32,18.93,,,,,20.9250,0,19.8261,0,1274,,,,,0
2023-08-04,19.27,19.52,19.12,19.21,19.01,,,,,20.9250,0,19.7988,0,712,,,,,0
2023-08-07,19.30,19.66,19.24,19.63,19.06,,,,,20.9250,0,19.7721,0,1138,,,,,0
2023-08-08,19.25,19.65,18.66,19.54,19.16,,,,,20.9250,0,19.7459,0,964,,,,,0
2023-08-09,19.22,19.27,18.90,19.08,19.15,18.80,,,,20.9250,0,19.7202,0,794,,,,,0
2023-08-10,19.11,19.48,19.04,19.17,19.17,18.86,,,,20.9250,0,19.6950,0,836,,,,,0
2023-08-11,19.15,19.32,19.00,19.09,19.18,18.94,,,,20.9250,0,19.6704,0,889,,,,,0
2023-08-14,18.86,19.07,18.66,18.90,19.20,19.00,,,,20.6308,0,19.6462,0,906,,,,,0
2023-08-15,18.63,18.85,18.30,18.34,19.13,19.01,,,,20.3437,0,19.6225,0,1008,,,,,0
2023-08-16,18.30,18.51,18.16,18.24,19.05,18.98,,,,20.0317,0,19.5695,0,980,,,,,0
2023-08-17,18.31,18.64,18.10,18.62,18.98,18.95,,,,20.0317,0,19.4852,0,693,,,,,0
2023-08-18,18.46,18.95,18.46,18.71,18.93,18.97,,,,20.0317,0,19.3743,0,1001,,,,,0
2023-08-21,18.70,18.70,18.27,18.29,18.80,18.93,,,,20.0317,0,19.2721,0,798,,,,,0
2023-08-22,18.20,18.49,17.78,17.86,18.63,18.90,,,,19.8167,0,19.1782,0,860,,,,,0
2023-08-23,17.81,18.07,17.73,17.77,18.50,18.82,,,,19.5136,0,19.0388,0,1153,,,,,0
2023-08-24,17.65,18.07,17.62,17.84,18.36,18.77,,,,19.4338,0,18.8814,0,1161,,,,,0
2023-08-25,17.93,18.02,17.38,17.58,18.21,18.70,,,,19.3235,0,18.7051,0,839,,,,,0
2023-08-28,17.81,18.07,17.61,17.67,18.09,18.64,,,,19.3235,0,18.4939,0,1821,,,,,0
2023-08-29,17.67,17.67,17.67,17.67,18.02,18.58,,,,19.1134,0,18.3164,0,,,-0.2863,-0.1378,-0.1485,0
