Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,134.06,136.65,134.06,134.68,,,,,,,0,136.6500,0,7338322,,,,,0
2023-07-17,134.56,135.62,133.21,133.56,,,,,,,0,136.6500,0,6471009,,,,,0
2023-07-18,132.71,133.86,131.35,132.83,,,,,,,0,136.6500,0,7290096,,,,,0
2023-07-19,133.39,135.99,132.53,135.36,,,,,,,0,136.4380,0,7381316,,,,,0
2023-07-20,134.07,134.79,129.33,129.96,,,,,,,0,136.2345,0,7774286,,,,,0
2023-07-21,131.34,131.37,128.42,130.00,,,,,,,0,135.9900,0,17329949,,,,,0
2023-07-24,130.31,131.66,128.35,128.80,,,,,,,0,135.3844,0,5872134,,,,,0
2023-07-25,129.31,129.58,128.53,129.13,,,,,,,0,134.6810,0,5066635,,,,,0
2023-07-26,126.51,129.08,126.11,128.15,,,,,,,0,134.0479,0,6908579,,,,,0
2023-07-27,131.00,132.63,127.79,128.25,131.07,,,,,139.8610,0,133.0953,0,6747322,,,,,0
2023-07-28,129.69,133.01,129.33,132.21,130.83,,,,,139.8610,0,126.1100,1,6123624,,,,,0
2023-07-31,133.20,133.87,132.38,133.68,130.84,,,,,139.8610,0,126.2480,1,5601392,,,,,0
2023-08-01,133.55,133.69,131.62,131.69,130.72,,,,,139.8610,0,126.5529,1,5543952,,,,,0
2023-08-02,130.15,130.23,126.82,128.21,130.01,,,,,138.3213,0,133.8700,0,6542249,,,,,0
2023-08-03,127.48,129.84,126.41,128.91,129.90,,,,,137.9707,0,133.7290,0,11419518,,,,,0
2023-08-04,141.06,143.63,139.32,139.57,130.86,,,,,128.1979,1,126.4100,1,21372146,,,,,0
2023-08-07,140.99,142.54,138.95,142.22,132.20,,,,,128.1979,1,126.4100,1,10127927,,,,,0
2023-08-08,140.62,140.84,138.42,139.94,133.28,,,,,128.1979,1,126.7544,1,7236367,,,,,0
2023-08-09,139.97,140.32,137.10,137.85,134.25,,,,,128.1979,1,127.0919,1,6894885,,,,,0
2023-08-10,139.07,140.41,137.49,138.56,135.28,133.18,,,,128.1979,1,127.4227,1,8165119,,,,,0
2023-08-11,137.40,139.33,137.00,138.41,135.90,133.36,,,,128.1979,1,127.7468,1,5938592,,,,,0
2023-08-14,138.30,140.59,137.75,140.57,136.59,133.72,,,,128.1979,1,128.0645,1,6627693,,,,,0
2023-08-15,140.05,141.28,137.23,137.67,137.19,133.96,,,,128.1979,1,128.3758,1,5889729,,,,,0
2023-08-16,137.19,137.27,135.01,135.07,137.88,133.94,,,,128.1979,1,128.6809,1,5629164,,,,,0
2023-08-17,135.46,136.09,133.53,133.98,138.38,134.14,,,,128.1979,1,128.9799,1,6478482,,,,,0
2023-08-18,131.62,134.07,131.15,133.22,137.75,134.30,,,,128.1979,1,129.2729,1,6460864,,,,,0
2023-08-21,133.74,135.19,132.71,134.68,137.00,134.60,,,,128.1979,1,129.5600,1,5581476,,,,,0
2023-08-22,135.08,135.65,133.73,134.25,136.43,134.85,,,,128.1979,1,129.8414,1,4417550,,,,,0
2023-08-23,134.50,135.95,133.22,135.52,136.19,135.22,,,,128.1979,1,130.1172,1,5800392,,,,,0
2023-08-24,136.40,136.78,131.83,131.84,135.52,135.40,,,,128.1979,1,130.3874,1,5754328,,,,,0
2023-08-25,132.47,133.87,130.58,133.26,135.01,135.46,,,,128.1979,1,143.6300,0,5883096,,,,,0
2023-08-28,133.78,133.95,131.85,133.14,134.26,135.43,,,,128.1979,1,143.3690,0,4541192,,,,,0
2023-08-29,133.38,135.14,133.25,134.91,133.99,135.59,,,,128.1979,1,143.1132,0,5213745,,,,,0
2023-08-30,134.93,135.68,133.92,135.07,133.99,135.93,,,,128.1979,1,142.8626,0,4881025,,0.5413,1.0203,-0.4790,0
2023-08-31,135.06,138.79,135.00,138.01,134.39,136.39,,,,128.1979,1,142.6169,0,8112407,,0.7769,0.9716,-0.1947,0
