Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,20.64,20.82,20.58,20.79,,,,,,,0,20.5754,1,176135,,,,,0
2023-07-18,20.71,20.86,20.71,20.82,,,,,,,0,20.5754,1,143321,,,,,0
2023-07-19,20.78,20.83,20.55,20.77,,,,,,,0,20.8633,0,158742,,,,,0
2023-07-20,20.72,20.75,20.47,20.58,,,,,,,0,20.8633,0,150334,,,,,0
2023-07-21,20.54,20.64,20.39,20.40,,,,,,,0,20.8474,0,215422,,,,,0
2023-07-24,20.48,20.56,20.29,20.40,,,,,,,0,20.8202,0,168300,,,,,0
2023-07-25,20.35,20.71,20.32,20.57,,,,,,,0,20.7778,0,260847,,,,,0
2023-07-26,20.77,21.68,20.72,21.62,,,,,,,0,20.2899,1,481798,,,,,0
2023-07-27,21.85,22.03,21.59,21.66,,,,,,,0,20.3177,1,388369,,,,,0
2023-07-28,21.80,21.83,21.26,21.37,20.90,,,,,22.7464,0,20.3862,1,398662,,,,,0
2023-07-31,21.37,21.66,21.33,21.55,20.97,,,,,22.6751,0,20.4519,1,246826,,,,,0
2023-08-01,21.52,21.69,21.42,21.62,21.05,,,,,22.6751,0,20.5150,1,184259,,,,,0
2023-08-02,21.45,21.68,21.44,21.57,21.13,,,,,22.6542,0,20.5756,1,261181,,,,,0
2023-08-03,21.45,21.66,21.37,21.59,21.24,,,,,22.5922,0,20.6338,1,256203,,,,,0
2023-08-04,21.58,21.67,21.28,21.30,21.33,,,,,22.5611,0,20.6896,1,140728,,,,,0
2023-08-07,21.49,21.79,21.47,21.69,21.45,,,,,22.5611,0,20.7432,1,180453,,,,,0
2023-08-08,21.58,21.71,21.40,21.66,21.56,,,,,22.5611,0,20.7947,1,159209,,,,,0
2023-08-09,21.71,21.75,21.54,21.58,21.56,,,,,22.5611,0,20.8441,1,225770,,,,,0
2023-08-10,21.64,21.80,21.42,21.45,21.54,,,,,22.5611,0,20.8915,1,135654,,,,,0
2023-08-11,21.41,21.41,21.20,21.28,21.53,21.21,,,,22.3392,0,20.9370,1,123803,,,,,0
2023-08-14,21.25,21.41,21.23,21.35,21.51,21.24,,,,22.3013,0,20.9807,1,244930,,,,,0
2023-08-15,21.21,21.31,21.13,21.18,21.47,21.26,,,,22.1692,0,21.0227,1,155503,,,,,0
2023-08-16,21.11,21.19,20.94,20.96,21.40,21.27,,,,21.9968,0,22.0297,0,115818,,,,,0
2023-08-17,21.08,21.09,20.75,20.83,21.33,21.28,,,,21.8606,0,22.0080,0,163947,,,,,0
2023-08-18,20.63,20.86,20.60,20.80,21.28,21.30,,,,21.6570,0,21.9576,0,127836,,,,,0
2023-08-21,20.78,20.93,20.73,20.86,21.20,21.32,,,,21.6570,0,21.8763,0,145897,,,,,0
2023-08-22,20.95,21.06,20.84,20.94,21.12,21.34,,,,21.6570,0,21.7998,0,131566,,,,,0
2023-08-23,21.00,21.15,20.77,21.07,21.07,21.32,,,,21.6570,0,21.7280,0,174257,,,,,0
2023-08-24,21.06,21.21,20.87,20.87,21.01,21.28,,,,21.6570,0,21.6604,0,169874,,,,,0
2023-08-25,21.04,21.13,20.82,21.06,20.99,21.26,,,,21.6570,0,21.5969,0,127482,,,,,0
2023-08-28,21.18,21.24,21.10,21.14,20.97,21.24,,,,21.6570,0,21.5373,0,103963,,,,,0
2023-08-29,21.13,21.46,21.10,21.45,21.00,21.23,,,,21.6570,0,21.4812,0,133131,,,,,0
2023-08-30,21.40,21.57,21.39,21.54,21.06,21.23,,,,21.6570,0,20.6022,1,81050,,,,,0
2023-08-31,21.62,21.71,21.50,21.57,21.13,21.23,,,,21.6570,0,20.6215,1,210221,,0.0428,-0.0409,0.0837,0
2023-09-01,21.72,21.73,21.53,21.61,21.21,21.24,,,,21.6570,0,20.6650,1,157513,,0.0689,-0.0190,0.0879,0
2023-09-05,21.62,21.63,21.44,21.47,21.27,21.23,,,,21.6570,0,20.7289,1,137418,,0.0770,0.0002,0.0767,0
2023-09-06,21.45,21.68,21.38,21.46,21.33,21.22,,,,21.6570,0,20.7889,1,176219,,0.0822,0.0166,0.0656,0
2023-09-07,21.27,21.36,21.06,21.17,21.33,21.20,,,,21.6570,0,20.8454,1,197096,,0.0618,0.0256,0.0361,0
2023-09-08,21.00,21.18,20.90,20.96,21.34,21.18,,,,21.6570,0,21.7296,0,205449,,0.0283,0.0262,0.0022,0
2023-09-11,21.09,21.10,20.79,21.10,21.35,21.17,,,,21.6570,0,21.7129,0,206114,,0.0127,0.0235,-0.0108,0
2023-09-12,21.04,21.23,21.02,21.13,21.35,21.16,,,,21.6570,0,21.6760,0,188338,,0.0033,0.0194,-0.0162,0
2023-09-13,21.11,21.20,20.98,21.11,21.31,21.15,,,,21.6570,0,21.6405,0,213463,,-0.0059,0.0144,-0.0203,0
2023-09-14,21.20,21.22,21.01,21.11,21.27,21.16,,,,21.6570,0,21.6065,0,180520,,-0.0131,0.0089,-0.0220,0
2023-09-15,21.03,21.17,20.82,20.92,21.20,21.17,,,,21.6570,0,21.5738,0,243985,,-0.0339,0.0003,-0.0342,0
2023-09-18,20.90,21.20,20.88,21.09,21.15,21.18,,,,21.6570,0,21.5425,0,147488,,-0.0358,-0.0069,-0.0289,0
2023-09-19,21.05,21.13,20.89,21.11,21.12,21.19,,,,21.6570,0,21.5124,0,172036,,-0.0357,-0.0126,-0.0230,0
2023-09-20,21.19,21.21,20.73,20.75,21.04,21.18,,,,21.6570,0,21.4835,0,191501,,-0.0641,-0.0229,-0.0411,0
