Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,36.50,37.53,36.01,37.35,,,,,,,0,36.0100,1,21525,,,,,0
2023-07-19,37.49,37.75,35.23,35.50,,,,,,,0,37.7500,0,12688,,,,,0
2023-07-20,35.20,35.48,33.68,34.20,,,,,,,0,37.7500,0,14200,,,,,0
2023-07-21,34.51,35.00,33.75,33.84,,,,,,,0,37.7500,0,14511,,,,,0
2023-07-24,34.59,35.80,34.40,35.66,,,,,,,0,37.5872,0,19196,,,,,0
2023-07-25,35.58,36.91,35.40,36.40,,,,,,,0,37.4309,0,16558,,,,,0
2023-07-26,36.25,36.46,34.40,34.73,,,,,,,0,37.2809,0,11586,,,,,0
2023-07-27,34.92,34.92,33.11,33.51,,,,,,,0,37.1368,0,11333,,,,,0
2023-07-28,34.33,35.34,34.13,34.34,,,,,,,0,36.8952,0,13166,,,,,0
2023-07-31,34.30,35.35,33.96,34.96,35.05,,,,,39.9560,0,36.6681,0,8625,,,,,0
2023-08-01,35.36,35.99,34.32,34.92,34.81,,,,,39.9560,0,36.4546,0,13277,,,,,0
2023-08-02,34.28,34.51,33.52,34.14,34.67,,,,,39.1797,0,36.2540,0,11403,,,,,0
2023-08-03,33.86,34.44,32.76,32.77,34.53,,,,,38.7522,0,36.0653,0,10329,,,,,0
2023-08-04,32.91,33.15,31.90,32.15,34.36,,,,,37.5370,0,35.8009,0,10429,,,,,0
2023-08-07,32.09,32.24,31.30,31.85,33.98,,,,,36.5628,0,35.4108,0,25521,,,,,0
2023-08-08,28.27,28.48,25.06,25.73,32.91,,,,,33.1205,0,34.9175,0,32831,,,,,0
2023-08-09,25.72,29.34,25.54,28.42,32.28,,,,,33.1205,0,33.5375,0,17041,,,,,0
2023-08-10,28.50,29.98,27.97,29.30,31.86,,,,,33.1205,0,32.3506,0,20999,,,,,0
2023-08-11,28.90,29.19,27.66,27.77,31.20,,,,,33.1205,0,31.3299,0,9861,,,,,0
2023-08-14,27.05,29.59,26.76,29.54,30.66,32.85,,,,33.1205,0,30.4521,0,24397,,,,,0
2023-08-15,29.30,30.21,28.65,29.94,30.16,32.48,,,,33.1205,0,25.0600,1,14919,,,,,0
2023-08-16,29.63,29.79,28.02,28.17,29.56,32.12,,,,33.1205,0,25.1630,1,12045,,,,,0
2023-08-17,28.72,28.88,27.69,28.02,29.09,31.81,,,,33.1205,0,25.2639,1,13371,,,,,0
2023-08-18,27.07,29.80,26.99,29.57,28.83,31.59,,,,33.1205,0,25.3629,1,15699,,,,,0
2023-08-21,29.66,31.26,29.20,31.14,28.76,31.37,,,,33.1205,0,25.4598,1,13496,,,,,0
2023-08-22,31.29,33.34,31.21,32.61,29.45,31.18,,,,33.1205,0,25.6918,1,14988,,,,,0
2023-08-23,32.70,33.98,32.54,32.67,29.87,31.08,,,,33.1205,0,26.1507,1,12402,,,,,0
2023-08-24,33.03,33.03,30.74,30.85,30.03,30.94,,,,33.1205,0,26.7770,1,9024,,,,,0
2023-08-25,31.05,31.61,30.32,31.42,30.39,30.80,,,,33.1205,0,27.3533,1,7063,,,,,0
2023-08-28,31.69,32.49,31.25,31.54,30.59,30.63,,,,33.1205,0,27.8834,1,4949,,,,,0
2023-08-29,31.44,31.82,31.00,31.65,30.76,30.46,,,,33.1205,0,28.3711,1,10011,,,,,0
2023-08-30,31.89,32.03,31.35,31.49,31.10,30.33,,,,33.1205,0,28.8199,1,12354,,,,,0
2023-08-31,31.40,31.47,30.32,30.35,31.33,30.21,,,,33.1205,0,29.2327,1,7955,,,,,0
2023-09-01,30.70,32.00,30.56,31.74,31.55,30.19,,,,33.1205,0,29.6125,1,10039,,-0.6890,-1.0934,0.4044,0
2023-09-05,32.00,33.13,30.94,31.05,31.54,30.15,,,,33.1205,0,29.9619,1,12783,,-0.6452,-1.0038,0.3586,0
2023-09-06,31.01,32.11,30.51,32.08,31.48,30.47,,,,33.1205,0,30.2833,1,10747,,-0.5214,-0.9073,0.3859,0
2023-09-07,31.69,31.90,30.13,31.00,31.32,30.60,,,,33.1205,0,33.9800,0,12350,,-0.5045,-0.8267,0.3222,0
2023-09-08,30.97,32.98,30.68,31.56,31.39,30.71,,,,33.1205,0,33.9030,0,10651,,-0.4410,-0.7496,0.3086,0
2023-09-11,31.66,32.53,31.26,31.53,31.40,30.90,,,,33.1205,0,33.8275,0,11893,,-0.3885,-0.6774,0.2889,0
2023-09-12,31.32,31.63,30.04,30.43,31.29,30.94,,,,33.1205,0,33.7536,0,9494,,-0.4307,-0.6280,0.1973,0
2023-09-13,30.41,30.69,29.08,29.19,31.04,30.90,,,,33.1205,0,33.6050,0,13156,,-0.5578,-0.6140,0.0562,0
2023-09-14,29.38,29.86,28.93,29.39,30.83,30.96,,,,33.1205,0,33.3335,0,7824,,-0.6351,-0.6182,-0.0169,0
2023-09-15,29.43,29.43,28.00,28.54,30.65,30.99,,,,33.1205,0,32.9813,0,30860,,-0.7562,-0.6458,-0.1104,0
