Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,375.86,377.40,369.52,371.42,,,,,,,0,369.5200,1,223223,,,,,0
2023-07-14,377.68,380.86,372.95,379.08,,,,,,,0,369.5200,1,184271,,,,,0
2023-07-17,477.50,498.63,474.38,484.43,,,,,,,0,369.5200,1,1279816,,,,,0
2023-07-18,502.88,524.05,488.25,506.52,,,,,,,0,372.9500,1,443509,,,,,0
2023-07-19,519.24,534.83,519.00,528.48,,,,,,,0,382.0163,1,668474,,,,,0
2023-07-20,533.00,536.48,528.00,534.95,,,,,,,0,394.2414,1,272236,,,,,0
2023-07-21,545.39,550.76,539.45,548.43,,,,,,,0,408.4653,1,318693,,,,,0
2023-07-24,534.50,539.78,521.49,521.49,,,,,,,0,425.5406,1,339490,,,,,0
2023-07-25,529.04,534.41,524.93,525.94,,,,,,,0,440.5670,1,166618,,,,,0
2023-07-26,516.48,524.71,515.83,520.99,492.17,,,,,603.9900,0,453.7901,1,139730,,,,,0
2023-07-27,522.01,522.01,503.33,509.05,505.94,,,,,593.6233,0,465.4265,1,269542,,,,,0
2023-07-28,500.20,515.15,499.15,515.00,519.53,,,,,584.8102,0,475.6665,1,170568,,,,,0
2023-07-31,505.77,511.00,501.74,504.48,521.53,,,,,580.2432,0,484.6777,1,137319,,,,,0
2023-08-01,505.52,509.33,503.21,504.04,521.28,,,,,574.5896,0,492.6076,1,118147,,,,,0
2023-08-02,501.48,504.05,494.29,500.17,518.45,,,,,563.5896,0,550.7600,0,98533,,,,,0
2023-08-03,495.30,499.93,493.73,493.74,514.33,,,,,556.7374,0,549.6306,0,105759,,,,,0
2023-08-04,491.48,496.00,486.05,488.81,508.37,,,,,547.9267,0,547.3946,0,120296,,,,,0
2023-08-07,489.20,490.10,479.04,483.79,504.60,,,,,539.0995,0,543.7139,0,129898,,,,,0
2023-08-08,485.62,492.88,482.73,487.89,500.80,,,,,539.0995,0,538.5400,0,93821,,,,,0
2023-08-09,492.72,501.14,490.33,498.18,498.52,495.34,,,,539.0995,0,533.7800,0,136900,,,,,0
2023-08-10,500.19,506.36,498.81,502.92,497.90,501.92,,,,539.0995,0,529.4008,0,107625,,,,,0
2023-08-11,499.15,503.55,493.34,493.50,495.75,507.64,,,,539.0995,0,525.3719,0,128063,,,,,0
2023-08-14,493.13,506.96,491.69,506.96,496.00,508.77,,,,539.0995,0,521.6654,0,82026,,,,,0
2023-08-15,504.09,510.03,503.54,506.96,496.29,508.79,,,,539.0995,0,518.2554,0,117767,,,,,0
2023-08-16,501.30,506.05,498.15,501.97,496.47,507.46,,,,539.0995,0,515.1181,0,85435,,,,,0
2023-08-17,503.79,503.79,492.76,493.09,496.41,505.37,,,,539.0995,0,512.2319,0,79092,,,,,0
2023-08-18,487.32,491.75,487.32,488.59,496.39,502.38,,,,528.2614,0,509.5765,0,69233,,,,,0
2023-08-21,492.46,507.74,488.71,504.23,498.43,501.52,,,,528.2614,0,479.0400,1,112847,,,,,0
2023-08-22,502.73,504.86,499.81,500.81,499.72,500.26,,,,528.2614,0,479.6141,1,75121,,,,,0
2023-08-23,500.80,505.66,499.05,502.05,500.11,499.31,,,,528.2614,0,480.1767,1,57736,,,,,0
2023-08-24,503.29,508.22,502.84,507.33,500.55,499.23,,,,528.2614,0,480.7281,1,60271,,,,,0
2023-08-25,506.49,510.49,505.10,507.07,501.91,498.83,,,,528.2614,0,481.8278,1,39399,,,,,0
2023-08-28,507.61,515.30,504.67,508.61,502.07,499.04,,,,528.2614,0,483.5475,1,53506,,,,,0
2023-08-29,507.09,508.11,502.45,504.57,501.83,499.06,,,,528.2614,0,486.0881,1,51718,,2.8585,1.8347,1.0237,0
2023-08-30,511.88,513.70,502.89,503.35,501.97,499.22,,,,528.2614,0,488.4255,1,68103,,2.6985,2.0075,0.6910,0
2023-08-31,504.48,505.21,499.62,502.49,502.91,499.66,,,,528.2614,0,490.5758,1,81052,,2.4737,2.1007,0.3730,0
2023-09-01,519.23,520.38,513.71,514.77,505.53,500.96,,,,528.2614,0,492.5541,1,89570,,3.2491,2.3304,0.9187,0
2023-09-05,518.69,519.28,507.76,514.00,506.50,502.47,,,,528.2614,0,495.3367,1,99562,,3.7581,2.6159,1.1422,0
2023-09-06,514.51,522.57,514.51,517.46,508.17,503.95,,,,528.2614,0,497.8411,1,94126,,4.3901,2.9708,1.4193,0
2023-09-07,515.52,517.58,510.26,517.58,509.72,504.92,,,,528.2614,0,500.8085,1,97926,,4.8448,3.3456,1.4992,0
2023-09-08,517.14,520.37,509.04,509.70,509.96,505.25,,,,528.2614,0,503.4199,1,63101,,4.5172,3.5799,0.9373,0
2023-09-11,518.37,532.59,515.30,524.29,511.68,506.79,,,,528.2614,0,505.7179,1,120587,,5.3730,3.9385,1.4344,0
2023-09-12,518.00,523.93,517.10,521.77,513.00,507.53,,,,528.2614,0,509.0380,1,84370,,5.7812,4.3070,1.4741,0
2023-09-13,515.15,519.34,513.18,515.81,514.12,507.98,,,,528.2614,0,512.3360,1,87120,,5.5597,4.5576,1.0021,0
2023-09-14,516.49,526.20,516.49,523.38,516.13,509.05,,,,528.2614,0,513.1800,1,143982,,5.9266,4.8314,1.0952,0
2023-09-15,520.14,528.37,519.95,527.98,518.67,510.79,,,,528.2614,0,513.1800,1,177348,,6.5135,5.1678,1.3457,0
2023-09-18,521.87,525.57,519.07,523.23,519.52,512.52,,,,528.2614,0,515.8981,1,112808,,6.5202,5.4383,1.0819,0
2023-09-19,521.25,526.05,519.97,524.13,520.53,513.52,,,,528.2614,0,518.2357,1,96754,,6.5230,5.6552,0.8677,0
2023-09-20,527.46,527.46,513.93,514.01,520.19,514.18,,,,528.2614,0,532.5950,0,108508,,5.6435,5.6529,-0.0094,0
2023-09-21,513.81,513.81,502.85,505.41,518.97,514.35,503.90,,,528.2614,0,532.2217,0,119378,163620,4.2041,5.3631,-1.1590,0
2023-09-22,507.87,511.69,505.45,505.83,518.58,514.27,506.59,,,528.2614,0,531.0468,0,70260,160560,3.0619,4.9029,-1.8410,0
2023-09-25,504.67,510.68,500.87,508.78,517.03,514.36,509.18,,,528.2614,0,529.9189,0,60799,158091,2.3675,4.3958,-2.0283,0
2023-09-26,483.67,488.68,473.10,483.54,513.21,513.10,509.16,,,518.6132,0,528.1760,0,309030,138675,-0.2170,3.4733,-3.6902,0
2023-09-27,488.50,489.52,472.85,477.79,509.41,511.77,508.59,,,518.6132,0,523.7699,0,138034,132566,-2.6981,2.2390,-4.9371,0
