Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-09-14,56.10,66.28,55.54,63.59,,,,,,,0,55.5400,1,8300689,,,,,0
2023-09-15,68.63,69.00,60.75,60.75,,,,,,,0,55.5400,1,4541251,,,,,0
2023-09-18,57.95,58.74,55.02,58.00,,,,,,,0,69.0000,0,2005170,,,,,0
2023-09-19,56.25,56.78,53.88,55.17,,,,,,,0,69.0000,0,1010085,,,,,0
2023-09-20,55.17,55.40,51.52,52.91,,,,,,,0,68.3952,0,866110,,,,,0
2023-09-21,51.78,52.80,49.85,52.16,,,,,,,0,67.3827,0,782969,,,,,0
2023-09-22,52.90,52.90,50.35,51.32,,,,,,,0,65.9801,0,432638,,,,,0
2023-09-25,51.12,54.50,50.02,54.44,,,,,,,0,64.6897,0,702085,,,,,0
2023-09-26,53.93,54.53,52.70,53.52,,,,,,,0,63.5025,0,336293,,,,,0
2023-09-27,54.40,54.41,51.79,52.99,55.48,,,,,67.2763,0,62.4103,0,363866,,,,,0
2023-09-28,53.50,56.50,52.86,55.49,54.68,,,,,67.2763,0,61.4055,0,486414,,,,,0
2023-09-29,56.21,56.79,53.08,53.52,53.95,,,,,67.2763,0,60.4810,0,417991,,,,,0
2023-10-02,53.47,54.19,51.91,52.26,53.38,,,,,65.9551,0,59.6305,0,462872,,,,,0
2023-10-03,51.96,52.24,50.80,51.57,53.02,,,,,63.5701,0,58.8481,0,241745,,,,,0
2023-10-04,51.97,53.81,51.31,53.46,53.07,,,,,63.5701,0,58.1283,0,331799,,,,,0
2023-10-05,53.90,53.90,52.09,52.51,53.11,,,,,63.5701,0,57.4660,0,156711,,,,,0
2023-10-06,52.72,54.21,51.55,54.08,53.38,,,,,63.5605,0,56.8567,0,216818,,,,,0
2023-10-09,54.32,55.80,53.37,54.25,53.37,,,,,63.5605,0,56.2962,0,390475,,,,,0
2023-10-10,55.24,55.86,54.20,55.71,53.58,,,,,63.5605,0,49.8500,1,286244,,,,,0
2023-10-11,56.17,56.33,54.38,54.68,53.75,54.62,,,,63.5605,0,49.9702,1,243583,,,,,0
2023-10-12,54.75,54.75,51.41,51.85,53.39,54.03,,,,62.5508,0,50.2246,1,379703,,,,,0
2023-10-13,52.50,52.56,50.00,50.78,53.11,53.53,,,,60.5717,0,56.3300,0,327765,,,,,0
