Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-07-24,28.50,29.45,25.94,26.50,,,,,,,0,25.9400,1,595924,,,,,0
2025-07-25,26.24,31.18,26.12,29.79,,,,,,,0,25.9400,1,177304,,,,,0
2025-07-28,29.77,30.94,29.11,29.48,,,,,,,0,25.9400,1,70053,,,,,0
2025-07-29,29.00,29.65,27.66,28.38,,,,,,,0,26.0448,1,45516,,,,,0
2025-07-30,28.01,29.06,26.76,27.18,,,,,,,0,26.1475,1,113944,,,,,0
2025-07-31,27.13,28.38,26.80,27.54,,,,,,,0,26.2482,1,38760,,,,,0
2025-08-01,27.01,27.96,26.12,26.86,,,,,,,0,31.1800,0,24711,,,,,0
2025-08-04,26.65,27.65,26.50,27.05,,,,,,,0,31.0788,0,15995,,,,,0
2025-08-05,27.00,28.49,27.00,28.40,,,,,,,0,30.9796,0,16762,,,,,0
2025-08-06,28.96,29.22,28.19,28.95,28.01,,,,,35.2376,0,30.8824,0,33643,,,,,0
2025-08-07,28.48,28.98,27.18,27.24,28.09,,,,,34.4998,0,30.7872,0,17649,,,,,0
2025-08-08,27.23,28.49,26.54,27.53,27.86,,,,,33.8778,0,30.6938,0,20524,,,,,0
2025-08-11,27.40,28.58,27.18,27.52,27.67,,,,,33.8778,0,30.6024,0,16545,,,,,0
2025-08-12,27.10,28.83,26.80,28.55,27.68,,,,,33.8778,0,30.5127,0,17698,,,,,0
2025-08-13,28.50,29.07,28.37,28.80,27.84,,,,,33.8778,0,30.4249,0,8358,,,,,0
2025-08-14,28.53,28.89,27.79,28.33,27.92,,,,,33.8320,0,30.3388,0,9134,,,,,0
2025-08-15,28.18,28.76,27.90,28.33,28.07,,,,,33.5308,0,30.2544,0,9176,,,,,0
2025-08-18,28.11,29.29,28.11,28.55,28.22,,,,,33.5308,0,30.1717,0,11403,,,,,0
2025-08-19,28.55,29.94,28.11,29.39,28.32,,,,,33.5308,0,30.0907,0,19436,,,,,0
2025-08-20,29.20,30.48,28.59,30.00,28.42,28.22,,,,33.5308,0,26.1200,1,37140,,,,,0
2025-08-21,30.00,30.15,29.07,29.70,28.67,28.38,,,,33.5308,0,26.2071,1,20255,,,,,0
2025-08-22,29.42,30.35,29.35,30.05,28.92,28.39,,,,33.5308,0,26.2925,1,22649,,,,,0
2025-08-25,29.96,30.27,29.45,29.85,29.15,28.41,,,,33.5308,0,26.3761,1,19549,,,,,0
2025-08-26,29.84,30.00,28.66,29.23,29.22,28.45,,,,33.5308,0,26.4581,1,26368,,,,,0
2025-08-27,29.23,29.79,28.84,29.29,29.27,28.56,,,,33.5308,0,26.5384,1,26941,,,,,0
2025-08-28,28.00,28.40,20.59,21.57,28.60,28.26,,,,30.9824,0,30.4750,0,158466,,,,,0
2025-08-29,21.50,21.66,18.26,20.05,27.77,27.92,,,,26.8187,0,30.2773,0,89389,,,,,0
2025-09-02,20.00,21.68,19.72,21.22,27.03,27.63,,,,26.8187,0,29.7966,0,40562,,,,,0
2025-09-03,20.84,21.25,20.07,20.52,26.15,27.23,,,,26.8187,0,29.3351,0,30060,,,,,0
2025-09-04,20.52,20.81,19.94,20.56,25.20,26.81,,,,26.4333,0,28.8921,0,25406,,,,,0
2025-09-05,20.73,20.73,19.99,20.15,24.25,26.46,,,,26.0321,0,28.4669,0,16303,,,,,0
2025-09-08,20.00,20.48,19.93,20.22,23.27,26.09,,,,25.4781,0,28.0586,0,18687,,,,,0
2025-09-09,20.10,20.25,19.30,20.08,22.29,25.72,,,,24.8076,0,27.6666,0,33028,,,,,0
2025-09-10,19.81,20.50,19.44,19.65,21.33,25.28,,,,24.8076,0,27.2904,0,31969,,-2.3196,-1.6043,-0.7153,0
2025-09-11,19.60,19.84,18.63,18.70,20.27,24.77,,,,23.9639,0,26.9292,0,19029,,-2.4307,-1.7696,-0.6611,0
2025-09-12,18.75,18.75,17.02,17.21,19.84,24.22,,,,22.6578,0,26.5824,0,31596,,-2.6089,-1.9375,-0.6715,0
2025-09-15,17.25,17.90,17.10,17.57,19.59,23.68,,,,22.0355,0,26.0086,0,19694,,-2.6901,-2.0880,-0.6021,0
2025-09-16,17.36,17.61,16.58,16.95,19.16,23.10,,,,21.4859,0,25.4693,0,17597,,-2.7725,-2.2249,-0.5476,0
2025-09-17,17.05,17.35,16.33,16.47,18.76,22.45,,,,21.0978,0,24.7582,0,21538,,-2.8437,-2.3487,-0.4951,0
2025-09-18,16.77,17.13,16.26,17.10,18.41,21.81,,,,20.7881,0,23.9154,0,18781,,-2.8169,-2.4423,-0.3746,0
2025-09-19,16.86,17.13,16.15,16.32,18.03,21.14,,,,20.6177,0,22.9967,0,7870,,-2.8260,-2.5190,-0.3069,0
