Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,8.69,8.77,8.26,8.26,,,,,,,0,8.7700,0,3811,,,,,0
2023-07-19,8.31,8.51,8.06,8.35,,,,,,,0,8.7700,0,4270,,,,,0
2023-07-20,8.35,8.37,8.11,8.27,,,,,,,0,8.7700,0,3317,,,,,0
2023-07-21,8.37,8.37,7.83,7.92,,,,,,,0,8.7558,0,4088,,,,,0
2023-07-24,7.93,8.05,7.77,7.90,,,,,,,0,8.7188,0,2949,,,,,0
2023-07-25,7.91,8.12,7.73,7.90,,,,,,,0,8.6618,0,5389,,,,,0
2023-07-26,7.91,8.10,7.86,8.02,,,,,,,0,8.5873,0,3944,,,,,0
2023-07-27,8.03,8.07,7.73,7.77,,,,,,,0,8.5187,0,5557,,,,,0
2023-07-28,8.00,8.14,7.83,7.99,,,,,,,0,8.4556,0,3010,,,,,0
2023-07-31,8.05,8.39,7.96,8.34,8.07,,,,,9.3140,0,8.3976,0,4643,,,,,0
2023-08-01,8.31,8.31,7.91,8.18,8.06,,,,,9.2689,0,8.3850,0,4372,,,,,0
2023-08-02,7.93,7.95,7.40,7.43,7.97,,,,,8.9472,0,8.3850,0,5666,,,,,0
2023-08-03,8.05,8.18,7.44,7.47,7.89,,,,,8.9472,0,8.3150,0,5901,,,,,0
2023-08-04,7.50,8.18,7.43,7.84,7.88,,,,,8.9472,0,8.2235,0,4359,,,,,0
2023-08-07,7.87,7.89,6.92,7.00,7.79,,,,,8.9472,0,8.1800,0,11411,,,,,0
2023-08-08,6.87,7.00,6.51,6.81,7.69,,,,,8.3465,0,8.1800,0,8728,,,,,0
2023-08-09,7.29,7.41,6.80,6.89,7.57,,,,,8.3465,0,7.9462,0,5885,,,,,0
2023-08-10,7.00,7.30,6.66,6.83,7.48,,,,,8.3465,0,7.7451,0,5433,,,,,0
2023-08-11,6.70,6.80,6.29,6.35,7.31,,,,,8.1882,0,7.5722,0,11031,,,,,0
2023-08-14,6.25,6.71,6.21,6.66,7.15,7.61,,,,8.0889,0,7.3671,0,5734,,,,,0
2023-08-15,6.49,6.51,6.27,6.28,6.96,7.51,,,,7.9730,0,7.1588,0,4421,,,,,0
2023-08-16,6.21,6.42,6.05,6.05,6.82,7.40,,,,7.7707,0,6.9880,0,4240,,,,,0
2023-08-17,6.07,6.20,5.85,5.91,6.66,7.28,,,,7.5122,0,6.8004,0,4183,,,,,0
2023-08-18,5.80,5.99,5.73,5.74,6.45,7.17,,,,7.2764,0,6.6103,0,3957,,,,,0
2023-08-21,5.76,5.96,5.76,5.83,6.33,7.06,,,,7.2008,0,6.4343,0,3702,,,,,0
2023-08-22,5.88,5.99,5.53,5.57,6.21,6.95,,,,7.1037,0,6.2934,0,3747,,,,,0
2023-08-23,5.66,5.90,5.60,5.75,6.10,6.83,,,,7.0606,0,6.1397,0,4239,,,,,0
2023-08-24,5.73,5.88,5.54,5.64,5.98,6.73,,,,6.9915,0,6.0168,0,3382,,,,,0
2023-08-25,5.62,5.71,5.32,5.55,5.90,6.61,,,,6.7864,0,5.9184,0,3326,,,,,0
2023-08-28,5.61,5.85,5.61,5.78,5.81,6.48,,,,6.7864,0,5.8800,0,3507,,,,,0
2023-08-29,5.75,6.29,5.70,6.20,5.80,6.38,,,,6.7864,0,5.3250,1,4105,,,,,0
2023-08-30,6.21,6.26,6.08,6.20,5.82,6.32,,,,6.7864,0,5.3443,1,2347,,,,,0
2023-08-31,6.26,6.41,6.06,6.09,5.83,6.25,,,,6.7864,0,5.3632,1,4085,,,,,0
2023-09-01,6.18,6.44,6.18,6.36,5.90,6.17,,,,6.7864,0,5.4053,1,3232,,-0.5379,-0.7528,0.2149,0
2023-09-05,6.27,6.30,5.98,6.19,5.93,6.13,,,,6.7864,0,5.4674,1,4277,,-0.4919,-0.7006,0.2087,0
2023-09-06,6.23,6.27,6.05,6.22,6.00,6.10,,,,6.7864,0,5.5257,1,2844,,-0.4479,-0.6501,0.2022,0
2023-09-07,6.46,6.58,6.28,6.51,6.07,6.09,,,,6.7864,0,5.5806,1,3921,,-0.3851,-0.5971,0.2119,0
2023-09-08,6.51,6.60,6.22,6.33,6.14,6.06,,,,6.7864,0,5.6605,1,3856,,-0.3460,-0.5469,0.2009,0
2023-09-11,6.50,6.52,6.29,6.30,6.22,6.06,,,,6.7864,0,5.7545,1,5051,,-0.3137,-0.5002,0.1865,0
2023-09-12,6.25,6.36,6.20,6.34,6.27,6.04,,,,6.7864,0,5.8390,1,3620,,-0.2817,-0.4565,0.1748,0
2023-09-13,6.34,6.35,6.24,6.26,6.28,6.04,,,,6.7864,0,5.9151,1,4111,,-0.2598,-0.4172,0.1574,0
2023-09-14,6.36,6.49,6.26,6.34,6.29,6.06,,,,6.7864,0,5.9836,1,4121,,-0.2332,-0.3804,0.1471,0
2023-09-15,6.31,6.47,6.24,6.44,6.33,6.08,,,,6.7864,0,6.0453,1,6584,,-0.2018,-0.3447,0.1428,0
2023-09-18,6.44,6.44,5.94,5.96,6.29,6.09,,,,6.7864,0,6.6000,0,6993,,-0.2132,-0.3184,0.1052,0
2023-09-19,5.94,6.78,5.94,6.62,6.33,6.13,,,,6.7864,0,5.9400,1,7563,,-0.1670,-0.2881,0.1211,0
2023-09-20,6.68,6.96,6.44,6.47,6.36,6.18,,,,6.7864,0,5.9400,1,4528,,-0.1409,-0.2587,0.1177,0
2023-09-21,6.36,6.47,6.26,6.36,6.34,6.21,,,,6.7864,0,5.9400,1,5339,,-0.1276,-0.2325,0.1048,0
2023-09-22,6.47,6.78,6.40,6.70,6.38,6.26,,,,6.7864,0,5.9808,1,5463,,-0.0887,-0.2037,0.1150,0
2023-09-25,6.56,6.93,6.51,6.85,6.43,6.33,,,,5.5814,1,6.0200,1,4298,,-0.0451,-0.1720,0.1269,0
2023-09-26,6.77,7.44,6.76,7.34,6.53,6.40,6.77,,,5.8690,1,6.0576,1,11596,4923,0.0286,-0.1319,0.1604,0
2023-09-27,7.47,8.54,7.42,8.50,6.76,6.52,6.77,,,6.5121,1,6.1405,1,28694,5420,0.1785,-0.0698,0.2483,0
2023-09-28,8.40,8.40,7.87,8.32,6.96,6.63,6.77,,,6.6249,1,6.3325,1,19921,5733,0.2796,0.0001,0.2795,0
2023-09-29,8.50,8.78,8.41,8.60,7.17,6.75,6.78,,,7.0989,1,6.5091,1,14128,5950,0.3780,0.0757,0.3023,0
2023-10-02,8.57,8.63,7.69,7.94,7.37,6.83,6.78,,,7.0989,1,6.7367,1,9135,6051,0.3981,0.1401,0.2579,0
2023-10-03,7.92,7.92,7.30,7.39,7.45,6.89,6.77,,,7.0989,1,6.9415,1,4906,6090,0.3654,0.1852,0.1802,0
2023-10-04,7.33,7.47,6.95,7.33,7.53,6.95,6.76,,,7.0989,1,8.7850,0,7675,6135,0.3308,0.2143,0.1165,0
2023-10-05,7.26,7.61,7.08,7.57,7.65,7.00,6.75,,,7.0989,1,8.7483,0,7126,6199,0.3192,0.2353,0.0839,0
2023-10-06,7.51,7.89,7.43,7.85,7.77,7.07,6.75,,,7.0989,1,8.7123,0,4943,6187,0.3287,0.2540,0.0747,0
2023-10-09,7.72,7.84,7.47,7.79,7.86,7.15,6.75,,,7.0989,1,8.6771,0,5307,6233,0.3276,0.2687,0.0589,0
2023-10-10,7.82,8.62,7.81,8.43,7.97,7.25,6.75,,,7.0989,1,8.6425,0,8814,6316,0.3741,0.2898,0.0843,0
2023-10-11,8.51,9.16,8.45,8.91,8.01,7.39,6.76,,,7.0989,1,6.9500,1,9468,6418,0.4446,0.3208,0.1238,0
2023-10-12,8.90,8.90,8.25,8.40,8.02,7.49,6.78,,,7.0989,1,6.9942,1,8298,6471,0.4540,0.3474,0.1066,0
2023-10-13,8.37,8.58,8.18,8.32,7.99,7.58,6.80,,,7.0989,1,7.0375,1,4604,6445,0.4499,0.3679,0.0820,0
2023-10-16,8.38,8.50,8.12,8.31,8.03,7.70,6.81,,,7.0989,1,7.0800,1,4496,6447,0.4407,0.3825,0.0582,0
2023-10-17,8.20,8.32,8.00,8.01,8.09,7.77,6.83,,,7.0989,1,7.1216,1,6458,6348,0.4046,0.3869,0.0177,0
2023-10-18,7.78,7.88,7.07,7.13,8.07,7.80,6.83,,,7.0989,1,9.1600,0,8440,6343,0.3014,0.3698,-0.0684,0
2023-10-19,7.10,7.39,7.00,7.18,8.03,7.84,6.84,,,7.0989,1,9.1183,0,6700,6359,0.2212,0.3401,-0.1189,0
2023-10-20,7.07,7.30,6.88,6.90,7.94,7.85,6.84,,,8.6903,0,9.0336,0,4945,6349,0.1335,0.2987,-0.1653,0
2023-10-23,6.84,6.96,6.62,6.67,7.83,7.84,6.85,,,8.3323,0,8.9044,0,5054,6230,0.0449,0.2480,-0.2031,0
2023-10-24,7.20,8.67,7.20,8.43,7.83,7.90,6.88,,,5.9469,1,8.7216,0,23278,6581,0.1153,0.2214,-0.1061,0
2023-10-25,8.39,8.64,7.96,8.38,7.77,7.89,6.93,,,6.3067,1,8.6700,0,12886,6750,0.1652,0.2102,-0.0450,0
2023-10-26,8.26,8.34,7.58,7.74,7.71,7.86,6.96,,,6.3067,1,8.6700,0,8143,6828,0.1514,0.1984,-0.0470,0
2023-10-27,7.79,7.84,7.36,7.52,7.63,7.81,6.99,,,6.3067,1,8.6400,0,5073,6846,0.1213,0.1830,-0.0617,0
2023-10-30,7.67,7.74,7.17,7.52,7.55,7.79,7.03,,,6.3067,1,8.4784,0,5122,6869,0.0963,0.1657,-0.0694,0
2023-10-31,7.43,7.75,7.37,7.72,7.52,7.81,7.06,,,6.3067,1,8.3297,0,5044,6896,0.0916,0.1509,-0.0593,0
2023-11-01,7.66,7.72,7.47,7.71,7.58,7.82,7.11,,,6.3067,1,8.1930,0,3756,6896,0.0861,0.1379,-0.0518,0
2023-11-02,8.13,9.10,8.05,8.58,7.72,7.88,7.16,,,6.5790,1,6.6200,1,11248,7036,0.1502,0.1404,0.0098,0
2023-11-03,8.70,9.33,8.60,9.04,7.93,7.93,7.23,,,6.9436,1,6.6696,1,9305,7155,0.2354,0.1594,0.0760,0
2023-11-06,9.16,9.16,8.58,9.00,8.16,8.00,7.30,,,6.9436,1,6.7760,1,7593,7240,0.2962,0.1867,0.1095,0
2023-11-07,8.92,9.49,8.90,9.45,8.27,8.05,7.37,,,7.2251,1,6.8782,1,9229,7354,0.3764,0.2247,0.1518,0
2023-11-08,9.40,9.71,9.16,9.70,8.40,8.09,7.44,,,7.4924,1,7.0352,1,7675,7426,0.4549,0.2707,0.1842,0
2023-11-09,9.88,9.92,8.81,8.86,8.51,8.11,7.50,,,7.4924,1,7.2492,1,7118,7521,0.4443,0.3054,0.1388,0
2023-11-10,8.90,9.25,8.76,9.14,8.67,8.15,7.56,,,7.4924,1,7.5163,1,4948,7538,0.4531,0.3350,0.1182,0
2023-11-13,9.00,9.28,8.79,9.14,8.83,8.19,7.61,,,7.4924,1,7.7566,1,4448,7563,0.4550,0.3590,0.0960,0
2023-11-14,9.74,9.95,9.57,9.94,9.06,8.29,7.69,,,7.7510,1,7.9730,1,8332,7644,0.5150,0.3902,0.1248,0
2023-11-15,10.12,10.57,10.02,10.35,9.32,8.45,7.77,,,8.2979,1,8.2102,1,12863,7844,0.5889,0.4299,0.1590,0
2023-11-16,10.13,10.25,9.89,10.08,9.47,8.59,7.84,,,8.2979,1,8.5406,1,6842,7903,0.6185,0.4676,0.1509,0
2023-11-17,10.24,10.74,10.22,10.64,9.63,8.78,7.93,,,8.5386,1,8.8247,1,8206,7990,0.6794,0.5100,0.1694,0
2023-11-20,10.64,11.12,10.51,10.98,9.83,9.00,8.02,,,8.8848,1,9.1319,1,9030,8069,0.7464,0.5573,0.1891,0
2023-11-21,10.70,10.86,10.19,10.53,9.94,9.10,8.11,,,8.8848,1,9.4898,1,7648,8150,0.7545,0.5967,0.1578,0
2023-11-22,10.75,10.83,10.45,10.71,10.04,9.22,8.20,,,8.8848,1,9.7832,1,4436,8156,0.7667,0.6307,0.1360,0
2023-11-24,10.70,11.02,10.67,10.73,10.22,9.37,8.28,,,9.0391,1,10.0239,1,2489,8124,0.7690,0.6584,0.1107,0
2023-11-27,10.59,11.01,10.31,10.84,10.39,9.53,8.37,,,9.0391,1,10.2212,1,5235,8097,0.7709,0.6809,0.0900,0
2023-11-28,10.76,11.00,10.57,10.93,10.57,9.70,8.47,,,9.0391,1,10.3100,1,4633,8050,0.7707,0.6989,0.0719,0
2023-11-29,11.10,11.39,10.67,10.82,10.66,9.86,8.55,,,9.2112,1,10.3100,1,6648,8031,0.7531,0.7097,0.0434,0
2023-11-30,10.93,10.93,10.31,10.48,10.67,10.00,8.64,,,9.2112,1,11.3900,0,8014,8101,0.7035,0.7085,-0.0049,0
2023-12-01,10.43,11.22,10.37,11.07,10.77,10.12,8.73,,,9.2112,1,11.3900,0,8269,8160,0.7037,0.7075,-0.0038,0
2023-12-04,11.05,11.29,10.81,10.87,10.80,10.21,8.81,,,9.2112,1,11.3684,0,6237,8175,0.6800,0.7020,-0.0221,0
2023-12-05,10.70,10.87,10.36,10.65,10.76,10.30,8.89,,,9.2112,1,11.3472,0,8620,8261,0.6360,0.6888,-0.0528,0
2023-12-06,11.71,12.80,11.68,11.97,10.91,10.42,8.98,,,9.9587,1,10.3100,1,29315,8616,0.6996,0.6910,0.0087,0
2023-12-07,11.95,12.02,11.45,11.68,11.00,10.52,9.04,,,9.9587,1,10.3598,1,11467,8271,0.7184,0.6965,0.0219,0
2023-12-08,11.63,13.07,11.63,13.03,11.23,10.73,9.14,,,9.9587,1,10.4086,1,18692,8247,0.8326,0.7237,0.1089,0
2023-12-11,13.05,13.15,12.34,12.44,11.39,10.89,9.22,,,10.3117,1,10.5151,1,11665,8197,0.8655,0.7520,0.1134,0
2023-12-12,12.41,12.41,11.95,12.28,11.53,11.05,9.30,,,10.3117,1,10.6732,1,6265,8140,0.8686,0.7754,0.0933,0
2023-12-13,12.28,13.45,12.07,13.26,11.77,11.22,9.42,,,10.3117,1,10.8218,1,13077,8303,0.9394,0.8082,0.1312,0
2023-12-14,13.58,14.08,13.20,13.82,12.11,11.39,9.55,,,11.1104,1,11.0320,1,13562,8421,1.0288,0.8523,0.1765,0
2023-12-15,14.13,14.22,13.57,13.79,12.38,11.58,9.67,,,11.4234,1,11.3368,1,13775,8554,1.0847,0.8988,0.1859,0
