Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,19.93,20.00,19.66,19.78,,,,,,,0,19.6587,1,68795,,,,,0
2023-07-14,20.10,20.29,19.92,19.95,,,,,,,0,19.6587,1,51592,,,,,0
2023-07-17,19.91,20.12,19.63,20.09,,,,,,,0,20.2854,0,32596,,,,,0
2023-07-18,20.52,20.81,20.38,20.63,,,,,,,0,19.6319,1,62273,,,,,0
2023-07-19,20.69,20.77,20.46,20.64,,,,,,,0,19.6319,1,43314,,,,,0
2023-07-20,20.75,20.80,20.21,20.35,,,,,,,0,19.6555,1,45383,,,,,0
2023-07-21,20.06,20.36,20.03,20.14,,,,,,,0,19.6787,1,47698,,,,,0
2023-07-24,20.26,20.29,19.83,19.91,,,,,,,0,19.7013,1,29339,,,,,0
2023-07-25,19.92,20.13,19.89,20.04,,,,,,,0,19.7236,1,33153,,,,,0
2023-07-26,20.11,20.14,19.80,20.03,20.16,,,,,21.2638,0,19.7454,1,31345,,,,,0
2023-07-27,19.88,19.95,19.25,19.29,20.11,,,,,20.9968,0,20.8135,0,54233,,,,,0
2023-07-28,19.80,19.87,19.65,19.71,20.08,,,,,20.9968,0,20.7822,0,28053,,,,,0
2023-07-31,19.69,20.05,19.66,19.87,20.06,,,,,20.9968,0,20.7515,0,33475,,,,,0
2023-08-01,18.33,18.52,17.80,17.86,19.78,,,,,20.0479,0,20.7214,0,76857,,,,,0
2023-08-02,17.69,17.83,17.31,17.48,19.47,,,,,19.4365,0,20.6044,0,34064,,,,,0
2023-08-03,17.14,17.36,17.04,17.08,19.14,,,,,19.0085,0,20.4069,0,53262,,,,,0
2023-08-04,16.99,17.35,16.91,17.24,18.85,,,,,18.8917,0,20.1372,0,69409,,,,,0
2023-08-07,17.01,17.04,16.57,16.66,18.53,,,,,18.5947,0,19.8146,0,45152,,,,,0
2023-08-08,16.26,16.52,16.17,16.41,18.16,,,,,18.0982,0,19.4252,0,34990,,,,,0
2023-08-09,16.55,16.55,16.11,16.32,17.79,18.97,,,,18.0452,0,18.9692,0,36783,,,,,0
2023-08-10,16.66,16.72,16.15,16.23,17.49,18.80,,,,18.0452,0,18.5123,0,39781,,,,,0
2023-08-11,16.02,16.11,15.93,16.02,17.12,18.60,,,,17.6544,0,18.1285,0,34808,,,,,0
2023-08-14,15.85,15.93,15.72,15.85,16.72,18.39,,,,17.3857,0,17.7336,0,28359,,,,,0
2023-08-15,15.79,15.93,15.59,15.65,16.50,18.14,,,,17.2692,0,17.3309,0,32950,,,,,0
2023-08-16,15.42,15.47,15.23,15.25,16.27,17.87,,,,16.8287,0,16.9836,0,32934,,,,,0
2023-08-17,14.85,14.98,14.67,14.74,16.04,17.59,,,,16.3289,0,16.6324,0,68406,,,,,0
2023-08-18,14.59,14.65,14.45,14.56,15.77,17.31,,,,15.9913,0,16.2404,0,31574,,,,,0
2023-08-21,14.55,14.60,14.29,14.55,15.56,17.04,,,,15.8339,0,15.8820,0,42949,,,,,0
2023-08-22,14.56,14.59,14.31,14.57,15.37,16.77,,,,15.7872,0,15.5631,0,32965,,,,,0
2023-08-23,14.97,15.41,14.96,15.39,15.28,16.54,,,,15.7872,0,14.2875,1,71003,,,,,0
2023-08-24,15.38,15.70,15.28,15.52,15.21,16.35,,,,15.7872,0,14.3099,1,39240,,,,,0
2023-08-25,15.77,15.84,15.34,15.52,15.16,16.14,,,,15.7872,0,14.3655,1,39420,,,,,0
2023-08-28,15.61,15.79,15.45,15.55,15.13,15.92,,,,15.7872,0,14.4541,1,41351,,,,,0
2023-08-29,15.40,15.66,15.34,15.60,15.12,15.81,,,,15.7872,0,14.5375,1,30156,,-1.2566,-1.6369,0.3803,0
2023-08-30,15.87,16.03,15.67,15.74,15.17,15.72,,,,15.7872,0,14.6159,1,35982,,-1.1510,-1.5397,0.3888,0
2023-08-31,15.57,15.63,15.17,15.25,15.22,15.63,,,,15.7872,0,14.7291,1,32042,,-1.0937,-1.4505,0.3568,0
2023-09-01,15.74,15.80,15.25,15.26,15.29,15.53,,,,15.7872,0,14.8333,1,28393,,-1.0357,-1.3675,0.3319,0
2023-09-05,15.04,15.13,14.78,14.83,15.32,15.44,,,,15.7872,0,16.0318,0,27891,,-1.0127,-1.2966,0.2838,0
2023-09-06,14.81,15.23,14.77,15.01,15.37,15.37,,,,15.7872,0,16.0069,0,31181,,-0.9689,-1.2310,0.2621,0
2023-09-07,14.94,15.03,14.74,14.78,15.31,15.29,,,,15.7872,0,15.9573,0,20549,,-0.9414,-1.1731,0.2317,0
2023-09-08,14.88,15.19,14.85,15.01,15.25,15.23,,,,15.7872,0,15.8843,0,33862,,-0.8913,-1.1168,0.2255,0
2023-09-11,15.41,15.53,15.34,15.38,15.24,15.20,,,,15.7872,0,15.8156,0,33625,,-0.8125,-1.0559,0.2434,0
2023-09-12,15.57,15.97,15.48,15.87,15.27,15.20,,,,14.5038,1,14.7400,1,40852,,-0.7021,-0.9852,0.2830,0
2023-09-13,15.83,16.00,15.46,15.53,15.27,15.19,,,,14.5038,1,14.7645,1,48143,,-0.6349,-0.9151,0.2802,0
2023-09-14,15.52,15.83,15.43,15.64,15.26,15.21,,,,14.5038,1,14.8138,1,32631,,-0.5664,-0.8454,0.2790,0
2023-09-15,15.76,16.15,15.71,16.13,15.34,15.28,,,,14.5120,1,14.8611,1,94983,,-0.4669,-0.7697,0.3028,0
2023-09-18,16.09,16.50,15.93,16.19,15.44,15.37,,,,14.7712,1,14.9383,1,45239,,-0.3786,-0.6914,0.3129,0
2023-09-19,16.15,16.19,15.82,16.03,15.56,15.44,,,,14.7712,1,15.0631,1,39007,,-0.3180,-0.6167,0.2988,0
2023-09-20,16.03,16.78,16.03,16.68,15.72,15.55,,,,14.9089,1,15.1779,1,59161,,-0.2153,-0.5365,0.3211,0
2023-09-21,16.15,16.57,16.00,16.43,15.89,15.60,16.88,,,14.9089,1,15.3378,1,45722,42538,-0.1525,-0.4597,0.3072,0
2023-09-22,16.67,16.75,16.24,16.28,16.02,15.64,16.81,,,14.9476,1,15.4817,1,29205,41747,-0.1130,-0.3903,0.2773,0
2023-09-25,16.19,16.49,15.81,16.49,16.13,15.68,16.75,,,14.9476,1,15.6111,1,31395,41343,-0.0643,-0.3251,0.2608,0
2023-09-26,16.15,16.35,16.08,16.31,16.17,15.72,16.67,,,14.9476,1,15.7277,1,22780,41146,-0.0397,-0.2680,0.2283,0
2023-09-27,15.66,15.66,14.82,14.91,16.11,15.69,16.56,,,17.0362,0,16.7765,0,70500,41311,-0.1317,-0.2408,0.1091,0
2023-09-28,14.64,14.86,14.41,14.65,16.01,15.63,16.44,,,16.4490,0,16.7373,0,51585,41476,-0.2229,-0.2372,0.0143,0
2023-09-29,14.84,14.87,14.11,14.17,15.81,15.58,16.31,,,16.3570,0,16.6442,0,53981,41648,-0.3298,-0.2557,-0.0741,0
2023-10-02,13.68,13.81,13.55,13.69,15.56,15.50,16.18,,,15.5426,0,16.4922,0,43578,41566,-0.4485,-0.2943,-0.1542,0
2023-10-03,13.55,13.68,13.38,13.47,15.31,15.43,16.05,,,15.3022,0,16.2566,0,39725,41774,-0.5535,-0.3461,-0.2074,0
2023-10-04,13.68,14.01,13.59,13.87,15.03,15.38,15.93,,,15.3022,0,15.9686,0,39007,41891,-0.5980,-0.3965,-0.2015,0
2023-10-05,13.67,13.97,13.67,13.91,14.78,15.33,15.81,,,15.3022,0,15.7093,0,31014,41884,-0.6232,-0.4418,-0.1813,0
2023-10-06,14.00,14.47,14.00,14.31,14.58,15.30,15.71,,,15.3022,0,15.4760,0,26073,41321,-0.6036,-0.4742,-0.1294,0
2023-10-09,15.05,15.68,14.93,15.34,14.46,15.30,15.62,,,13.3876,1,13.3763,1,61996,42000,-0.4991,-0.4792,-0.0199,0
2023-10-10,16.09,16.52,15.92,16.15,14.45,15.31,15.55,,,14.1418,1,13.4224,1,58070,42492,-0.3471,-0.4528,0.1057,0
2023-10-11,16.94,17.13,16.75,16.98,14.65,15.38,15.53,,,14.7740,1,13.5462,1,65649,42267,-0.1575,-0.3937,0.2362,0
2023-10-12,17.02,17.22,16.61,16.79,14.87,15.44,15.52,,,14.7805,1,13.7610,1,42156,42429,-0.0222,-0.3194,0.2972,0
2023-10-13,17.49,17.66,17.13,17.49,15.20,15.51,15.52,,,15.2151,1,14.0374,1,56039,42485,0.1399,-0.2275,0.3674,0
2023-10-16,17.45,17.46,16.64,16.82,15.51,15.54,15.52,,,15.2151,1,14.3992,1,54139,42179,0.2116,-0.1397,0.3513,0
2023-10-17,16.81,17.13,16.79,17.05,15.87,15.59,15.52,,,15.2151,1,14.7249,1,29331,41863,0.2840,-0.0550,0.3390,0
2023-10-18,17.09,17.13,16.64,16.91,16.18,15.60,15.53,,,15.2151,1,15.0179,1,49417,42152,0.3260,0.0212,0.3048,0
