Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-07-16,23.56,23.85,22.60,23.32,,,,,,,0,23.8493,0,46376,,,,,0
2025-07-17,23.32,23.70,22.60,22.60,,,,,,,0,23.8493,0,18979,,,,,0
2025-07-18,22.89,23.58,22.84,23.08,,,,,,,0,23.8493,0,9269,,,,,0
2025-07-21,23.08,24.44,23.08,23.92,,,,,,,0,22.5992,1,12617,,,,,0
2025-07-22,23.80,24.59,23.67,24.31,,,,,,,0,22.6359,1,12152,,,,,0
2025-07-23,24.05,24.49,23.91,24.18,,,,,,,0,22.7141,1,7333,,,,,0
2025-07-24,23.74,24.10,23.51,23.87,,,,,,,0,22.7891,1,2529,,,,,0
2025-07-25,23.67,24.30,23.26,24.27,,,,,,,0,22.8611,1,2814,,,,,0
2025-07-28,23.96,24.20,23.02,23.24,,,,,,,0,22.9303,1,3123,,,,,0
2025-07-29,23.18,23.43,22.96,23.26,23.61,,,,,26.0808,0,24.5898,0,2876,,,,,0
2025-07-30,22.86,23.29,22.65,22.78,23.55,,,,,25.7574,0,24.5573,0,5953,,,,,0
2025-07-31,22.71,23.57,22.71,23.44,23.63,,,,,25.7574,0,24.4809,0,1894,,,,,0
2025-08-01,23.28,24.07,23.25,23.39,23.67,,,,,25.7574,0,24.4076,0,1802,,,,,0
2025-08-04,22.21,23.92,21.39,23.87,23.66,,,,,25.7574,0,24.3372,0,3999,,,,,0
2025-08-05,23.28,24.04,22.70,23.76,23.61,,,,,25.7574,0,24.1604,0,6588,,,,,0
2025-08-06,24.26,24.60,23.72,24.14,23.60,,,,,25.7574,0,21.3904,1,5517,,,,,0
2025-08-07,24.43,24.84,23.75,24.56,23.67,,,,,25.7574,0,21.4546,1,4362,,,,,0
2025-08-08,24.52,25.55,24.38,25.24,23.77,,,,,25.7574,0,21.5900,1,7678,,,,,0
2025-08-11,24.27,25.85,24.16,25.82,24.03,,,,,21.7015,1,21.8277,1,5265,,,,,0
2025-08-12,26.06,27.06,25.63,25.95,24.30,23.95,,,,22.8173,1,22.1498,1,3475,,,,,0
2025-08-13,25.68,25.95,25.03,25.56,24.57,24.06,,,,22.8173,1,22.6410,1,4149,,,,,0
2025-08-14,25.29,27.05,25.00,26.97,24.93,24.28,,,,22.8173,1,23.0830,1,4554,,,,,0
2025-08-15,27.21,27.51,26.70,27.24,25.31,24.49,,,,23.5113,1,23.4808,1,3334,,,,,0
2025-08-18,27.33,27.75,26.65,27.59,25.68,24.67,,,,23.6386,1,23.9642,1,3426,,,,,0
2025-08-19,27.98,27.98,25.91,26.50,25.96,24.78,,,,23.6386,1,24.4942,1,3470,,,,,0
2025-08-20,26.07,26.80,25.98,26.78,26.22,24.91,,,,23.6386,1,25.0525,1,1940,,,,,0
2025-08-21,27.04,27.11,26.25,26.97,26.46,25.07,,,,23.6386,1,25.5214,1,2121,,,,,0
2025-08-22,26.70,27.47,26.43,27.41,26.68,25.22,,,,23.6386,1,25.9154,1,1744,,,,,0
2025-08-25,27.70,27.88,26.54,26.75,26.77,25.40,,,,23.6386,1,26.2463,1,2919,,,,,0
2025-08-26,27.02,27.73,27.02,27.61,26.94,25.62,,,,23.8585,1,26.4267,1,4041,,,,,0
2025-08-27,27.81,28.21,27.46,27.86,27.17,25.87,,,,24.4427,1,26.5435,1,4907,,,,,0
2025-08-28,28.33,28.72,27.63,27.65,27.24,26.08,,,,24.7993,1,26.8430,1,3135,,,,,0
2025-08-29,27.49,28.90,27.49,28.42,27.35,26.33,,,,24.7993,1,27.2180,1,4887,,,,,0
2025-09-02,28.54,29.91,28.35,29.61,27.56,26.62,,,,25.5447,1,27.4873,1,13182,,1.4018,1.3343,0.0674,0
2025-09-03,29.99,30.79,29.69,30.16,27.92,26.94,,,,26.6572,1,27.4873,1,9799,,1.5082,1.3691,0.1391,0
2025-09-04,30.16,30.55,29.38,29.65,28.21,27.22,,,,26.6572,1,28.1470,1,9820,,1.5332,1.4019,0.1313,0
2025-09-05,30.32,31.06,29.47,31.06,28.62,27.54,,,,26.6572,1,28.6747,1,6572,,1.6480,1.4511,0.1968,0
2025-09-08,32.14,32.38,30.42,30.80,28.96,27.82,,,,27.4882,1,29.1514,1,4010,,1.6981,1.5005,0.1976,0
2025-09-09,30.94,31.27,30.34,31.07,29.39,28.08,,,,27.4882,1,29.4722,1,9975,,1.7397,1.5484,0.1914,0
2025-09-10,31.19,31.92,30.46,31.88,29.81,28.38,,,,27.4882,1,30.0541,1,8154,,1.8170,1.6021,0.2149,0
2025-09-11,32.16,32.20,30.74,30.75,30.10,28.64,,,,27.5613,1,30.3391,1,7050,,1.7668,1.6350,0.1317,0
2025-09-12,31.17,32.41,30.89,31.01,30.44,28.84,,,,27.6354,1,30.4647,1,12119,,1.7286,1.6537,0.0749,0
2025-09-15,31.14,31.48,30.28,31.21,30.72,29.04,,,,27.6354,1,32.4107,0,5473,,1.6949,1.6620,0.0330,0
2025-09-16,31.77,31.77,30.64,31.05,30.86,29.21,,,,27.6354,1,32.4107,0,5342,,1.6360,1.6568,-0.0208,0
2025-09-17,30.90,31.52,30.04,30.93,30.94,29.43,,,,27.6354,1,32.3680,0,13555,,1.5619,1.6378,-0.0759,0
2025-09-18,30.98,31.10,29.89,30.15,30.99,29.60,,,,27.6354,1,32.2748,0,6337,,1.4240,1.5951,-0.1711,0
2025-09-19,30.32,31.40,29.70,31.10,30.99,29.81,,,,27.6354,1,32.1317,0,15426,,1.3754,1.5511,-0.1758,0
2025-09-22,31.37,33.74,31.37,33.45,31.26,30.11,,,,28.1189,1,29.6960,1,31513,,1.5090,1.5427,-0.0337,0
2025-09-23,34.47,34.56,33.15,34.17,31.57,30.48,,,,29.4384,1,29.6960,1,20682,,1.6540,1.5650,0.0890,0
2025-09-24,34.54,34.85,33.40,33.66,31.75,30.78,27.28,,,29.7137,1,29.8906,1,13397,8033,1.7076,1.5935,0.1141,0
2025-09-25,33.66,33.86,31.98,32.00,31.87,30.99,27.45,,,29.7137,1,30.1883,1,9933,7304,1.5982,1.5944,0.0038,0
2025-09-26,32.42,33.84,32.12,33.71,32.14,31.29,27.68,,,29.7137,1,30.4682,1,15877,7242,1.6309,1.6017,0.0291,0
2025-09-29,35.02,36.42,34.17,36.21,32.64,31.68,27.94,,,30.3146,1,30.7313,1,19446,7445,1.8366,1.6487,0.1879,0
2025-09-30,36.07,36.76,34.07,36.21,33.16,32.01,28.18,,,30.3146,1,31.1863,1,15405,7501,1.9768,1.7143,0.2625,0
2025-10-01,35.82,36.20,35.14,36.00,33.67,32.30,28.42,,,30.5927,1,31.7437,1,13919,7536,2.0479,1.7810,0.2668,0
2025-10-02,36.52,36.64,34.92,35.76,34.23,32.61,28.65,,,30.6957,1,32.2453,1,25640,7903,2.0608,1.8370,0.2238,0
2025-10-03,35.95,36.04,34.55,35.15,34.63,32.81,28.88,,,30.6957,1,32.6968,1,10445,8061,1.9993,1.8694,0.1299,0
2025-10-06,35.71,36.78,35.37,35.62,34.85,33.05,29.10,,,31.0665,1,33.1031,1,15962,8324,1.9656,1.8887,0.0769,0
2025-10-07,36.00,36.97,34.93,35.27,34.96,33.26,29.34,,,31.0665,1,33.5446,1,7565,8413,1.8888,1.8887,0.0001,0
2025-10-08,36.24,36.94,35.70,36.80,35.27,33.51,29.61,,,31.2099,1,34.0247,1,10049,8556,1.9291,1.8968,0.0323,0
2025-10-09,37.19,37.51,34.74,35.82,35.65,33.76,29.87,,,31.2099,1,34.4376,1,11665,8670,1.8602,1.8895,-0.0293,0
2025-10-10,35.90,36.31,35.26,35.93,35.88,34.01,30.12,,,31.2099,1,34.7361,1,11120,8855,1.7943,1.8704,-0.0761,0
2025-10-13,37.56,37.81,36.60,37.02,35.96,34.30,30.40,,,31.9614,1,34.7361,1,9551,9010,1.8092,1.8582,-0.0490,0
2025-10-14,37.11,38.71,35.68,37.91,36.13,34.64,30.68,,,31.9614,1,35.2616,1,15829,9247,1.8709,1.8607,0.0102,0
2025-10-15,38.63,39.70,37.54,38.82,36.41,35.04,30.98,,,32.9051,1,35.6799,1,22655,9568,1.9709,1.8828,0.0881,0
2025-10-16,39.76,39.93,37.71,38.88,36.72,35.47,31.27,,,33.0156,1,35.6799,1,32184,10101,2.0314,1.9125,0.1189,0
2025-10-17,37.97,39.56,35.05,35.67,36.77,35.70,31.50,,,33.0156,1,39.9339,0,37298,10760,1.7995,1.8899,-0.0904,0
2025-10-20,36.49,36.90,34.87,36.55,36.87,35.86,31.72,,,33.0156,1,39.9339,0,26236,11131,1.6672,1.8454,-0.1782,0
2025-10-21,33.57,34.16,31.77,32.55,36.59,35.78,31.86,,,40.2749,0,39.7314,0,48820,12002,1.2255,1.7214,-0.4959,0
2025-10-22,30.65,32.38,30.26,32.05,36.12,35.70,31.98,,,38.5831,0,39.2537,0,35243,12638,0.8259,1.5423,-0.7164,0
2025-10-23,33.08,33.43,32.45,32.54,35.79,35.72,32.12,,,38.5831,0,38.5342,0,14406,12843,0.5423,1.3423,-0.8000,0
2025-10-24,32.54,32.90,32.15,32.48,35.45,35.66,32.23,,,38.5831,0,37.8723,0,11706,12986,0.3092,1.1357,-0.8265,0
2025-10-27,31.62,31.86,29.73,30.01,34.74,35.35,32.28,,,37.4544,0,37.2633,0,27195,13463,-0.0741,0.8937,-0.9678,0
2025-10-28,28.96,30.00,28.32,29.44,33.90,35.01,32.32,,,35.6603,0,36.5105,0,36052,14115,-0.4186,0.6312,-1.0499,0
2025-10-29,30.34,31.11,29.24,29.37,32.95,34.68,32.38,,,35.6603,0,35.5281,0,17075,14388,-0.6892,0.3672,-1.0563,0
2025-10-30,29.50,31.36,29.19,31.32,32.20,34.46,32.47,,,35.6603,0,34.6636,0,15493,14659,-0.7380,0.1461,-0.8842,0
2025-10-31,31.32,31.68,30.41,31.46,31.78,34.28,32.56,,,35.6603,0,33.9029,0,13491,14886,-0.7571,-0.0345,-0.7225,0
2025-11-03,31.67,33.37,31.61,32.02,31.32,34.10,32.65,,,35.6603,0,28.3241,1,20612,15263,-0.7183,-0.1713,-0.5470,0
2025-11-04,31.42,32.08,30.31,30.70,31.14,33.87,32.73,,,35.6603,0,28.4251,1,12749,15460,-0.7853,-0.2941,-0.4912,0
2025-11-05,31.89,33.60,31.56,32.90,31.22,33.67,32.84,,,35.6603,0,28.5240,1,19400,15767,-0.6535,-0.3660,-0.2875,0
2025-11-06,32.90,33.52,31.89,32.25,31.20,33.49,32.92,,,35.6603,0,28.7270,1,12282,15915,-0.5939,-0.4116,-0.1824,0
