Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,70.75,72.87,70.44,72.05,,,,,,,0,70.4421,1,222480,,,,,0
2023-07-19,71.99,72.74,71.42,72.61,,,,,,,0,70.4421,1,209337,,,,,0
2023-07-20,72.42,72.54,71.42,72.09,,,,,,,0,70.4421,1,126785,,,,,0
2023-07-21,72.54,72.67,71.31,71.35,,,,,,,0,70.4907,1,124148,,,,,0
2023-07-24,71.54,73.34,71.45,73.10,,,,,,,0,70.5384,1,222048,,,,,0
2023-07-25,72.85,73.53,72.59,73.24,,,,,,,0,70.6504,1,149351,,,,,0
2023-07-26,73.27,73.62,72.24,72.61,,,,,,,0,70.8231,1,126364,,,,,0
2023-07-27,72.98,73.29,71.51,72.02,,,,,,,0,71.0471,1,140807,,,,,0
2023-07-28,72.74,72.85,71.24,71.47,,,,,,,0,73.6232,0,157004,,,,,0
2023-07-31,71.73,72.30,71.19,71.60,72.21,,,,,76.2794,0,73.5757,0,195043,,,,,0
2023-08-01,71.57,71.86,71.08,71.36,72.14,,,,,75.7788,0,73.4803,0,162080,,,,,0
2023-08-02,70.89,70.99,69.78,70.04,71.89,,,,,74.7391,0,73.3363,0,142804,,,,,0
2023-08-03,70.09,70.40,69.55,70.10,71.69,,,,,74.1478,0,73.0517,0,152611,,,,,0
2023-08-04,70.19,70.38,68.42,68.82,71.43,,,,,73.7427,0,72.7019,0,164011,,,,,0
2023-08-07,69.11,69.36,68.51,69.03,71.03,,,,,73.0963,0,72.1876,0,127736,,,,,0
2023-08-08,68.32,68.42,66.98,68.24,70.53,,,,,72.0627,0,71.7350,0,156159,,,,,0
2023-08-09,68.17,68.80,67.89,68.15,70.08,,,,,72.0627,0,71.0688,0,123389,,,,,0
2023-08-10,68.78,69.41,68.51,69.32,69.81,,,,,72.0627,0,70.4959,0,159220,,,,,0
2023-08-11,69.02,69.47,68.17,68.36,69.50,,,,,72.0627,0,70.0032,0,118475,,,,,0
2023-08-14,68.07,68.80,67.77,68.26,69.17,70.69,,,,72.0627,0,69.5794,0,99759,,,,,0
2023-08-15,67.75,67.96,66.74,67.66,68.80,70.47,,,,71.4271,0,69.4679,0,159927,,,,,0
2023-08-16,67.61,68.59,67.16,67.62,68.56,70.22,,,,71.4271,0,69.0307,0,165077,,,,,0
2023-08-17,67.78,68.45,66.83,67.00,68.25,69.97,,,,71.4271,0,68.6634,0,120365,,,,,0
2023-08-18,66.63,67.99,66.55,67.75,68.14,69.79,,,,71.4271,0,68.5886,0,129304,,,,,0
2023-08-21,67.78,68.54,67.64,68.00,68.04,69.53,,,,71.4271,0,66.5540,1,115031,,,,,0
2023-08-22,66.59,66.87,63.82,63.99,67.61,69.07,,,,70.2366,0,68.5369,0,268171,,,,,0
2023-08-23,63.72,64.70,63.57,64.40,67.24,68.66,,,,68.8752,0,68.5369,0,216989,,,,,0
2023-08-24,64.33,64.80,62.96,63.05,66.61,68.21,,,,68.7004,0,68.3382,0,151255,,,,,0
2023-08-25,63.25,63.79,62.37,62.65,66.04,67.77,,,,67.8409,0,68.0155,0,175447,,,,,0
2023-08-28,63.14,64.13,62.25,63.86,65.60,67.38,,,,67.8409,0,67.5641,0,331063,,,,,0
2023-08-29,65.45,68.03,64.34,66.32,65.46,67.13,,,,67.8409,0,62.2522,1,582452,,,,,0
2023-08-30,66.33,66.74,64.68,65.46,65.25,66.90,,,,67.8409,0,62.2522,1,231959,,,,,0
2023-08-31,65.61,66.11,65.28,65.91,65.14,66.69,,,,67.8409,0,62.3677,1,236192,,,,,0
2023-09-01,66.11,66.28,64.35,64.89,64.85,66.50,,,,67.8409,0,62.4809,1,196455,,-1.8608,-2.1946,0.3337,0
2023-09-05,64.89,65.09,63.71,63.75,64.43,66.23,,,,67.8409,0,62.5918,1,174870,,-1.8717,-2.1300,0.2583,0
2023-09-06,63.37,63.98,62.79,63.57,64.38,66.00,,,,67.8409,0,62.7006,1,180833,,-1.8733,-2.0787,0.2053,0
2023-09-07,63.20,63.30,62.61,62.65,64.21,65.72,,,,67.8340,0,68.0282,0,201143,,-1.9268,-2.0483,0.1215,0
2023-09-08,62.61,63.15,62.21,63.13,64.22,65.41,,,,67.3521,0,67.9198,0,119467,,-1.9083,-2.0203,0.1120,0
2023-09-11,63.60,63.78,62.52,62.63,64.22,65.13,,,,67.3521,0,67.6913,0,156662,,-1.9119,-1.9986,0.0867,0
2023-09-12,62.68,63.21,62.34,62.74,64.11,64.85,,,,67.1601,0,67.4720,0,102707,,-1.8840,-1.9757,0.0917,0
2023-09-13,63.33,63.34,61.90,62.30,63.70,64.58,,,,66.9981,0,67.2615,0,103592,,-1.8758,-1.9557,0.0800,0
2023-09-14,63.25,63.78,62.78,63.32,63.49,64.37,,,,66.9981,0,66.9398,0,146327,,-1.7668,-1.9179,0.1512,0
2023-09-15,63.11,63.35,62.38,62.41,63.14,64.14,,,,66.9981,0,66.6373,0,178304,,-1.7341,-1.8812,0.1470,0
2023-09-18,62.24,62.35,61.39,61.68,62.82,63.84,,,,65.9885,0,66.3530,0,126326,,-1.7466,-1.8543,0.1076,0
2023-09-19,61.55,62.63,61.26,62.38,62.68,63.55,,,,65.9885,0,65.9556,0,152689,,-1.6808,-1.8196,0.1388,0
2023-09-20,62.79,62.98,61.78,61.78,62.50,63.44,,,,65.9885,0,65.4864,0,135253,,-1.6581,-1.7873,0.1292,0
2023-09-21,61.12,62.09,61.12,61.52,62.39,63.30,,,,65.5576,0,65.0641,0,161232,,-1.6423,-1.7583,0.1160,0
2023-09-22,61.61,61.79,60.28,60.47,62.12,63.17,,,,65.0396,0,64.5912,0,160556,,-1.6948,-1.7456,0.0507,0
2023-09-25,60.25,61.10,60.25,60.94,61.95,63.09,,,,64.5349,0,63.9872,0,134248,,-1.6791,-1.7323,0.0532,0
2023-09-26,60.65,61.02,59.31,59.40,61.62,62.86,66.54,,,64.1514,0,63.3893,0,148686,170844,-1.7702,-1.7399,-0.0303,0
2023-09-27,59.55,60.00,59.12,59.70,61.36,62.53,66.29,,,63.4103,0,62.6546,0,132563,169045,-1.7977,-1.7514,-0.0463,0
2023-09-28,59.52,60.31,59.17,60.16,61.04,62.27,66.04,,,63.4103,0,61.9468,0,94014,166739,-1.7618,-1.7535,-0.0083,0
2023-09-29,60.56,60.94,60.10,60.66,60.87,62.00,65.82,,,63.4103,0,61.3805,0,133806,166879,-1.6740,-1.7376,0.0636,0
2023-10-02,60.73,60.98,60.03,60.33,60.73,61.78,65.60,,,63.4103,0,59.1154,1,148094,167358,-1.6125,-1.7126,0.1001,0
2023-10-03,60.22,60.43,58.50,59.04,60.40,61.54,65.31,,,63.2857,0,60.9840,0,126769,165453,-1.6491,-1.6999,0.0508,0
2023-10-04,60.01,60.56,59.39,59.87,60.21,61.36,65.05,,,63.2857,0,60.9840,0,160026,165666,-1.5928,-1.6785,0.0857,0
2023-10-05,59.33,59.67,58.79,59.05,59.96,61.18,64.78,,,63.0607,0,60.9342,0,123601,165611,-1.5953,-1.6618,0.0665,0
2023-10-06,58.78,60.62,58.61,60.04,59.92,61.02,64.54,,,63.0607,0,60.8855,0,155143,165898,-1.5004,-1.6295,0.1292,0
2023-10-09,59.73,61.60,59.60,61.34,59.96,60.96,64.33,,,63.0607,0,58.4954,1,144160,165641,-1.3051,-1.5646,0.2595,0
2023-10-10,61.67,62.53,61.39,61.46,60.16,60.89,64.13,,,63.0607,0,58.5576,1,152542,164791,-1.1282,-1.4774,0.3492,0
2023-10-11,61.49,62.16,61.23,61.95,60.39,60.88,63.94,,,63.0607,0,58.7165,1,117706,163903,-0.9370,-1.3693,0.4323,0
2023-10-12,61.92,62.03,61.03,61.46,60.52,60.78,63.77,,,63.0607,0,58.8690,1,134489,163737,-0.8163,-1.2587,0.4424,0
