Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,188.49,189.17,186.77,188.83,,,,,,,0,186.7658,1,195265,,,,,0
2023-07-19,187.94,189.98,187.46,187.78,,,,,,,0,186.7658,1,366954,,,,,0
2023-07-20,188.82,194.10,188.57,194.05,,,,,,,0,186.7658,1,381181,,,,,0
2023-07-21,194.84,196.02,193.71,195.11,,,,,,,0,187.0593,1,304301,,,,,0
2023-07-24,207.89,211.67,205.42,206.25,,,,,,,0,187.5968,1,1082532,,,,,0
2023-07-25,204.37,209.09,202.55,208.71,,,,,,,0,189.5224,1,472193,,,,,0
2023-07-26,208.46,209.96,207.75,208.34,,,,,,,0,191.2939,1,524594,,,,,0
2023-07-27,209.18,211.03,208.57,208.92,,,,,,,0,192.9236,1,552150,,,,,0
2023-07-28,210.03,210.32,206.35,206.51,,,,,,,0,194.4230,1,460145,,,,,0
2023-07-31,206.62,206.62,203.80,205.26,200.98,,,,,219.7180,0,195.8025,1,452897,,,,,0
2023-08-01,203.54,205.28,202.67,205.20,202.61,,,,,217.8155,0,197.0715,1,315614,,,,,0
2023-08-02,204.56,205.47,202.79,203.50,204.18,,,,,217.3906,0,198.2391,1,385742,,,,,0
2023-08-03,202.84,204.25,195.75,197.95,204.57,,,,,214.4880,0,211.6660,0,575851,,,,,0
2023-08-04,197.62,202.38,196.81,199.49,205.01,,,,,214.3012,0,211.3476,0,412034,,,,,0
2023-08-07,199.94,204.20,199.68,202.75,204.66,,,,,214.3012,0,211.0355,0,406500,,,,,0
2023-08-08,203.53,208.12,202.10,207.08,204.50,,,,,214.3012,0,210.7297,0,709187,,,,,0
2023-08-09,205.58,209.57,205.58,207.40,204.41,,,,,214.3012,0,210.4301,0,576742,,,,,0
2023-08-10,207.75,208.62,204.11,204.23,203.94,,,,,214.3012,0,210.1364,0,355437,,,,,0
2023-08-11,204.37,208.14,203.41,207.98,204.08,,,,,214.3012,0,209.8486,0,374174,,,,,0
2023-08-14,207.79,209.06,206.63,208.23,204.38,202.68,,,,214.3012,0,209.5665,0,304640,,,,,0
2023-08-15,207.76,208.41,205.93,206.02,204.46,203.54,,,,214.3012,0,209.2901,0,227056,,,,,0
2023-08-16,205.01,205.60,203.54,203.88,204.50,204.34,,,,214.3012,0,209.0581,0,225468,,,,,0
2023-08-17,204.16,204.16,202.44,202.99,205.00,204.79,,,,214.3012,0,208.7918,0,254819,,,,,0
2023-08-18,202.30,203.22,200.81,201.62,205.22,205.12,,,,213.4077,0,208.5309,0,266684,,,,,0
2023-08-21,201.45,203.51,200.71,203.05,205.25,204.96,,,,213.2041,0,208.2752,0,294996,,,,,0
2023-08-22,203.27,204.30,200.81,203.11,204.85,204.67,,,,213.2041,0,208.0246,0,284743,,,,,0
2023-08-23,204.20,204.42,202.83,204.12,204.52,204.46,,,,213.2041,0,207.7791,0,240699,,,,,0
2023-08-24,204.20,206.04,204.03,204.06,204.51,204.22,,,,213.2041,0,207.5384,0,238109,,,,,0
2023-08-25,204.64,207.64,204.17,206.28,204.34,204.21,,,,213.2041,0,195.7461,1,376053,,,,,0
2023-08-28,207.24,208.20,206.69,207.42,204.25,204.32,,,,213.2041,0,195.9839,1,236080,,,,,0
2023-08-29,207.84,208.05,206.54,207.36,204.39,204.43,,,,213.2041,0,196.4727,1,247187,,,,,0
2023-08-30,207.89,208.85,205.97,206.49,204.65,204.58,,,,213.2041,0,196.9419,1,261212,,,,,0
2023-08-31,206.86,207.64,205.25,205.87,204.94,204.97,,,,213.2041,0,197.6565,1,308317,,,,,0
2023-09-01,207.01,207.01,204.55,205.14,205.29,205.25,,,,213.2041,0,198.3282,1,232375,,1.0951,1.0213,0.0738,0
2023-09-05,205.13,205.13,200.65,201.03,205.09,205.17,,,,212.0868,0,198.9596,1,330512,,0.6689,0.9508,-0.2819,0
2023-09-06,200.29,200.48,192.35,196.43,204.42,204.63,,,,207.2986,0,208.8518,0,656068,,-0.0394,0.7528,-0.7921,0
2023-09-07,197.36,199.17,196.56,197.41,203.75,204.14,,,,207.2986,0,208.5218,0,279158,,-0.5154,0.4991,-1.0145,0
2023-09-08,197.02,197.75,194.57,197.19,203.06,203.78,,,,206.6721,0,208.1983,0,315550,,-0.9001,0.2193,-1.1194,0
2023-09-11,197.54,198.57,195.14,197.50,202.18,203.26,,,,206.6721,0,207.8813,0,322085,,-1.1665,-0.0579,-1.1087,0
2023-09-12,197.36,197.61,194.22,194.93,200.94,202.60,,,,206.3693,0,207.5707,0,293155,,-1.5672,-0.3597,-1.2075,0
2023-09-13,194.67,196.14,194.20,195.90,199.79,202.09,,,,205.1581,0,207.2663,0,261565,,-1.7860,-0.6450,-1.1410,0
2023-09-14,196.89,197.37,194.78,195.61,198.70,201.68,,,,205.1581,0,206.9680,0,321619,,-1.9601,-0.9080,-1.0521,0
2023-09-15,193.85,196.39,193.47,194.96,197.61,201.27,,,,204.6035,0,206.6756,0,792196,,-2.1260,-1.1516,-0.9744,0
2023-09-18,195.33,197.00,193.84,195.57,196.65,200.97,,,,204.6035,0,206.3891,0,216524,,-2.1828,-1.3578,-0.8250,0
2023-09-19,195.31,197.26,194.92,196.60,196.21,200.65,,,,204.6035,0,206.1083,0,230640,,-2.1205,-1.5104,-0.6101,0
2023-09-20,197.74,198.83,197.25,197.47,196.32,200.37,,,,204.6035,0,205.8332,0,335649,,-1.9785,-1.6040,-0.3745,0
2023-09-21,197.18,197.98,195.71,195.92,196.17,199.96,,,,204.6035,0,205.5635,0,262125,,-1.9680,-1.6768,-0.2912,0
2023-09-22,195.49,197.24,195.17,196.04,196.05,199.56,,,,204.6035,0,205.2992,0,167951,,-1.9279,-1.7270,-0.2008,0
2023-09-25,195.89,197.27,194.83,197.20,196.02,199.10,,,,204.5320,0,205.0402,0,256579,,-1.7819,-1.7380,-0.0439,0
2023-09-26,195.40,196.85,192.76,192.89,195.82,198.38,201.27,,,203.7759,0,204.7864,0,248885,363844,-1.9910,-1.7886,-0.2024,0
2023-09-27,194.01,194.41,189.15,191.31,195.36,197.57,201.32,,,201.4311,0,204.5377,0,307610,366091,-2.2583,-1.8825,-0.3758,0
2023-09-28,191.91,195.18,191.91,194.22,195.22,196.96,201.45,,,201.4311,0,203.9222,0,264842,364048,-2.2097,-1.9480,-0.2617,0
2023-09-29,194.68,195.14,190.64,191.11,194.83,196.22,201.39,,,201.4311,0,203.3313,0,321611,362857,-2.3947,-2.0373,-0.3574,0
2023-10-02,189.51,190.72,188.61,190.54,194.33,195.49,201.30,,,199.6102,0,202.7640,0,193114,360633,-2.5577,-2.1414,-0.4163,0
2023-10-03,190.05,192.10,189.64,191.38,193.81,195.01,201.00,,,199.6102,0,201.9148,0,260169,344186,-2.5891,-2.2309,-0.3582,0
2023-10-04,191.89,192.20,189.33,191.99,193.26,194.79,200.67,,,199.6102,0,201.1166,0,174116,338225,-2.5358,-2.2919,-0.2439,0
2023-10-05,192.07,193.37,191.36,192.97,192.97,194.57,200.36,,,199.6102,0,200.3662,0,214453,332022,-2.3867,-2.3109,-0.0759,0
2023-10-06,192.34,195.19,190.75,193.98,192.76,194.41,200.06,,,199.6102,0,199.6608,0,210461,325188,-2.1619,-2.2811,0.1191,0
2023-10-09,193.19,196.56,193.13,196.48,192.69,194.35,199.86,,,199.6102,0,198.9978,0,183429,319654,-1.7619,-2.1772,0.4154,0
2023-10-10,195.92,199.23,195.03,197.54,193.15,194.48,199.71,,,199.6102,0,188.6103,1,263890,315873,-1.3440,-2.0106,0.6666,0
2023-10-11,196.85,196.85,190.81,193.16,193.34,194.35,199.47,,,199.6102,0,188.8228,1,442512,318411,-1.3510,-1.8787,0.5276,0
2023-10-12,193.44,194.08,189.73,190.03,192.92,194.07,199.20,,,199.6102,0,189.0310,1,282803,316353,-1.5906,-1.8211,0.2305,0
2023-10-13,189.87,192.08,189.52,191.23,192.93,193.88,199.06,,,199.6102,0,189.2350,1,266978,310175,-1.6640,-1.7896,0.1257,0
2023-10-16,192.11,193.33,190.30,192.01,193.08,193.70,198.91,,,199.6102,0,189.4350,1,194864,305832,-1.6406,-1.7598,0.1192,0
2023-10-17,190.76,193.22,189.90,191.68,193.11,193.46,198.69,,,199.6102,0,189.5196,1,218512,302072,-1.6302,-1.7339,0.1037,0
2023-10-18,192.42,193.47,190.66,191.75,193.08,193.17,198.39,,,199.6102,0,189.7138,1,243966,292768,-1.5975,-1.7066,0.1091,0
2023-10-19,191.74,193.50,189.97,190.33,192.82,192.89,198.04,,,199.6102,0,189.8966,1,208430,285401,-1.6669,-1.6987,0.0318,0
