Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,33.32,34.26,32.99,34.25,,,,,,,0,32.9865,1,38239,,,,,0
2023-07-14,34.34,34.35,32.57,33.00,,,,,,,0,34.3499,0,21593,,,,,0
2023-07-17,32.66,33.55,32.42,33.22,,,,,,,0,34.3499,0,15878,,,,,0
2023-07-18,33.54,34.89,33.52,34.88,,,,,,,0,32.4185,1,52305,,,,,0
2023-07-19,35.17,35.63,34.62,35.40,,,,,,,0,32.4185,1,29097,,,,,0
2023-07-20,35.04,35.10,34.25,34.82,,,,,,,0,32.5469,1,32039,,,,,0
2023-07-21,34.99,35.06,34.04,34.59,,,,,,,0,32.6701,1,26861,,,,,0
2023-07-24,34.78,35.48,34.63,35.32,,,,,,,0,32.7884,1,18311,,,,,0
2023-07-25,35.43,35.57,34.81,34.91,,,,,,,0,32.9020,1,34234,,,,,0
2023-07-26,34.62,35.49,34.44,34.45,34.48,,,,,38.4856,0,33.0111,1,38824,,,,,0
2023-07-27,36.78,37.77,35.42,37.30,34.79,,,,,38.4856,0,33.1157,1,67394,,,,,0
2023-07-28,38.20,38.89,37.46,38.58,35.35,,,,,33.9507,1,33.3949,1,35342,,,,,0
2023-07-31,38.96,39.66,38.35,39.36,35.96,,,,,34.8068,1,33.8341,1,45814,,,,,0
2023-08-01,39.24,39.24,38.21,38.39,36.31,,,,,34.8068,1,34.4168,1,38559,,,,,0
2023-08-02,38.27,38.35,37.32,37.61,36.53,,,,,34.8068,1,34.9413,1,34505,,,,,0
2023-08-03,37.64,38.20,37.15,37.89,36.84,,,,,34.8068,1,35.4133,1,23492,,,,,0
2023-08-04,37.64,38.70,37.03,38.38,37.22,,,,,34.8068,1,35.8381,1,25540,,,,,0
2023-08-07,38.71,39.42,38.56,38.99,37.59,,,,,35.0368,1,36.2205,1,25725,,,,,0
2023-08-08,38.17,38.85,37.70,38.82,37.98,,,,,35.0368,1,36.5646,1,21734,,,,,0
2023-08-09,38.70,38.70,37.88,38.52,38.38,36.43,,,,35.0368,1,36.8743,1,29729,,,,,0
2023-08-10,38.91,39.40,38.36,38.75,38.53,36.66,,,,35.1237,1,37.1530,1,25409,,,,,0
2023-08-11,38.54,38.65,38.09,38.35,38.51,36.93,,,,35.1237,1,37.4038,1,12767,,,,,0
2023-08-14,37.95,37.95,37.15,37.44,38.31,37.14,,,,35.1237,1,39.6615,0,20614,,,,,0
2023-08-15,37.04,37.25,36.06,36.37,38.11,37.21,,,,35.1237,1,39.6112,0,19320,,,,,0
2023-08-16,36.22,36.54,35.49,35.51,37.90,37.22,,,,35.1237,1,39.4691,0,25755,,,,,0
2023-08-17,35.69,36.03,35.36,35.62,37.68,37.26,,,,35.1237,1,39.2304,0,25632,,,,,0
2023-08-18,35.06,36.01,35.06,35.72,37.41,37.31,,,,35.1237,1,38.9204,0,16329,,,,,0
2023-08-21,35.73,35.83,35.26,35.63,37.07,37.33,,,,35.1237,1,38.5345,0,14141,,,,,0
2023-08-22,36.07,36.07,34.74,34.75,36.67,37.32,,,,38.6935,0,38.1872,0,27985,,,,,0
2023-08-23,34.82,35.36,34.26,35.13,36.33,37.36,,,,38.0980,0,37.7732,0,13188,,,,,0
2023-08-24,35.11,35.79,35.11,35.46,36.00,37.26,,,,38.0980,0,37.2816,0,18496,,,,,0
2023-08-25,35.41,35.86,35.09,35.22,35.69,37.10,,,,38.0980,0,36.8588,0,18849,,,,,0
2023-08-28,35.58,36.07,35.36,35.39,35.48,36.90,,,,38.0980,0,36.4952,0,12187,,,,,0
2023-08-29,35.49,36.12,35.25,35.86,35.43,36.77,,,,38.0980,0,36.1825,0,15185,,-0.1895,0.0240,-0.2135,0
2023-08-30,35.77,36.14,35.63,35.73,35.45,36.68,,,,38.0980,0,34.2617,1,14577,,-0.1848,-0.0177,-0.1670,0
2023-08-31,35.93,36.09,35.43,35.77,35.47,36.57,,,,38.0980,0,34.2992,1,18767,,-0.1759,-0.0494,-0.1265,0
2023-09-01,36.26,36.97,36.17,36.86,35.58,36.49,,,,38.0980,0,34.3359,1,15527,,-0.0796,-0.0554,-0.0242,0
2023-09-05,35.69,35.94,35.09,35.28,35.54,36.31,,,,38.0980,0,34.4415,1,30030,,-0.1293,-0.0702,-0.0591,0
2023-09-06,35.28,35.63,34.71,35.62,35.63,36.15,,,,38.0980,0,34.5428,1,22454,,-0.1395,-0.0840,-0.0554,0
2023-09-07,35.29,35.60,34.10,34.48,35.57,35.95,,,,38.0566,0,36.9741,0,22050,,-0.2369,-0.1146,-0.1223,0
2023-09-08,34.59,34.59,33.88,34.21,35.44,35.72,,,,37.3364,0,36.9166,0,16156,,-0.3318,-0.1581,-0.1738,0
2023-09-11,34.52,34.72,34.16,34.20,35.34,35.51,,,,37.3364,0,36.7952,0,15760,,-0.4032,-0.2071,-0.1961,0
2023-09-12,34.18,34.79,33.95,34.04,35.21,35.34,,,,37.2866,0,36.6786,0,23909,,-0.4674,-0.2591,-0.2082,0
2023-09-13,34.32,34.32,33.12,33.25,34.95,35.19,,,,36.7029,0,36.5667,0,20936,,-0.5753,-0.3224,-0.2530,0
2023-09-14,33.76,34.16,33.24,33.53,34.73,35.09,,,,36.6596,0,36.3599,0,19190,,-0.6314,-0.3842,-0.2472,0
2023-09-15,33.25,33.85,33.01,33.30,34.48,34.97,,,,36.3484,0,36.1655,0,38576,,-0.6863,-0.4446,-0.2417,0
2023-09-18,32.98,33.21,32.74,32.77,34.07,34.82,,,,35.7686,0,35.9134,0,11049,,-0.7640,-0.5085,-0.2555,0
2023-09-19,32.87,33.61,32.56,33.40,33.88,34.71,,,,35.7686,0,35.5960,0,18640,,-0.7661,-0.5600,-0.2061,0
