Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,2.41,2.56,2.30,2.32,,,,,,,0,2.5550,0,6436,,,,,0
2023-07-17,2.34,2.41,2.23,2.39,,,,,,,0,2.5550,0,2996,,,,,0
2023-07-18,2.40,2.64,2.40,2.53,,,,,,,0,2.2300,1,7760,,,,,0
2023-07-19,2.53,2.71,2.53,2.63,,,,,,,0,2.2300,1,6733,,,,,0
2023-07-20,2.63,2.63,2.41,2.44,,,,,,,0,2.2492,1,3853,,,,,0
2023-07-21,2.48,2.49,2.33,2.42,,,,,,,0,2.2676,1,2820,,,,,0
2023-07-24,2.42,2.48,2.34,2.37,,,,,,,0,2.2853,1,2112,,,,,0
2023-07-25,2.37,2.39,2.31,2.32,,,,,,,0,2.3023,1,1850,,,,,0
2023-07-26,2.30,2.45,2.26,2.44,,,,,,,0,2.7100,0,3335,,,,,0
2023-07-27,2.48,2.48,2.22,2.24,2.41,,,,,2.9230,0,2.7010,0,3730,,,,,0
2023-07-28,2.27,2.40,2.27,2.39,2.42,,,,,2.8987,0,2.6818,0,3207,,,,,0
2023-07-31,2.40,2.58,2.38,2.57,2.44,,,,,2.8987,0,2.6633,0,3931,,,,,0
2023-08-01,2.56,2.59,2.47,2.56,2.44,,,,,2.8987,0,2.6456,0,3791,,,,,0
2023-08-02,2.52,2.53,2.30,2.35,2.41,,,,,2.8987,0,2.6285,0,3734,,,,,0
2023-08-03,2.30,2.52,2.22,2.45,2.41,,,,,2.8987,0,2.6122,0,4242,,,,,0
2023-08-04,2.39,2.39,2.19,2.24,2.39,,,,,2.8987,0,2.5965,0,4453,,,,,0
2023-08-07,2.25,2.25,1.97,2.01,2.36,,,,,2.7526,0,2.5721,0,8109,,,,,0
2023-08-08,2.00,2.02,1.99,2.00,2.33,,,,,2.5907,0,2.5239,0,2033,,,,,0
2023-08-09,2.00,2.00,1.85,1.93,2.27,,,,,2.4981,0,2.4796,0,5946,,,,,0
2023-08-10,1.95,2.05,1.90,1.91,2.24,2.33,,,,2.4981,0,2.4167,0,3521,,,,,0
2023-08-11,1.92,1.95,1.87,1.92,2.19,2.31,,,,2.4347,0,2.3600,0,2767,,,,,0
2023-08-14,1.92,1.98,1.89,1.95,2.13,2.28,,,,2.4347,0,2.3090,0,3154,,,,,0
2023-08-15,1.92,1.95,1.87,1.90,2.07,2.25,,,,2.3853,0,2.2631,0,2882,,,,,0
2023-08-16,1.88,1.90,1.83,1.84,2.01,2.21,,,,2.3138,0,2.2218,0,3692,,,,,0
2023-08-17,1.85,1.85,1.76,1.78,1.95,2.18,,,,2.2359,0,2.1748,0,3189,,,,,0
2023-08-18,1.75,1.82,1.75,1.81,1.90,2.15,,,,2.1938,0,2.1167,0,2501,,,,,0
2023-08-21,1.86,1.87,1.77,1.80,1.88,2.12,,,,2.1938,0,2.0580,0,2546,,,,,0
2023-08-22,1.81,1.87,1.78,1.83,1.87,2.10,,,,2.1938,0,2.0087,0,2435,,,,,0
2023-08-23,1.85,1.87,1.76,1.76,1.85,2.06,,,,2.1921,0,1.9673,0,1808,,,,,0
2023-08-24,1.76,1.76,1.67,1.71,1.83,2.04,,,,2.0814,0,1.9326,0,3036,,,,,0
2023-08-25,1.70,1.76,1.62,1.75,1.81,2.00,,,,2.0657,0,1.8853,0,3257,,,,,0
2023-08-28,1.73,1.77,1.65,1.67,1.78,1.96,,,,2.0657,0,1.8322,0,2118,,,,,0
2023-08-29,1.66,1.88,1.62,1.80,1.77,1.92,,,,2.0657,0,1.6200,1,3877,,,,,0
2023-08-30,1.79,1.82,1.76,1.80,1.77,1.89,,,,2.0657,0,1.6200,1,1728,,-0.1914,-0.2238,0.0323,0
2023-08-31,1.81,1.87,1.77,1.77,1.77,1.86,,,,2.0657,0,1.6200,1,1751,,-0.1811,-0.2152,0.0341,0
2023-09-01,1.80,2.04,1.80,1.86,1.77,1.84,,,,2.0657,0,1.6251,1,3728,,-0.1638,-0.2050,0.0411,0
2023-09-05,1.86,1.93,1.82,1.89,1.78,1.83,,,,2.0657,0,1.6417,1,2802,,-0.1460,-0.1932,0.0472,0
2023-09-06,1.90,1.91,1.80,1.90,1.79,1.83,,,,2.0657,0,1.6576,1,2212,,-0.1296,-0.1804,0.0509,0
2023-09-07,1.86,1.89,1.71,1.88,1.80,1.83,,,,2.0657,0,1.6729,1,2538,,-0.1168,-0.1677,0.0509,0
2023-09-08,1.86,1.87,1.79,1.87,1.82,1.82,,,,2.0657,0,1.6876,1,1660,,-0.1063,-0.1554,0.0492,0
2023-09-11,1.82,1.85,1.68,1.82,1.83,1.82,,,,2.0657,0,2.0400,0,3174,,-0.1008,-0.1445,0.0437,0
2023-09-12,1.77,1.84,1.75,1.83,1.84,1.81,,,,2.0657,0,2.0328,0,2026,,-0.0946,-0.1345,0.0399,0
2023-09-13,1.80,1.83,1.72,1.74,1.84,1.81,,,,2.0657,0,2.0257,0,3580,,-0.0958,-0.1268,0.0310,0
2023-09-14,1.74,1.77,1.62,1.64,1.82,1.80,,,,2.0657,0,2.0188,0,4890,,-0.1036,-0.1221,0.0185,0
2023-09-15,1.64,1.84,1.61,1.70,1.81,1.79,,,,2.0657,0,2.0029,0,16303,,-0.1038,-0.1185,0.0147,0
2023-09-18,1.69,1.69,1.51,1.51,1.78,1.78,,,,2.0484,0,1.9793,0,4513,,-0.1179,-0.1184,0.0004,0
2023-09-19,1.51,1.52,1.33,1.39,1.73,1.76,,,,1.8856,0,1.9418,0,5627,,-0.1372,-0.1221,-0.0151,0
2023-09-20,1.35,1.35,1.15,1.16,1.65,1.72,,,,1.7365,0,1.8806,0,7621,,-0.1691,-0.1315,-0.0376,0
2023-09-21,1.13,1.38,1.13,1.22,1.59,1.70,,,,1.7365,0,1.7929,0,6590,,-0.1874,-0.1427,-0.0447,0
2023-09-22,1.24,1.25,1.16,1.20,1.52,1.67,1.96,,,1.6939,0,1.7001,0,2621,3904,-0.2012,-0.1544,-0.0468,0
2023-09-25,1.15,1.23,1.14,1.16,1.46,1.64,1.94,,,1.6520,0,1.6203,0,2532,3826,-0.2128,-0.1661,-0.0468,0
2023-09-26,1.17,1.28,1.16,1.17,1.39,1.62,1.92,,,1.6520,0,1.5516,0,2566,3818,-0.2188,-0.1766,-0.0422,0
2023-09-27,1.19,1.22,1.11,1.16,1.33,1.58,1.89,,,1.6086,0,1.4926,0,2185,3706,-0.2217,-0.1856,-0.0361,0
2023-09-28,1.18,1.23,1.12,1.21,1.29,1.55,1.86,,,1.6073,0,1.4314,0,1696,3605,-0.2175,-0.1920,-0.0255,0
2023-09-29,1.24,1.25,1.16,1.18,1.24,1.52,1.84,,,1.6073,0,1.3800,0,1592,3560,-0.2142,-0.1965,-0.0177,0
2023-10-02,1.17,1.18,1.10,1.12,1.20,1.49,1.81,,,1.5384,0,1.3368,0,1930,3542,-0.2139,-0.1999,-0.0139,0
2023-10-03,1.12,1.12,1.05,1.05,1.16,1.45,1.78,,,1.4646,0,1.2942,0,1349,3527,-0.2168,-0.2033,-0.0135,0
2023-10-04,1.07,1.10,1.02,1.09,1.16,1.41,1.76,,,1.4256,0,1.2453,0,1432,3519,-0.2134,-0.2053,-0.0081,0
2023-10-05,1.07,1.18,1.07,1.17,1.15,1.37,1.73,,,1.4256,0,1.2003,0,1806,3488,-0.2019,-0.2046,0.0027,0
2023-10-06,1.15,1.17,1.10,1.10,1.14,1.33,1.71,,,1.4256,0,1.1800,0,1228,3438,-0.1962,-0.2030,0.0067,0
2023-10-09,1.07,1.08,1.02,1.03,1.13,1.29,1.68,,,1.3880,0,1.1800,0,1334,3401,-0.1951,-0.2014,0.0063,0
2023-10-10,1.03,1.12,1.00,1.09,1.12,1.25,1.65,,,1.3880,0,1.1750,0,3589,3394,-0.1872,-0.1986,0.0113,0
2023-10-11,1.09,1.10,1.00,1.03,1.11,1.22,1.62,,,1.3858,0,1.1400,0,1770,3353,-0.1837,-0.1956,0.0119,0
2023-10-12,1.03,1.04,0.85,0.89,1.07,1.18,1.59,,,1.3042,0,1.1200,0,4946,3378,-0.1903,-0.1945,0.0043,0
2023-10-13,0.89,0.94,0.86,0.94,1.05,1.14,1.56,,,1.2513,0,1.1000,0,4218,3377,-0.1890,-0.1934,0.0044,0
2023-10-16,0.89,0.91,0.80,0.82,1.02,1.11,1.54,,,1.2113,0,1.0500,0,2563,3339,-0.1957,-0.1939,-0.0018,0
2023-10-17,0.81,0.94,0.80,0.89,1.00,1.08,1.51,,,1.2113,0,1.0004,0,5941,3296,-0.1928,-0.1937,0.0008,0
2023-10-18,0.87,0.88,0.81,0.81,0.98,1.07,1.49,,,1.1960,0,0.9603,0,887,3273,-0.1945,-0.1938,-0.0007,0
2023-10-19,0.81,0.84,0.77,0.80,0.94,1.05,1.47,,,1.1423,0,0.9450,0,1048,3175,-0.1948,-0.1940,-0.0007,0
2023-10-20,0.80,0.84,0.80,0.84,0.91,1.03,1.44,,,1.1368,0,0.9104,0,1156,3128,-0.1894,-0.1931,0.0037,0
2023-10-23,0.81,0.85,0.80,0.82,0.89,1.01,1.42,,,1.1227,0,0.8827,0,1253,3098,-0.1844,-0.1914,0.0070,0
2023-10-24,0.83,0.97,0.82,0.95,0.88,1.00,1.40,,,1.1227,0,0.7720,1,2182,3078,-0.1680,-0.1867,0.0187,0
2023-10-25,0.92,0.96,0.87,0.90,0.87,0.99,1.38,,,1.1227,0,0.7759,1,1134,3043,-0.1578,-0.1809,0.0231,0
2023-10-26,0.90,0.92,0.81,0.83,0.86,0.97,1.36,,,1.1227,0,0.7798,1,858,2987,-0.1536,-0.1755,0.0219,0
2023-10-27,0.81,0.84,0.78,0.79,0.84,0.95,1.34,,,1.1074,0,0.9690,0,962,2942,-0.1518,-0.1707,0.0189,0
2023-10-30,0.79,0.83,0.76,0.81,0.84,0.93,1.32,,,1.0824,0,0.9652,0,1003,2912,-0.1467,-0.1659,0.0192,0
2023-10-31,0.81,0.86,0.78,0.85,0.84,0.92,1.30,,,1.0824,0,0.9571,0,761,2876,-0.1381,-0.1604,0.0222,0
2023-11-01,0.87,0.87,0.78,0.81,0.84,0.91,1.28,,,1.0824,0,0.9492,0,1161,2851,-0.1327,-0.1548,0.0222,0
2023-11-02,0.83,0.99,0.80,0.97,0.86,0.90,1.27,,,1.0824,0,0.7610,1,2348,2862,-0.1143,-0.1467,0.0324,0
2023-11-03,1.00,1.19,0.99,1.12,0.88,0.90,1.26,,,0.7418,1,0.7656,1,2939,2860,-0.0866,-0.1347,0.0481,0
2023-11-06,1.14,1.19,1.02,1.05,0.91,0.90,1.24,,,0.7429,1,0.7826,1,2035,2835,-0.0695,-0.1217,0.0522,0
2023-11-07,1.04,1.11,1.01,1.05,0.92,0.90,1.23,,,0.7429,1,0.7989,1,813,2809,-0.0553,-0.1084,0.0531,0
2023-11-08,1.03,1.04,0.83,0.86,0.91,0.89,1.21,,,0.7429,1,0.8145,1,3171,2795,-0.0584,-0.0984,0.0400,0
2023-11-09,0.89,1.10,0.88,1.08,0.94,0.90,1.20,,,0.7429,1,0.8295,1,2950,2819,-0.0429,-0.0873,0.0444,0
2023-11-10,1.13,1.15,0.97,1.07,0.97,0.91,1.18,,,0.7429,1,0.8300,1,3031,2845,-0.0311,-0.0761,0.0450,0
2023-11-13,1.00,1.14,1.00,1.11,1.00,0.92,1.17,,,0.7429,1,0.8444,1,1012,2791,-0.0183,-0.0645,0.0462,0
2023-11-14,1.14,1.27,1.10,1.22,1.03,0.94,1.15,,,0.7469,1,0.8582,1,3000,2795,0.0007,-0.0514,0.0522,0
2023-11-15,1.20,1.32,1.20,1.21,1.07,0.96,1.14,,,0.8297,1,0.8829,1,2270,2796,0.0148,-0.0382,0.0530,0
2023-11-16,1.21,1.21,1.08,1.11,1.09,0.97,1.12,,,0.8297,1,0.9179,1,1352,2772,0.0177,-0.0270,0.0447,0
2023-11-17,1.14,1.17,1.11,1.17,1.09,0.99,1.11,,,0.8297,1,0.9501,1,1194,2763,0.0246,-0.0167,0.0413,0
2023-11-20,1.13,1.16,1.05,1.07,1.10,1.00,1.10,,,0.8297,1,0.9797,1,1602,2731,0.0217,-0.0090,0.0307,0
2023-11-21,1.10,1.10,1.00,1.01,1.09,1.00,1.08,,,0.8297,1,1.3200,0,1180,2714,0.0144,-0.0043,0.0187,0
2023-11-22,1.01,1.07,0.99,1.02,1.11,1.01,1.06,,,0.8297,1,1.3136,0,827,2659,0.0093,-0.0016,0.0109,0
2023-11-24,1.02,1.02,1.00,1.00,1.10,1.02,1.05,,,0.8297,1,1.3007,0,608,2574,0.0036,-0.0006,0.0042,0
2023-11-27,1.00,1.04,0.98,1.03,1.10,1.03,1.04,,,0.8297,1,1.2882,0,1703,2282,0.0015,-0.0001,0.0017,0
2023-11-28,1.00,1.05,0.98,1.00,1.08,1.04,1.03,,,0.8297,1,1.2696,0,873,2209,-0.0029,-0.0007,-0.0022,0
