Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,52.77,53.08,52.56,53.04,,,,,,,0,52.5641,1,150679,,,,,0
2023-07-18,53.01,53.35,52.83,53.20,,,,,,,0,52.5641,1,114894,,,,,0
2023-07-19,52.51,52.81,52.36,52.60,,,,,,,0,53.3453,0,104068,,,,,0
2023-07-20,53.33,53.46,52.78,52.83,,,,,,,0,52.3645,1,163722,,,,,0
2023-07-21,52.93,52.97,52.42,52.72,,,,,,,0,52.3645,1,93497,,,,,0
2023-07-24,52.44,53.74,52.38,53.37,,,,,,,0,53.4581,0,170659,,,,,0
2023-07-25,55.06,55.97,54.71,55.71,,,,,,,0,52.3818,1,286332,,,,,0
2023-07-26,54.91,55.17,54.41,54.79,,,,,,,0,52.3818,1,160514,,,,,0
2023-07-27,54.60,54.74,53.77,53.85,,,,,,,0,52.4535,1,166149,,,,,0
2023-07-28,53.73,53.80,53.20,53.23,53.53,,,,,56.5567,0,52.5238,1,130197,,,,,0
2023-07-31,53.83,54.39,53.79,54.38,53.67,,,,,56.5567,0,52.5926,1,116347,,,,,0
2023-08-01,53.34,53.47,52.84,52.90,53.64,,,,,56.4052,0,52.6601,1,138521,,,,,0
2023-08-02,52.09,52.43,51.59,51.80,53.56,,,,,55.3319,0,55.9665,0,135121,,,,,0
2023-08-03,51.57,52.24,51.40,51.93,53.47,,,,,55.0616,0,55.8790,0,158693,,,,,0
2023-08-04,51.87,52.64,51.87,51.98,53.39,,,,,55.0616,0,55.6999,0,139418,,,,,0
2023-08-07,52.09,52.12,51.51,52.03,53.26,,,,,54.8326,0,55.5280,0,93590,,,,,0
2023-08-08,50.89,51.64,50.53,51.58,52.85,,,,,54.2455,0,55.3629,0,105875,,,,,0
2023-08-09,51.95,52.12,51.57,51.64,52.53,,,,,54.2455,0,55.0731,0,96527,,,,,0
2023-08-10,52.15,52.44,51.40,51.49,52.30,,,,,54.2455,0,54.8007,0,116896,,,,,0
2023-08-11,51.23,51.37,50.99,51.18,52.09,52.81,,,,54.0512,0,54.5446,0,114772,,,,,0
2023-08-14,49.95,50.36,49.51,50.20,51.67,52.67,,,,53.0145,0,54.3039,0,158036,,,,,0
2023-08-15,49.91,49.91,49.06,49.18,51.30,52.47,,,,52.5989,0,53.9203,0,149543,,,,,0
2023-08-16,48.45,48.92,48.21,48.28,50.95,52.25,,,,51.6588,0,53.4341,0,194253,,,,,0
2023-08-17,49.42,49.53,48.60,48.81,50.64,52.05,,,,51.6588,0,52.8068,0,224605,,,,,0
2023-08-18,48.37,48.57,48.11,48.43,50.28,51.84,,,,51.3974,0,52.2548,0,144182,,,,,0
2023-08-21,48.67,48.93,48.52,48.81,49.96,51.61,,,,51.3974,0,51.6747,0,134453,,,,,0
2023-08-22,48.91,49.04,47.64,48.05,49.61,51.23,,,,51.3696,0,51.1759,0,238419,,,,,0
2023-08-23,49.07,49.54,48.86,49.46,49.39,50.96,,,,51.3696,0,50.6106,0,185447,,,,,0
2023-08-24,48.04,48.44,47.84,48.06,49.05,50.67,,,,51.3696,0,50.1357,0,156370,,,,,0
2023-08-25,48.32,48.36,47.50,47.92,48.72,50.41,,,,51.1974,0,49.7368,0,171731,,,,,0
2023-08-28,48.65,49.03,48.40,48.67,48.57,50.12,,,,51.1974,0,49.3349,0,158067,,,,,0
2023-08-29,48.92,49.73,48.76,49.73,48.62,49.96,,,,51.1974,0,47.5038,1,158647,,,,,0
2023-08-30,50.25,50.34,49.91,50.13,48.81,49.88,,,,51.1974,0,47.5485,1,146564,,,,,0
2023-08-31,50.32,50.39,49.84,49.90,48.92,49.78,,,,51.1974,0,47.6602,1,123736,,-1.1809,-1.6407,0.4598,0
2023-09-01,50.70,51.19,50.43,50.57,49.13,49.71,,,,51.1974,0,47.8242,1,133940,,-1.0036,-1.5133,0.5097,0
2023-09-05,51.15,51.37,50.78,50.78,49.32,49.64,,,,51.1974,0,48.0937,1,121083,,-0.8366,-1.3779,0.5413,0
2023-09-06,50.84,50.98,50.27,50.78,49.60,49.60,,,,51.1974,0,48.4218,1,146660,,-0.6963,-1.2416,0.5453,0
2023-09-07,49.69,49.96,49.25,49.44,49.60,49.49,,,,51.1974,0,48.7172,1,144084,,-0.6852,-1.1303,0.4451,0
2023-09-08,49.09,49.40,48.95,49.07,49.70,49.37,,,,51.1974,0,51.3750,0,108358,,-0.6979,-1.0439,0.3460,0
2023-09-11,50.79,50.99,50.37,50.43,49.95,49.33,,,,51.1974,0,51.3264,0,135132,,-0.5917,-0.9534,0.3617,0
2023-09-12,50.55,50.84,50.30,50.41,50.12,49.34,,,,51.1974,0,51.2788,0,104721,,-0.5031,-0.8634,0.3602,0
2023-09-13,50.30,50.45,49.98,50.12,50.16,49.39,,,,51.1974,0,51.2322,0,107788,,-0.4515,-0.7810,0.3295,0
2023-09-14,52.26,52.53,52.02,52.11,50.36,49.58,,,,48.9554,1,48.9467,1,240334,,-0.2465,-0.6741,0.4276,0
2023-09-15,52.87,52.92,52.14,52.16,50.59,49.75,,,,49.3048,1,49.0183,1,178045,,-0.0795,-0.5552,0.4757,0
2023-09-18,52.36,52.36,51.87,51.98,50.73,49.93,,,,49.3048,1,49.1743,1,115341,,0.0380,-0.4365,0.4746,0
2023-09-19,51.95,52.25,51.41,51.61,50.81,50.07,,,,49.3048,1,49.3240,1,111585,,0.1005,-0.3291,0.4296,0
2023-09-20,51.68,52.20,51.28,51.28,50.86,50.23,,,,49.3048,1,49.4678,1,103113,,0.1219,-0.2389,0.3609,0
2023-09-21,50.07,50.14,49.63,49.68,50.89,50.24,,,,49.3048,1,49.6058,1,133942,,0.0092,-0.1893,0.1985,0
2023-09-22,51.30,51.32,50.62,50.64,51.04,50.37,,,,49.3048,1,49.6338,1,154451,,-0.0023,-0.1519,0.1496,0
2023-09-25,49.68,50.12,49.14,50.08,51.01,50.48,51.06,,,49.3048,1,52.9178,0,158881,145960,-0.0562,-0.1328,0.0766,0
2023-09-26,49.53,49.79,49.03,49.08,50.88,50.50,50.98,,,52.8375,0,52.8423,0,124405,145434,-0.1775,-0.1417,-0.0358,0
2023-09-27,49.97,50.02,49.12,49.71,50.83,50.50,50.91,,,52.8375,0,52.6897,0,171979,146576,-0.2206,-0.1575,-0.0632,0
2023-09-28,50.59,51.17,50.24,51.04,50.73,50.54,50.88,,,52.8375,0,52.5432,0,168511,147865,-0.1452,-0.1550,0.0098,0
2023-09-29,51.29,51.37,50.63,50.76,50.59,50.59,50.84,,,52.8375,0,52.4025,0,126916,147129,-0.1072,-0.1455,0.0383,0
2023-10-02,50.42,50.50,49.47,49.89,50.38,50.55,50.78,,,52.8375,0,52.2675,0,142833,148115,-0.1452,-0.1454,0.0002,0
2023-10-03,49.08,49.60,48.77,49.00,50.12,50.46,50.69,,,52.5781,0,52.1379,0,129203,147286,-0.2446,-0.1652,-0.0793,0
2023-10-04,49.29,49.29,48.58,49.12,49.90,50.38,50.56,,,52.2073,0,51.9357,0,167734,144914,-0.3104,-0.1943,-0.1161,0
2023-10-05,49.00,49.48,48.96,49.38,49.87,50.38,50.45,,,52.2073,0,51.6673,0,98039,143665,-0.3377,-0.2230,-0.1148,0
2023-10-06,49.98,51.05,49.55,50.82,49.89,50.47,50.39,,,52.2073,0,51.4204,0,168122,143704,-0.2400,-0.2264,-0.0136,0
2023-10-09,49.88,50.22,49.51,50.19,49.90,50.45,50.33,,,52.2073,0,51.1932,0,116957,143439,-0.2112,-0.2233,0.0121,0
2023-10-10,50.91,51.24,50.66,50.95,50.09,50.48,50.26,,,52.2073,0,48.5808,1,136121,143835,-0.1251,-0.2037,0.0786,0
2023-10-11,51.29,51.47,50.79,51.25,50.24,50.54,50.23,,,52.2073,0,48.6340,1,131429,143693,-0.0327,-0.1695,0.1368,0
2023-10-12,51.20,51.25,50.11,50.50,50.19,50.46,50.21,,,52.2073,0,48.7476,1,162906,144249,-0.0197,-0.1395,0.1198,0
2023-10-13,50.88,51.07,50.34,50.51,50.16,50.37,50.18,,,52.2073,0,48.8565,1,118713,143449,-0.0086,-0.1133,0.1048,0
2023-10-16,51.25,52.02,51.06,51.59,50.33,50.35,50.17,,,52.2073,0,48.9612,1,135692,143375,0.0864,-0.0734,0.1598,0
2023-10-17,50.91,52.15,50.91,52.11,50.64,50.38,50.17,,,52.2073,0,49.1445,1,161956,144742,0.2011,-0.0185,0.2196,0
2023-10-18,51.37,51.54,50.73,51.00,50.83,50.36,50.16,,,52.2073,0,49.3850,1,212775,146880,0.2003,0.0253,0.1751,0
2023-10-19,50.66,50.87,50.21,50.45,50.94,50.40,50.14,,,52.2073,0,49.6062,1,167104,148291,0.1541,0.0510,0.1031,0
2023-10-20,49.34,49.47,48.90,48.95,50.75,50.32,50.08,,,52.2073,0,52.1503,0,182426,149602,-0.0042,0.0400,-0.0442,0
