Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,278.93,280.86,276.40,277.97,,,,,,,0,280.8600,0,273995,,,,,0
2023-07-14,278.94,280.00,276.12,278.93,,,,,,,0,280.8600,0,249726,,,,,0
2023-07-17,278.42,280.49,276.22,278.40,,,,,,,0,280.8600,0,331018,,,,,0
2023-07-18,278.40,281.12,275.77,276.17,,,,,,,0,276.1200,1,290586,,,,,0
2023-07-19,276.17,278.95,275.83,276.89,,,,,,,0,275.7700,1,252607,,,,,0
2023-07-20,278.00,279.90,273.47,274.70,,,,,,,0,281.1200,0,431471,,,,,0
2023-07-21,276.10,278.12,274.33,276.74,,,,,,,0,280.9670,0,782565,,,,,0
2023-07-24,276.54,278.41,275.70,277.00,,,,,,,0,280.8171,0,325060,,,,,0
2023-07-25,279.86,280.42,264.37,270.31,,,,,,,0,280.6701,0,671801,,,,,0
2023-07-26,270.00,270.00,263.09,265.25,275.24,,,,,283.7290,0,280.4200,0,402517,,,,,0
2023-07-27,265.73,267.02,262.40,262.79,273.72,,,,,281.5616,0,280.4200,0,337212,,,,,0
2023-07-28,263.30,268.26,256.13,265.23,272.35,,,,,281.0005,0,278.9784,0,840302,,,,,0
2023-07-31,264.26,273.46,263.53,270.19,271.53,,,,,281.0005,0,276.6936,0,371376,,,,,0
2023-08-01,269.36,269.68,266.49,269.30,270.84,,,,,281.0005,0,274.6372,0,288313,,,,,0
2023-08-02,269.70,275.87,269.15,271.56,270.31,,,,,281.0005,0,256.1300,1,352892,,,,,0
2023-08-03,270.08,271.11,266.78,267.75,269.61,,,,,281.0005,0,256.5248,1,261645,,,,,0
2023-08-04,267.04,269.94,266.68,268.92,268.83,,,,,281.0005,0,256.9117,1,249988,,,,,0
2023-08-07,262.96,271.76,262.96,271.23,268.25,,,,,281.0005,0,257.2909,1,334237,,,,,0
2023-08-08,271.84,278.95,271.65,274.14,268.64,,,,,281.0005,0,257.6625,1,396187,,,,,0
2023-08-09,273.51,275.65,270.71,271.29,269.24,272.24,,,,281.0005,0,258.5140,1,166301,,,,,0
2023-08-10,271.68,272.57,268.77,269.06,269.87,271.79,,,,281.0005,0,259.3314,1,251544,,,,,0
2023-08-11,268.00,276.52,267.44,273.68,270.71,271.53,,,,281.0005,0,260.1161,1,238019,,,,,0
2023-08-14,274.05,274.05,269.96,272.74,270.97,271.25,,,,281.0005,0,260.8695,1,195173,,,,,0
2023-08-15,271.56,272.23,266.50,270.22,271.06,270.95,,,,281.0005,0,261.5927,1,206178,,,,,0
2023-08-16,270.48,271.07,265.07,265.26,270.43,270.37,,,,281.0005,0,262.2870,1,171278,,,,,0
2023-08-17,265.26,265.79,260.94,261.50,269.80,269.71,,,,281.0005,0,278.9500,0,193981,,,,,0
2023-08-18,259.79,262.40,259.76,261.15,269.03,268.93,,,,277.9481,0,278.5898,0,152929,,,,,0
2023-08-21,260.92,266.25,260.42,265.07,268.41,268.33,,,,277.9481,0,277.8366,0,200207,,,,,0
2023-08-22,264.07,265.85,262.67,262.98,267.30,267.97,,,,277.9481,0,277.1136,0,172436,,,,,0
2023-08-23,265.74,266.78,263.99,264.80,266.65,267.94,,,,277.9481,0,276.4194,0,144210,,,,,0
2023-08-24,263.83,266.49,262.35,262.43,265.98,267.93,,,,277.9481,0,275.7530,0,135335,,,,,0
2023-08-25,263.00,264.79,261.09,264.43,265.06,267.89,,,,277.8946,0,275.1133,0,160800,,,,,0
2023-08-28,265.40,266.47,263.54,265.05,264.29,267.63,,,,277.8946,0,274.4992,0,95391,,,,,0
2023-08-29,265.35,268.15,265.11,268.00,264.07,267.56,,,,277.8946,0,273.9096,0,140700,,-2.3109,-2.7184,0.4074,0
2023-08-30,268.84,269.46,265.25,267.18,264.26,267.34,,,,277.8946,0,273.3436,0,147670,,-2.0397,-2.5827,0.5429,0
2023-08-31,266.83,269.18,265.32,267.36,264.84,267.32,,,,277.8946,0,272.8003,0,270755,,-1.7897,-2.4241,0.6344,0
2023-09-01,269.01,269.72,266.91,267.17,265.45,267.24,,,,277.8946,0,272.2787,0,139570,,-1.5885,-2.2569,0.6684,0
2023-09-05,269.43,270.50,266.11,266.29,265.57,266.99,,,,277.8946,0,271.7779,0,248315,,-1.4830,-2.1022,0.6192,0
2023-09-06,266.47,266.47,261.50,263.72,265.64,266.47,,,,277.1860,0,271.2972,0,249136,,-1.5884,-1.9994,0.4110,0
2023-09-07,263.21,263.27,256.92,261.34,265.30,265.97,,,,274.0159,0,270.8357,0,313399,,-1.8428,-1.9681,0.1253,0
2023-09-08,262.22,262.70,258.62,258.99,264.95,265.47,,,,274.0159,0,270.0008,0,204110,,-2.2086,-2.0162,-0.1924,0
2023-09-11,260.12,261.99,258.33,258.92,264.40,264.73,,,,273.6355,0,269.2159,0,151468,,-2.4755,-2.1081,-0.3675,0
2023-09-12,258.92,260.57,257.89,258.44,263.74,264.01,,,,272.1620,0,268.4782,0,157959,,-2.6948,-2.2254,-0.4694,0
2023-09-13,258.62,260.00,255.05,255.91,262.53,263.30,,,,270.6488,0,267.7847,0,159662,,-3.0377,-2.3879,-0.6498,0
2023-09-14,256.63,258.85,256.00,256.32,261.45,262.85,,,,270.1184,0,266.7659,0,167351,,-3.2390,-2.5581,-0.6809,0
