Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,82.09,82.19,81.09,81.13,,,,,,,0,81.0893,1,31266,,,,,0
2023-07-17,81.13,81.95,81.12,81.53,,,,,,,0,81.0893,1,28708,,,,,0
2023-07-18,81.54,82.42,81.16,82.31,,,,,,,0,81.0893,1,77050,,,,,0
2023-07-19,82.67,83.04,82.29,82.87,,,,,,,0,81.1246,1,36311,,,,,0
2023-07-20,83.25,83.32,82.34,82.98,,,,,,,0,81.1600,1,27801,,,,,0
2023-07-21,83.06,83.06,82.45,82.53,,,,,,,0,81.3326,1,31786,,,,,0
2023-07-24,82.62,83.51,82.45,82.89,,,,,,,0,81.4913,1,81806,,,,,0
2023-07-25,82.91,83.24,82.55,82.66,,,,,,,0,81.6934,1,132078,,,,,0
2023-07-26,82.30,83.08,82.00,82.61,,,,,,,0,81.8752,1,185217,,,,,0
2023-07-27,83.30,83.44,82.00,82.19,82.37,,,,,85.6577,0,81.9999,1,267074,,,,,0
2023-07-28,82.85,83.10,82.23,82.31,82.49,,,,,85.5800,0,81.9999,1,29161,,,,,0
2023-07-31,82.58,83.63,82.51,83.14,82.65,,,,,85.5800,0,82.0041,1,43960,,,,,0
2023-08-01,82.35,82.54,80.98,81.51,82.57,,,,,85.1254,0,83.6326,0,138490,,,,,0
2023-08-02,80.79,80.84,79.39,79.87,82.27,,,,,83.7829,0,83.6326,0,47563,,,,,0
2023-08-03,79.40,79.66,78.85,79.55,81.93,,,,,82.8615,0,83.4630,0,30612,,,,,0
2023-08-04,79.44,80.70,79.34,79.84,81.66,,,,,82.8615,0,83.1859,0,25591,,,,,0
2023-08-07,79.72,80.32,79.65,79.78,81.35,,,,,82.8615,0,82.9255,0,12491,,,,,0
2023-08-08,78.48,79.04,78.26,78.91,80.97,,,,,82.2476,0,82.6807,0,40223,,,,,0
2023-08-09,78.91,79.05,78.28,78.99,80.61,,,,,82.1365,0,82.3267,0,45129,,,,,0
2023-08-10,79.19,79.99,78.66,78.70,80.26,81.32,,,,82.1365,0,82.0010,0,28631,,,,,0
2023-08-11,78.40,79.21,78.36,78.68,79.90,81.19,,,,82.1365,0,81.7013,0,21006,,,,,0
2023-08-14,78.19,78.76,77.91,78.25,79.41,81.03,,,,81.6691,0,81.4256,0,52461,,,,,0
2023-08-15,77.58,77.84,76.04,76.28,78.88,80.73,,,,80.6070,0,81.0737,0,49914,,,,,0
2023-08-16,75.89,76.21,75.36,75.61,78.46,80.36,,,,79.3580,0,80.4692,0,49618,,,,,0
2023-08-17,76.20,76.36,75.15,75.25,78.03,79.98,,,,79.3359,0,79.7533,0,26063,,,,,0
2023-08-18,74.90,75.23,74.46,74.82,77.53,79.59,,,,78.3058,0,79.0169,0,38841,,,,,0
2023-08-21,75.16,75.48,74.52,74.82,77.03,79.19,,,,78.3058,0,78.1969,0,29677,,,,,0
2023-08-22,74.82,74.99,73.48,73.53,76.49,78.73,,,,77.7477,0,77.5245,0,41575,,,,,0
2023-08-23,73.45,74.93,73.32,74.70,76.06,78.34,,,,77.7477,0,76.7150,0,51029,,,,,0
2023-08-24,74.51,75.01,74.23,74.26,75.62,77.94,,,,77.7477,0,76.0352,0,36607,,,,,0
2023-08-25,74.50,74.70,73.16,73.84,75.14,77.52,,,,77.5587,0,75.4914,0,54263,,,,,0
2023-08-28,74.23,75.20,74.14,75.03,74.81,77.11,,,,77.5587,0,73.1640,1,70459,,,,,0
2023-08-29,73.74,75.65,72.97,75.43,74.73,76.81,,,,77.5587,0,75.2040,0,82816,,,,,0
2023-08-30,75.60,77.17,75.55,76.49,74.82,76.64,,,,77.5587,0,72.9672,1,43138,,-2.0579,-2.5267,0.4688,0
2023-08-31,76.56,77.40,76.35,77.03,75.00,76.51,,,,77.5587,0,72.9672,1,63638,,-1.7989,-2.3811,0.5822,0
2023-09-01,77.33,77.89,76.92,77.01,75.21,76.37,,,,77.5587,0,73.1443,1,51788,,-1.5769,-2.2203,0.6434,0
2023-09-05,76.79,77.22,76.14,76.29,75.36,76.20,,,,77.5587,0,73.4290,1,36926,,-1.4428,-2.0648,0.6220,0
2023-09-06,76.02,76.30,75.13,75.59,75.57,76.03,,,,77.5587,0,73.6965,1,28233,,-1.3770,-1.9272,0.5502,0
2023-09-07,75.39,76.05,74.91,74.94,75.59,75.83,,,,77.5587,0,73.9480,1,31490,,-1.3618,-1.8142,0.4523,0
2023-09-08,74.92,75.38,74.75,74.90,75.65,75.64,,,,77.5587,0,74.1844,1,26394,,-1.3373,-1.7188,0.3815,0
2023-09-11,75.50,76.32,75.07,76.16,75.89,75.51,,,,77.5587,0,74.4067,1,29588,,-1.2022,-1.6155,0.4133,0
2023-09-12,76.29,77.01,75.95,76.70,76.05,75.43,,,,77.5587,0,74.6156,1,38968,,-1.0398,-1.5003,0.4605,0
2023-09-13,76.90,78.02,76.90,77.62,76.27,75.50,,,,73.7803,1,74.8119,1,53664,,-0.8272,-1.3657,0.5385,0
2023-09-14,78.22,79.12,78.22,78.80,76.50,75.66,,,,74.9056,1,75.0688,1,36109,,-0.5570,-1.2040,0.6470,0
2023-09-15,78.73,79.45,78.55,79.24,76.72,75.86,,,,75.3421,1,75.4742,1,101826,,-0.3040,-1.0240,0.7200,0
2023-09-18,79.63,79.71,78.75,79.11,76.93,76.07,,,,75.6464,1,75.9518,1,40536,,-0.1130,-0.8418,0.7288,0
2023-09-19,79.23,79.40,78.12,78.46,77.15,76.26,,,,75.6464,1,76.4784,1,38645,,-0.0135,-0.6761,0.6626,0
2023-09-20,78.76,79.42,78.60,78.61,77.45,76.51,,,,75.6464,1,76.9314,1,32324,,0.0768,-0.5255,0.6023,0
2023-09-21,78.14,78.28,77.32,77.34,77.69,76.64,,,,75.6464,1,77.3209,1,46237,,0.0453,-0.4114,0.4567,0
2023-09-22,77.70,77.70,76.65,76.71,77.87,76.76,78.36,,,75.6464,1,79.7136,0,24759,53391,-0.0306,-0.3352,0.3046,0
2023-09-25,76.27,77.15,76.05,76.91,77.95,76.92,78.27,,,75.6464,1,79.6524,0,25307,53272,-0.0733,-0.2828,0.2096,0
2023-09-26,76.22,76.64,75.54,75.84,77.86,76.96,78.16,,,75.6464,1,79.5085,0,27581,53249,-0.1915,-0.2646,0.0730,0
2023-09-27,76.05,76.13,74.61,75.03,77.60,76.94,78.01,,,79.0356,0,79.2706,0,43443,52577,-0.3469,-0.2810,-0.0659,0
2023-09-28,75.20,76.20,75.04,76.06,77.33,76.92,77.88,,,79.0356,0,78.8980,0,31233,52475,-0.3820,-0.3012,-0.0807,0
2023-09-29,76.67,76.67,75.40,75.49,76.96,76.84,77.73,,,79.0356,0,78.5553,0,53769,52995,-0.4507,-0.3311,-0.1196,0
2023-10-02,75.11,75.16,72.97,73.05,76.35,76.64,77.54,,,78.1174,0,78.2399,0,101168,54382,-0.6943,-0.4038,-0.2906,0
2023-10-03,72.56,72.73,71.54,71.69,75.67,76.41,77.31,,,76.2329,0,77.7126,0,69696,54140,-0.9858,-0.5202,-0.4656,0
2023-10-04,71.62,71.91,70.24,71.79,74.99,76.22,77.09,,,75.2688,0,76.9714,0,43645,52372,-1.1950,-0.6551,-0.5399,0
2023-10-05,71.49,72.37,71.49,72.32,74.49,76.09,76.89,,,75.2688,0,76.0287,0,42605,49519,-1.3025,-0.7846,-0.5179,0
2023-10-06,71.86,72.65,70.46,72.52,74.07,75.97,76.70,,,75.2688,0,75.2181,0,44464,45067,-1.3562,-0.8989,-0.4573,0
2023-10-09,72.07,72.54,70.96,72.38,73.62,75.78,76.50,,,75.2688,0,74.5209,0,34888,45182,-1.3942,-0.9980,-0.3962,0
2023-10-10,72.79,73.71,72.79,73.29,73.36,75.61,76.30,,,75.2688,0,73.9213,0,54437,45391,-1.3353,-1.0654,-0.2698,0
2023-10-11,73.51,74.16,72.98,73.76,73.23,75.42,76.14,,,75.2688,0,70.2382,1,42259,43467,-1.2361,-1.0996,-0.1365,0
2023-10-12,73.77,73.93,72.26,72.71,72.90,75.12,76.00,,,75.2688,0,70.3165,1,41093,43337,-1.2285,-1.1254,-0.1031,0
2023-10-13,73.03,73.53,71.98,72.06,72.56,74.76,75.85,,,75.2688,0,70.3933,1,36847,43462,-1.2599,-1.1523,-0.1077,0
2023-10-16,72.77,73.47,72.14,73.43,72.59,74.47,75.72,,,75.2688,0,70.4686,1,54667,44043,-1.1610,-1.1540,-0.0070,0
2023-10-17,72.56,73.86,72.56,73.43,72.77,74.22,75.60,,,75.2688,0,70.5424,1,34798,44490,-1.0703,-1.1373,0.0670,0
2023-10-18,72.76,73.00,71.37,71.41,72.73,73.86,75.45,,,75.2688,0,70.6147,1,47870,44642,-1.1483,-1.1395,-0.0088,0
2023-10-19,71.29,71.88,70.68,70.73,72.57,73.53,75.28,,,75.2688,0,74.1572,0,65509,45050,-1.2506,-1.1617,-0.0889,0
2023-10-20,70.69,70.95,69.34,69.36,72.26,73.16,75.09,,,74.5729,0,74.0876,0,64032,45758,-1.4257,-1.2145,-0.2112,0
2023-10-23,68.98,70.23,68.78,69.29,71.95,72.78,74.91,,,73.9252,0,73.8978,0,70099,46740,-1.5523,-1.2821,-0.2703,0
2023-10-24,69.30,69.30,67.91,68.40,71.46,72.41,74.71,,,72.9999,0,73.5907,0,57796,46847,-1.7045,-1.3666,-0.3380,0
2023-10-25,67.89,68.82,67.63,67.96,70.88,72.06,74.54,,,72.5399,0,73.1364,0,86910,47587,-1.8400,-1.4613,-0.3788,0
2023-10-26,67.85,69.20,67.85,68.62,70.47,71.68,74.40,,,72.5399,0,72.5853,0,215307,50900,-1.8724,-1.5435,-0.3289,0
2023-10-27,68.68,68.94,67.12,67.34,70.00,71.28,74.25,,,72.4359,0,72.0893,0,226445,54908,-1.9783,-1.6305,-0.3478,0
2023-10-30,67.94,68.86,67.89,68.59,69.51,71.05,74.12,,,72.4359,0,71.4935,0,39312,54917,-1.9388,-1.6921,-0.2467,0
2023-10-31,68.59,68.95,68.00,68.55,69.03,70.90,74.00,,,72.4359,0,70.9692,0,66696,55658,-1.8894,-1.7316,-0.1578,0
2023-11-01,68.78,68.83,67.58,68.61,68.75,70.74,73.90,,,72.4133,0,70.5078,0,66523,56157,-1.8241,-1.7501,-0.0740,0
2023-11-02,69.42,71.46,69.26,71.29,68.80,70.69,73.83,,,72.4133,0,67.1243,1,94716,57030,-1.5386,-1.7078,0.1692,0
2023-11-03,72.34,73.19,72.06,72.67,69.13,70.69,73.80,,,67.8768,1,67.2110,1,63199,57562,-1.1874,-1.6037,0.4163,0
