Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,30.67,30.96,30.53,30.72,,,,,,,0,30.5313,1,257406,,,,,0
2023-07-21,30.83,30.92,30.64,30.86,,,,,,,0,30.5313,1,189754,,,,,0
2023-07-24,31.06,31.42,31.03,31.26,,,,,,,0,30.5313,1,275314,,,,,0
2023-07-25,31.09,31.35,30.98,31.30,,,,,,,0,30.5669,1,172226,,,,,0
2023-07-26,30.99,31.30,30.95,31.20,,,,,,,0,30.6012,1,171235,,,,,0
2023-07-27,31.13,31.26,30.75,30.83,,,,,,,0,30.6340,1,266639,,,,,0
2023-07-28,30.84,30.99,30.58,30.87,,,,,,,0,31.4226,0,174127,,,,,0
2023-07-31,30.91,31.41,30.91,31.36,,,,,,,0,30.5817,1,311876,,,,,0
2023-08-01,31.58,31.74,30.83,31.08,,,,,,,0,30.5817,1,347047,,,,,0
2023-08-02,30.78,30.87,30.19,30.30,30.98,,,,,32.1011,0,31.7421,0,278238,,,,,0
2023-08-03,30.27,30.76,30.09,30.66,30.97,,,,,32.0404,0,31.7421,0,286499,,,,,0
2023-08-04,30.93,31.39,30.91,30.94,30.98,,,,,32.0404,0,31.6759,0,254608,,,,,0
2023-08-07,31.13,31.18,30.93,31.15,30.97,,,,,32.0404,0,31.6122,0,210428,,,,,0
2023-08-08,30.51,31.10,30.28,31.09,30.95,,,,,32.0404,0,31.5512,0,233724,,,,,0
2023-08-09,31.52,31.77,31.35,31.46,30.97,,,,,32.0404,0,30.0856,1,286495,,,,,0
2023-08-10,31.90,32.02,31.49,31.55,31.04,,,,,32.0404,0,30.1193,1,287407,,,,,0
2023-08-11,31.22,31.63,31.22,31.56,31.11,,,,,32.0404,0,30.1954,1,220185,,,,,0
2023-08-14,31.12,31.35,30.87,31.21,31.10,,,,,32.0404,0,30.2685,1,303615,,,,,0
2023-08-15,30.98,31.04,30.64,30.69,31.06,,,,,32.0404,0,30.3387,1,267354,,,,,0
2023-08-16,30.62,30.90,30.49,30.53,31.08,31.03,,,,32.0404,0,30.4060,1,175542,,,,,0
2023-08-17,30.87,31.01,30.67,30.70,31.09,31.03,,,,32.0404,0,30.4707,1,184604,,,,,0
2023-08-18,30.37,30.90,30.35,30.83,31.08,31.03,,,,32.0404,0,32.0227,0,167175,,,,,0
2023-08-21,31.23,31.38,31.01,31.12,31.07,31.02,,,,32.0404,0,31.9892,0,206586,,,,,0
2023-08-22,31.18,31.21,30.93,30.94,31.06,31.00,,,,32.0404,0,31.9564,0,192394,,,,,0
2023-08-23,30.47,30.70,30.23,30.63,30.98,30.97,,,,32.0404,0,31.9242,0,199260,,,,,0
2023-08-24,30.38,30.73,30.37,30.43,30.86,30.95,,,,32.0404,0,31.8563,0,158558,,,,,0
2023-08-25,30.79,30.87,30.48,30.76,30.78,30.95,,,,32.0404,0,31.7912,0,187018,,,,,0
2023-08-28,30.90,31.27,30.81,31.17,30.78,30.94,,,,32.0404,0,31.7286,0,215810,,,,,0
2023-08-29,31.38,31.58,31.10,31.56,30.87,30.96,,,,32.0404,0,31.6686,0,228710,,,,,0
2023-08-30,31.87,31.98,31.72,31.72,30.99,31.04,,,,32.0404,0,30.2276,1,217218,,,,,0
2023-08-31,31.78,31.78,31.44,31.63,31.08,31.08,,,,32.0404,0,30.2627,1,190376,,,,,0
2023-09-01,32.40,32.53,32.18,32.44,31.24,31.16,,,,30.7814,1,30.2970,1,238511,,,,,0
2023-09-05,32.88,32.96,32.61,32.67,31.40,31.24,,,,31.2089,1,30.3865,1,236413,,,,,0
2023-09-06,32.89,33.16,32.78,33.04,31.61,31.33,,,,31.4055,1,30.5408,1,243146,,0.3570,0.0601,0.2968,0
2023-09-07,32.86,33.04,32.69,32.76,31.82,31.40,,,,31.4055,1,30.7506,1,189388,,0.4073,0.1295,0.2777,0
2023-09-08,32.89,33.09,32.75,32.90,32.07,31.47,,,,31.4605,1,30.9435,1,187383,,0.4529,0.1942,0.2587,0
2023-09-11,33.19,33.36,32.81,32.85,32.27,31.53,,,,31.6091,1,31.1211,1,272695,,0.4794,0.2513,0.2281,0
2023-09-12,33.04,33.80,32.29,32.41,32.40,31.59,,,,31.6091,1,31.3448,1,1342004,,0.4601,0.2930,0.1671,0
2023-09-13,32.94,32.98,32.28,32.55,32.50,31.68,,,,31.6091,1,31.6395,1,675959,,0.4506,0.3245,0.1261,0
2023-09-14,33.02,33.36,32.95,33.26,32.65,31.82,,,,31.6091,1,31.8989,1,300749,,0.4950,0.3586,0.1364,0
2023-09-15,33.12,33.27,32.96,32.97,32.79,31.93,,,,31.6091,1,32.1271,1,270746,,0.5004,0.3870,0.1134,0
2023-09-18,32.98,33.02,32.70,32.81,32.82,32.03,,,,31.6091,1,32.3280,1,272558,,0.4861,0.4068,0.0793,0
2023-09-19,33.18,33.32,32.97,33.03,32.86,32.13,,,,31.6091,1,32.5047,1,329081,,0.4869,0.4228,0.0641,0
2023-09-20,32.82,33.25,32.81,32.86,32.84,32.22,,,,31.6091,1,32.6602,1,287024,,0.4685,0.4320,0.0365,0
2023-09-21,33.02,33.15,32.41,32.42,32.81,32.31,,,,31.6091,1,33.8008,0,248123,,0.4141,0.4284,-0.0143,0
2023-09-22,33.05,33.15,32.63,32.70,32.79,32.43,,,,31.6091,1,33.7731,0,348520,,0.3891,0.4205,-0.0314,0
2023-09-25,32.70,33.07,32.49,32.97,32.80,32.54,,,,31.6091,1,33.7459,0,308632,,0.3862,0.4137,-0.0275,0
2023-09-26,32.90,33.16,32.78,32.87,32.84,32.62,,,,31.6091,1,33.7193,0,267822,,0.3720,0.4053,-0.0333,0
2023-09-27,33.18,33.60,33.10,33.59,32.95,32.72,,,,31.6122,1,33.6932,0,436211,,0.4137,0.4070,0.0067,0
2023-09-28,33.49,33.74,33.40,33.55,32.98,32.81,31.74,,,31.9051,1,32.4141,1,245960,276367,0.4382,0.4132,0.0250,0
2023-09-29,33.50,33.58,32.92,32.94,32.97,32.88,31.78,,,31.9051,1,32.4406,1,310294,277425,0.4042,0.4114,-0.0072,0
2023-10-02,32.93,32.96,32.01,32.18,32.91,32.87,31.81,,,31.9051,1,33.7413,0,306403,279758,0.3120,0.3915,-0.0796,0
2023-10-03,31.90,32.07,31.67,31.99,32.81,32.83,31.82,,,31.9051,1,33.7066,0,283211,279916,0.2212,0.3575,-0.1363,0
2023-10-04,31.31,31.37,30.65,30.89,32.61,32.72,31.81,,,33.0163,0,33.6253,0,401690,284505,0.0600,0.2980,-0.2380,0
2023-10-05,30.53,31.12,30.49,30.98,32.47,32.64,31.81,,,32.8004,0,33.4469,0,285269,286786,-0.0602,0.2263,-0.2866,0
2023-10-06,31.46,31.88,31.13,31.71,32.37,32.58,31.83,,,32.8004,0,33.2105,0,388376,289220,-0.0954,0.1620,-0.2573,0
2023-10-09,32.49,32.69,32.30,32.65,32.33,32.57,31.86,,,32.8004,0,32.9929,0,382230,293382,-0.0464,0.1203,-0.1667,0
2023-10-10,32.69,33.01,32.59,32.86,32.33,32.59,31.89,,,30.7367,1,30.4914,1,344900,294043,0.0087,0.0980,-0.0893,0
2023-10-11,33.01,33.10,32.58,32.88,32.26,32.60,31.93,,,30.8300,1,30.5417,1,305354,293209,0.0538,0.0891,-0.0353,0
2023-10-12,33.55,33.60,33.11,33.43,32.25,32.61,31.99,,,31.3274,1,30.6442,1,610571,299856,0.1320,0.0977,0.0343,0
2023-10-13,34.03,34.18,33.78,34.04,32.36,32.67,32.06,,,31.9266,1,30.8213,1,536618,304858,0.2406,0.1263,0.1143,0
2023-10-16,34.18,34.31,33.77,34.22,32.56,32.74,32.12,,,32.0319,1,31.0896,1,342224,306610,0.3372,0.1685,0.1687,0
2023-10-17,34.30,34.73,34.29,34.72,32.84,32.82,32.19,,,32.5516,1,31.4118,1,361785,309638,0.4491,0.2246,0.2245,0
2023-10-18,34.62,34.75,34.41,34.64,33.21,32.91,32.27,,,32.7161,1,31.8098,1,290615,310775,0.5255,0.2848,0.2407,0
2023-10-19,34.18,34.51,33.97,34.31,33.55,33.01,32.32,,,32.7161,1,32.2207,1,318990,311425,0.5530,0.3384,0.2145,0
2023-10-20,34.16,34.35,33.70,33.70,33.74,33.06,32.37,,,32.7161,1,32.5741,1,248802,310653,0.5193,0.3746,0.1447,0
2023-10-23,33.29,33.35,32.81,33.09,33.79,33.06,32.40,,,32.7161,1,34.7452,0,423819,314726,0.4388,0.3874,0.0514,0
2023-10-24,33.45,33.45,32.99,33.00,33.80,33.07,32.43,,,32.7161,1,34.7065,0,340433,315462,0.3633,0.3826,-0.0193,0
2023-10-25,33.21,33.36,33.04,33.23,33.84,33.05,32.48,,,32.7161,1,34.6687,0,236668,314849,0.3183,0.3697,-0.0515,0
2023-10-26,32.85,33.15,32.66,33.03,33.80,33.02,32.53,,,32.7161,1,34.6316,0,239426,316126,0.2631,0.3484,-0.0853,0
2023-10-27,33.30,33.37,32.64,32.87,33.68,33.02,32.58,,,32.7161,1,34.5528,0,350132,319437,0.2047,0.3197,-0.1150,0
2023-10-30,32.59,32.87,32.41,32.63,33.52,33.04,32.61,,,34.4405,0,34.4382,0,388125,323856,0.1369,0.2831,-0.1462,0
2023-10-31,31.02,31.43,30.62,31.12,33.16,33.00,32.61,,,33.2463,0,34.2756,0,740229,334529,-0.0379,0.2189,-0.2568,0
2023-11-01,30.87,31.15,30.58,30.70,32.77,32.99,32.61,,,33.0334,0,33.9100,0,476345,340208,-0.2077,0.1336,-0.3413,0
2023-11-02,30.77,31.43,30.71,31.36,32.47,33.01,32.62,,,33.0334,0,33.5099,0,435143,344925,-0.2861,0.0497,-0.3357,0
2023-11-03,30.59,31.00,30.42,30.80,32.18,32.96,32.63,,,32.9478,0,33.1579,0,408303,349920,-0.3890,-0.0381,-0.3509,0
2023-11-06,31.19,31.19,30.87,30.88,31.96,32.88,32.63,,,32.9478,0,32.7751,0,291122,352002,-0.4585,-0.1222,-0.3363,0
2023-11-07,30.41,30.47,30.07,30.18,31.68,32.74,32.61,,,32.4288,0,32.4458,0,325398,354194,-0.5640,-0.2105,-0.3535,0
2023-11-08,30.07,30.17,29.63,29.69,31.33,32.58,32.57,,,32.0062,0,32.0664,0,529196,360204,-0.6789,-0.3042,-0.3747,0
2023-11-09,30.02,30.25,29.84,29.88,31.01,32.40,32.54,,,32.0062,0,31.6282,0,294437,361748,-0.7463,-0.3926,-0.3537,0
2023-11-10,30.25,30.30,29.89,30.22,30.75,32.21,32.51,,,32.0062,0,31.2689,0,253769,363016,-0.7632,-0.4667,-0.2965,0
2023-11-13,30.50,30.81,30.45,30.76,30.56,32.04,32.48,,,32.0062,0,30.9743,0,240386,363054,-0.7251,-0.5184,-0.2067,0
2023-11-14,30.81,31.09,30.77,30.89,30.54,31.85,32.44,,,32.0062,0,29.6321,1,267129,363668,-0.6767,-0.5501,-0.1266,0
2023-11-15,30.88,31.08,30.64,30.66,30.53,31.65,32.39,,,32.0062,0,29.6613,1,253262,363870,-0.6489,-0.5698,-0.0791,0
2023-11-16,30.20,30.26,29.89,30.17,30.41,31.44,32.34,,,31.9330,0,29.6899,1,276518,365613,-0.6589,-0.5876,-0.0713,0
2023-11-17,30.45,30.85,30.42,30.68,30.40,31.29,32.30,,,31.9330,0,29.7180,1,261669,367098,-0.6187,-0.5939,-0.0248,0
2023-11-20,30.91,31.12,30.86,30.91,30.40,31.18,32.26,,,31.9330,0,29.7455,1,228993,366224,-0.5616,-0.5874,0.0258,0
2023-11-21,30.84,30.91,30.70,30.79,30.46,31.07,32.22,,,31.9330,0,29.8004,1,185498,343094,-0.5201,-0.5739,0.0539,0
2023-11-22,29.85,30.42,29.69,30.39,30.53,30.93,32.18,,,31.9174,0,31.1183,0,370409,336983,-0.5139,-0.5619,0.0480,0
2023-11-24,30.93,31.12,30.83,30.86,30.63,30.82,32.13,,,31.9174,0,29.6882,1,151630,334001,-0.4654,-0.5426,0.0772,0
2023-11-27,31.05,31.10,30.85,30.96,30.71,30.73,32.09,,,31.9174,0,29.6882,1,302367,334633,-0.4139,-0.5169,0.1030,0
2023-11-28,31.00,31.22,30.89,30.96,30.73,30.64,32.06,,,31.9174,0,29.7168,1,216229,333507,-0.3688,-0.4873,0.1185,0
2023-11-29,31.05,31.21,30.86,31.08,30.75,30.64,32.02,,,31.9174,0,29.7770,1,345215,333829,-0.3203,-0.4539,0.1335,0
2023-11-30,31.53,31.71,31.06,31.26,30.81,30.67,31.99,,,31.9174,0,29.8348,1,446759,337024,-0.2636,-0.4158,0.1522,0
2023-12-01,31.08,31.43,30.97,31.00,30.89,30.65,31.96,,,31.9174,0,29.9475,1,364200,339346,-0.2374,-0.3801,0.1427,0
2023-12-04,30.70,30.92,30.52,30.66,30.89,30.64,31.92,,,31.9174,0,30.0534,1,313391,338643,-0.2410,-0.3523,0.1113,0
2023-12-05,30.83,30.89,30.39,30.40,30.84,30.62,31.87,,,31.9174,0,30.1529,1,217161,336814,-0.2617,-0.3342,0.0725,0
2023-12-06,30.52,30.64,30.02,30.02,30.76,30.61,31.81,,,31.9174,0,31.7128,0,310297,337663,-0.3052,-0.3284,0.0232,0
2023-12-07,30.08,30.15,29.71,29.89,30.71,30.62,31.73,,,31.5388,0,31.6788,0,271727,334374,-0.3468,-0.3321,-0.0147,0
2023-12-08,30.22,30.50,30.17,30.41,30.67,30.65,31.67,,,31.5388,0,31.5999,0,290551,335265,-0.3335,-0.3324,-0.0011,0
2023-12-11,30.28,30.48,30.15,30.27,30.60,30.65,31.62,,,31.5388,0,31.5241,0,230407,333668,-0.3309,-0.3321,0.0011,0
