Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,6.19,6.19,6.19,6.19,,,,,,,0,6.1894,1,1,,,,,0
2023-07-20,6.42,6.42,6.42,6.42,,,,,,,0,6.1894,1,11,,,,,0
2023-07-21,6.35,6.42,6.19,6.42,,,,,,,0,6.1894,1,32,,,,,0
2023-07-24,6.34,6.37,6.31,6.37,,,,,,,0,6.1924,1,13,,,,,0
2023-07-25,6.42,6.42,6.42,6.42,,,,,,,0,6.1924,1,8,,,,,0
2023-07-26,6.45,6.45,6.27,6.27,,,,,,,0,6.1970,1,37,,,,,0
2023-07-27,6.27,6.27,6.27,6.27,,,,,,,0,6.2071,1,,,,,,0
2023-07-28,6.27,6.27,6.27,6.27,,,,,,,0,6.2167,1,1,,,,,0
2023-07-31,6.66,6.69,6.54,6.69,,,,,,,0,6.2259,1,35,,,,,0
2023-08-01,6.54,6.57,6.54,6.57,6.39,,,,,6.9669,0,6.2539,1,13,,,,,0
2023-08-02,6.62,6.62,6.62,6.62,6.43,,,,,6.9669,0,6.2801,1,2,,,,,0
2023-08-03,6.57,6.57,6.57,6.57,6.44,,,,,6.9292,0,6.3048,1,3,,,,,0
2023-08-04,6.57,6.57,6.57,6.57,6.46,,,,,6.8930,0,6.3279,1,,,,,,0
2023-08-07,6.71,6.71,6.63,6.63,6.49,,,,,6.8930,0,6.3497,1,37,,,,,0
2023-08-08,6.63,6.63,6.63,6.63,6.51,,,,,6.8930,0,6.3789,1,,,,,,0
2023-08-09,6.63,6.63,6.63,6.63,6.54,,,,,6.8930,0,6.4056,1,,,,,,0
2023-08-10,6.63,6.63,6.63,6.63,6.58,,,,,6.8757,0,6.4303,1,,,,,,0
2023-08-11,6.81,6.81,6.81,6.81,6.63,,,,,6.8757,0,6.4530,1,7,,,,,0
2023-08-14,6.88,6.88,6.82,6.82,6.65,,,,,6.8757,0,6.4891,1,12,,,,,0
2023-08-15,6.86,7.05,6.86,6.89,6.68,6.53,,,,6.6452,1,6.5360,1,118,,,,,0
2023-08-16,6.89,6.89,6.89,6.89,6.71,6.57,,,,6.6452,1,6.6080,1,,,,,,0
2023-08-17,7.00,7.09,6.98,7.08,6.76,6.60,,,,6.7216,1,6.6699,1,17,,,,,0
2023-08-18,6.81,6.84,6.81,6.84,6.79,6.62,,,,6.7216,1,6.7366,1,39,,,,,0
2023-08-21,7.11,7.13,7.11,7.13,6.84,6.66,,,,6.7216,1,6.7926,1,4,,,,,0
2023-08-22,6.91,7.07,6.91,7.03,6.88,6.69,,,,6.7216,1,6.8129,1,88,,,,,0
2023-08-23,6.84,6.84,6.76,6.83,6.90,6.72,,,,6.7216,1,7.1328,0,36,,,,,0
2023-08-24,6.95,6.95,6.93,6.93,6.93,6.75,,,,6.7216,1,7.1253,0,39,,,,,0
2023-08-25,6.93,6.93,6.93,6.93,6.94,6.79,,,,6.7216,1,7.1179,0,,,,,,0
2023-08-28,7.13,7.15,7.13,7.15,6.97,6.81,,,,6.7216,1,6.7569,1,26,,,,,0
2023-08-29,7.36,7.51,7.33,7.49,7.03,6.85,,,,6.9109,1,6.7647,1,138,,,,,0
2023-08-30,7.39,7.39,7.21,7.30,7.07,6.89,,,,6.9109,1,6.7944,1,112,,,,,0
2023-08-31,7.30,7.82,7.30,7.82,7.15,6.95,,,,6.9177,1,6.8228,1,183,,,,,0
2023-09-01,7.79,7.86,7.69,7.85,7.25,7.02,,,,7.1463,1,6.8828,1,13,,,,,0
2023-09-05,7.98,7.98,7.98,7.98,7.33,7.08,,,,7.3807,1,6.9606,1,125,,0.3518,0.2508,0.1010,0
2023-09-06,8.08,8.08,8.08,8.08,7.44,7.16,,,,7.5093,1,7.0630,1,25,,0.3815,0.2769,0.1046,0
2023-09-07,8.44,8.44,8.44,8.44,7.60,7.25,,,,7.8165,1,7.1854,1,17,,0.4290,0.3073,0.1216,0
2023-09-08,8.18,8.18,8.11,8.11,7.72,7.32,,,,7.8165,1,7.3609,1,60,,0.4353,0.3329,0.1024,0
2023-09-11,8.34,8.41,8.34,8.39,7.86,7.40,,,,7.8165,1,7.5119,1,18,,0.4576,0.3579,0.0998,0
2023-09-12,8.18,8.23,8.18,8.23,7.97,7.47,,,,7.8165,1,7.6417,1,20,,0.4570,0.3777,0.0793,0
2023-09-13,8.15,8.31,8.15,8.31,8.05,7.54,,,,7.8165,1,7.7534,1,20,,0.4572,0.3936,0.0636,0
2023-09-14,8.34,8.34,8.28,8.32,8.16,7.61,,,,7.8165,1,7.8494,1,249,,0.4534,0.4056,0.0479,0
2023-09-15,8.28,8.29,8.16,8.24,8.20,7.67,,,,7.8165,1,7.9320,1,89,,0.4391,0.4123,0.0268,0
2023-09-18,8.26,8.29,8.24,8.29,8.24,7.74,,,,7.8165,1,8.0030,1,63,,0.4265,0.4151,0.0114,0
2023-09-19,8.27,8.31,8.27,8.31,8.27,7.80,,,,7.8165,1,8.0641,1,23,,0.4133,0.4148,-0.0014,0
2023-09-20,8.30,8.53,8.28,8.53,8.32,7.88,,,,7.8697,1,8.1167,1,33,,0.4159,0.4150,0.0009,0
2023-09-21,8.51,8.51,8.39,8.44,8.32,7.96,,,,7.9257,1,8.1828,1,156,,0.4059,0.4132,-0.0072,0
2023-09-22,8.39,8.47,8.39,8.46,8.35,8.03,,,,7.9319,1,8.2384,1,202,,0.3955,0.4096,-0.0141,0
2023-09-25,8.46,8.46,8.46,8.46,8.36,8.11,,,,8.0197,1,8.2851,1,,,0.3828,0.4043,-0.0214,0
2023-09-26,8.37,8.37,8.37,8.37,8.37,8.17,,,,8.0197,1,8.3243,1,4,,0.3614,0.3957,-0.0343,0
2023-09-27,8.24,8.37,8.15,8.37,8.38,8.22,7.31,,,8.0197,1,8.5302,0,104,45,0.3397,0.3845,-0.0448,0
2023-09-28,8.23,8.23,8.20,8.20,8.37,8.26,7.35,,,8.0197,1,8.5226,0,23,45,0.3053,0.3687,-0.0634,0
2023-09-29,8.28,8.28,8.24,8.24,8.37,8.28,7.38,,,8.0197,1,8.5151,0,148,48,0.2783,0.3506,-0.0723,0
2023-10-02,8.26,8.28,8.26,8.28,8.37,8.30,7.42,,,8.0197,1,8.5077,0,15,48,0.2575,0.3320,-0.0744,0
2023-10-03,7.93,7.93,7.43,7.69,8.30,8.29,7.45,,,8.2999,0,8.5005,0,235,52,0.1912,0.3038,-0.1126,0
2023-10-04,7.01,7.01,6.84,6.86,8.14,8.23,7.46,,,7.7429,0,8.4575,0,280,57,0.0708,0.2572,-0.1864,0
2023-10-05,6.88,7.27,6.88,7.14,8.01,8.16,7.47,,,7.7429,0,8.3606,0,562,68,-0.0021,0.2054,-0.2074,0
2023-10-06,7.01,7.21,7.01,7.21,7.88,8.12,7.49,,,7.7429,0,8.2695,0,200,72,-0.0540,0.1535,-0.2075,0
2023-10-09,7.32,7.45,7.30,7.45,7.78,8.07,7.52,,,7.7429,0,8.1839,0,177,75,-0.0743,0.1079,-0.1823,0
2023-10-10,7.43,7.61,7.43,7.59,7.70,8.04,7.53,,,7.7429,0,8.1034,0,83,76,-0.0786,0.0706,-0.1492,0
2023-10-11,7.48,7.58,7.48,7.54,7.62,8.00,7.55,,,7.7429,0,8.0277,0,49,77,-0.0851,0.0395,-0.1246,0
2023-10-12,7.63,7.63,7.63,7.63,7.56,7.97,7.57,,,7.7429,0,7.9566,0,5,77,-0.0821,0.0152,-0.0972,0
2023-10-13,7.54,7.62,7.50,7.62,7.50,7.93,7.59,,,7.7429,0,7.8898,0,61,78,-0.0792,-0.0037,-0.0755,0
2023-10-16,7.63,7.69,7.60,7.69,7.44,7.90,7.62,,,7.7429,0,7.8269,0,141,81,-0.0709,-0.0172,-0.0538,0
2023-10-17,7.78,7.83,7.73,7.73,7.44,7.87,7.64,,,7.7429,0,6.8424,1,347,87,-0.0605,-0.0258,-0.0347,0
2023-10-18,7.73,7.79,7.73,7.79,7.54,7.84,7.66,,,7.1944,1,6.8621,1,17,88,-0.0465,-0.0300,-0.0165,0
2023-10-19,7.79,8.05,7.79,7.96,7.62,7.81,7.69,,,7.3322,1,6.8814,1,96,90,-0.0215,-0.0283,0.0068,0
2023-10-20,7.94,7.94,7.93,7.93,7.69,7.79,7.71,,,7.3985,1,6.9282,1,24,90,-0.0038,-0.0234,0.0196,0
2023-10-23,7.73,7.84,7.62,7.84,7.73,7.76,7.73,,,7.3985,1,6.9730,1,18,90,0.0029,-0.0181,0.0210,0
2023-10-24,8.20,8.20,8.20,8.20,7.79,7.75,7.76,,,7.5694,1,7.0161,1,18,90,0.0364,-0.0072,0.0436,0
2023-10-25,8.39,8.56,8.39,8.56,7.89,7.76,7.80,,,7.8012,1,7.0869,1,29,89,0.0914,0.0125,0.0789,0
2023-10-26,8.11,8.40,8.11,8.40,7.97,7.77,7.83,,,7.8012,1,7.2050,1,9,89,0.1203,0.0341,0.0862,0
2023-10-27,8.57,8.57,8.57,8.57,8.07,7.78,7.86,,,7.8506,1,7.3136,1,11,89,0.1552,0.0583,0.0969,0
2023-10-30,8.63,9.02,8.63,8.92,8.19,7.82,7.90,,,8.0450,1,7.4391,1,58,89,0.2088,0.0884,0.1204,0
2023-10-31,9.06,9.28,9.06,9.25,8.34,7.89,7.94,,,8.3569,1,7.6288,1,21,89,0.2746,0.1257,0.1490,0
2023-11-01,9.64,9.87,9.47,9.47,8.51,8.02,7.99,,,8.7492,1,7.8604,1,41,88,0.3404,0.1686,0.1718,0
2023-11-02,9.92,10.17,9.74,10.09,8.72,8.17,8.05,,,8.9166,1,8.1819,1,182,91,0.4382,0.2225,0.2157,0
2023-11-03,9.87,9.87,9.58,9.71,8.90,8.30,8.11,,,8.9166,1,8.5402,1,118,93,0.4789,0.2738,0.2051,0
2023-11-06,9.76,9.89,9.68,9.89,9.10,8.42,8.17,,,8.9166,1,8.8341,1,41,94,0.5197,0.3230,0.1967,0
2023-11-07,9.76,9.76,9.55,9.68,9.25,8.52,8.22,,,8.9166,1,9.0750,1,19,94,0.5292,0.3642,0.1650,0
2023-11-08,9.53,9.61,9.35,9.41,9.34,8.62,8.26,,,8.9166,1,9.2726,1,57,92,0.5094,0.3933,0.1162,0
2023-11-09,9.27,9.27,9.27,9.27,9.43,8.70,8.30,,,8.9166,1,10.1727,0,3,90,0.4767,0.4100,0.0668,0
