Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,26.63,27.23,26.44,26.58,,,,,,,0,27.2343,0,1114,,,,,0
2023-07-14,26.72,26.72,26.07,26.30,,,,,,,0,27.2343,0,1201,,,,,0
2023-07-17,26.22,26.97,26.22,26.94,,,,,,,0,27.2343,0,1519,,,,,0
2023-07-18,26.97,28.13,26.84,28.12,,,,,,,0,26.0662,1,1710,,,,,0
2023-07-19,28.16,29.14,27.94,29.13,,,,,,,0,26.1075,1,1901,,,,,0
2023-07-20,29.12,29.34,28.61,29.30,,,,,,,0,26.2288,1,1835,,,,,0
2023-07-21,29.32,29.32,28.67,28.96,,,,,,,0,26.4156,1,1194,,,,,0
2023-07-24,28.98,30.09,28.79,29.92,,,,,,,0,26.5912,1,1278,,,,,0
2023-07-25,30.21,30.34,29.66,29.87,,,,,,,0,26.8709,1,1357,,,,,0
2023-07-26,29.92,31.26,29.92,30.60,28.57,,,,,33.4241,0,27.2182,1,1770,,,,,0
2023-07-27,30.71,30.84,30.20,30.44,28.96,,,,,33.2671,0,27.7028,1,1684,,,,,0
2023-07-28,30.57,30.84,30.30,30.64,29.39,,,,,33.1973,0,28.1292,1,1462,,,,,0
2023-07-31,30.72,31.22,30.32,30.37,29.74,,,,,33.1973,0,28.5045,1,2123,,,,,0
2023-08-01,30.30,30.67,29.61,30.53,29.98,,,,,32.8321,0,28.8348,1,1286,,,,,0
2023-08-02,30.32,30.80,30.04,30.74,30.14,,,,,32.8321,0,29.1254,1,1358,,,,,0
2023-08-03,30.67,31.13,30.49,31.00,30.31,,,,,32.8321,0,29.3811,1,1956,,,,,0
2023-08-04,31.02,31.59,30.94,31.52,30.56,,,,,32.8321,0,29.6062,1,1012,,,,,0
2023-08-07,31.65,32.35,31.46,32.28,30.80,,,,,32.8321,0,29.8840,1,1422,,,,,0
2023-08-08,31.88,32.19,30.88,31.97,31.01,,,,,32.8321,0,30.2792,1,808,,,,,0
2023-08-09,31.98,32.04,31.46,31.79,31.13,29.85,,,,32.8321,0,30.6113,1,1397,,,,,0
2023-08-10,31.72,32.00,31.58,31.73,31.26,30.11,,,,32.8321,0,30.8790,1,874,,,,,0
2023-08-11,31.73,32.04,31.56,31.96,31.39,30.39,,,,32.8321,0,31.1150,1,921,,,,,0
2023-08-14,31.91,31.91,31.30,31.54,31.51,30.62,,,,32.8321,0,32.3544,0,2456,,,,,0
2023-08-15,31.17,31.17,30.32,30.33,31.48,30.73,,,,32.8321,0,32.3333,0,960,,,,,0
2023-08-16,30.38,30.47,29.91,29.92,31.40,30.77,,,,32.5695,0,32.2527,0,964,,,,,0
2023-08-17,29.92,30.52,29.92,30.48,31.35,30.83,,,,32.5414,0,32.1123,0,632,,,,,0
2023-08-18,30.23,30.80,30.14,30.14,31.21,30.89,,,,32.5414,0,31.9803,0,769,,,,,0
2023-08-21,30.26,30.45,29.75,29.75,30.96,30.88,,,,32.3678,0,31.8563,0,871,,,,,0
2023-08-22,29.75,29.97,28.69,28.69,30.63,30.82,,,,31.7504,0,31.6882,0,1010,,,,,0
2023-08-23,28.69,29.07,28.67,28.73,30.33,30.73,,,,31.1684,0,31.3885,0,635,,,,,0
2023-08-24,28.58,29.22,28.49,28.73,30.03,30.64,,,,31.1438,0,31.0618,0,893,,,,,0
2023-08-25,29.03,29.03,28.36,28.52,29.68,30.54,,,,30.9527,0,30.7018,0,773,,,,,0
2023-08-28,28.43,29.08,28.34,28.93,29.42,30.46,,,,30.9527,0,30.3268,0,781,,,,,0
2023-08-29,28.89,29.18,28.60,28.90,29.28,30.38,,,,30.9527,0,29.9694,0,586,,-0.1690,0.2050,-0.3740,0
2023-08-30,28.81,29.01,28.66,28.89,29.18,30.29,,,,30.9217,0,29.6762,0,750,,-0.1998,0.1240,-0.3238,0
2023-08-31,28.81,29.21,28.79,28.80,29.01,30.18,,,,30.9217,0,29.4359,0,1318,,-0.2286,0.0535,-0.2821,0
2023-09-01,29.05,29.36,29.05,29.21,28.91,30.06,,,,30.9217,0,28.3408,1,991,,-0.2157,-0.0003,-0.2154,0
2023-09-05,29.03,29.16,28.53,28.69,28.81,29.88,,,,30.8241,0,28.3612,1,928,,-0.2444,-0.0492,-0.1953,0
2023-09-06,28.72,28.88,28.17,28.26,28.77,29.70,,,,30.5187,0,29.3596,0,792,,-0.2985,-0.0990,-0.1995,0
2023-09-07,28.15,28.99,27.84,28.10,28.70,29.52,,,,30.5187,0,29.3357,0,2509,,-0.3501,-0.1492,-0.2008,0
2023-09-08,28.24,28.34,27.77,27.81,28.61,29.32,,,,30.1555,0,29.2759,0,1127,,-0.4096,-0.2013,-0.2083,0
2023-09-11,27.84,28.05,26.76,26.79,28.44,29.06,,,,29.6829,0,29.1855,0,1119,,-0.5336,-0.2678,-0.2658,0
2023-09-12,26.76,27.23,26.76,26.93,28.24,28.83,,,,29.1820,0,28.9915,0,613,,-0.6134,-0.3369,-0.2765,0
2023-09-13,27.04,27.19,26.61,26.97,28.04,28.66,,,,29.0448,0,28.7683,0,958,,-0.6654,-0.4026,-0.2628,0
2023-09-14,27.21,28.02,26.91,27.27,27.88,28.53,,,,29.0448,0,28.5094,0,925,,-0.6748,-0.4570,-0.2178,0
2023-09-15,27.23,27.27,26.11,26.31,27.63,28.32,,,,29.0448,0,28.2816,0,4102,,-0.7508,-0.5158,-0.2350,0
2023-09-18,26.46,26.46,25.97,25.98,27.31,28.11,,,,28.5102,0,28.0247,0,855,,-0.8284,-0.5783,-0.2501,0
2023-09-19,26.08,26.08,25.69,25.72,27.01,27.91,,,,28.0700,0,27.6959,0,899,,-0.9001,-0.6427,-0.2574,0
2023-09-20,25.73,26.05,25.54,25.57,26.75,27.76,,,,27.9122,0,27.3345,0,981,,-0.9586,-0.7059,-0.2528,0
2023-09-21,25.36,25.58,25.21,25.32,26.47,27.58,29.04,,,27.4141,0,26.9755,0,917,1246,-1.0132,-0.7673,-0.2459,0
2023-09-22,25.31,25.32,24.52,24.77,26.16,27.39,29.00,,,26.9776,0,26.6215,0,3113,1286,-1.0885,-0.8316,-0.2569,0
2023-09-25,24.73,25.13,24.68,24.85,25.97,27.20,28.97,,,26.8887,0,26.2013,0,1593,1294,-1.1281,-0.8909,-0.2372,0
2023-09-26,24.94,25.23,24.76,24.98,25.77,27.01,28.93,,,26.8887,0,25.8651,0,1866,1301,-1.1365,-0.9400,-0.1965,0
2023-09-27,25.28,26.22,24.92,24.94,25.57,26.81,28.87,,,26.8887,0,24.5205,1,1321,1293,-1.1329,-0.9786,-0.1543,0
2023-09-28,24.81,25.55,24.64,24.78,25.32,26.60,28.78,,,26.8887,0,24.5544,1,1357,1282,-1.1298,-1.0088,-0.1210,0
2023-09-29,24.82,25.52,24.63,24.78,25.17,26.40,28.69,,,26.8887,0,24.5876,1,1391,1273,-1.1144,-1.0299,-0.0845,0
2023-10-02,24.83,24.83,24.42,24.48,25.02,26.17,28.60,,,26.7550,0,26.2155,0,1134,1272,-1.1143,-1.0468,-0.0675,0
2023-10-03,24.44,25.16,23.77,23.84,24.83,25.92,28.48,,,26.7550,0,26.1795,0,931,1265,-1.1519,-1.0678,-0.0841,0
2023-10-04,23.86,24.43,23.71,24.42,24.72,25.73,28.37,,,26.3915,0,26.0833,0,1054,1259,-1.1220,-1.0786,-0.0433,0
