Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,1.29,1.29,1.21,1.24,,,,,,,0,1.2100,1,30,,,,,0
2023-07-20,1.25,1.28,1.25,1.28,,,,,,,0,1.2100,1,6,,,,,0
2023-07-21,1.29,1.29,1.17,1.25,,,,,,,0,1.2900,0,36,,,,,0
2023-07-24,1.21,1.21,1.13,1.13,,,,,,,0,1.2900,0,25,,,,,0
2023-07-25,1.14,1.18,1.13,1.15,,,,,,,0,1.2900,0,1,,,,,0
2023-07-26,1.13,1.15,1.10,1.15,,,,,,,0,1.2836,0,13,,,,,0
2023-07-27,1.13,1.16,0.98,1.08,,,,,,,0,1.2726,0,95,,,,,0
2023-07-28,1.06,1.07,1.00,1.05,,,,,,,0,1.2489,0,13,,,,,0
2023-07-31,1.08,1.15,1.06,1.08,,,,,,,0,1.2272,0,20,,,,,0
2023-08-01,1.03,1.15,1.02,1.05,1.15,,,,,1.3721,0,1.2072,0,7,,,,,0
2023-08-02,1.07,1.10,0.99,1.08,1.13,,,,,1.3354,0,1.1888,0,41,,,,,0
2023-08-03,1.10,1.16,1.06,1.06,1.11,,,,,1.3354,0,1.1718,0,5,,,,,0
2023-08-04,1.09,1.10,1.05,1.05,1.09,,,,,1.3354,0,1.1600,0,3,,,,,0
2023-08-07,1.09,1.10,1.07,1.07,1.08,,,,,1.3354,0,1.1600,0,11,,,,,0
2023-08-08,1.11,1.14,1.08,1.10,1.08,,,,,1.3354,0,1.1454,0,6,,,,,0
2023-08-09,1.10,1.10,1.10,1.10,1.07,,,,,1.3346,0,1.1400,0,1,,,,,0
2023-08-10,1.00,1.07,1.00,1.06,1.07,,,,,1.2762,0,1.1400,0,6,,,,,0
2023-08-11,1.08,1.20,1.07,1.15,1.08,,,,,1.2762,0,0.9770,1,12,,,,,0
2023-08-14,1.17,1.21,1.13,1.15,1.09,,,,,1.2762,0,0.9815,1,5,,,,,0
2023-08-15,1.18,1.18,1.12,1.16,1.10,1.12,,,,1.2762,0,0.9906,1,3,,,,,0
2023-08-16,1.11,1.19,1.11,1.12,1.10,1.12,,,,1.2762,0,0.9994,1,20,,,,,0
2023-08-17,1.10,1.13,1.09,1.13,1.11,1.11,,,,1.2762,0,1.0078,1,4,,,,,0
2023-08-18,1.11,1.12,1.09,1.09,1.11,1.10,,,,1.2762,0,1.0159,1,9,,,,,0
2023-08-21,1.10,1.16,1.10,1.12,1.12,1.10,,,,1.2762,0,1.0237,1,20,,,,,0
2023-08-22,1.16,1.26,1.12,1.24,1.13,1.10,,,,1.2762,0,1.0311,1,32,,,,,0
2023-08-23,1.24,1.37,1.23,1.30,1.15,1.11,,,,1.0400,1,1.0448,1,94,,,,,0
2023-08-24,1.35,1.37,1.22,1.29,1.18,1.12,,,,1.0400,1,1.0709,1,29,,,,,0
2023-08-25,1.26,1.34,1.25,1.29,1.19,1.13,,,,1.0400,1,1.0948,1,9,,,,,0
2023-08-28,1.27,1.31,1.19,1.19,1.19,1.14,,,,1.0400,1,1.1168,1,6,,,,,0
2023-08-29,1.17,1.23,1.16,1.23,1.20,1.15,,,,1.0400,1,1.1371,1,5,,,,,0
2023-08-30,1.22,1.28,1.22,1.25,1.21,1.16,,,,1.0400,1,1.1557,1,13,,,,,0
2023-08-31,1.30,1.31,1.20,1.22,1.22,1.17,,,,1.0400,1,1.1580,1,44,,,,,0
2023-09-01,1.18,1.29,1.18,1.21,1.23,1.17,,,,1.0400,1,1.1750,1,10,,,,,0
2023-09-05,1.25,1.27,1.12,1.16,1.24,1.18,,,,1.0400,1,1.3700,0,19,,0.0286,0.0372,-0.0086,0
2023-09-06,1.14,1.15,1.12,1.14,1.23,1.18,,,,1.0400,1,1.3650,0,7,,0.0214,0.0340,-0.0126,0
2023-09-07,1.14,1.19,1.14,1.17,1.22,1.18,,,,1.0400,1,1.3601,0,3,,0.0183,0.0309,-0.0125,0
2023-09-08,1.14,1.22,1.12,1.18,1.20,1.19,,,,1.0400,1,1.3553,0,25,,0.0161,0.0279,-0.0118,0
2023-09-11,1.15,1.26,1.15,1.20,1.20,1.19,,,,1.0400,1,1.3506,0,14,,0.0158,0.0255,-0.0097,0
2023-09-12,1.18,1.25,1.17,1.17,1.19,1.19,,,,1.0400,1,1.3460,0,6,,0.0130,0.0230,-0.0100,0
2023-09-13,1.24,1.24,1.20,1.20,1.19,1.20,,,,1.0400,1,1.3415,0,6,,0.0130,0.0210,-0.0080,0
2023-09-14,1.24,1.24,1.19,1.21,1.19,1.20,,,,1.0400,1,1.3370,0,14,,0.0137,0.0196,-0.0058,0
2023-09-15,1.20,1.26,1.19,1.26,1.19,1.21,,,,1.0400,1,1.3327,0,21,,0.0181,0.0193,-0.0012,0
2023-09-18,1.24,1.24,1.19,1.19,1.19,1.21,,,,1.0400,1,1.3284,0,3,,0.0157,0.0185,-0.0028,0
2023-09-19,1.19,1.20,1.19,1.20,1.19,1.22,,,,1.0400,1,1.3243,0,1,,0.0145,0.0177,-0.0033,0
2023-09-20,1.18,1.19,1.13,1.13,1.19,1.21,,,,1.0400,1,1.3202,0,8,,0.0077,0.0157,-0.0080,0
2023-09-21,1.23,1.23,1.12,1.14,1.19,1.20,,,,1.0400,1,1.3162,0,11,,0.0032,0.0132,-0.0100,0
2023-09-22,1.18,1.18,1.13,1.14,1.18,1.19,,,,1.0400,1,1.3123,0,1,,-0.0004,0.0105,-0.0109,0
2023-09-25,1.28,1.28,1.06,1.12,1.18,1.19,,,,1.0400,1,1.3084,0,29,,-0.0048,0.0074,-0.0123,0
2023-09-26,1.14,1.16,0.88,1.00,1.16,1.18,,,,1.3464,0,1.2984,0,238,,-0.0178,0.0024,-0.0202,0
2023-09-27,1.00,1.00,0.87,0.91,1.13,1.16,1.15,,,1.2682,0,1.2830,0,27,21,-0.0350,-0.0051,-0.0299,0
2023-09-28,0.90,0.96,0.90,0.92,1.10,1.14,1.15,,,1.2483,0,1.2500,0,29,21,-0.0472,-0.0135,-0.0337,0
2023-09-29,0.93,0.95,0.92,0.92,1.07,1.13,1.14,,,1.2296,0,1.2196,0,15,22,-0.0562,-0.0221,-0.0342,0
2023-10-02,0.97,1.04,0.92,1.04,1.05,1.12,1.14,,,1.2296,0,1.1916,0,10,21,-0.0531,-0.0283,-0.0248,0
2023-10-03,1.10,1.10,0.92,0.99,1.03,1.11,1.13,,,1.2296,0,1.1659,0,11,21,-0.0540,-0.0334,-0.0206,0
2023-10-04,1.03,1.03,0.94,0.94,1.01,1.10,1.13,,,1.2296,0,1.1422,0,4,21,-0.0578,-0.0383,-0.0195,0
2023-10-05,0.99,0.99,0.86,0.86,0.98,1.09,1.12,,,1.2296,0,1.1204,0,53,22,-0.0668,-0.0440,-0.0228,0
2023-10-06,0.87,0.94,0.87,0.93,0.96,1.07,1.12,,,1.2203,0,1.0944,0,3,20,-0.0675,-0.0487,-0.0188,0
