Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,33.16,33.51,32.67,32.68,,,,,,,0,32.6744,1,27305,,,,,0
2023-07-18,32.35,33.51,31.86,33.39,,,,,,,0,33.5075,0,61698,,,,,0
2023-07-19,33.53,34.67,33.28,34.45,,,,,,,0,31.8599,1,51114,,,,,0
2023-07-20,34.66,34.76,34.17,34.29,,,,,,,0,31.8599,1,26958,,,,,0
2023-07-21,34.61,34.66,34.03,34.12,,,,,,,0,31.9758,1,20295,,,,,0
2023-07-24,34.29,34.75,33.67,34.20,,,,,,,0,32.0870,1,31722,,,,,0
2023-07-25,34.00,34.13,33.43,33.87,,,,,,,0,32.1938,1,26747,,,,,0
2023-07-26,33.47,34.69,33.47,34.66,,,,,,,0,32.2964,1,28252,,,,,0
2023-07-27,34.76,34.94,33.86,34.07,,,,,,,0,32.3948,1,24906,,,,,0
2023-07-28,34.63,34.78,33.90,34.29,34.00,,,,,37.3812,0,32.5476,1,28869,,,,,0
2023-07-31,34.31,34.65,33.93,34.04,34.14,,,,,37.2401,0,32.6913,1,35666,,,,,0
2023-08-01,34.00,34.00,33.00,33.32,34.13,,,,,36.4674,0,32.8264,1,37508,,,,,0
2023-08-02,32.88,33.86,32.42,33.79,34.07,,,,,36.2445,0,34.9422,0,63779,,,,,0
2023-08-03,34.25,35.35,33.20,33.42,33.98,,,,,36.2445,0,32.4245,1,81627,,,,,0
2023-08-04,33.56,34.19,32.74,33.66,33.94,,,,,36.2445,0,32.4245,1,36068,,,,,0
2023-08-07,33.74,34.03,33.23,33.44,33.86,,,,,36.2445,0,32.4830,1,32727,,,,,0
2023-08-08,33.21,33.30,32.75,33.18,33.79,,,,,36.2445,0,32.5404,1,31426,,,,,0
2023-08-09,33.17,33.81,33.10,33.59,33.68,,,,,36.2445,0,32.5965,1,24456,,,,,0
2023-08-10,33.82,34.31,32.78,32.79,33.56,,,,,36.2445,0,32.6516,1,23855,,,,,0
2023-08-11,32.67,32.79,31.69,32.08,33.33,33.67,,,,35.5548,0,35.3495,0,38812,,,,,0
2023-08-14,31.87,31.93,31.36,31.61,33.09,33.61,,,,34.8433,0,35.2764,0,42353,,,,,0
2023-08-15,31.40,32.16,31.36,32.15,32.97,33.55,,,,34.8433,0,35.1197,0,38547,,,,,0
2023-08-16,32.01,32.01,31.27,31.28,32.72,33.39,,,,34.7114,0,34.8940,0,37245,,,,,0
2023-08-17,31.43,31.59,30.15,30.35,32.42,33.20,,,,34.0640,0,34.6044,0,36739,,,,,0
2023-08-18,30.16,30.91,30.16,30.28,32.08,33.01,,,,33.6371,0,34.1585,0,40897,,,,,0
2023-08-21,30.32,30.71,29.55,29.73,31.71,32.78,,,,33.2711,0,33.7572,0,42183,,,,,0
2023-08-22,29.73,30.22,29.52,30.11,31.40,32.59,,,,32.9058,0,33.2521,0,22550,,,,,0
2023-08-23,30.07,30.43,29.81,30.28,31.07,32.37,,,,32.9058,0,32.7296,0,24789,,,,,0
2023-08-24,30.15,30.55,30.01,30.02,30.79,32.17,,,,32.9058,0,32.2803,0,24846,,,,,0
2023-08-25,30.04,30.23,29.33,29.49,30.53,31.93,,,,32.5587,0,31.8938,0,23888,,,,,0
2023-08-28,29.51,29.82,29.31,29.46,30.32,31.70,,,,32.2156,0,31.4842,0,21579,,,,,0
2023-08-29,29.32,30.36,29.30,30.24,30.12,31.55,,,,32.2156,0,31.0920,0,20123,,,,,0
2023-08-30,30.21,30.44,29.98,30.18,30.01,31.37,,,,32.2156,0,30.7328,0,20869,,,,,0
2023-08-31,30.29,30.46,29.66,29.72,29.95,31.18,,,,32.2156,0,29.2961,1,16021,,-1.2326,-1.3577,0.1251,0
2023-09-01,29.97,30.17,29.64,29.72,29.90,30.99,,,,32.2156,0,29.3195,1,13552,,-1.1935,-1.3249,0.1314,0
2023-09-05,29.56,29.56,28.35,28.42,29.76,30.73,,,,31.5811,0,30.4624,0,32790,,-1.2528,-1.3105,0.0577,0
2023-09-06,28.34,28.69,28.19,28.31,29.58,30.49,,,,30.9519,0,30.4202,0,22828,,-1.2938,-1.3071,0.0133,0
2023-09-07,28.33,28.66,28.11,28.65,29.42,30.24,,,,30.8143,0,30.3309,0,16396,,-1.2837,-1.3025,0.0188,0
2023-09-08,28.68,28.73,28.05,28.28,29.25,30.02,,,,30.7758,0,30.1977,0,24881,,-1.2909,-1.3002,0.0092,0
2023-09-11,28.40,28.51,27.49,27.92,29.09,29.81,,,,30.4576,0,30.0255,0,28152,,-1.3101,-1.3022,-0.0080,0
2023-09-12,27.76,28.38,27.46,28.19,28.96,29.64,,,,30.4096,0,29.7716,0,22754,,-1.2894,-1.2996,0.0102,0
2023-09-13,28.18,28.41,27.88,27.91,28.73,29.43,,,,30.4096,0,29.4940,0,22166,,-1.2808,-1.2959,0.0150,0
2023-09-14,28.22,28.37,27.53,28.26,28.54,29.28,,,,30.3647,0,29.2497,0,33340,,-1.2312,-1.2829,0.0517,0
2023-09-15,28.22,28.50,27.92,28.44,28.41,29.18,,,,30.3647,0,29.0347,0,56138,,-1.1642,-1.2592,0.0950,0
2023-09-18,28.52,28.64,27.45,27.45,28.18,29.04,,,,30.3647,0,28.8455,0,24904,,-1.1773,-1.2428,0.0655,0
2023-09-19,27.37,27.70,27.30,27.61,28.10,28.93,,,,29.8419,0,28.6500,0,22891,,-1.1615,-1.2265,0.0651,0
2023-09-20,27.76,28.30,27.57,27.64,28.03,28.81,,,,29.8419,0,28.6431,0,25580,,-1.1336,-1.2080,0.0743,0
2023-09-21,27.43,27.65,27.12,27.21,27.89,28.66,,,,29.6410,0,28.4281,0,13924,,-1.1331,-1.1930,0.0599,0
2023-09-22,27.11,27.20,26.82,27.01,27.76,28.50,,,,29.1526,0,28.2978,0,33672,,-1.1355,-1.1815,0.0460,0
2023-09-25,26.78,27.15,26.68,26.99,27.67,28.38,30.93,,,28.9851,0,28.0030,0,24686,31301,-1.1258,-1.1704,0.0445,0
