Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,5.15,5.26,5.14,5.21,,,,,,,0,5.1421,1,4462,,,,,0
2023-07-18,5.23,5.36,5.22,5.33,,,,,,,0,5.1421,1,6271,,,,,0
2023-07-19,5.36,5.53,5.33,5.50,,,,,,,0,5.1421,1,4400,,,,,0
2023-07-20,5.50,5.50,5.36,5.45,,,,,,,0,5.1574,1,3991,,,,,0
2023-07-21,5.48,5.48,5.35,5.37,,,,,,,0,5.1722,1,3484,,,,,0
2023-07-24,5.37,5.53,5.37,5.52,,,,,,,0,5.1863,1,4190,,,,,0
2023-07-25,5.51,5.55,5.43,5.50,,,,,,,0,5.2066,1,8579,,,,,0
2023-07-26,5.53,5.73,5.49,5.72,,,,,,,0,5.2342,1,8087,,,,,0
2023-07-27,5.72,5.73,5.41,5.53,,,,,,,0,5.2841,1,14424,,,,,0
2023-07-28,5.55,5.61,5.52,5.56,5.47,,,,,6.0630,0,5.3291,1,9966,,,,,0
2023-07-31,5.56,5.59,5.48,5.53,5.50,,,,,6.0188,0,5.3696,1,4139,,,,,0
2023-08-01,5.50,5.55,5.41,5.53,5.52,,,,,5.9587,0,5.4060,1,4402,,,,,0
2023-08-02,5.47,5.48,5.37,5.44,5.51,,,,,5.9024,0,5.7338,0,3983,,,,,0
2023-08-03,5.45,5.46,5.35,5.40,5.51,,,,,5.8726,0,5.7265,0,3870,,,,,0
2023-08-04,5.35,5.44,5.35,5.39,5.51,,,,,5.8410,0,5.7112,0,4567,,,,,0
2023-08-07,5.40,5.41,5.35,5.39,5.50,,,,,5.8053,0,5.6893,0,5227,,,,,0
2023-08-08,5.30,5.40,5.16,5.39,5.49,,,,,5.7285,0,5.6686,0,4187,,,,,0
2023-08-09,5.38,5.38,5.29,5.35,5.45,,,,,5.7285,0,5.6279,0,5395,,,,,0
2023-08-10,5.38,5.41,5.29,5.33,5.43,,,,,5.7285,0,5.5904,0,3602,,,,,0
2023-08-11,5.30,5.36,5.29,5.33,5.41,5.44,,,,5.7285,0,5.5559,0,3497,,,,,0
2023-08-14,5.29,5.29,5.19,5.24,5.38,5.44,,,,5.6474,0,5.5241,0,3355,,,,,0
2023-08-15,5.17,5.22,5.10,5.11,5.34,5.43,,,,5.5631,0,5.4950,0,4400,,,,,0
2023-08-16,5.10,5.16,5.06,5.07,5.30,5.41,,,,5.5025,0,5.4555,0,3180,,,,,0
2023-08-17,5.07,5.16,5.06,5.16,5.27,5.39,,,,5.4935,0,5.4078,0,3791,,,,,0
2023-08-18,5.13,5.31,5.11,5.25,5.26,5.39,,,,5.4935,0,5.3658,0,14634,,,,,0
2023-08-21,5.23,5.25,5.11,5.14,5.24,5.37,,,,5.4935,0,5.3288,0,5455,,,,,0
2023-08-22,5.15,5.20,5.07,5.07,5.20,5.35,,,,5.4935,0,5.3112,0,5305,,,,,0
2023-08-23,5.07,5.11,5.02,5.07,5.18,5.31,,,,5.4599,0,5.2809,0,3067,,,,,0
2023-08-24,5.04,5.16,4.98,5.01,5.14,5.29,,,,5.4599,0,5.2449,0,3585,,,,,0
2023-08-25,5.01,5.07,4.88,4.90,5.10,5.25,,,,5.3959,0,5.2028,0,2602,,,,,0
2023-08-28,4.94,4.98,4.89,4.91,5.07,5.22,,,,5.3435,0,5.1593,0,2591,,,,,0
2023-08-29,4.85,4.93,4.85,4.90,5.05,5.19,,,,5.2816,0,5.1091,0,3051,,,,,0
2023-08-30,4.87,4.91,4.85,4.87,5.03,5.16,,,,5.2474,0,5.0566,0,2495,,,,,0
2023-08-31,4.87,4.88,4.78,4.79,4.99,5.13,,,,5.1943,0,5.0147,0,3610,,-0.1712,-0.1479,-0.0232,0
2023-09-01,4.82,4.90,4.81,4.89,4.95,5.11,,,,5.1943,0,4.9676,0,6158,,-0.1670,-0.1518,-0.0152,0
2023-09-05,4.85,4.85,4.70,4.76,4.92,5.08,,,,5.1555,0,4.9299,0,5203,,-0.1719,-0.1558,-0.0161,0
2023-09-06,4.77,4.89,4.68,4.69,4.88,5.04,,,,5.1555,0,4.8975,0,3101,,-0.1799,-0.1606,-0.0193,0
2023-09-07,4.69,4.74,4.64,4.66,4.84,5.01,,,,5.0837,0,4.8891,0,4043,,-0.1861,-0.1657,-0.0204,0
2023-09-08,4.67,4.76,4.66,4.74,4.81,4.98,,,,5.0837,0,4.8891,0,4061,,-0.1827,-0.1691,-0.0136,0
2023-09-11,4.74,4.78,4.56,4.57,4.78,4.94,,,,5.0811,0,4.8401,0,3750,,-0.1915,-0.1736,-0.0179,0
2023-09-12,4.58,4.62,4.52,4.53,4.74,4.90,,,,4.9690,0,4.7840,0,4268,,-0.1989,-0.1786,-0.0203,0
2023-09-13,4.54,4.54,4.40,4.42,4.69,4.87,,,,4.8749,0,4.7793,0,4293,,-0.2119,-0.1853,-0.0266,0
2023-09-14,4.46,4.60,4.42,4.59,4.66,4.85,,,,4.8749,0,4.7033,0,8545,,-0.2061,-0.1895,-0.0167,0
2023-09-15,4.57,4.57,4.41,4.43,4.63,4.81,,,,4.8749,0,4.6425,0,16605,,-0.2114,-0.1939,-0.0176,0
2023-09-18,4.47,4.47,4.32,4.32,4.57,4.76,,,,4.8255,0,4.6020,0,4747,,-0.2219,-0.1995,-0.0224,0
2023-09-19,4.32,4.36,4.07,4.19,4.51,4.71,,,,4.6871,0,4.5682,0,6429,,-0.2384,-0.2072,-0.0311,0
2023-09-20,4.25,4.40,4.21,4.21,4.47,4.67,,,,4.6871,0,4.4685,0,4096,,-0.2465,-0.2151,-0.0314,0
2023-09-21,4.18,4.26,4.11,4.17,4.42,4.63,,,,4.6676,0,4.3993,0,6808,,-0.2535,-0.2228,-0.0307,0
2023-09-22,4.18,4.23,4.11,4.15,4.36,4.58,,,,4.6420,0,4.3993,0,3895,,-0.2581,-0.2298,-0.0282,0
2023-09-25,4.14,4.20,4.10,4.15,4.32,4.55,5.01,,,4.6000,0,4.3334,0,3818,5233,-0.2580,-0.2355,-0.0226,0
2023-09-26,4.12,4.13,3.91,3.92,4.25,4.50,4.99,,,4.5014,0,4.2807,0,4315,5230,-0.2739,-0.2432,-0.0308,0
2023-09-27,3.94,3.94,3.87,3.90,4.20,4.45,4.96,,,4.3620,0,4.2065,0,4643,5198,-0.2846,-0.2515,-0.0332,0
2023-09-28,3.91,3.98,3.91,3.93,4.14,4.40,4.93,,,4.3620,0,4.1387,0,4068,5191,-0.2877,-0.2587,-0.0290,0
2023-09-29,3.96,4.08,3.93,4.03,4.10,4.36,4.90,,,4.3620,0,4.0844,0,4211,5196,-0.2788,-0.2627,-0.0161,0
2023-10-02,4.01,4.05,3.89,3.90,4.05,4.31,4.87,,,4.3620,0,4.0784,0,4693,5220,-0.2787,-0.2659,-0.0128,0
2023-10-03,3.88,3.92,3.84,3.85,4.02,4.27,4.84,,,4.2993,0,4.0784,0,3010,5196,-0.2795,-0.2686,-0.0109,0
2023-10-04,3.87,3.87,3.79,3.87,3.99,4.23,4.80,,,4.2295,0,4.0531,0,2266,5070,-0.2756,-0.2700,-0.0056,0
2023-10-05,3.87,3.95,3.86,3.93,3.96,4.19,4.77,,,4.2295,0,4.0007,0,3158,4971,-0.2641,-0.2688,0.0048,0
2023-10-06,3.89,3.97,3.85,3.93,3.94,4.15,4.74,,,4.2295,0,3.7913,1,4108,4765,-0.2526,-0.2656,0.0130,0
2023-10-09,3.91,3.98,3.88,3.93,3.92,4.12,4.70,,,4.2295,0,3.7949,1,2371,4613,-0.2402,-0.2605,0.0204,0
2023-10-10,3.93,4.10,3.93,4.08,3.93,4.09,4.68,,,4.2295,0,3.8022,1,4018,4611,-0.2162,-0.2516,0.0355,0
2023-10-11,4.07,4.11,3.98,4.04,3.95,4.08,4.65,,,4.2295,0,3.8203,1,2480,4572,-0.1976,-0.2408,0.0432,0
2023-10-12,4.04,4.04,3.93,3.94,3.95,4.04,4.62,,,4.2295,0,3.8436,1,1918,4531,-0.1889,-0.2305,0.0415,0
2023-10-13,3.96,3.99,3.77,3.78,3.93,4.01,4.58,,,4.2295,0,4.1122,0,1841,4490,-0.1927,-0.2229,0.0302,0
2023-10-16,3.82,3.89,3.76,3.87,3.92,3.99,4.55,,,4.2295,0,4.1055,0,5424,4508,-0.1868,-0.2157,0.0289,0
2023-10-17,3.87,3.99,3.86,3.93,3.93,3.98,4.52,,,4.2295,0,4.0915,0,4983,4503,-0.1753,-0.2076,0.0323,0
2023-10-18,3.92,3.92,3.78,3.81,3.92,3.96,4.49,,,4.2295,0,4.0782,0,3141,4482,-0.1737,-0.2008,0.0271,0
2023-10-19,3.81,3.89,3.76,3.77,3.91,3.94,4.46,,,4.2295,0,4.0654,0,3982,4453,-0.1739,-0.1955,0.0216,0
2023-10-20,3.78,3.84,3.67,3.68,3.88,3.91,4.43,,,4.1791,0,4.0469,0,4556,4473,-0.1788,-0.1921,0.0133,0
2023-10-23,3.65,3.74,3.64,3.67,3.86,3.89,4.39,,,4.0998,0,4.0170,0,2901,4461,-0.1812,-0.1899,0.0087,0
2023-10-24,3.69,3.74,3.56,3.58,3.81,3.87,4.36,,,4.0740,0,3.9792,0,4130,4476,-0.1885,-0.1896,0.0012,0
2023-10-25,3.61,3.83,3.61,3.78,3.78,3.87,4.33,,,4.0740,0,3.9293,0,7069,4530,-0.1759,-0.1869,0.0110,0
2023-10-26,3.83,4.37,3.83,4.22,3.81,3.88,4.32,,,3.5103,1,3.5633,1,11165,4689,-0.1290,-0.1753,0.0463,0
