Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,6.04,6.08,5.78,5.78,,,,,,,0,6.0819,0,807,,,,,0
2023-07-21,5.74,5.82,5.71,5.81,,,,,,,0,6.0819,0,363,,,,,0
2023-07-24,5.76,5.83,5.68,5.71,,,,,,,0,6.0819,0,486,,,,,0
2023-07-25,5.66,5.81,5.64,5.77,,,,,,,0,6.0660,0,494,,,,,0
2023-07-26,5.77,5.78,5.65,5.73,,,,,,,0,6.0402,0,534,,,,,0
2023-07-27,5.68,5.68,5.52,5.54,,,,,,,0,6.0160,0,534,,,,,0
2023-07-28,5.63,5.73,5.51,5.69,,,,,,,0,5.9759,0,619,,,,,0
2023-07-31,5.66,6.01,5.66,5.91,,,,,,,0,5.5063,1,985,,,,,0
2023-08-01,5.80,5.80,5.50,5.52,,,,,,,0,6.0077,0,849,,,,,0
2023-08-02,5.52,5.62,5.44,5.52,5.70,,,,,6.2036,0,6.0077,0,1216,,,,,0
2023-08-03,5.52,5.60,5.47,5.49,5.67,,,,,6.1798,0,5.9850,0,673,,,,,0
2023-08-04,5.52,5.65,5.52,5.58,5.65,,,,,6.1798,0,5.9633,0,821,,,,,0
2023-08-07,5.53,5.58,5.41,5.48,5.62,,,,,6.1153,0,5.9424,0,526,,,,,0
2023-08-08,5.47,5.61,5.42,5.57,5.60,,,,,6.1153,0,5.9106,0,721,,,,,0
2023-08-09,5.58,5.58,5.46,5.54,5.59,,,,,6.1074,0,5.8808,0,404,,,,,0
2023-08-10,5.57,5.62,5.48,5.54,5.59,,,,,6.1074,0,5.8528,0,809,,,,,0
2023-08-11,5.54,5.70,5.54,5.65,5.58,,,,,6.1074,0,5.8264,0,353,,,,,0
2023-08-14,5.64,5.64,5.46,5.60,5.55,,,,,6.1074,0,5.8016,0,542,,,,,0
2023-08-15,5.53,5.58,5.45,5.47,5.54,,,,,6.0654,0,5.7783,0,335,,,,,0
2023-08-16,5.53,5.53,5.28,5.29,5.52,5.61,,,,5.9711,0,5.7564,0,716,,,,,0
2023-08-17,5.27,5.35,5.15,5.17,5.49,5.58,,,,5.8189,0,5.7185,0,883,,,,,0
2023-08-18,5.14,5.16,5.07,5.11,5.44,5.55,,,,5.6570,0,5.6617,0,996,,,,,0
2023-08-21,5.11,5.22,5.10,5.20,5.41,5.52,,,,5.6570,0,5.5903,0,740,,,,,0
2023-08-22,5.26,5.26,5.10,5.22,5.38,5.49,,,,5.6570,0,5.5275,0,762,,,,,0
2023-08-23,5.27,5.54,5.27,5.53,5.38,5.48,,,,5.6570,0,5.0667,1,1833,,,,,0
2023-08-24,5.53,5.65,5.39,5.54,5.38,5.48,,,,5.6570,0,5.0763,1,924,,,,,0
2023-08-25,5.54,5.59,5.41,5.53,5.37,5.47,,,,5.6570,0,5.0991,1,396,,,,,0
2023-08-28,5.53,5.62,5.53,5.57,5.36,5.46,,,,5.6570,0,5.1211,1,588,,,,,0
2023-08-29,5.56,5.68,5.56,5.68,5.38,5.46,,,,5.0931,1,5.1421,1,406,,,,,0
2023-08-30,5.71,5.81,5.59,5.62,5.42,5.47,,,,5.1565,1,5.1747,1,663,,,,,0
2023-08-31,5.62,5.65,5.58,5.60,5.46,5.47,,,,5.1565,1,5.2252,1,290,,,,,0
2023-09-01,5.65,5.67,5.51,5.52,5.50,5.47,,,,5.1565,1,5.2718,1,441,,,,,0
2023-09-05,5.46,5.47,5.24,5.33,5.51,5.46,,,,5.1565,1,5.8066,0,306,,,,,0
2023-09-06,5.30,5.42,5.27,5.29,5.52,5.45,,,,5.1565,1,5.7954,0,617,,-0.0593,-0.0669,0.0075,0
2023-09-07,5.28,5.28,5.12,5.23,5.49,5.43,,,,5.1565,1,5.7844,0,660,,-0.0737,-0.0682,-0.0054,0
2023-09-08,5.28,5.38,5.21,5.28,5.46,5.42,,,,5.1565,1,5.7579,0,489,,-0.0796,-0.0705,-0.0091,0
2023-09-11,5.33,5.41,5.30,5.32,5.44,5.40,,,,5.1565,1,5.7325,0,736,,-0.0803,-0.0724,-0.0078,0
2023-09-12,5.27,5.47,5.27,5.39,5.42,5.39,,,,5.1565,1,5.7081,0,539,,-0.0747,-0.0729,-0.0018,0
2023-09-13,5.38,5.39,5.23,5.27,5.38,5.38,,,,5.1565,1,5.6847,0,394,,-0.0785,-0.0740,-0.0045,0
2023-09-14,5.31,5.39,5.29,5.35,5.36,5.39,,,,5.1565,1,5.6623,0,734,,-0.0745,-0.0741,-0.0004,0
2023-09-15,5.42,5.48,5.38,5.48,5.34,5.40,,,,5.1565,1,5.6407,0,496,,-0.0601,-0.0713,0.0112,0
2023-09-18,5.52,5.52,5.15,5.25,5.32,5.41,,,,5.1565,1,5.6200,0,825,,-0.0661,-0.0703,0.0042,0
2023-09-19,5.24,5.35,5.01,5.04,5.29,5.40,,,,5.7276,0,5.6001,0,1160,,-0.0872,-0.0737,-0.0136,0
2023-09-20,5.04,5.17,5.02,5.07,5.27,5.39,,,,5.6740,0,5.5647,0,854,,-0.1005,-0.0790,-0.0215,0
2023-09-21,4.97,5.05,4.90,5.00,5.24,5.37,,,,5.5449,0,5.5315,0,751,,-0.1150,-0.0862,-0.0288,0
2023-09-22,5.03,5.04,4.94,4.95,5.21,5.34,,,,5.5345,0,5.4808,0,786,,-0.1288,-0.0948,-0.0341,0
2023-09-25,4.91,4.92,4.82,4.86,5.17,5.30,,,,5.3978,0,5.4342,0,329,,-0.1456,-0.1049,-0.0407,0
2023-09-26,4.82,4.82,4.66,4.68,5.10,5.26,,,,5.2776,0,5.3731,0,710,,-0.1713,-0.1182,-0.0531,0
2023-09-27,4.65,4.70,4.58,4.63,5.03,5.21,,,,5.1577,0,5.2880,0,879,,-0.1940,-0.1334,-0.0606,0
2023-09-28,4.64,4.66,4.56,4.64,4.96,5.16,5.39,,,5.1088,0,5.1889,0,409,668,-0.2088,-0.1485,-0.0603,0
2023-09-29,4.74,4.75,4.50,4.59,4.87,5.11,5.37,,,5.1088,0,5.0884,0,789,667,-0.2218,-0.1631,-0.0586,0
2023-10-02,4.55,4.55,4.34,4.38,4.78,5.05,5.34,,,4.9876,0,4.9834,0,1019,680,-0.2458,-0.1797,-0.0662,0
2023-10-03,4.40,4.40,4.25,4.38,4.72,5.00,5.31,,,4.8611,0,4.8539,0,563,682,-0.2619,-0.1961,-0.0658,0
2023-10-04,4.38,4.40,4.26,4.32,4.64,4.96,5.28,,,4.8545,0,4.7335,0,230,677,-0.2767,-0.2122,-0.0645,0
2023-10-05,4.34,4.36,4.24,4.35,4.58,4.91,5.26,,,4.8106,0,4.6372,0,196,670,-0.2829,-0.2263,-0.0565,0
2023-10-06,4.35,4.36,4.27,4.33,4.52,4.86,5.23,,,4.8020,0,4.5583,0,993,679,-0.2860,-0.2383,-0.0477,0
2023-10-09,4.37,4.59,4.35,4.51,4.48,4.82,5.21,,,4.8020,0,4.2426,1,747,682,-0.2703,-0.2447,-0.0256,0
2023-10-10,4.51,4.51,4.37,4.42,4.45,4.78,5.18,,,4.8020,0,4.2495,1,516,672,-0.2623,-0.2482,-0.0141,0
2023-10-11,4.52,4.52,4.35,4.41,4.43,4.73,5.16,,,4.8020,0,4.2563,1,763,671,-0.2539,-0.2494,-0.0045,0
2023-10-12,4.42,4.42,4.22,4.24,4.39,4.68,5.13,,,4.8020,0,4.5891,0,701,660,-0.2578,-0.2510,-0.0068,0
2023-10-13,4.42,4.53,4.35,4.53,4.39,4.63,5.11,,,4.8020,0,4.5818,0,1224,671,-0.2348,-0.2478,0.0130,0
2023-10-16,4.50,4.60,4.45,4.54,4.40,4.59,5.09,,,4.8020,0,4.2238,1,694,669,-0.2133,-0.2409,0.0276,0
