Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,37.30,37.63,36.91,37.02,,,,,,,0,37.6300,0,6686,,,,,0
2023-07-14,36.81,36.97,36.26,36.45,,,,,,,0,37.6300,0,6455,,,,,0
2023-07-17,36.41,36.99,36.39,36.69,,,,,,,0,37.6300,0,7984,,,,,0
2023-07-18,36.60,37.26,36.38,36.44,,,,,,,0,37.6026,0,4876,,,,,0
2023-07-19,36.46,36.87,36.36,36.52,,,,,,,0,37.5757,0,8173,,,,,0
2023-07-20,36.63,37.11,36.20,37.11,,,,,,,0,37.5494,0,9868,,,,,0
2023-07-21,37.27,37.74,37.06,37.63,,,,,,,0,36.2000,1,9415,,,,,0
2023-07-24,37.67,37.97,37.52,37.70,,,,,,,0,36.2000,1,8381,,,,,0
2023-07-25,37.46,37.86,37.32,37.74,,,,,,,0,36.2708,1,7261,,,,,0
2023-07-26,37.76,38.13,37.42,38.09,37.14,,,,,39.8030,0,36.3388,1,7035,,,,,0
2023-07-27,38.15,38.57,36.24,36.36,37.07,,,,,39.8030,0,38.1300,0,14660,,,,,0
2023-07-28,36.66,37.00,35.84,35.95,37.02,,,,,39.0398,0,38.5700,0,8391,,,,,0
2023-07-31,35.89,36.52,35.73,36.34,36.99,,,,,38.7198,0,38.5700,0,8104,,,,,0
2023-08-01,36.27,36.60,35.80,36.39,36.98,,,,,38.7198,0,38.3996,0,8166,,,,,0
2023-08-02,32.50,33.33,30.84,31.61,36.49,,,,,36.0678,0,38.2394,0,64677,,,,,0
2023-08-03,31.47,31.78,29.88,30.14,35.80,,,,,34.9845,0,37.6475,0,29299,,,,,0
2023-08-04,30.04,30.41,29.77,29.82,35.01,,,,,34.0211,0,36.8707,0,10816,,,,,0
2023-08-07,29.90,30.46,29.70,29.99,34.24,,,,,33.8460,0,36.0186,0,8433,,,,,0
