Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,16.52,16.80,16.36,16.52,,,,,,,0,16.8000,0,874,,,,,0
2023-07-21,16.58,16.74,16.28,16.50,,,,,,,0,16.8000,0,736,,,,,0
2023-07-24,16.57,16.88,16.42,16.50,,,,,,,0,16.2800,1,893,,,,,0
2023-07-25,15.14,16.75,15.12,16.41,,,,,,,0,16.8800,0,7519,,,,,0
2023-07-26,16.42,16.48,16.27,16.44,,,,,,,0,16.8800,0,549,,,,,0
2023-07-27,16.37,16.50,15.80,15.93,,,,,,,0,16.8448,0,640,,,,,0
2023-07-28,15.81,16.02,15.81,16.00,,,,,,,0,16.8103,0,502,,,,,0
2023-07-31,16.00,16.35,15.92,16.35,,,,,,,0,16.7765,0,477,,,,,0
2023-08-01,16.15,16.40,16.15,16.29,,,,,,,0,16.7434,0,257,,,,,0
2023-08-02,16.30,16.30,15.80,15.97,16.29,,,,,17.6370,0,16.7109,0,805,,,,,0
2023-08-03,15.85,16.14,15.80,16.01,16.24,,,,,17.5003,0,16.6791,0,1236,,,,,0
2023-08-04,15.89,16.10,15.53,15.56,16.15,,,,,17.3633,0,16.6479,0,1153,,,,,0
2023-08-07,15.52,15.79,15.50,15.70,16.07,,,,,17.1254,0,16.6173,0,873,,,,,0
2023-08-08,15.55,15.74,15.41,15.66,15.99,,,,,17.0064,0,16.5874,0,672,,,,,0
2023-08-09,15.95,15.98,15.65,15.79,15.93,,,,,17.0064,0,16.5580,0,2646,,,,,0
2023-08-10,15.64,16.15,15.64,15.81,15.91,,,,,17.0064,0,16.5293,0,738,,,,,0
2023-08-11,15.75,16.27,15.75,16.13,15.93,,,,,17.0064,0,16.5011,0,2081,,,,,0
2023-08-14,16.03,16.38,16.03,16.27,15.92,,,,,17.0064,0,16.4735,0,1134,,,,,0
2023-08-15,16.42,16.43,15.84,15.96,15.89,,,,,17.0064,0,16.4464,0,1666,,,,,0
2023-08-16,15.97,16.39,15.96,16.38,15.93,16.11,,,,17.0064,0,16.4300,0,793,,,,,0
2023-08-17,16.38,16.43,16.13,16.26,15.95,16.10,,,,17.0064,0,16.4300,0,793,,,,,0
2023-08-18,16.30,16.80,16.13,16.74,16.07,16.11,,,,17.0064,0,15.1200,1,2014,,,,,0
2023-08-21,16.74,16.98,16.72,16.97,16.20,16.13,,,,17.0064,0,15.1536,1,2415,,,,,0
2023-08-22,16.95,17.34,16.90,17.31,16.36,16.18,,,,15.7665,1,15.2267,1,1895,,,,,0
2023-08-23,17.28,17.40,17.00,17.10,16.49,16.21,,,,15.8618,1,15.3535,1,3333,,,,,0
2023-08-24,17.00,17.42,17.00,17.09,16.62,16.27,,,,15.8797,1,15.5172,1,807,,,,,0
2023-08-25,17.08,17.18,17.00,17.06,16.71,16.32,,,,15.8797,1,15.7075,1,543,,,,,0
2023-08-28,17.15,18.02,17.15,18.02,16.89,16.40,,,,16.1708,1,15.8787,1,2161,,,,,0
2023-08-29,17.85,18.14,17.69,17.82,17.07,16.48,,,,16.5072,1,16.1357,1,1010,,,,,0
2023-08-30,17.76,17.93,17.46,17.70,17.21,16.57,,,,16.5072,1,16.4163,1,862,,,,,0
2023-08-31,17.58,17.79,17.46,17.53,17.33,16.64,,,,16.5072,1,16.6576,1,745,,,,,0
2023-09-01,17.67,18.81,17.67,18.66,17.53,16.80,,,,16.6264,1,16.8651,1,2306,,,,,0
2023-09-05,18.58,18.98,18.43,18.90,17.72,16.96,,,,17.0878,1,17.1763,1,1572,,,,,0
2023-09-06,18.69,18.91,18.44,18.91,17.88,17.12,,,,17.0878,1,17.5010,1,968,,0.6959,0.5048,0.1912,0
2023-09-07,18.73,19.00,18.49,18.97,18.07,17.28,,,,17.1552,1,17.7672,1,795,,0.7335,0.5505,0.1830,0
2023-09-08,19.00,19.91,19.00,19.70,18.33,17.47,,,,17.7421,1,18.0138,1,3700,,0.8128,0.6030,0.2098,0
2023-09-11,19.62,19.81,19.39,19.56,18.58,17.65,,,,17.9324,1,18.3930,1,2369,,0.8546,0.6533,0.2012,0
2023-09-12,19.56,19.85,19.06,19.19,18.69,17.79,,,,17.9324,1,18.6964,1,2834,,0.8480,0.6922,0.1557,0
2023-09-13,19.16,19.74,19.05,19.17,18.83,17.95,,,,17.9324,1,18.9391,1,1043,,0.8316,0.7201,0.1115,0
2023-09-14,19.11,19.73,19.01,19.66,19.03,18.12,,,,17.9324,1,19.9100,0,1929,,0.8483,0.7458,0.1026,0
2023-09-15,19.75,19.86,19.36,19.51,19.22,18.28,,,,17.9324,1,19.8920,0,1188,,0.8398,0.7646,0.0753,0
2023-09-18,19.40,19.88,19.19,19.43,19.30,18.41,,,,17.9324,1,19.0100,1,1428,,0.8172,0.7751,0.0421,0
2023-09-19,19.43,19.49,19.20,19.48,19.36,18.54,,,,17.9324,1,19.0274,1,1258,,0.7942,0.7789,0.0153,0
2023-09-20,19.35,19.74,19.35,19.42,19.41,18.64,,,,17.9324,1,19.0445,1,856,,0.7623,0.7756,-0.0133,0
2023-09-21,19.54,19.54,18.97,19.05,19.42,18.74,,,,17.9324,1,19.8800,0,1431,,0.6991,0.7603,-0.0612,0
2023-09-22,19.17,19.33,18.96,19.02,19.35,18.84,,,,17.9324,1,19.8618,0,1411,,0.6392,0.7361,-0.0969,0
2023-09-25,18.95,19.44,18.95,19.22,19.31,18.95,,,,17.9324,1,19.8257,0,475,,0.6010,0.7090,-0.1081,0
2023-09-26,19.22,19.45,18.73,18.85,19.28,18.99,,,,17.9324,1,19.7732,0,1231,,0.5347,0.6742,-0.1395,0
