Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,22.57,22.91,22.57,22.86,,,,,,,0,22.5655,1,11324,,,,,0
2023-07-14,23.02,23.04,22.45,22.75,,,,,,,0,23.0360,0,11178,,,,,0
2023-07-17,22.75,23.26,22.73,23.03,,,,,,,0,22.4526,1,13216,,,,,0
2023-07-18,23.06,23.49,23.06,23.38,,,,,,,0,22.4526,1,15740,,,,,0
2023-07-19,23.26,23.62,23.26,23.59,,,,,,,0,22.4940,1,11685,,,,,0
2023-07-20,23.77,23.85,23.61,23.76,,,,,,,0,22.5615,1,13834,,,,,0
2023-07-21,23.87,23.94,23.49,23.56,,,,,,,0,22.6650,1,14553,,,,,0
2023-07-24,23.61,23.85,23.50,23.80,,,,,,,0,22.7924,1,15351,,,,,0
2023-07-25,23.76,23.88,23.62,23.65,,,,,,,0,22.9071,1,11502,,,,,0
2023-07-26,23.67,24.11,23.66,24.07,23.45,,,,,25.1053,0,23.0104,1,12918,,,,,0
2023-07-27,24.11,24.27,23.91,24.01,23.56,,,,,25.1053,0,23.1422,1,13240,,,,,0
2023-07-28,24.18,24.28,23.96,24.03,23.69,,,,,25.1053,0,23.2999,1,11026,,,,,0
2023-07-31,24.03,24.41,24.02,24.20,23.81,,,,,25.1053,0,23.4564,1,21970,,,,,0
2023-08-01,23.58,23.58,21.98,22.91,23.76,,,,,24.5103,0,24.4099,0,39897,,,,,0
2023-08-02,22.54,23.43,22.54,23.25,23.72,,,,,24.5103,0,24.4099,0,19383,,,,,0
2023-08-03,23.05,23.60,23.02,23.36,23.68,,,,,24.5103,0,24.3614,0,23065,,,,,0
2023-08-04,23.26,23.72,23.07,23.30,23.66,,,,,24.5103,0,24.3138,0,23190,,,,,0
2023-08-07,23.43,23.97,23.43,23.67,23.64,,,,,24.5103,0,24.2672,0,12145,,,,,0
2023-08-08,23.33,23.48,22.90,23.43,23.62,,,,,24.5103,0,24.2214,0,11402,,,,,0
2023-08-09,23.37,23.37,23.02,23.05,23.52,23.48,,,,24.5103,0,24.1767,0,10983,,,,,0
2023-08-10,23.34,23.49,22.96,23.02,23.42,23.49,,,,24.5103,0,24.1328,0,15292,,,,,0
2023-08-11,22.84,23.31,22.79,23.30,23.35,23.52,,,,24.5103,0,24.0898,0,11687,,,,,0
2023-08-14,23.28,23.28,22.92,23.04,23.23,23.52,,,,24.5103,0,24.0476,0,9168,,,,,0
2023-08-15,22.74,22.81,22.41,22.43,23.18,23.47,,,,24.3396,0,24.0063,0,7812,,,,,0
2023-08-16,22.34,22.78,22.21,22.22,23.08,23.40,,,,24.2215,0,23.9658,0,9564,,,,,0
2023-08-17,22.33,22.44,21.97,22.01,22.95,23.32,,,,23.9030,0,23.9261,0,9447,,,,,0
2023-08-18,21.84,22.12,21.84,21.95,22.81,23.24,,,,23.5924,0,23.8480,0,9694,,,,,0
2023-08-21,22.04,22.13,21.59,21.78,22.62,23.13,,,,23.4727,0,23.7276,0,8274,,,,,0
2023-08-22,21.78,21.94,21.39,21.40,22.42,23.02,,,,23.2776,0,23.5563,0,9251,,,,,0
2023-08-23,21.38,21.75,21.32,21.69,22.28,22.90,,,,23.1160,0,23.3396,0,7540,,,,,0
2023-08-24,21.70,22.13,21.70,21.86,22.17,22.80,,,,23.1160,0,23.0977,0,8442,,,,,0
2023-08-25,21.96,21.99,21.57,21.77,22.02,22.68,,,,23.1160,0,22.8848,0,8639,,,,,0
2023-08-28,21.82,22.23,21.82,22.03,21.91,22.57,,,,23.1160,0,22.6974,0,8683,,,,,0
2023-08-29,22.13,22.15,21.86,21.97,21.87,22.53,,,,23.1160,0,22.5325,0,11446,,-0.5096,-0.5301,0.0204,0
2023-08-30,21.93,22.17,21.91,21.95,21.84,22.46,,,,23.1160,0,22.3874,0,14523,,-0.4842,-0.5209,0.0367,0
2023-08-31,22.02,22.21,21.92,22.02,21.84,22.39,,,,23.1160,0,22.2597,0,18126,,-0.4535,-0.5074,0.0539,0
