Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,25.63,25.95,25.43,25.90,,,,,,,0,25.9512,0,132611,,,,,0
2023-07-14,25.84,25.89,24.98,25.01,,,,,,,0,25.9512,0,72778,,,,,0
2023-07-17,24.99,25.09,24.68,24.70,,,,,,,0,25.9512,0,100285,,,,,0
2023-07-18,24.74,25.62,24.68,25.45,,,,,,,0,25.9003,0,101145,,,,,0
2023-07-19,25.61,25.85,25.37,25.54,,,,,,,0,24.6786,1,113294,,,,,0
2023-07-20,25.76,25.84,25.22,25.58,,,,,,,0,24.6786,1,123458,,,,,0
2023-07-21,25.66,25.85,25.60,25.75,,,,,,,0,24.7020,1,83122,,,,,0
2023-07-24,25.92,26.54,25.92,26.38,,,,,,,0,24.7480,1,72333,,,,,0
2023-07-25,26.42,26.87,26.40,26.67,,,,,,,0,24.8558,1,89692,,,,,0
2023-07-26,26.33,26.62,26.32,26.49,25.75,,,,,28.2088,0,25.0173,1,96680,,,,,0
2023-07-27,26.66,26.78,26.07,26.16,25.77,,,,,28.2017,0,25.1659,1,105192,,,,,0
2023-07-28,26.25,26.71,26.10,26.70,25.94,,,,,28.1877,0,25.3026,1,60454,,,,,0
2023-07-31,26.99,27.25,26.81,26.87,26.16,,,,,28.1877,0,25.4284,1,102053,,,,,0
2023-08-01,26.53,26.93,26.42,26.92,26.31,,,,,28.1877,0,25.6106,1,124612,,,,,0
2023-08-02,26.73,26.73,25.95,26.19,26.37,,,,,28.1877,0,25.7745,1,142023,,,,,0
2023-08-03,26.33,26.96,25.74,26.48,26.46,,,,,28.1877,0,27.2503,0,123819,,,,,0
2023-08-04,26.51,27.20,26.51,26.91,26.58,,,,,28.1877,0,27.2201,0,121276,,,,,0
2023-08-07,27.02,27.22,26.76,26.78,26.62,,,,,28.1877,0,25.7391,1,69720,,,,,0
2023-08-08,26.38,26.98,26.23,26.95,26.64,,,,,28.1877,0,25.7687,1,85939,,,,,0
2023-08-09,27.17,27.35,27.02,27.09,26.70,26.22,,,,28.1877,0,25.7978,1,77171,,,,,0
2023-08-10,27.14,27.40,27.06,27.18,26.80,26.29,,,,28.1877,0,25.8597,1,107453,,,,,0
2023-08-11,27.12,27.50,27.08,27.34,26.87,26.41,,,,28.1877,0,25.9525,1,73526,,,,,0
2023-08-14,27.21,27.30,26.92,27.29,26.91,26.53,,,,28.1877,0,26.0764,1,70363,,,,,0
2023-08-15,27.05,27.07,26.37,26.44,26.86,26.58,,,,28.1877,0,26.1905,1,79670,,,,,0
2023-08-16,26.42,26.83,26.33,26.40,26.88,26.63,,,,28.1877,0,26.2954,1,61293,,,,,0
2023-08-17,26.76,27.04,26.58,26.71,26.91,26.68,,,,28.1877,0,26.3268,1,56898,,,,,0
2023-08-18,26.56,27.24,26.47,27.21,26.94,26.76,,,,28.1877,0,26.3268,1,95206,,,,,0
2023-08-21,27.43,27.46,26.98,27.14,26.97,26.79,,,,28.1877,0,26.4209,1,89163,,,,,0
2023-08-22,27.15,27.37,27.01,27.09,26.99,26.82,,,,28.1877,0,26.4726,1,145121,,,,,0
2023-08-23,26.80,27.14,26.55,26.97,26.98,26.84,,,,28.1877,0,27.5022,0,101176,,,,,0
2023-08-24,26.78,26.87,26.53,26.54,26.91,26.86,,,,28.1877,0,27.4831,0,70673,,,,,0
2023-08-25,26.81,27.01,26.42,26.91,26.87,26.87,,,,28.1877,0,27.4450,0,113749,,,,,0
2023-08-28,27.21,27.66,27.14,27.57,26.90,26.90,,,,28.1877,0,26.4196,1,129590,,,,,0
2023-08-29,27.56,28.34,27.40,28.29,27.08,26.97,,,,25.9947,1,26.4196,1,214877,,0.3835,0.3289,0.0545,0
2023-08-30,28.49,28.74,28.35,28.39,27.28,27.08,,,,26.7219,1,26.4963,1,174180,,0.4522,0.3536,0.0986,0
2023-08-31,28.55,28.72,28.39,28.58,27.47,27.19,,,,26.8207,1,26.6306,1,156233,,0.5168,0.3862,0.1306,0
2023-09-01,28.87,28.97,28.68,28.69,27.62,27.28,,,,27.1451,1,26.7569,1,173616,,0.5696,0.4229,0.1467,0
2023-09-05,28.89,29.09,28.74,28.86,27.79,27.38,,,,27.2831,1,26.9343,1,165456,,0.6186,0.4620,0.1565,0
2023-09-06,28.76,29.08,28.54,28.89,27.97,27.48,,,,27.2831,1,27.1497,1,189409,,0.6524,0.5001,0.1523,0
2023-09-07,28.84,29.12,28.72,28.86,28.16,27.57,,,,27.3330,1,27.3436,1,230388,,0.6686,0.5338,0.1348,0
2023-09-08,29.05,29.24,28.59,28.70,28.37,27.64,,,,27.3330,1,27.5567,1,332765,,0.6610,0.5592,0.1018,0
2023-09-11,28.90,29.06,27.94,28.00,28.48,27.68,,,,27.3330,1,27.7928,1,115600,,0.5915,0.5657,0.0258,0
2023-09-12,28.22,28.64,28.18,28.60,28.59,27.74,,,,27.3330,1,27.9441,1,171321,,0.5785,0.5683,0.0103,0
2023-09-13,28.59,28.70,28.18,28.41,28.60,27.84,,,,27.3330,1,27.9441,1,295876,,0.5467,0.5639,-0.0173,0
