Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,44.66,44.90,43.99,44.89,,,,,,,0,43.9933,1,1047,,,,,0
2023-07-17,44.98,45.24,44.41,44.60,,,,,,,0,43.9933,1,1915,,,,,0
2023-07-18,44.80,45.01,43.96,44.46,,,,,,,0,45.2394,0,1589,,,,,0
2023-07-19,44.46,45.46,44.13,45.33,,,,,,,0,43.9641,1,2105,,,,,0
2023-07-20,45.32,45.32,44.46,44.99,,,,,,,0,43.9641,1,1201,,,,,0
2023-07-21,45.23,45.29,44.58,44.82,,,,,,,0,43.9940,1,1377,,,,,0
2023-07-24,44.92,45.42,44.66,45.40,,,,,,,0,44.0234,1,1423,,,,,0
2023-07-25,45.28,46.33,45.28,46.26,,,,,,,0,44.0522,1,1426,,,,,0
2023-07-26,46.14,47.04,46.14,46.74,,,,,,,0,44.1433,1,2007,,,,,0
2023-07-27,47.02,47.02,46.28,46.44,45.39,,,,,49.3904,0,44.3171,1,2003,,,,,0
2023-07-28,46.72,47.38,46.35,46.55,45.56,,,,,49.3904,0,44.4805,1,1583,,,,,0
2023-07-31,46.46,47.45,46.16,47.13,45.81,,,,,49.3904,0,44.7126,1,4362,,,,,0
2023-08-01,46.94,48.17,46.74,47.97,46.16,,,,,49.3904,0,44.9862,1,2912,,,,,0
2023-08-02,47.72,48.35,47.58,48.26,46.46,,,,,49.3904,0,45.3683,1,2811,,,,,0
2023-08-03,48.68,50.93,47.01,50.60,47.02,,,,,45.1360,1,45.7863,1,3410,,,,,0
2023-08-04,50.48,51.77,49.62,50.69,47.60,,,,,46.5974,1,46.6100,1,3614,,,,,0
2023-08-07,50.58,52.15,49.44,52.05,48.27,,,,,46.5974,1,47.0112,1,4491,,,,,0
2023-08-08,51.99,53.01,51.22,52.55,48.90,,,,,47.5245,1,48.0392,1,3147,,,,,0
2023-08-09,52.57,52.57,49.37,51.44,49.37,,,,,47.5245,1,49.0330,1,3741,,,,,0
2023-08-10,51.77,51.77,50.25,50.68,49.79,47.59,,,,47.5245,1,49.3671,1,2827,,,,,0
2023-08-11,50.61,51.71,50.61,51.31,50.27,47.91,,,,47.5245,1,49.3671,1,2319,,,,,0
2023-08-14,51.29,51.38,50.10,50.12,50.57,48.19,,,,47.5245,1,50.0953,1,3208,,,,,0
2023-08-15,49.96,50.65,49.66,50.46,50.82,48.49,,,,47.5245,1,53.0080,0,3881,,,,,0
2023-08-16,50.27,50.93,48.71,50.66,51.06,48.76,,,,47.5245,1,52.9410,0,3066,,,,,0
2023-08-17,50.70,51.40,50.23,50.30,51.03,49.02,,,,47.5245,1,52.7718,0,2007,,,,,0
2023-08-18,49.99,51.16,49.99,51.06,51.06,49.33,,,,47.5245,1,52.6094,0,6358,,,,,0
2023-08-21,51.13,52.64,51.13,52.01,51.06,49.66,,,,47.5245,1,48.7109,1,2795,,,,,0
2023-08-22,52.02,52.02,50.96,51.56,50.96,49.93,,,,47.5245,1,48.7894,1,3490,,,,,0
2023-08-23,51.51,52.24,51.37,52.17,51.03,50.20,,,,47.5615,1,48.8665,1,2670,,,,,0
2023-08-24,52.26,52.44,51.06,51.23,51.09,50.44,,,,47.5615,1,48.9419,1,3452,,,,,0
2023-08-25,51.32,51.63,50.60,50.84,51.04,50.65,,,,47.5615,1,49.0159,1,1601,,,,,0
2023-08-28,51.13,51.47,50.85,51.11,51.14,50.85,,,,47.5615,1,49.0884,1,1499,,,,,0
2023-08-29,51.16,51.16,50.79,50.99,51.19,51.00,,,,47.5615,1,49.1594,1,1736,,,,,0
2023-08-30,50.76,51.12,50.46,51.12,51.24,51.15,,,,47.5615,1,49.2290,1,3308,,1.3023,1.6845,-0.3821,0
2023-08-31,51.05,51.88,50.89,51.79,51.39,51.21,,,,47.9754,1,49.2973,1,4313,,1.2699,1.6015,-0.3317,0
2023-09-01,51.82,52.91,51.49,52.45,51.53,51.30,,,,48.7080,1,49.3641,1,3024,,1.2829,1.5378,-0.2549,0
2023-09-05,52.07,52.07,50.73,51.57,51.48,51.27,,,,48.7080,1,49.5061,1,3533,,1.2076,1.4718,-0.2641,0
