Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,19.98,20.69,19.98,20.66,,,,,,,0,19.9823,1,3449,,,,,0
2023-07-18,20.66,20.81,20.36,20.50,,,,,,,0,19.9823,1,2420,,,,,0
2023-07-19,20.63,20.70,20.25,20.35,,,,,,,0,19.9823,1,3054,,,,,0
2023-07-20,20.28,20.70,20.23,20.64,,,,,,,0,19.9988,1,2550,,,,,0
2023-07-21,20.78,20.78,20.39,20.46,,,,,,,0,20.0150,1,2887,,,,,0
2023-07-24,20.43,20.65,20.26,20.32,,,,,,,0,20.0309,1,1699,,,,,0
2023-07-25,20.32,20.53,20.32,20.43,,,,,,,0,20.0464,1,1532,,,,,0
2023-07-26,20.47,20.67,20.47,20.60,,,,,,,0,20.0617,1,1862,,,,,0
2023-07-27,20.67,20.67,20.38,20.48,,,,,,,0,20.0766,1,3102,,,,,0
2023-07-28,20.57,20.70,20.33,20.41,20.49,,,,,21.7057,0,20.0913,1,1946,,,,,0
2023-07-31,20.41,20.69,20.34,20.69,20.49,,,,,21.6958,0,20.1056,1,2643,,,,,0
2023-08-01,20.56,20.84,20.56,20.56,20.49,,,,,21.6958,0,20.1197,1,1735,,,,,0
2023-08-02,20.34,20.44,20.19,20.32,20.49,,,,,21.4599,0,20.1485,1,1971,,,,,0
2023-08-03,20.42,20.89,19.93,20.55,20.48,,,,,21.4599,0,20.8398,0,3904,,,,,0
2023-08-04,20.54,20.73,20.36,20.37,20.47,,,,,21.4599,0,20.8949,0,2824,,,,,0
2023-08-07,20.40,20.43,20.10,20.32,20.47,,,,,21.4599,0,20.8949,0,1827,,,,,0
2023-08-08,20.41,20.41,19.87,20.12,20.44,,,,,21.4395,0,20.8756,0,2336,,,,,0
2023-08-09,20.04,20.42,20.04,20.37,20.42,,,,,21.4395,0,20.8353,0,2240,,,,,0
2023-08-10,20.44,20.58,19.97,20.01,20.37,,,,,21.4395,0,20.7965,0,2018,,,,,0
2023-08-11,19.95,20.24,19.88,20.24,20.36,20.42,,,,21.3782,0,20.7593,0,2471,,,,,0
2023-08-14,19.93,20.00,19.64,19.84,20.27,20.38,,,,21.1853,0,20.7236,0,2071,,,,,0
2023-08-15,19.70,19.85,19.60,19.61,20.17,20.33,,,,21.0267,0,20.6584,0,2342,,,,,0
2023-08-16,19.59,19.74,19.45,19.45,20.09,20.29,,,,20.8533,0,20.5737,0,1904,,,,,0
