Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,62.16,62.16,61.28,61.99,,,,,,,0,61.2808,1,20178,,,,,0
2023-07-21,62.23,62.53,61.60,61.72,,,,,,,0,61.2808,1,25143,,,,,0
2023-07-24,61.77,62.50,61.55,62.36,,,,,,,0,61.2808,1,17387,,,,,0
2023-07-25,62.36,62.36,61.45,61.60,,,,,,,0,61.3058,1,14941,,,,,0
2023-07-26,61.60,62.03,61.07,61.35,,,,,,,0,62.5302,0,31287,,,,,0
2023-07-27,61.64,62.49,61.49,62.26,,,,,,,0,62.5009,0,24700,,,,,0
2023-07-28,62.37,63.55,61.99,63.43,,,,,,,0,61.0667,1,24966,,,,,0
2023-07-31,63.41,63.41,60.92,61.15,,,,,,,0,63.5458,0,36104,,,,,0
2023-08-01,61.24,61.60,60.41,61.12,,,,,,,0,63.5458,0,40772,,,,,0
2023-08-02,60.84,61.55,60.25,60.25,61.72,,,,,64.5995,0,63.4203,0,25586,,,,,0
2023-08-03,64.59,70.66,62.06,68.34,62.36,,,,,59.9082,1,60.2506,1,74601,,,,,0
2023-08-04,67.76,67.87,65.46,67.11,62.90,,,,,59.9970,1,60.2506,1,50739,,,,,0
2023-08-07,67.10,69.50,67.10,68.85,63.55,,,,,61.5780,1,60.4589,1,24818,,,,,0
2023-08-08,68.75,69.11,67.47,67.93,64.18,,,,,61.7496,1,60.6630,1,23499,,,,,0
2023-08-09,68.04,68.13,66.92,67.20,64.77,,,,,61.7496,1,60.8630,1,19351,,,,,0
2023-08-10,67.31,68.97,67.22,68.93,65.43,,,,,61.9396,1,61.0590,1,28556,,,,,0
2023-08-11,68.94,71.98,68.94,71.60,66.25,,,,,64.0019,1,61.2511,1,27217,,,,,0
2023-08-14,71.78,71.78,69.33,69.59,67.09,,,,,64.0114,1,61.6802,1,33086,,,,,0
2023-08-15,69.90,70.18,68.91,69.36,67.92,,,,,64.0114,1,62.0922,1,12069,,,,,0
2023-08-16,69.61,69.90,68.82,68.95,68.79,65.26,,,,64.0114,1,62.4876,1,24782,,,,,0
2023-08-17,68.86,68.90,66.58,66.61,68.61,65.49,,,,64.0114,1,62.8673,1,25939,,,,,0
2023-08-18,66.34,67.58,66.23,67.19,68.62,65.76,,,,64.0114,1,63.2318,1,35004,,,,,0
2023-08-21,66.84,66.98,66.31,66.58,68.39,65.97,,,,64.0114,1,63.5817,1,14964,,,,,0
2023-08-22,66.62,67.06,66.24,66.64,68.27,66.22,,,,64.0114,1,63.9176,1,17878,,,,,0
2023-08-23,67.05,67.47,66.56,67.20,68.26,66.51,,,,64.0114,1,64.2401,1,19418,,,,,0
2023-08-24,67.08,67.74,66.50,66.50,68.02,66.73,,,,64.0114,1,64.5496,1,16876,,,,,0
2023-08-25,66.64,67.10,66.14,67.07,67.57,66.91,,,,64.0114,1,64.8468,1,28759,,,,,0
2023-08-28,67.14,67.76,67.14,67.21,67.33,67.21,,,,64.0114,1,65.1321,1,15732,,,,,0
2023-08-29,67.21,67.72,67.21,67.68,67.16,67.54,,,,64.0114,1,65.4060,1,45074,,,,,0
2023-08-30,67.57,67.90,67.03,67.40,67.01,67.90,,,,64.0114,1,65.6689,1,35463,,,,,0
2023-08-31,67.39,67.57,66.91,67.48,67.09,67.85,,,,64.0114,1,65.9213,1,44590,,,,,0
2023-09-01,67.68,67.68,64.36,64.56,66.83,67.73,,,,64.0114,1,71.9793,0,33500,,,,,0
2023-09-05,64.51,66.12,63.44,65.28,66.70,67.55,,,,64.0114,1,71.8268,0,30225,,,,,0
2023-09-06,65.16,65.85,63.46,64.07,66.44,67.35,,,,64.0114,1,71.4913,0,26278,,0.3495,1.0152,-0.6657,0
2023-09-07,64.20,64.20,63.46,63.95,66.12,67.19,,,,68.5537,0,71.1692,0,23647,,0.1440,0.8410,-0.6970,0
2023-09-08,63.89,63.89,61.79,63.03,65.77,66.90,,,,67.7373,0,70.8599,0,40020,,-0.0921,0.6543,-0.7464,0
2023-09-11,63.41,65.87,63.41,65.27,65.59,66.58,,,,67.7373,0,70.3158,0,34138,,-0.0978,0.5039,-0.6017,0
2023-09-12,65.17,65.85,64.55,64.95,65.37,66.35,,,,67.7373,0,69.8043,0,22670,,-0.1265,0.3778,-0.5044,0
2023-09-13,65.13,65.13,63.79,64.01,65.00,66.08,,,,67.7373,0,69.3234,0,19227,,-0.2223,0.2578,-0.4801,0
2023-09-14,64.17,64.34,63.66,63.72,64.63,65.82,,,,67.7373,0,68.8715,0,29436,,-0.3179,0.1427,-0.4606,0
2023-09-15,63.72,63.72,61.76,62.22,64.11,65.60,,,,67.5715,0,68.4466,0,48267,,-0.5092,0.0123,-0.5215,0
2023-09-18,62.02,63.43,62.02,63.24,63.97,65.40,,,,67.4965,0,67.9115,0,16703,,-0.5717,-0.1045,-0.4672,0
2023-09-19,63.27,63.85,63.01,63.27,63.77,65.24,,,,67.4965,0,67.4192,0,12123,,-0.6120,-0.2060,-0.4060,0
2023-09-20,63.71,64.10,63.19,63.77,63.74,65.09,,,,67.4965,0,66.9663,0,21861,,-0.5968,-0.2842,-0.3126,0
2023-09-21,63.98,63.98,62.68,63.03,63.65,64.88,,,,67.4965,0,66.5496,0,12926,,-0.6369,-0.3547,-0.2821,0
2023-09-22,63.08,64.75,63.08,63.26,63.67,64.72,,,,67.4965,0,66.1662,0,18806,,-0.6423,-0.4122,-0.2300,0
2023-09-25,62.83,63.42,62.79,63.14,63.46,64.53,,,,67.2575,0,65.8136,0,12688,,-0.6489,-0.4596,-0.1893,0
2023-09-26,63.09,63.13,62.05,62.37,63.20,64.28,,,,66.6561,0,65.4891,0,15310,,-0.7083,-0.5093,-0.1990,0
2023-09-27,62.37,62.63,60.83,61.46,62.95,63.97,,,,65.9273,0,65.1906,0,17125,,-0.8191,-0.5713,-0.2479,0
2023-09-28,61.69,62.62,61.69,62.12,62.79,63.71,64.99,,,65.9273,0,64.7545,0,14155,26572,-0.8441,-0.6258,-0.2182,0
2023-09-29,62.44,62.44,61.33,61.44,62.71,63.41,64.98,,,65.9273,0,64.3621,0,13363,26435,-0.9087,-0.6824,-0.2263,0
2023-10-02,61.57,62.12,60.83,61.44,62.53,63.25,64.97,,,65.5046,0,64.0089,0,11010,26153,-0.9484,-0.7356,-0.2128,0
2023-10-03,61.16,61.42,60.61,61.20,62.32,63.05,64.95,,,64.8927,0,63.6270,0,13693,26079,-0.9878,-0.7861,-0.2018,0
2023-10-04,61.34,62.60,60.83,62.27,62.17,62.96,64.96,,,64.8927,0,63.2043,0,15416,26088,-0.9221,-0.8133,-0.1088,0
2023-10-05,62.64,62.64,60.95,61.05,61.98,62.81,64.96,,,64.8927,0,62.8408,0,17262,25808,-0.9580,-0.8422,-0.1158,0
2023-10-06,61.05,62.32,60.26,62.00,61.85,62.76,64.95,,,64.8927,0,62.6383,0,21832,25750,-0.8994,-0.8536,-0.0458,0
2023-10-09,62.08,62.08,61.02,61.82,61.72,62.59,64.92,,,64.8927,0,62.6383,0,16263,25576,-0.8577,-0.8545,-0.0032,0
2023-10-10,62.36,64.34,62.36,63.55,61.83,62.52,64.97,,,64.8927,0,60.2593,1,28435,25423,-0.6769,-0.8190,0.1420,0
2023-10-11,63.72,64.69,62.47,63.69,62.06,62.50,65.02,,,64.8927,0,60.3410,1,25792,25123,-0.5167,-0.7585,0.2418,0
2023-10-12,63.70,63.70,60.00,60.60,61.90,62.35,65.02,,,64.8927,0,64.6870,0,28121,25174,-0.6312,-0.7330,0.1018,0
2023-10-13,61.02,61.02,59.30,60.01,61.76,62.24,64.86,,,64.8927,0,64.6870,0,26601,24214,-0.7612,-0.7387,-0.0225,0
2023-10-16,60.77,61.45,60.65,61.08,61.73,62.13,64.74,,,64.8927,0,64.4716,0,19296,23585,-0.7687,-0.7447,-0.0241,0
2023-10-17,60.92,61.79,60.92,61.09,61.71,62.02,64.58,,,64.8927,0,64.2648,0,20881,23506,-0.7650,-0.7488,-0.0163,0
2023-10-18,61.11,61.76,61.11,61.25,61.61,61.89,64.45,,,64.8927,0,64.0663,0,11610,23269,-0.7406,-0.7471,0.0065,0
2023-10-19,61.25,61.36,60.34,60.41,61.55,61.76,64.31,,,64.8927,0,63.8757,0,40293,23688,-0.7805,-0.7538,-0.0267,0
2023-10-20,60.73,61.08,59.97,60.12,61.36,61.61,64.14,,,64.8927,0,63.6927,0,15006,23417,-0.8259,-0.7682,-0.0577,0
2023-10-23,60.05,60.85,60.05,60.24,61.20,61.46,63.91,,,64.6651,0,63.5171,0,13727,23147,-0.8420,-0.7830,-0.0591,0
2023-10-24,60.68,62.82,60.42,62.46,61.09,61.46,63.77,,,64.6651,0,63.3485,0,19602,22877,-0.6682,-0.7600,0.0918,0
2023-10-25,62.12,62.76,61.79,62.01,60.93,61.49,63.62,,,64.6651,0,63.1866,0,11883,22873,-0.5599,-0.7200,0.1601,0
2023-10-26,62.11,62.80,61.38,61.83,61.05,61.48,63.48,,,64.6651,0,63.0312,0,14911,22676,-0.4831,-0.6726,0.1895,0
2023-10-27,61.60,62.19,60.72,61.27,61.18,61.47,63.37,,,64.6651,0,62.8820,0,14077,22439,-0.4627,-0.6306,0.1679,0
2023-10-30,61.82,62.37,61.78,61.92,61.26,61.49,63.26,,,64.6651,0,62.8049,0,17624,22091,-0.3890,-0.5823,0.1933,0
