Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,98.63,100.38,98.63,99.28,,,,,,,0,98.6347,1,592090,,,,,0
2023-07-20,100.20,101.36,99.93,101.28,,,,,,,0,98.6347,1,748580,,,,,0
2023-07-21,101.72,102.65,101.43,102.37,,,,,,,0,98.6347,1,559596,,,,,0
2023-07-24,102.83,104.92,102.83,104.03,,,,,,,0,98.7954,1,458834,,,,,0
2023-07-25,103.71,105.66,103.29,105.35,,,,,,,0,99.1628,1,425765,,,,,0
2023-07-26,104.57,106.22,104.43,105.94,,,,,,,0,99.6828,1,468056,,,,,0
2023-07-27,106.41,106.90,104.58,104.99,,,,,,,0,100.3370,1,528941,,,,,0
2023-07-28,104.96,105.46,103.98,105.13,,,,,,,0,101.1251,1,363881,,,,,0
2023-07-31,106.30,107.23,105.88,106.75,,,,,,,0,101.8187,1,485724,,,,,0
2023-08-01,106.33,106.85,105.36,106.44,104.16,,,,,111.8987,0,102.5765,1,388317,,,,,0
2023-08-02,105.82,106.59,104.20,104.82,104.71,,,,,111.3232,0,103.2281,1,529148,,,,,0
2023-08-03,104.20,106.36,102.48,104.28,105.01,,,,,110.9199,0,107.2313,0,837737,,,,,0
2023-08-04,105.07,105.82,103.00,103.11,105.08,,,,,110.9199,0,107.1363,0,787862,,,,,0
2023-08-07,103.82,103.92,102.70,103.81,105.06,,,,,109.7028,0,107.0432,0,416146,,,,,0
2023-08-08,102.15,105.00,100.93,104.82,105.01,,,,,109.7028,0,106.9519,0,494875,,,,,0
2023-08-09,105.85,107.77,105.46,105.59,104.97,,,,,109.7028,0,100.9290,1,561101,,,,,0
2023-08-10,105.45,106.63,104.43,105.04,104.98,,,,,109.7028,0,100.9290,1,415749,,,,,0
2023-08-11,105.17,107.05,104.71,106.83,105.15,,,,,109.7028,0,101.0657,1,444332,,,,,0
2023-08-14,106.25,106.81,105.46,106.72,105.15,,,,,109.7028,0,101.1997,1,500465,,,,,0
2023-08-15,106.10,106.42,104.71,105.20,105.02,104.59,,,,109.7028,0,101.3311,1,486863,,,,,0
2023-08-16,105.42,106.48,104.34,104.41,104.98,104.85,,,,109.7028,0,101.4598,1,431872,,,,,0
2023-08-17,106.10,107.36,105.85,106.31,105.19,105.10,,,,109.7028,0,101.5859,1,472138,,,,,0
2023-08-18,105.50,107.50,105.33,106.82,105.56,105.32,,,,109.7028,0,101.7095,1,500547,,,,,0
2023-08-21,107.60,108.48,106.14,106.75,105.85,105.46,,,,109.7028,0,101.8306,1,383464,,,,,0
2023-08-22,107.10,107.23,105.72,105.79,105.95,105.48,,,,109.7028,0,102.0967,1,371018,,,,,0
2023-08-23,104.75,105.96,103.70,105.48,105.94,105.45,,,,109.7028,0,102.3520,1,363261,,,,,0
2023-08-24,104.91,105.99,104.50,104.56,105.89,105.43,,,,109.7028,0,102.5972,1,406220,,,,,0
2023-08-25,105.37,106.68,104.52,106.12,105.82,105.48,,,,109.7028,0,102.8326,1,432324,,,,,0
2023-08-28,106.09,107.83,106.03,107.03,105.85,105.50,,,,109.7028,0,103.0585,1,331594,,,,,0
2023-08-29,107.34,107.56,106.18,107.16,106.04,105.53,,,,109.7028,0,103.2754,1,378124,,,,,0
2023-08-30,107.72,108.33,107.48,108.11,106.41,105.70,,,,109.7028,0,103.4837,1,337998,,,,,0
2023-08-31,108.54,108.89,107.56,108.41,106.62,105.90,,,,109.7028,0,103.6836,1,523220,,,,,0
2023-09-01,109.29,111.57,109.26,111.24,107.06,106.31,,,,104.3619,1,103.9960,1,781488,,,,,0
2023-09-05,111.81,113.84,111.62,111.87,107.58,106.71,,,,106.5020,1,104.6019,1,710658,,1.5193,0.8881,0.6312,0
2023-09-06,111.54,112.42,111.04,112.09,108.21,107.08,,,,106.5020,1,105.5253,1,573998,,1.7286,1.0562,0.6724,0
2023-09-07,112.02,112.64,110.76,110.85,108.74,107.34,,,,106.5020,1,106.3565,1,426460,,1.7740,1.1998,0.5742,0
2023-09-08,111.81,112.94,111.52,111.77,109.46,107.68,,,,106.5020,1,107.1045,1,536090,,1.8628,1.3324,0.5304,0
2023-09-11,112.42,112.84,109.13,109.69,109.82,107.82,,,,106.5020,1,107.7777,1,517230,,1.7455,1.4150,0.3305,0
2023-09-12,110.43,112.42,110.38,112.10,110.33,108.09,,,,106.5020,1,108.3836,1,552211,,1.8254,1.4971,0.3284,0
2023-09-13,112.46,112.66,110.63,111.40,110.75,108.40,,,,106.5020,1,108.9289,1,474526,,1.8114,1.5599,0.2514,0
2023-09-14,112.48,113.75,112.42,113.39,111.28,108.85,,,,106.5020,1,109.4197,1,583432,,1.9388,1.6357,0.3031,0
2023-09-15,112.98,114.75,112.20,112.54,111.69,109.16,,,,106.6990,1,109.8613,1,1537334,,1.9490,1.6984,0.2506,0
2023-09-18,114.01,114.51,113.00,113.37,111.91,109.49,,,,107.0685,1,110.4477,1,615591,,2.0009,1.7589,0.2420,0
2023-09-19,114.61,114.78,111.28,112.17,111.94,109.76,,,,107.0685,1,110.9636,1,516127,,1.9228,1.7917,0.1312,0
2023-09-20,111.69,112.76,110.26,110.36,111.76,109.98,,,,107.0685,1,114.7838,0,417382,,1.6952,1.7724,-0.0772,0
2023-09-21,111.14,111.26,108.15,108.44,111.52,110.13,,,,107.0685,1,114.7838,0,532326,,1.3449,1.6869,-0.3419,0
2023-09-22,109.22,110.37,108.42,108.53,111.20,110.33,,,,107.0685,1,114.5186,0,433873,,1.0617,1.5619,-0.5001,0
2023-09-25,108.65,110.45,108.28,110.27,111.26,110.54,,,,107.0685,1,114.2640,0,398478,,0.9665,1.4428,-0.4763,0
2023-09-26,109.11,110.60,108.69,109.42,110.99,110.66,,,,107.0685,1,114.0196,0,625269,,0.8133,1.3169,-0.5036,0
2023-09-27,111.41,113.43,110.57,112.67,111.12,110.93,107.42,,,107.0685,1,113.7849,0,660267,526372,0.9433,1.2422,-0.2989,0
2023-09-28,112.46,113.79,111.84,112.33,111.01,111.15,107.68,,,107.0685,1,108.1534,1,486536,524261,1.0073,1.1952,-0.1879,0
2023-09-29,112.11,112.23,109.51,109.66,110.72,111.21,107.85,,,107.0685,1,108.2661,1,636006,522009,0.8328,1.1227,-0.2899,0
2023-10-02,110.06,110.12,106.14,107.19,110.10,111.00,107.94,,,107.0685,1,113.7855,0,558508,521987,0.4894,0.9961,-0.5066,0
