Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,23.45,23.70,22.99,23.07,,,,,,,0,22.9900,1,10024,,,,,0
2023-07-20,23.15,23.39,23.07,23.33,,,,,,,0,22.9900,1,6497,,,,,0
2023-07-21,23.45,23.95,23.35,23.84,,,,,,,0,22.9900,1,12464,,,,,0
2023-07-24,23.84,24.42,23.67,24.29,,,,,,,0,23.0284,1,13629,,,,,0
2023-07-25,24.28,24.48,24.06,24.37,,,,,,,0,23.1119,1,9358,,,,,0
2023-07-26,24.41,25.10,24.41,25.09,,,,,,,0,23.2213,1,12006,,,,,0
2023-07-27,25.22,25.26,24.83,25.03,,,,,,,0,23.4092,1,11331,,,,,0
2023-07-28,25.33,25.48,25.12,25.35,,,,,,,0,23.6313,1,12236,,,,,0
2023-07-31,25.35,25.67,25.09,25.48,,,,,,,0,23.8901,1,18330,,,,,0
2023-08-01,25.48,25.87,24.98,25.00,24.49,,,,,27.1950,0,24.1749,1,22860,,,,,0
2023-08-02,25.00,25.19,24.82,25.01,24.68,,,,,26.7090,0,24.4800,1,13981,,,,,0
2023-08-03,26.00,31.90,25.41,31.24,25.47,,,,,25.0544,1,24.7302,1,148905,,,,,0
2023-08-04,31.24,31.26,29.63,31.19,26.21,,,,,26.7155,1,24.8200,1,44221,,,,,0
2023-08-07,31.56,31.62,29.89,30.23,26.80,,,,,26.8794,1,25.4100,1,37990,,,,,0
2023-08-08,30.12,30.54,29.94,30.48,27.41,,,,,26.8794,1,26.7080,1,26743,,,,,0
2023-08-09,30.70,30.70,29.95,30.17,27.92,,,,,26.8794,1,27.7464,1,20304,,,,,0
2023-08-10,30.17,30.95,30.12,30.70,28.49,,,,,27.1124,1,28.5771,1,16339,,,,,0
2023-08-11,30.74,31.01,30.52,30.87,29.04,,,,,27.5377,1,29.2417,1,14376,,,,,0
2023-08-14,30.77,31.15,30.33,31.07,29.60,,,,,27.5894,1,29.7734,1,20018,,,,,0
2023-08-15,31.14,31.14,30.52,30.96,30.19,27.34,,,,27.8085,1,30.1987,1,16378,,,,,0
2023-08-16,30.94,31.12,30.45,30.56,30.75,27.71,,,,27.8646,1,30.3300,1,11750,,,,,0
2023-08-17,30.66,30.91,30.34,30.51,30.67,28.07,,,,27.8646,1,31.9000,0,13128,,,,,0
2023-08-18,30.33,30.97,30.23,30.93,30.65,28.43,,,,27.8646,1,31.8688,0,12159,,,,,0
2023-08-21,31.00,31.85,30.98,31.42,30.77,28.78,,,,28.6717,1,30.2300,1,19675,,,,,0
2023-08-22,31.37,31.71,31.24,31.70,30.89,29.15,,,,28.8651,1,30.2300,1,13346,,,,,0
2023-08-23,32.00,32.14,31.48,31.81,31.05,29.49,,,,29.2630,1,30.2624,1,17928,,,,,0
2023-08-24,31.80,31.89,31.39,31.77,31.16,29.82,,,,29.2630,1,30.3375,1,21502,,,,,0
2023-08-25,31.81,32.11,31.48,31.73,31.25,30.14,,,,29.4080,1,30.4096,1,11737,,,,,0
2023-08-28,31.73,32.29,31.73,32.22,31.36,30.48,,,,29.6937,1,30.4788,1,13023,,,,,0
