Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,260.07,261.29,255.06,255.26,,,,,,,0,261.2900,0,159027,,,,,0
2023-07-20,255.26,255.54,250.53,253.16,,,,,,,0,261.2900,0,215667,,,,,0
2023-07-21,254.05,254.05,249.17,252.44,,,,,,,0,261.2900,0,192990,,,,,0
2023-07-24,252.89,253.11,250.16,251.71,,,,,,,0,260.8052,0,112741,,,,,0
2023-07-25,251.42,253.90,251.34,252.41,,,,,,,0,260.3398,0,102428,,,,,0
2023-07-26,250.83,252.70,249.59,250.97,,,,,,,0,259.8930,0,83372,,,,,0
2023-07-27,251.24,252.31,245.03,245.19,,,,,,,0,259.4641,0,93663,,,,,0
2023-07-28,248.09,250.03,246.28,247.18,,,,,,,0,258.5980,0,103717,,,,,0
2023-07-31,248.62,250.69,247.90,248.91,,,,,,,0,257.7840,0,95158,,,,,0
2023-08-01,247.84,251.43,246.73,251.06,250.83,,,,,262.6010,0,257.0187,0,59551,,,,,0
2023-08-02,248.75,249.49,242.76,244.86,249.79,,,,,260.7839,0,256.2994,0,89227,,,,,0
2023-08-03,243.09,248.06,241.43,247.00,249.17,,,,,259.9270,0,255.2162,0,84400,,,,,0
2023-08-04,246.97,249.61,245.03,245.72,248.50,,,,,259.9270,0,253.8376,0,83422,,,,,0
2023-08-07,246.95,247.99,246.04,246.78,248.01,,,,,259.9270,0,252.5969,0,88224,,,,,0
2023-08-08,243.84,245.09,242.08,244.54,247.22,,,,,257.7885,0,251.4802,0,114714,,,,,0
2023-08-09,252.00,261.80,248.55,260.04,248.13,,,,,237.2138,1,241.4300,1,188139,,,,,0
2023-08-10,262.62,272.37,261.11,268.61,250.47,,,,,246.8759,1,241.8374,1,242421,,,,,0
2023-08-11,267.46,267.97,263.92,265.54,252.31,,,,,246.8759,1,243.0587,1,131017,,,,,0
2023-08-14,266.21,267.17,264.69,266.90,254.10,,,,,247.8298,1,244.2311,1,78122,,,,,0
2023-08-15,266.86,268.58,264.39,264.51,255.45,253.14,,,,248.9378,1,245.3567,1,164605,,,,,0
2023-08-16,263.70,265.21,261.07,264.34,257.40,253.59,,,,248.9378,1,246.4372,1,217076,,,,,0
2023-08-17,265.55,265.57,262.00,262.01,258.90,254.04,,,,248.9378,1,247.4745,1,95607,,,,,0
2023-08-18,258.97,263.96,258.97,262.23,260.55,254.53,,,,248.9378,1,248.4704,1,129856,,,,,0
2023-08-21,261.82,262.75,257.90,258.05,261.68,254.84,,,,248.9378,1,249.4263,1,129748,,,,,0
2023-08-22,260.81,264.64,259.11,262.24,263.45,255.33,,,,248.9378,1,250.3441,1,130412,,,,,0
2023-08-23,262.62,265.65,260.38,264.51,263.89,256.01,,,,248.9378,1,251.2251,1,142888,,,,,0
2023-08-24,264.55,266.83,261.81,262.03,263.24,256.85,,,,248.9378,1,252.0709,1,100017,,,,,0
2023-08-25,263.30,266.04,261.90,265.24,263.21,257.76,,,,248.9378,1,252.8829,1,90473,,,,,0
2023-08-28,265.40,271.92,265.40,270.84,263.60,258.85,,,,252.3689,1,253.6624,1,132332,,,,,0
2023-08-29,270.07,274.23,269.57,271.69,264.32,259.88,,,,255.8400,1,254.4107,1,127586,,,,,0
2023-08-30,271.36,274.47,270.39,273.24,265.21,261.30,,,,256.7520,1,255.5998,1,93284,,,,,0
2023-08-31,273.01,274.93,271.61,271.73,266.18,262.54,,,,258.1638,1,257.1094,1,113176,,,,,0
2023-09-01,274.02,275.66,272.31,272.86,267.24,263.90,,,,259.2104,1,258.8915,1,106088,,,,,0
2023-09-05,272.08,275.24,271.04,273.18,268.76,265.22,,,,259.2104,1,260.9037,1,123177,,6.1166,5.6934,0.4232,0
2023-09-06,272.87,275.63,272.07,275.48,270.08,266.76,,,,259.6806,1,262.6745,1,117189,,6.2251,5.7997,0.4253,0
2023-09-07,274.13,275.23,271.83,272.07,270.84,267.36,,,,259.6825,1,264.2327,1,106488,,5.9671,5.8332,0.1339,0
2023-09-08,272.31,274.68,270.07,271.84,271.82,267.53,,,,259.6825,1,265.6040,1,124503,,5.6786,5.8023,-0.1237,0
2023-09-11,273.81,274.77,270.37,272.65,272.56,267.88,,,,259.6825,1,266.8107,1,86975,,5.4525,5.7323,-0.2798,0
2023-09-12,271.22,274.27,270.92,272.07,272.68,268.14,,,,259.6825,1,267.8726,1,93919,,5.1670,5.6193,-0.4523,0
2023-09-13,272.15,273.18,270.33,272.29,272.74,268.53,,,,259.6825,1,268.8071,1,91598,,4.9019,5.4758,-0.5739,0
2023-09-14,273.85,275.00,270.22,273.67,272.78,269.00,,,,259.6825,1,269.6295,1,108264,,4.7485,5.3303,-0.5819,0
2023-09-15,271.91,275.82,271.12,272.86,272.90,269.54,,,,260.3024,1,270.2200,1,179487,,4.5095,5.1662,-0.6567,0
2023-09-18,271.81,275.47,271.46,275.09,273.12,270.18,,,,260.4112,1,270.2200,1,72211,,4.4488,5.0227,-0.5739,0
2023-09-19,275.74,276.77,273.94,274.32,273.23,270.99,,,,262.7575,1,271.0040,1,112252,,4.2891,4.8760,-0.5869,0
2023-09-20,275.63,278.35,274.19,275.18,273.20,271.64,,,,263.6843,1,271.4600,1,84673,,4.1837,4.7375,-0.5538,0
2023-09-21,273.13,273.22,268.07,269.95,272.99,271.91,,,,263.6843,1,278.3500,0,112731,,3.6363,4.5173,-0.8810,0
2023-09-22,270.49,271.56,269.06,269.98,272.81,272.31,,,,263.6843,1,278.3500,0,81129,,3.1683,4.2475,-1.0792,0
2023-09-25,268.79,271.57,268.30,271.27,272.67,272.61,,,,263.6843,1,278.1444,0,94863,,2.8685,3.9717,-1.1032,0
2023-09-26,269.63,270.43,261.37,261.55,271.62,272.15,,,,276.4129,0,277.9429,0,142623,,1.8255,3.5424,-1.7170,0
2023-09-27,262.66,263.23,256.45,258.86,270.27,271.51,262.72,,,274.7196,0,277.2800,0,106133,118587,0.7729,2.9885,-2.2156,0
2023-09-28,258.71,260.55,257.43,258.53,268.76,270.77,262.79,,,273.3176,0,276.0302,0,129885,118004,-0.0868,2.3735,-2.4603,0
2023-09-29,260.04,260.80,254.51,255.34,267.01,269.95,262.83,,,272.4368,0,274.8554,0,115414,115999,-1.0139,1.6960,-2.7099,0
2023-10-02,254.94,257.42,254.08,255.88,265.09,269.10,262.90,,,270.0557,0,273.2278,0,106651,114273,-1.6857,1.0197,-2.7053,0
2023-10-03,253.74,255.38,247.21,249.77,262.63,267.93,262.86,,,266.7711,0,271.3130,0,63766,113293,-2.6801,0.2797,-2.9598,0
2023-10-04,250.96,253.40,249.08,251.32,260.24,266.72,262.84,,,266.4645,0,268.4206,0,96406,113173,-3.3051,-0.4373,-2.8678,0
2023-10-05,250.08,253.53,249.27,252.07,258.46,265.72,262.86,,,266.3800,0,265.8754,0,80839,113122,-3.6973,-1.0893,-2.6080,0
2023-10-06,251.38,257.13,250.46,254.54,256.91,264.86,263.05,,,266.3800,0,263.6355,0,75115,112751,-3.7653,-1.6245,-2.1408,0
2023-10-09,250.30,259.76,250.30,259.63,255.75,264.21,263.30,,,266.3800,0,261.6644,0,91753,112512,-3.3697,-1.9735,-1.3962,0
2023-10-10,260.25,264.41,259.37,261.45,255.74,263.68,263.55,,,266.3800,0,247.2100,1,86906,112347,-2.8762,-2.1540,-0.7221,0
2023-10-11,260.74,262.66,254.74,256.24,255.48,262.88,263.65,,,266.3800,0,247.5540,1,107262,113301,-2.8723,-2.2977,-0.5746,0
2023-10-12,257.95,257.95,247.06,248.90,254.51,261.64,263.73,,,266.3800,0,264.4100,0,133734,114191,-3.4221,-2.5226,-0.8995,0
2023-10-13,248.90,251.36,247.19,249.42,253.92,260.46,263.78,,,266.3800,0,264.0630,0,82533,114154,-3.7724,-2.7725,-0.9998,0
2023-10-16,252.11,252.72,248.64,249.94,253.33,259.21,263.87,,,266.3800,0,263.7229,0,128519,115056,-3.9623,-3.0105,-0.9518,0
2023-10-17,248.83,253.38,248.69,251.65,253.52,258.07,263.96,,,266.3800,0,263.3897,0,126303,115817,-3.9296,-3.1943,-0.7353,0
2023-10-18,249.55,250.01,246.87,247.76,253.16,256.70,264.03,,,265.4161,0,263.0631,0,76161,115046,-4.1694,-3.3893,-0.7801,0
2023-10-19,247.76,248.54,241.26,241.97,252.15,255.30,263.67,,,262.3625,0,262.4154,0,76075,112805,-4.7717,-3.6658,-1.1059,0
2023-10-20,242.36,242.40,238.88,239.00,250.60,253.75,263.07,,,257.4122,0,261.1460,0,100810,109973,-5.4262,-4.0179,-1.4083,0
2023-10-23,237.65,239.22,236.88,238.32,248.46,252.11,262.53,,,253.8470,0,259.3648,0,80504,108962,-5.9313,-4.4006,-1.5307,0
2023-10-24,239.61,242.99,237.96,240.79,246.40,251.07,262.01,,,253.8470,0,257.1163,0,90537,109211,-6.0625,-4.7329,-1.3295,0
2023-10-25,238.11,238.81,230.32,230.89,243.86,249.67,261.33,,,251.8597,0,255.0927,0,123180,108382,-6.8859,-5.1635,-1.7223,0
2023-10-26,230.72,234.89,227.49,228.57,241.83,248.17,260.62,,,248.9752,0,252.1199,0,213553,108312,-7.6376,-5.6583,-1.9792,0
2023-10-27,228.95,228.95,221.45,221.90,239.08,246.50,259.82,,,243.4567,0,248.6717,0,145478,109309,-8.6716,-6.2610,-2.4106,0
2023-10-30,223.56,224.83,220.39,222.56,236.34,244.83,259.02,,,240.3730,0,244.3163,0,178026,110273,-9.3302,-6.8748,-2.4554,0
2023-10-31,223.14,225.93,222.67,225.17,233.69,243.60,258.37,,,240.3730,0,240.0095,0,144244,110563,-9.5317,-7.4062,-2.1255,0
2023-11-01,225.77,228.80,224.08,228.60,231.78,242.47,257.69,,,240.3730,0,236.4780,0,114346,110241,-9.3073,-7.7864,-1.5209,0
2023-11-02,231.55,236.95,230.82,236.66,231.25,241.70,257.14,,,240.3730,0,220.3900,1,126045,109904,-8.3825,-7.9056,-0.4769,0
2023-11-03,239.34,239.79,236.32,236.66,231.01,240.80,256.63,,,240.3730,0,220.7212,1,111798,110140,-7.5624,-7.8370,0.2746,0
2023-11-06,236.72,237.20,232.46,233.41,230.52,239.49,255.99,,,240.3730,0,221.4840,1,142614,111183,-7.0929,-7.6882,0.5952,0
2023-11-07,233.18,234.79,231.69,233.43,229.79,238.09,255.24,,,240.3730,0,222.2162,1,153177,111600,-6.6427,-7.4791,0.8364,0
2023-11-08,232.71,236.54,232.71,235.54,230.25,237.06,254.52,,,240.3730,0,222.9191,1,157529,112199,-6.0459,-7.1924,1.1465,0
2023-11-09,233.00,233.00,221.37,228.75,230.27,236.05,253.63,,,240.3730,0,239.7900,0,213492,114603,-6.0511,-6.9642,0.9130,0
2023-11-10,230.33,232.87,229.11,231.21,231.20,235.14,252.82,,,240.3730,0,239.4216,0,133431,115008,-5.7900,-6.7294,0.9393,0
2023-11-13,229.97,230.95,228.51,229.14,231.86,234.10,251.95,,,240.3730,0,239.0606,0,108246,115051,-5.6846,-6.5204,0.8358,0
2023-11-14,233.60,235.28,231.06,234.01,232.74,233.22,251.16,,,240.3730,0,238.7068,0,106755,114723,-5.1487,-6.2461,1.0974,0
2023-11-15,233.60,236.82,233.23,235.86,233.47,232.62,250.37,,,240.3730,0,238.3600,0,104793,114475,-4.5226,-5.9014,1.3788,0
2023-11-16,235.55,237.15,230.83,231.99,233.00,232.12,249.57,,,240.3730,0,238.0202,0,111286,114571,-4.2892,-5.5789,1.2897,0
2023-11-17,234.06,234.06,231.01,232.81,232.61,231.81,248.79,,,240.3730,0,237.6872,0,87932,113839,-3.9921,-5.2616,1.2695,0
2023-11-20,232.92,235.46,231.13,235.30,232.80,231.66,248.04,,,240.3730,0,237.3609,0,75367,113607,-3.5152,-4.9123,1.3971,0
2023-11-21,234.58,234.83,232.54,232.58,232.72,231.25,247.25,,,240.3730,0,237.0410,0,52121,112771,-3.3185,-4.5935,1.2751,0
2023-11-22,233.50,234.33,232.64,233.67,232.53,231.39,246.48,,,240.3730,0,236.7276,0,53394,112007,-3.0396,-4.2827,1.2432,0
2023-11-24,233.70,234.80,233.65,234.01,233.06,231.66,245.69,,,240.3730,0,236.4205,0,25788,110357,-2.7593,-3.9780,1.2188,0
2023-11-27,233.04,234.08,230.68,231.66,233.10,232.15,244.86,,,240.3730,0,236.1195,0,73737,108242,-2.6957,-3.7216,1.0259,0
2023-11-28,231.90,235.45,231.30,235.12,233.70,232.78,244.06,,,240.3730,0,235.8245,0,99056,108779,-2.3392,-3.4451,1.1059,0
2023-11-29,237.74,240.45,237.10,237.23,234.02,233.38,243.32,,,240.3730,0,221.3700,1,117287,108880,-1.8649,-3.1291,1.2642,0
2023-11-30,237.98,240.89,236.16,240.50,234.49,233.98,242.63,,,225.9317,1,221.7516,1,134295,109872,-1.2112,-2.7455,1.5343,0
2023-12-01,239.96,251.82,239.96,251.63,236.45,234.73,242.26,,,230.6518,1,222.5171,1,244584,112510,0.2027,-2.1558,2.3585,0
2023-12-04,249.33,255.63,249.33,251.60,238.33,235.47,241.89,,,236.8756,1,224.2753,1,185480,114597,1.3057,-1.4635,2.7692,0
2023-12-05,251.10,252.83,247.87,250.94,239.89,236.35,241.49,,,236.8756,1,226.7837,1,140075,115501,2.1023,-0.7504,2.8527,0
2023-12-06,253.32,253.59,250.26,251.23,241.76,237.24,241.28,,,236.9473,1,229.0914,1,128404,115216,2.7257,-0.0552,2.7808,0
2023-12-07,253.16,257.19,250.81,256.06,244.00,238.27,241.22,,,238.6060,1,231.2145,1,180753,116709,3.5683,0.6695,2.8987,0
2023-12-08,255.60,258.41,254.61,256.09,246.21,239.63,241.18,,,241.5154,1,233.8120,1,139928,116910,4.1902,1.3737,2.8165,0
2023-12-11,256.21,260.59,256.21,258.43,248.88,240.99,241.24,,,243.5549,1,236.7638,1,106473,116731,4.8163,2.0622,2.7541,0
2023-12-12,258.55,260.01,258.02,258.22,251.19,242.45,241.28,,,245.0574,1,240.0995,1,92572,116449,5.2352,2.6968,2.5384,0
2023-12-13,257.92,264.87,257.72,264.57,253.93,243.98,241.58,,,246.5882,1,242.9681,1,135010,117874,6.0104,3.3595,2.6509,0
2023-12-14,267.76,272.12,267.10,272.10,257.09,245.79,242.00,,,254.1088,1,246.4724,1,174498,119436,7.1498,4.1176,3.0323,0
2023-12-15,270.33,278.00,270.29,277.43,259.67,248.06,242.50,,,257.8810,1,251.0890,1,454486,126909,8.3863,4.9713,3.4150,0
2023-12-18,278.76,279.37,274.72,277.95,262.30,250.32,242.97,,,261.0124,1,256.4712,1,212493,129656,9.3009,5.8372,3.4637,0
2023-12-19,279.26,281.44,277.69,278.60,265.07,252.48,243.35,,,264.0106,1,261.0510,1,122835,130278,9.9634,6.6625,3.3009,0
2023-12-20,277.67,280.49,274.06,275.16,267.46,254.61,243.62,,,264.0106,1,265.1288,1,136589,131272,10.0945,7.3489,2.7456,0
2023-12-21,277.13,278.15,274.64,277.03,269.56,256.78,244.04,,,264.0106,1,268.3910,1,108873,131304,10.2313,7.9254,2.3059,0
2023-12-22,278.52,279.70,275.72,277.42,271.69,258.95,244.61,,,264.0106,1,271.0008,1,118070,130991,10.2530,8.3909,1.8621,0
2023-12-26,277.72,279.24,277.25,278.75,273.72,261.30,245.20,,,264.1090,1,273.0886,1,57757,130495,10.2593,8.7646,1.4947,0
2023-12-27,279.91,283.03,278.02,282.98,276.20,263.70,245.86,,,266.2996,1,274.7589,1,98053,129886,10.4847,9.1086,1.3761,0
2023-12-28,282.25,283.89,280.88,282.46,277.99,265.96,246.47,,,268.6792,1,276.4131,1,84851,129057,10.5003,9.3869,1.1134,0
2023-12-29,282.55,284.39,281.47,282.61,279.04,268.06,247.17,,,269.7187,1,277.9085,1,99168,129517,10.4049,9.5905,0.8144,0
2024-01-02,281.26,282.44,279.07,281.56,279.45,269.56,247.96,,,269.7187,1,284.3900,0,104853,130092,10.1278,9.6980,0.4298,0
2024-01-03,278.71,281.13,275.59,278.99,279.56,270.93,248.76,,,269.7187,1,284.3900,0,149343,131063,9.5903,9.6764,-0.0862,0
2024-01-04,278.01,282.27,278.01,280.88,279.78,272.43,249.61,,,269.7187,1,284.0380,0,95921,131371,9.2106,9.5833,-0.3727,0
2024-01-05,279.73,284.18,278.99,280.76,280.34,273.90,250.41,,,269.7187,1,275.5900,1,98687,131534,8.7986,9.4263,-0.6277,0
2024-01-08,282.58,284.70,281.35,284.39,281.08,275.32,251.48,,,269.7187,1,275.7618,1,75847,130588,8.6651,9.2741,-0.6090,0
2024-01-09,282.60,285.20,282.05,283.69,281.71,276.70,252.59,,,270.6002,1,276.1193,1,74866,127814,8.4059,9.1005,-0.6945,0
2024-01-10,283.67,283.90,279.82,280.26,281.86,277.79,253.75,,,270.6002,1,276.6642,1,67683,126258,7.8335,8.8471,-1.0136,0
2024-01-11,280.99,281.32,277.56,279.48,281.51,278.85,254.89,,,270.6002,1,277.1763,1,66572,124029,7.2335,8.5244,-1.2909,0
2024-01-12,282.07,284.00,280.25,283.99,281.66,279.82,256.07,,,270.6002,1,277.5600,1,73497,122614,7.0407,8.2276,-1.1869,0
2024-01-16,282.20,284.19,280.04,283.99,281.80,280.42,257.18,,,270.6002,1,277.5600,1,92212,122171,6.8095,7.9440,-1.1345,0
2024-01-17,281.22,283.01,277.13,277.93,281.44,280.44,258.00,,,270.6002,1,285.2000,0,122178,122094,6.0673,7.5687,-1.5014,0
2024-01-18,278.16,280.19,272.58,277.56,281.29,280.42,258.82,,,270.6002,1,285.0386,0,117352,122205,5.3871,7.1323,-1.7452,0
2024-01-19,279.15,282.95,276.77,282.86,281.49,280.64,259.81,,,270.6002,1,284.5403,0,84236,121038,5.2156,6.7490,-1.5334,0
2024-01-22,284.32,288.11,284.32,287.46,282.16,281.25,260.89,,,271.2127,1,272.5800,1,88250,119739,5.3888,6.4770,-1.0882,0
2024-01-23,288.30,288.95,285.43,288.46,282.57,281.82,261.95,,,272.6319,1,272.8906,1,73240,118053,5.5428,6.2901,-0.7473,0
2024-01-24,290.20,290.29,285.77,287.40,282.94,282.32,263.12,,,273.5717,1,273.5330,1,73344,115250,5.5158,6.1353,-0.6195,0
2024-01-25,288.80,294.04,288.80,293.80,284.29,283.08,264.37,,,276.4155,1,274.5384,1,129125,115164,5.9423,6.0967,-0.1544,0
2024-01-26,293.63,296.50,292.98,294.01,285.75,283.63,265.67,,,280.1800,1,276.0985,1,85145,114702,6.2254,6.1224,0.1030,0
2024-01-29,292.61,297.78,292.40,297.27,287.07,284.37,266.93,,,280.3720,1,278.1387,1,116916,114905,6.6364,6.2252,0.4112,0
2024-01-30,296.27,298.48,295.86,296.93,288.37,285.08,268.16,,,283.1378,1,280.4956,1,98492,114779,6.8557,6.3513,0.5044,0
2024-01-31,296.65,296.70,289.31,289.93,289.57,285.50,269.31,,,283.1378,1,283.0134,1,130208,115158,6.3909,6.3592,0.0317,0
2024-02-01,290.32,295.24,288.44,294.55,291.27,286.28,270.55,,,283.1378,1,285.1788,1,121679,115833,6.3225,6.3519,-0.0294,0
2024-02-02,292.94,298.07,292.94,295.95,292.58,287.03,271.76,,,283.1378,1,287.0409,1,72360,115773,6.3085,6.3432,-0.0347,0
2024-02-05,293.73,295.43,291.39,291.58,292.99,287.57,272.94,,,283.1378,1,288.4400,1,106806,116866,5.8771,6.2500,-0.3729,0
2024-02-06,290.87,292.15,285.22,286.99,292.84,287.70,274.01,,,283.1378,1,298.4800,0,205772,119914,5.1059,6.0212,-0.9152,0
2024-02-07,288.85,293.71,286.29,291.99,293.30,288.12,275.17,,,283.1378,1,298.2148,0,204568,123489,4.8424,5.7854,-0.9430,0
2024-02-08,270.50,275.45,259.25,265.12,290.43,287.36,275.84,,,291.9974,0,297.9549,0,380924,129633,2.4373,5.1158,-2.6785,0
2024-02-09,268.12,275.53,266.37,273.40,288.37,287.06,276.60,,,291.9974,0,296.4067,0,250954,132671,1.1857,4.3298,-3.1441,0
2024-02-12,273.40,274.47,266.90,270.96,285.74,286.41,277.28,,,291.9974,0,294.9204,0,177425,133874,-0.0031,3.4632,-3.4663,0
2024-02-13,266.37,269.93,264.68,268.75,282.92,285.64,277.84,,,291.7305,0,293.4936,0,143029,134049,-1.1107,2.5484,-3.6591,0
2024-02-14,270.36,272.39,267.87,272.38,281.17,285.37,278.26,,,291.7305,0,292.1239,0,128209,131721,-1.6763,1.7035,-3.3798,0
2024-02-15,274.05,277.03,273.70,275.38,279.25,285.26,278.73,,,291.7305,0,290.8089,0,132293,130657,-1.8610,0.9906,-2.8516,0
2024-02-16,275.06,276.19,269.10,271.62,276.82,284.70,279.15,,,291.7305,0,289.5466,0,114053,130137,-2.2844,0.3356,-2.6200,0
2024-02-20,269.64,273.03,268.29,272.91,274.95,283.97,279.58,,,291.7305,0,288.3347,0,118279,129934,-2.4872,-0.2290,-2.2582,0
2024-02-21,274.26,275.17,272.02,274.30,273.68,283.26,279.95,261.30,,291.7305,0,287.1713,0,114164,128603,-2.5069,-0.6845,-1.8223,0
2024-02-22,277.10,277.20,273.68,275.83,272.06,282.68,280.34,261.43,,291.7305,0,286.0545,0,78887,127382,-2.3717,-1.0220,-1.3497,0
2024-02-23,277.06,282.61,277.06,281.20,273.67,282.05,280.80,261.62,,291.7305,0,284.9823,0,127524,127803,-1.8103,-1.1796,-0.6307,0
2024-02-26,280.27,282.89,278.15,278.31,274.16,281.27,281.20,261.79,,291.7305,0,283.9530,0,89644,127744,-1.5805,-1.2598,-0.3206,0
2024-02-27,278.31,279.52,276.20,278.55,274.92,280.33,281.48,261.97,,291.7305,0,282.9649,0,95960,126963,-1.3632,-1.2805,-0.0827,0
2024-02-28,276.98,277.37,273.88,275.66,275.61,279.27,281.55,262.13,,291.7305,0,282.8900,0,91602,125305,-1.4080,-1.3060,-0.1020,0
2024-02-29,277.58,281.09,276.29,279.27,276.30,278.73,281.59,262.32,,291.7305,0,281.9444,0,168204,119580,-1.1390,-1.2726,0.1336,0
2024-03-01,280.90,281.42,274.30,276.60,276.42,277.84,281.56,262.53,,291.7305,0,259.2500,1,148479,118300,-1.1283,-1.2437,0.1154,0
2024-03-04,284.24,295.30,280.91,281.67,277.43,277.12,281.62,262.76,,291.7305,0,259.6934,1,278403,121411,-0.7027,-1.1355,0.4329,0
2024-03-05,281.12,285.99,280.05,280.61,278.20,276.57,281.73,262.97,,291.7305,0,261.1177,1,197549,122630,-0.4457,-0.9976,0.5519,0
2024-03-06,282.61,289.41,281.26,285.24,279.29,276.49,281.89,263.19,,291.7305,0,262.4850,1,160134,123655,0.1300,-0.7720,0.9021,0
