Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,211.45,211.63,208.23,209.16,,,,,,,0,211.6300,0,71909,,,,,0
2023-07-14,209.31,209.98,207.33,207.56,,,,,,,0,211.6300,0,63368,,,,,0
2023-07-17,207.65,210.16,204.26,209.34,,,,,,,0,211.6300,0,66235,,,,,0
2023-07-18,208.50,208.50,200.50,201.34,,,,,,,0,211.3352,0,172931,,,,,0
2023-07-19,201.82,205.10,201.68,204.02,,,,,,,0,210.6851,0,158442,,,,,0
2023-07-20,205.39,205.39,202.14,203.99,,,,,,,0,210.0740,0,65522,,,,,0
2023-07-21,202.02,207.23,197.55,206.38,,,,,,,0,209.4995,0,142134,,,,,0
2023-07-24,201.88,207.32,201.88,207.25,,,,,,,0,208.5436,0,59087,,,,,0
2023-07-25,205.10,212.38,205.10,211.07,,,,,,,0,197.5500,1,86011,,,,,0
2023-07-26,211.27,213.99,209.24,213.03,207.31,,,,,228.1000,0,197.8466,1,106068,,,,,0
2023-07-27,214.00,215.43,208.06,208.51,207.25,,,,,228.1000,0,198.4923,1,57987,,,,,0
2023-07-28,211.24,211.48,205.86,210.49,207.54,,,,,225.6987,0,199.5086,1,86069,,,,,0
2023-07-31,210.91,212.98,209.31,209.54,207.56,,,,,225.6987,0,200.4639,1,66466,,,,,0
2023-08-01,208.00,210.71,206.81,209.31,208.36,,,,,224.7142,0,201.3618,1,55216,,,,,0
2023-08-02,207.62,208.50,204.24,206.01,208.56,,,,,222.2498,0,202.2059,1,78922,,,,,0
2023-08-03,205.88,206.32,201.52,201.54,208.31,,,,,219.6518,0,215.4300,0,126527,,,,,0
2023-08-04,201.67,209.22,201.03,206.90,208.36,,,,,219.6518,0,215.1518,0,140299,,,,,0
2023-08-07,207.10,208.00,204.12,205.28,208.17,,,,,219.6518,0,214.5869,0,126596,,,,,0
2023-08-08,203.85,206.62,201.92,206.24,207.68,,,,,219.6518,0,214.0446,0,118341,,,,,0
2023-08-09,212.27,218.83,210.98,215.80,207.96,207.64,,,,219.6518,0,201.0300,1,206866,,,,,0
2023-08-10,216.02,217.81,214.00,217.61,208.87,208.06,,,,219.6518,0,201.3860,1,168844,,,,,0
2023-08-11,217.34,217.72,212.55,214.46,209.27,208.41,,,,219.6518,0,201.7349,1,105429,,,,,0
2023-08-14,212.62,217.31,212.62,216.90,210.00,208.78,,,,219.6518,0,202.0768,1,73811,,,,,0
2023-08-15,215.48,216.27,209.46,210.07,210.08,209.22,,,,219.6518,0,202.4118,1,116988,,,,,0
2023-08-16,207.89,208.75,201.83,201.97,209.68,209.12,,,,219.6518,0,218.8300,0,118011,,,,,0
2023-08-17,202.11,203.19,199.50,199.87,209.51,208.91,,,,218.8229,0,218.4900,0,90401,,,,,0
2023-08-18,197.63,199.70,196.85,198.90,208.71,208.54,,,,214.9111,0,217.7304,0,83041,,,,,0
