Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,17.43,17.50,17.22,17.34,,,,,,,0,17.5000,0,5283,,,,,0
2023-07-20,17.16,17.25,16.49,16.61,,,,,,,0,17.5000,0,8117,,,,,0
2023-07-21,16.70,16.89,16.61,16.73,,,,,,,0,17.5000,0,6076,,,,,0
2023-07-24,16.78,16.97,16.63,16.94,,,,,,,0,17.4798,0,5236,,,,,0
2023-07-25,17.15,17.29,17.04,17.25,,,,,,,0,17.4600,0,5717,,,,,0
2023-07-26,17.18,17.45,17.16,17.36,,,,,,,0,16.4900,1,5550,,,,,0
2023-07-27,17.53,17.60,17.09,17.25,,,,,,,0,16.5092,1,5560,,,,,0
2023-07-28,17.39,17.58,17.35,17.44,,,,,,,0,16.5528,1,3814,,,,,0
2023-07-31,18.04,18.64,17.95,18.48,,,,,,,0,16.5947,1,12062,,,,,0
2023-08-01,18.43,18.83,18.22,18.64,17.40,,,,,20.0300,0,16.7174,1,7793,,,,,0
2023-08-02,18.32,18.45,18.07,18.32,17.50,,,,,19.7878,0,16.8860,1,7720,,,,,0
2023-08-03,18.23,18.45,17.95,18.28,17.67,,,,,19.7250,0,17.0412,1,10054,,,,,0
2023-08-04,17.60,17.61,15.66,16.49,17.65,,,,,18.7935,0,18.8250,0,22090,,,,,0
2023-08-07,16.65,16.73,16.08,16.22,17.57,,,,,18.5426,0,18.7617,0,11946,,,,,0
2023-08-08,16.00,16.54,15.80,16.48,17.50,,,,,18.3159,0,18.6997,0,8934,,,,,0
2023-08-09,16.46,16.48,16.21,16.36,17.40,,,,,18.3159,0,18.6389,0,6770,,,,,0
2023-08-10,16.44,16.54,15.98,16.08,17.28,,,,,18.2391,0,18.5793,0,5995,,,,,0
2023-08-11,16.09,16.19,15.91,16.14,17.15,,,,,17.9151,0,18.5209,0,5215,,,,,0
2023-08-14,16.04,16.05,15.70,15.76,16.88,,,,,17.6861,0,18.4637,0,6622,,,,,0
2023-08-15,15.61,15.70,15.30,15.41,16.55,16.98,,,,17.2680,0,18.4076,0,5806,,,,,0
2023-08-16,15.30,15.34,15.05,15.08,16.23,16.87,,,,16.8933,0,18.2834,0,6094,,,,,0
2023-08-17,15.10,15.13,14.78,14.85,15.89,16.78,,,,16.5884,0,18.0894,0,5362,,,,,0
2023-08-18,14.64,15.07,14.58,15.00,15.74,16.69,,,,16.4421,0,17.8246,0,5507,,,,,0
2023-08-21,15.00,15.15,14.97,15.00,15.62,16.59,,,,16.4421,0,17.5002,0,3980,,,,,0
2023-08-22,15.10,15.12,14.84,14.92,15.46,16.48,,,,16.4238,0,17.2082,0,3648,,,,,0
2023-08-23,14.95,15.04,14.78,14.96,15.32,16.36,,,,16.2874,0,16.9453,0,3888,,,,,0
2023-08-24,14.98,15.01,14.62,14.63,15.18,16.23,,,,16.1717,0,16.7088,0,4446,,,,,0
2023-08-25,14.60,14.86,14.58,14.71,15.03,16.09,,,,16.0290,0,16.4959,0,3704,,,,,0
2023-08-28,14.77,14.94,14.76,14.86,14.94,15.91,,,,16.0290,0,16.3043,0,3544,,,,,0
2023-08-29,14.76,15.10,14.56,15.05,14.91,15.73,,,,16.0290,0,16.1319,0,5645,,,,,0
2023-08-30,14.98,15.32,14.93,15.21,14.92,15.57,,,,16.0290,0,15.9433,0,5725,,,,,0
2023-08-31,15.24,15.74,15.24,15.72,15.01,15.45,,,,16.0290,0,15.7773,0,8143,,,,,0
2023-09-01,15.84,16.04,15.75,15.96,15.10,15.42,,,,16.0290,0,14.5600,1,5120,,,,,0
2023-09-05,15.80,16.06,15.73,15.76,15.18,15.40,,,,16.0290,0,14.5896,1,8317,,-0.5341,-0.8400,0.3058,0
2023-09-06,15.74,15.76,15.39,15.69,15.26,15.36,,,,16.0290,0,14.6484,1,3921,,-0.4739,-0.7667,0.2928,0
2023-09-07,15.45,15.45,15.06,15.39,15.30,15.31,,,,16.0290,0,14.7049,1,4249,,-0.4452,-0.7024,0.2572,0
2023-09-08,15.42,15.51,15.14,15.22,15.36,15.27,,,,16.0290,0,14.7591,1,2998,,-0.4313,-0.6482,0.2169,0
2023-09-11,15.34,15.54,15.28,15.46,15.43,15.23,,,,16.0290,0,14.8111,1,4800,,-0.3963,-0.5978,0.2016,0
2023-09-12,15.37,15.56,15.25,15.29,15.48,15.21,,,,16.0290,0,14.8611,1,2630,,-0.3779,-0.5538,0.1760,0
2023-09-13,15.30,15.30,14.96,15.03,15.47,15.19,,,,16.0290,0,14.9090,1,4381,,-0.3799,-0.5190,0.1391,0
2023-09-14,15.11,15.26,14.94,15.11,15.46,15.19,,,,16.0290,0,16.0600,0,4098,,-0.3708,-0.4894,0.1186,0
2023-09-15,15.11,15.22,14.90,15.20,15.41,15.21,,,,16.0290,0,16.0377,0,11149,,-0.3522,-0.4620,0.1097,0
2023-09-18,15.14,15.14,14.79,14.92,15.31,15.20,,,,16.0290,0,15.9922,0,3884,,-0.3560,-0.4408,0.0847,0
2023-09-19,14.85,14.99,14.71,14.90,15.22,15.20,,,,15.9754,0,15.9201,0,4732,,-0.3565,-0.4239,0.0674,0
2023-09-20,14.99,15.20,14.82,14.92,15.14,15.20,,,,15.9754,0,15.8233,0,4643,,-0.3513,-0.4094,0.0581,0
2023-09-21,14.75,14.79,14.53,14.69,15.07,15.19,,,,15.7912,0,15.7342,0,4134,,-0.3615,-0.3998,0.0383,0
2023-09-22,14.73,14.87,14.52,14.59,15.01,15.18,,,,15.7912,0,15.6138,0,2854,,-0.3734,-0.3945,0.0212,0
2023-09-25,14.45,14.72,14.18,14.62,14.93,15.18,,,,15.6201,0,15.4819,0,3665,,-0.3760,-0.3908,0.0148,0
2023-09-26,14.47,14.50,14.27,14.31,14.83,15.15,,,,15.5464,0,15.2997,0,4269,,-0.3985,-0.3924,-0.0062,0
2023-09-27,14.42,14.62,14.23,14.37,14.76,15.12,15.82,,,15.5464,0,15.1429,0,3242,5983,-0.4068,-0.3953,-0.0116,0
2023-09-28,14.37,14.60,14.28,14.47,14.70,15.08,15.76,,,15.5464,0,15.0081,0,3985,5957,-0.4007,-0.3964,-0.0044,0
2023-09-29,14.59,14.74,14.46,14.53,14.63,15.02,15.72,,,15.5464,0,14.8922,0,4673,5888,-0.3866,-0.3944,0.0078,0
2023-10-02,14.50,14.64,14.15,14.28,14.57,14.94,15.67,,,15.5420,0,14.7925,0,4974,5866,-0.3911,-0.3937,0.0027,0
2023-10-03,14.16,14.28,14.00,14.09,14.49,14.85,15.61,,,15.2540,0,14.7400,0,3692,5835,-0.4053,-0.3961,-0.0092,0
2023-10-04,14.09,14.36,14.04,14.29,14.42,14.78,15.56,,,15.2540,0,14.6400,0,3657,5794,-0.3958,-0.3960,0.0002,0
2023-10-05,14.29,14.40,14.09,14.15,14.37,14.72,15.49,,,15.2540,0,14.5248,0,4395,5771,-0.3951,-0.3958,0.0007,0
2023-10-06,14.06,14.32,13.98,14.23,14.33,14.67,15.43,,,15.2266,0,14.4303,0,3573,5731,-0.3836,-0.3934,0.0098,0
2023-10-09,14.10,14.17,13.88,14.02,14.27,14.60,15.36,,,15.0967,0,14.4000,0,4800,5751,-0.3870,-0.3921,0.0051,0
2023-10-10,14.07,14.39,13.95,13.99,14.24,14.54,15.27,,,15.0967,0,13.8800,1,6315,5636,-0.3877,-0.3912,0.0036,0
2023-10-11,14.00,14.23,13.93,13.94,14.20,14.48,15.18,,,15.0967,0,13.8800,1,3995,5560,-0.3877,-0.3905,0.0028,0
2023-10-12,13.90,14.07,13.57,13.73,14.12,14.41,15.09,,,14.9445,0,14.3900,0,5143,5508,-0.4001,-0.3924,-0.0077,0
2023-10-13,13.72,13.90,13.41,13.53,14.02,14.33,14.99,,,14.8120,0,14.3736,0,4903,5405,-0.4212,-0.3982,-0.0230,0
2023-10-16,13.55,13.60,13.28,13.47,13.94,14.26,14.93,,,14.5795,0,14.3353,0,4992,5063,-0.4377,-0.4061,-0.0316,0
2023-10-17,13.32,13.76,13.20,13.60,13.89,14.19,14.88,,,14.5795,0,14.2719,0,5226,4929,-0.4353,-0.4120,-0.0234,0
2023-10-18,13.48,13.51,13.31,13.33,13.80,14.11,14.82,,,14.5694,0,14.1864,0,4270,4835,-0.4500,-0.4196,-0.0304,0
2023-10-19,13.29,13.38,13.02,13.08,13.69,14.03,14.75,,,14.3544,0,14.1078,0,3571,4771,-0.4763,-0.4309,-0.0454,0
2023-10-20,13.06,13.20,12.95,12.98,13.57,13.95,14.69,,,14.1846,0,13.9995,0,4692,4745,-0.4995,-0.4446,-0.0549,0
2023-10-23,12.95,12.98,12.64,12.65,13.43,13.85,14.62,,,13.9111,0,13.8735,0,4063,4722,-0.5383,-0.4634,-0.0749,0
2023-10-24,12.92,13.43,12.85,13.37,13.37,13.80,14.57,,,13.9111,0,13.7008,0,10632,4803,-0.5051,-0.4717,-0.0334,0
2023-10-25,13.22,13.42,13.09,13.11,13.28,13.74,14.53,,,13.9111,0,13.5523,0,4207,4771,-0.4941,-0.4762,-0.0179,0
2023-10-26,13.09,13.16,12.76,12.83,13.19,13.66,14.48,,,13.9111,0,13.4300,0,3446,4718,-0.5022,-0.4814,-0.0208,0
