Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,37.61,38.06,37.23,37.35,,,,,,,0,37.2325,1,397389,,,,,0
2023-07-17,37.27,38.89,37.11,38.18,,,,,,,0,38.8900,0,563207,,,,,0
2023-07-18,38.25,38.56,37.69,38.24,,,,,,,0,38.8900,0,368717,,,,,0
2023-07-19,38.75,40.38,38.72,39.40,,,,,,,0,37.1075,1,754558,,,,,0
2023-07-20,38.73,39.03,36.88,37.02,,,,,,,0,40.3750,0,709537,,,,,0
2023-07-21,37.48,38.09,37.22,37.72,,,,,,,0,40.3750,0,898051,,,,,0
2023-07-24,37.74,37.95,36.79,37.44,,,,,,,0,40.3050,0,411051,,,,,0
2023-07-25,37.65,38.35,37.63,37.74,,,,,,,0,40.1643,0,339041,,,,,0
2023-07-26,37.57,38.74,37.11,38.66,,,,,,,0,40.0292,0,432748,,,,,0
2023-07-27,39.24,39.52,38.05,38.21,38.00,,,,,43.1029,0,39.8996,0,408262,,,,,0
2023-07-28,38.88,39.26,38.38,38.90,38.15,,,,,43.0184,0,39.7751,0,311682,,,,,0
2023-07-31,39.47,40.85,39.42,40.42,38.37,,,,,43.0184,0,36.7875,1,632867,,,,,0
2023-08-01,40.25,41.75,39.76,41.49,38.70,,,,,43.0184,0,36.8688,1,666894,,,,,0
2023-08-02,40.38,40.40,38.14,38.68,38.63,,,,,43.0184,0,37.0639,1,713089,,,,,0
2023-08-03,38.50,39.63,38.31,39.39,38.86,,,,,43.0184,0,37.2513,1,387132,,,,,0
2023-08-04,38.81,39.00,37.16,37.62,38.85,,,,,43.0184,0,41.7475,0,672555,,,,,0
2023-08-07,37.81,38.01,36.95,37.74,38.88,,,,,42.4258,0,41.6557,0,351730,,,,,0
2023-08-08,36.79,36.93,35.72,36.47,38.76,,,,,41.3811,0,41.4674,0,624892,,,,,0
2023-08-09,36.28,36.78,36.06,36.37,38.53,,,,,41.1848,0,41.1228,0,362952,,,,,0
2023-08-10,36.84,37.75,36.66,36.97,38.40,38.20,,,,41.1848,0,40.7987,0,347441,,,,,0
2023-08-11,36.81,37.52,36.72,37.06,38.22,38.19,,,,41.1848,0,40.4942,0,303273,,,,,0
2023-08-14,36.84,38.14,36.65,38.09,37.99,38.18,,,,41.1848,0,40.2079,0,339816,,,,,0
2023-08-15,37.63,37.92,37.26,37.41,37.58,38.14,,,,41.1848,0,39.9387,0,293993,,,,,0
2023-08-16,37.25,37.83,36.94,37.25,37.44,38.03,,,,41.1848,0,39.6858,0,279554,,,,,0
2023-08-17,37.25,37.25,35.98,36.10,37.11,37.99,,,,40.7004,0,39.4480,0,484972,,,,,0
2023-08-18,35.42,36.83,35.13,36.70,37.01,37.93,,,,40.1648,0,39.2244,0,469276,,,,,0
2023-08-21,37.69,38.78,37.63,38.47,37.09,37.99,,,,40.1648,0,38.8969,0,653429,,,,,0
2023-08-22,38.58,38.75,37.90,38.08,37.25,38.00,,,,40.1648,0,38.7800,0,260119,,,,,0
2023-08-23,38.37,38.86,37.89,38.45,37.46,37.99,,,,40.1648,0,35.1300,1,295084,,,,,0
2023-08-24,38.89,38.89,36.32,36.36,37.40,37.90,,,,40.1648,0,35.2046,1,487883,,,,,0
2023-08-25,36.50,37.61,36.17,37.40,37.43,37.83,,,,40.1648,0,35.3519,1,424673,,,,,0
2023-08-28,36.51,37.00,35.59,36.01,37.22,37.61,,,,40.1648,0,35.4933,1,834510,,,,,0
2023-08-29,35.73,37.10,35.49,36.67,37.15,37.36,,,,40.1648,0,38.8875,0,531083,,,,,0
2023-08-30,36.75,37.54,36.35,37.29,37.15,37.29,,,,40.1648,0,38.8196,0,924006,,-0.4423,-0.4644,0.0220,0
2023-08-31,38.53,41.10,38.40,40.76,37.62,37.36,,,,34.5939,1,35.4927,1,2237929,,-0.1243,-0.3963,0.2721,0
2023-09-01,40.78,41.56,40.08,40.31,37.98,37.50,,,,35.7351,1,35.6049,1,682406,,0.0904,-0.2990,0.3894,0
2023-09-05,40.26,41.40,40.03,41.36,38.27,37.68,,,,35.7351,1,35.8432,1,543967,,0.3414,-0.1709,0.5123,0
2023-09-06,41.25,42.06,41.01,41.56,38.62,37.93,,,,36.7318,1,36.0720,1,709569,,0.5500,-0.0267,0.5768,0
2023-09-07,41.10,41.99,40.80,41.66,38.94,38.20,,,,36.7318,1,36.4311,1,500070,,0.7154,0.1217,0.5937,0
2023-09-08,41.62,42.31,41.50,42.02,39.50,38.45,,,,37.4505,1,36.7687,1,452414,,0.8658,0.2705,0.5953,0
2023-09-11,42.38,43.16,42.17,43.07,40.07,38.75,,,,38.3146,1,37.2118,1,511305,,1.0575,0.4279,0.6296,0
2023-09-12,42.61,43.09,42.07,42.42,40.71,38.97,,,,38.3582,1,37.8066,1,358025,,1.1436,0.5710,0.5725,0
2023-09-13,42.38,42.69,42.08,42.12,41.26,39.20,,,,38.4071,1,38.3420,1,287326,,1.1738,0.6916,0.4822,0
2023-09-14,42.34,42.95,42.14,42.68,41.80,39.47,,,,38.7130,1,38.8238,1,355699,,1.2292,0.7991,0.4301,0
2023-09-15,41.53,42.05,40.86,41.36,41.86,39.74,,,,38.7130,1,39.2574,1,782181,,1.1534,0.8700,0.2834,0
2023-09-18,41.24,42.15,41.00,41.74,42.00,39.99,,,,38.7130,1,39.6477,1,408292,,1.1111,0.9182,0.1929,0
2023-09-19,41.74,41.90,40.72,41.38,42.00,40.14,,,,38.7130,1,39.9989,1,388544,,1.0360,0.9417,0.0942,0
2023-09-20,41.38,42.14,40.97,40.97,41.94,40.28,,,,38.7130,1,40.3150,1,455631,,0.9332,0.9400,-0.0068,0
