Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,18.42,18.76,18.41,18.48,,,,,,,0,18.7586,0,240,,,,,0
2023-07-14,18.32,18.32,17.77,18.02,,,,,,,0,18.7586,0,465,,,,,0
2023-07-17,18.14,18.61,18.07,18.17,,,,,,,0,18.7586,0,340,,,,,0
2023-07-18,18.41,18.72,18.07,18.13,,,,,,,0,18.7389,0,679,,,,,0
2023-07-19,18.13,18.33,18.02,18.12,,,,,,,0,18.7195,0,503,,,,,0
2023-07-20,18.25,18.28,17.66,17.98,,,,,,,0,18.7187,0,1503,,,,,0
2023-07-21,18.13,18.13,17.72,17.90,,,,,,,0,18.6763,0,214,,,,,0
2023-07-24,17.95,18.23,17.82,17.92,,,,,,,0,18.6355,0,515,,,,,0
2023-07-25,17.92,18.17,17.81,18.13,,,,,,,0,18.5965,0,567,,,,,0
2023-07-26,18.12,18.28,17.84,18.09,18.09,,,,,19.5123,0,18.5590,0,727,,,,,0
2023-07-27,18.21,18.21,17.25,17.48,18.00,,,,,19.3250,0,18.5229,0,628,,,,,0
2023-07-28,17.82,17.92,17.04,17.72,17.97,,,,,19.1811,0,18.4465,0,905,,,,,0
2023-07-31,17.85,18.34,17.66,18.17,17.97,,,,,19.1811,0,17.0449,1,1075,,,,,0
2023-08-01,18.01,18.22,17.70,18.12,17.96,,,,,19.1811,0,17.0449,1,403,,,,,0
2023-08-02,17.95,17.99,16.95,17.04,17.86,,,,,19.1811,0,18.3420,0,474,,,,,0
2023-08-03,17.07,17.59,17.02,17.40,17.80,,,,,19.1811,0,18.3142,0,505,,,,,0
2023-08-04,17.34,17.67,17.29,17.54,17.76,,,,,19.1811,0,18.2870,0,743,,,,,0
2023-08-07,17.51,17.78,17.25,17.70,17.74,,,,,19.1811,0,18.2603,0,634,,,,,0
2023-08-08,17.51,17.56,17.31,17.56,17.68,,,,,19.1531,0,18.2341,0,430,,,,,0
2023-08-09,17.43,17.51,17.19,17.36,17.61,17.85,,,,19.0083,0,18.2085,0,349,,,,,0
2023-08-10,17.49,17.49,17.01,17.26,17.59,17.79,,,,18.8875,0,18.1833,0,338,,,,,0
2023-08-11,17.31,17.57,16.92,17.01,17.51,17.74,,,,18.8875,0,18.1587,0,364,,,,,0
2023-08-14,17.13,17.34,17.01,17.16,17.41,17.69,,,,18.7755,0,18.1093,0,500,,,,,0
2023-08-15,17.16,17.20,16.87,17.13,17.31,17.64,,,,18.5764,0,18.0619,0,381,,,,,0
2023-08-16,17.16,17.22,16.93,17.02,17.31,17.58,,,,18.5469,0,17.9903,0,282,,,,,0
2023-08-17,17.07,17.31,17.06,17.26,17.30,17.55,,,,18.5469,0,17.9230,0,288,,,,,0
2023-08-18,17.12,17.60,17.12,17.45,17.29,17.53,,,,18.5469,0,17.8597,0,158,,,,,0
2023-08-21,17.53,18.09,17.46,17.99,17.32,17.53,,,,18.5469,0,16.8682,1,472,,,,,0
