Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,26.29,27.47,26.21,27.03,,,,,,,0,26.2134,1,23233,,,,,0
2023-07-19,27.22,27.74,27.13,27.73,,,,,,,0,26.2134,1,22589,,,,,0
2023-07-20,27.99,28.28,27.63,28.28,,,,,,,0,26.2134,1,17292,,,,,0
2023-07-21,28.45,28.67,27.98,28.67,,,,,,,0,26.2962,1,16580,,,,,0
2023-07-24,28.96,30.14,28.72,29.71,,,,,,,0,26.4388,1,32392,,,,,0
2023-07-25,29.51,30.26,29.27,29.57,,,,,,,0,26.7349,1,23705,,,,,0
2023-07-26,29.34,30.35,29.28,30.22,,,,,,,0,27.0873,1,20298,,,,,0
2023-07-27,30.37,30.57,29.83,29.93,,,,,,,0,27.4790,1,20500,,,,,0
2023-07-28,30.11,30.97,30.02,30.96,,,,,,,0,27.9121,1,23355,,,,,0
2023-07-31,31.04,31.61,30.89,31.16,29.33,,,,,34.0546,0,28.4015,1,30707,,,,,0
2023-08-01,32.23,33.38,30.60,30.63,29.69,,,,,34.0546,0,28.9785,1,109566,,,,,0
2023-08-02,30.89,31.78,30.46,31.17,30.03,,,,,34.0546,0,29.8587,1,62376,,,,,0
2023-08-03,31.01,31.48,30.53,31.12,30.31,,,,,34.0546,0,30.4622,1,47442,,,,,0
2023-08-04,31.06,31.44,30.70,30.82,30.53,,,,,34.0546,0,30.4622,1,62468,,,,,0
2023-08-07,31.17,31.40,30.59,31.35,30.69,,,,,34.0546,0,30.5301,1,57570,,,,,0
2023-08-08,30.75,31.24,30.39,31.03,30.84,,,,,33.9525,0,33.3795,0,42079,,,,,0
2023-08-09,31.26,32.44,31.04,31.95,31.01,,,,,33.9525,0,33.3197,0,49918,,,,,0
2023-08-10,31.95,32.76,31.45,31.77,31.20,,,,,33.9525,0,33.2610,0,44604,,,,,0
2023-08-11,31.71,32.75,31.62,32.29,31.33,,,,,33.9525,0,33.2035,0,30011,,,,,0
2023-08-14,32.15,32.15,31.50,31.79,31.39,30.36,,,,33.9525,0,33.1471,0,22911,,,,,0
2023-08-15,31.49,31.58,30.35,30.81,31.41,30.55,,,,33.9525,0,33.0919,0,34224,,,,,0
2023-08-16,30.98,31.63,30.73,30.82,31.38,30.70,,,,33.9525,0,32.9821,0,21398,,,,,0
2023-08-17,31.27,31.49,30.60,30.72,31.34,30.83,,,,33.9525,0,32.8766,0,24951,,,,,0
2023-08-18,30.34,31.22,30.28,31.10,31.36,30.95,,,,33.9258,0,32.7754,0,27463,,,,,0
2023-08-21,31.21,31.57,30.16,30.50,31.28,30.99,,,,33.9258,0,32.6254,0,30623,,,,,0
2023-08-22,30.69,30.93,30.28,30.64,31.24,31.04,,,,33.7540,0,32.4282,0,25778,,,,,0
2023-08-23,30.04,30.22,28.13,28.65,30.91,30.96,,,,32.7647,0,32.2467,0,59253,,,,,0
2023-08-24,28.37,28.91,28.23,28.45,30.58,30.89,,,,32.0074,0,31.8349,0,41429,,,,,0
2023-08-25,28.51,29.18,28.29,29.09,30.26,30.79,,,,32.0074,0,31.4643,0,34494,,,,,0
2023-08-28,28.84,29.29,28.34,28.48,29.93,30.66,,,,32.0074,0,31.1307,0,32056,,,,,0
