Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,77.00,77.52,76.50,76.65,,,,,,,0,77.5200,0,15085,,,,,0
2023-07-20,76.80,77.02,75.72,75.96,,,,,,,0,77.5200,0,12442,,,,,0
2023-07-21,76.41,76.99,75.26,75.41,,,,,,,0,77.5200,0,17540,,,,,0
2023-07-24,75.61,75.76,75.01,75.43,,,,,,,0,77.4296,0,12506,,,,,0
2023-07-25,75.41,76.75,75.41,76.35,,,,,,,0,77.2844,0,19042,,,,,0
2023-07-26,76.22,77.00,76.20,76.76,,,,,,,0,77.1480,0,15774,,,,,0
2023-07-27,77.23,77.89,76.72,77.35,,,,,,,0,75.0100,1,18711,,,,,0
2023-07-28,77.58,78.27,77.43,77.89,,,,,,,0,75.0676,1,20820,,,,,0
2023-07-31,77.91,78.80,77.53,77.93,,,,,,,0,75.1957,1,29746,,,,,0
2023-08-01,74.53,75.50,71.33,73.40,76.31,,,,,78.4850,0,78.8000,0,39335,,,,,0
2023-08-02,73.09,73.25,70.39,70.48,75.70,,,,,77.2860,0,78.8000,0,29644,,,,,0
2023-08-03,70.34,71.48,69.88,71.41,75.24,,,,,76.0794,0,78.4636,0,27264,,,,,0
2023-08-04,71.58,71.86,70.78,70.95,74.80,,,,,76.0794,0,77.9486,0,16347,,,,,0
2023-08-07,71.44,71.54,70.50,71.20,74.37,,,,,75.9971,0,77.4645,0,15379,,,,,0
2023-08-08,70.56,70.56,68.50,68.85,73.62,,,,,74.8194,0,77.0094,0,15526,,,,,0
2023-08-09,68.79,69.06,68.24,68.28,72.77,,,,,73.6565,0,76.3287,0,18067,,,,,0
2023-08-10,68.45,69.55,68.33,69.39,71.98,,,,,73.6565,0,75.5198,0,16792,,,,,0
2023-08-11,69.44,70.22,69.10,69.69,71.16,,,,,73.6565,0,74.7918,0,13994,,,,,0
2023-08-14,69.61,70.57,69.39,70.24,70.39,,,,,73.6565,0,74.1366,0,16633,,,,,0
2023-08-15,69.88,70.05,68.69,68.81,69.93,73.12,,,,73.6565,0,73.5470,0,24063,,,,,0
2023-08-16,68.66,69.43,68.36,68.94,69.78,72.74,,,,73.3724,0,73.0163,0,21509,,,,,0
2023-08-17,69.22,70.26,68.94,69.42,69.58,72.41,,,,73.3724,0,72.5386,0,20465,,,,,0
2023-08-18,69.00,69.55,68.74,68.94,69.38,72.09,,,,73.3711,0,72.1088,0,42839,,,,,0
2023-08-21,68.94,69.75,68.30,68.35,69.09,71.73,,,,73.2635,0,71.7219,0,14032,,,,,0
2023-08-22,68.50,69.33,68.05,68.51,69.06,71.34,,,,72.8887,0,71.3737,0,31378,,,,,0
2023-08-23,68.89,69.68,68.63,69.53,69.18,70.98,,,,72.8887,0,70.9749,0,17160,,,,,0
2023-08-24,69.44,69.77,67.91,67.91,69.03,70.51,,,,72.8887,0,70.6239,0,14614,,,,,0
2023-08-25,67.98,68.74,67.50,68.24,68.89,70.02,,,,72.3393,0,70.2439,0,15688,,,,,0
2023-08-28,68.32,69.13,68.16,68.41,68.71,69.55,,,,72.3393,0,69.8049,0,12403,,,,,0
2023-08-29,68.27,69.11,68.26,68.82,68.71,69.32,,,,72.3393,0,69.4361,0,15175,,,,,0
2023-08-30,68.56,69.25,68.38,68.90,68.70,69.24,,,,72.3393,0,67.5000,1,12960,,,,,0
2023-08-31,68.90,69.61,68.26,68.31,68.59,69.08,,,,72.3393,0,67.5350,1,20513,,,,,0
2023-09-01,68.69,69.05,68.06,68.24,68.52,68.95,,,,72.2962,0,67.6180,1,11758,,,,,0
2023-09-05,67.72,68.19,66.96,67.79,68.47,68.78,,,,71.3261,0,69.6100,0,16290,,-1.7190,-2.0740,0.3550,0
2023-09-06,67.98,68.40,67.45,67.68,68.38,68.72,,,,71.3261,0,69.5570,0,12061,,-1.6709,-1.9934,0.3224,0
2023-09-07,67.69,67.92,67.28,67.56,68.19,68.68,,,,71.0869,0,69.5051,0,12722,,-1.6238,-1.9195,0.2956,0
2023-09-08,67.73,68.29,67.66,68.08,68.20,68.62,,,,71.0869,0,69.4542,0,10491,,-1.5269,-1.8409,0.3140,0
2023-09-11,68.50,68.72,67.96,68.58,68.24,68.56,,,,71.0869,0,69.4043,0,12221,,-1.3937,-1.7515,0.3578,0
2023-09-12,68.18,68.62,67.96,68.16,68.21,68.46,,,,71.0869,0,69.3554,0,9590,,-1.3070,-1.6626,0.3556,0
2023-09-13,68.15,68.63,67.80,68.55,68.19,68.45,,,,71.0869,0,69.3075,0,13943,,-1.1930,-1.5687,0.3757,0
2023-09-14,68.75,69.34,68.59,68.80,68.18,68.44,,,,71.0869,0,66.9600,1,13616,,-1.0702,-1.4690,0.3988,0
2023-09-15,68.81,68.81,67.47,67.73,68.12,68.35,,,,71.0869,0,67.0076,1,34495,,-1.0471,-1.3846,0.3375,0
2023-09-18,67.73,68.46,67.38,67.99,68.09,68.31,,,,71.0280,0,67.0542,1,11878,,-0.9964,-1.3070,0.3106,0
2023-09-19,68.02,68.61,67.60,68.43,68.16,68.31,,,,71.0280,0,67.1000,1,11202,,-0.9101,-1.2276,0.3175,0
2023-09-20,68.49,69.20,68.49,68.60,68.25,68.32,,,,71.0280,0,67.1448,1,14049,,-0.8187,-1.1458,0.3271,0
