Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,15.02,16.17,15.00,15.90,,,,,,,0,15.0000,1,14644,,,,,0
2023-07-19,16.13,17.03,16.09,16.56,,,,,,,0,15.0000,1,15818,,,,,0
2023-07-20,16.62,16.65,15.85,15.91,,,,,,,0,15.0000,1,7887,,,,,0
2023-07-21,15.93,16.25,15.24,16.16,,,,,,,0,15.0406,1,13445,,,,,0
2023-07-24,16.09,16.33,15.91,16.07,,,,,,,0,15.0804,1,7240,,,,,0
2023-07-25,16.05,16.25,15.96,15.98,,,,,,,0,15.1194,1,7536,,,,,0
2023-07-26,15.98,16.45,15.88,16.34,,,,,,,0,15.1576,1,6098,,,,,0
2023-07-27,16.55,16.55,16.01,16.10,,,,,,,0,15.1950,1,7287,,,,,0
2023-07-28,16.43,16.43,16.03,16.17,,,,,,,0,15.2317,1,6115,,,,,0
2023-07-31,16.26,16.36,16.01,16.07,16.13,,,,,18.1890,0,15.2677,1,5763,,,,,0
2023-08-01,15.86,15.98,15.57,15.70,16.11,,,,,17.7286,0,15.3030,1,7415,,,,,0
2023-08-02,15.31,15.48,15.09,15.10,15.96,,,,,17.2262,0,17.0300,0,6058,,,,,0
2023-08-03,15.10,15.10,14.00,14.16,15.78,,,,,16.6271,0,16.9912,0,6614,,,,,0
2023-08-04,14.21,14.40,14.02,14.21,15.59,,,,,16.1934,0,16.8716,0,10220,,,,,0
2023-08-07,14.15,14.15,13.47,13.60,15.34,,,,,15.8171,0,16.7567,0,8295,,,,,0
2023-08-08,13.31,13.44,12.91,13.44,15.09,,,,,15.1884,0,16.5595,0,9639,,,,,0
2023-08-09,13.36,13.74,12.99,13.65,14.82,,,,,15.1884,0,16.2675,0,11222,,,,,0
2023-08-10,12.39,14.21,12.39,13.41,14.55,,,,,15.1884,0,15.9989,0,18572,,,,,0
2023-08-11,13.28,13.75,12.98,13.51,14.28,,,,,15.1884,0,15.6380,0,8191,,,,,0
2023-08-14,13.34,13.76,13.07,13.60,14.04,15.08,,,,15.1884,0,15.3132,0,6523,,,,,0
2023-08-15,13.43,13.43,13.00,13.25,13.79,14.95,,,,15.1884,0,15.0209,0,9471,,,,,0
2023-08-16,13.08,13.39,12.96,13.02,13.59,14.77,,,,15.1884,0,14.7578,0,8498,,,,,0
2023-08-17,12.99,13.89,12.99,13.72,13.54,14.66,,,,15.1884,0,14.5210,0,6474,,,,,0
2023-08-18,13.45,13.85,13.20,13.55,13.48,14.53,,,,15.1884,0,14.3079,0,7608,,,,,0
2023-08-21,13.54,14.51,13.49,14.29,13.54,14.44,,,,15.1884,0,12.3900,1,8697,,,,,0
2023-08-22,14.39,14.63,14.20,14.52,13.65,14.37,,,,15.1884,0,12.4324,1,7012,,,,,0
2023-08-23,14.62,14.66,14.21,14.54,13.74,14.28,,,,15.1884,0,12.5203,1,5874,,,,,0
2023-08-24,14.49,14.49,13.71,13.92,13.79,14.17,,,,15.1884,0,12.6487,1,6147,,,,,0
2023-08-25,13.95,14.21,13.81,14.14,13.86,14.07,,,,15.1884,0,12.7694,1,5615,,,,,0
2023-08-28,14.30,14.49,13.79,14.03,13.90,13.97,,,,15.1884,0,12.8828,1,6124,,,,,0
2023-08-29,14.02,14.88,13.89,14.55,14.03,13.91,,,,15.1884,0,12.9894,1,5629,,,,,0
2023-08-30,14.47,14.47,14.06,14.20,14.15,13.87,,,,15.1884,0,13.1407,1,6594,,,,,0
2023-08-31,14.28,14.42,13.99,14.10,14.18,13.86,,,,15.1884,0,13.2798,1,7157,,,,,0
2023-09-01,14.21,14.71,14.09,14.19,14.25,13.86,,,,15.1884,0,13.4078,1,9372,,-0.3592,-0.5320,0.1728,0
2023-09-05,14.01,14.25,13.82,13.87,14.21,13.88,,,,15.1884,0,13.5256,1,9122,,-0.3549,-0.4966,0.1416,0
2023-09-06,13.83,14.11,13.45,13.62,14.12,13.88,,,,15.1884,0,14.8800,0,8177,,-0.3675,-0.4708,0.1033,0
2023-09-07,13.51,13.98,13.00,13.14,13.98,13.86,,,,15.1884,0,14.8514,0,12893,,-0.4115,-0.4589,0.0474,0
2023-09-08,13.14,13.22,12.62,12.77,13.86,13.83,,,,14.9234,0,14.7773,0,10557,,-0.4708,-0.4613,-0.0095,0
2023-09-11,12.93,12.97,12.34,12.53,13.70,13.78,,,,14.6470,0,14.6479,0,8866,,-0.5310,-0.4752,-0.0557,0
2023-09-12,12.38,14.30,12.31,14.28,13.73,13.81,,,,14.6470,0,14.4633,0,13436,,-0.4325,-0.4667,0.0342,0
2023-09-13,14.02,15.78,14.02,14.76,13.75,13.89,,,,12.4120,1,12.3100,1,14668,,-0.3121,-0.4358,0.1236,0
2023-09-14,14.88,15.48,14.43,14.80,13.81,13.98,,,,12.4120,1,12.3100,1,6071,,-0.2111,-0.3908,0.1798,0
2023-09-15,14.79,15.14,14.30,14.48,13.84,14.01,,,,12.4120,1,12.3794,1,10473,,-0.1550,-0.3437,0.1886,0
2023-09-18,14.50,14.50,14.05,14.14,13.84,14.04,,,,12.4120,1,12.4474,1,5421,,-0.1365,-0.3022,0.1658,0
2023-09-19,14.04,14.41,13.84,14.39,13.89,14.05,,,,12.4120,1,12.5141,1,5588,,-0.1004,-0.2619,0.1614,0
2023-09-20,14.52,14.67,13.98,14.00,13.93,14.02,,,,12.4120,1,12.5794,1,3321,,-0.1021,-0.2299,0.1278,0
2023-09-21,13.77,13.94,13.39,13.60,13.98,13.98,,,,12.4120,1,12.6434,1,5983,,-0.1342,-0.2108,0.0765,0
2023-09-22,13.69,13.84,13.27,13.53,14.05,13.96,,,,12.4120,1,12.7061,1,4331,,-0.1635,-0.2013,0.0379,0
2023-09-25,13.40,13.70,13.23,13.60,14.16,13.93,,,,12.4120,1,12.7676,1,2925,,-0.1789,-0.1968,0.0179,0
2023-09-26,13.54,13.88,13.28,13.37,14.07,13.90,14.37,,,12.4120,1,12.8279,1,5439,8243,-0.2073,-0.1989,-0.0084,0
2023-09-27,13.54,13.70,12.97,13.20,13.91,13.83,14.32,,,12.4120,1,12.8869,1,24795,8446,-0.2407,-0.2073,-0.0335,0
2023-09-28,13.20,13.74,13.06,13.68,13.80,13.80,14.26,,,12.4120,1,12.9448,1,16651,8462,-0.2259,-0.2110,-0.0149,0
2023-09-29,13.85,13.96,13.32,13.71,13.72,13.78,14.22,,,12.4120,1,12.9700,1,12185,8548,-0.2093,-0.2107,0.0013,0
