Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,46.56,47.20,46.14,47.10,,,,,,,0,46.1393,1,515676,,,,,0
2023-07-21,47.30,47.49,46.71,46.96,,,,,,,0,46.1393,1,432566,,,,,0
2023-07-24,46.54,46.67,45.78,45.93,,,,,,,0,47.4935,0,447931,,,,,0
2023-07-25,45.13,45.26,43.96,44.92,,,,,,,0,47.4935,0,622807,,,,,0
2023-07-26,44.92,45.25,44.47,44.91,,,,,,,0,47.3522,0,374068,,,,,0
2023-07-27,44.52,44.65,43.90,44.25,,,,,,,0,47.2167,0,404215,,,,,0
2023-07-28,44.55,44.64,44.00,44.22,,,,,,,0,47.0180,0,378205,,,,,0
2023-07-31,44.31,44.81,44.22,44.75,,,,,,,0,46.8312,0,332609,,,,,0
2023-08-01,44.24,44.25,42.81,43.91,,,,,,,0,46.6556,0,408727,,,,,0
2023-08-02,43.44,43.60,43.17,43.33,45.03,,,,,46.5939,0,46.3481,0,342357,,,,,0
2023-08-03,42.87,43.18,42.58,42.74,44.59,,,,,45.9918,0,46.0652,0,313577,,,,,0
2023-08-04,43.01,43.34,42.76,43.13,44.21,,,,,45.9918,0,45.7166,0,323014,,,,,0
2023-08-07,43.23,43.93,43.03,43.76,43.99,,,,,45.9918,0,45.4029,0,271169,,,,,0
2023-08-08,43.16,44.44,43.14,44.29,43.93,,,,,45.9918,0,45.1206,0,269799,,,,,0
2023-08-09,44.24,44.58,43.29,43.56,43.80,,,,,45.9918,0,44.8665,0,273476,,,,,0
2023-08-10,43.94,44.21,43.03,43.39,43.71,,,,,45.9918,0,44.6378,0,310709,,,,,0
2023-08-11,43.14,43.23,42.66,42.72,43.56,,,,,45.9918,0,44.5820,0,242454,,,,,0
2023-08-14,42.56,42.89,42.27,42.78,43.36,,,,,45.5328,0,44.3817,0,281449,,,,,0
2023-08-15,42.44,42.62,41.55,41.61,43.13,,,,,45.1127,0,44.1283,0,302009,,,,,0
2023-08-16,41.63,42.32,41.17,41.27,42.93,43.98,,,,44.8120,0,43.7680,0,239682,,,,,0
2023-08-17,41.27,41.35,40.35,40.41,42.69,43.64,,,,43.9141,0,43.3519,0,267730,,,,,0
2023-08-18,39.99,40.27,39.76,40.13,42.39,43.30,,,,42.9638,0,42.8124,0,260640,,,,,0
2023-08-21,40.33,40.49,39.88,40.37,42.06,43.02,,,,42.9638,0,42.2010,0,173835,,,,,0
2023-08-22,40.65,40.78,39.88,40.25,41.65,42.79,,,,42.9638,0,41.7118,0,176809,,,,,0
