Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,27.82,28.11,27.74,28.03,,,,,,,0,27.7400,1,116039,,,,,0
2023-07-19,28.15,28.68,27.93,28.10,,,,,,,0,27.7400,1,188734,,,,,0
2023-07-20,27.90,27.99,27.42,27.51,,,,,,,0,28.6800,0,102830,,,,,0
2023-07-21,27.57,27.59,26.94,26.99,,,,,,,0,28.6800,0,89796,,,,,0
2023-07-24,26.99,27.10,26.75,26.80,,,,,,,0,28.6106,0,80807,,,,,0
2023-07-25,26.79,27.02,26.63,26.75,,,,,,,0,28.4990,0,83484,,,,,0
2023-07-26,26.55,26.86,26.37,26.72,,,,,,,0,28.3494,0,157982,,,,,0
2023-07-27,27.05,27.23,26.62,26.71,,,,,,,0,28.1515,0,76628,,,,,0
2023-07-28,26.92,27.11,26.60,26.63,,,,,,,0,27.9734,0,78995,,,,,0
2023-07-31,26.66,26.97,26.65,26.95,27.12,,,,,28.3505,0,27.8130,0,89215,,,,,0
2023-08-01,26.84,27.01,26.62,26.75,26.99,,,,,28.3185,0,27.6687,0,94727,,,,,0
2023-08-02,26.42,26.46,25.81,25.87,26.77,,,,,27.7701,0,27.5388,0,100241,,,,,0
2023-08-03,25.75,26.15,25.63,25.95,26.61,,,,,27.5160,0,27.3314,0,130926,,,,,0
2023-08-04,26.84,27.97,26.10,27.49,26.66,,,,,27.5160,0,25.6300,1,184125,,,,,0
2023-08-07,27.83,28.49,27.63,28.24,26.81,,,,,25.8957,1,25.6300,1,143335,,,,,0
2023-08-08,27.94,28.17,27.46,27.80,26.91,,,,,25.8957,1,25.7442,1,139859,,,,,0
2023-08-09,27.89,28.01,27.38,27.61,27.00,,,,,25.8957,1,25.8538,1,82532,,,,,0
2023-08-10,27.82,28.06,27.41,27.65,27.09,,,,,25.8957,1,25.9591,1,82322,,,,,0
2023-08-11,27.65,27.98,27.62,27.82,27.21,,,,,25.8957,1,26.0601,1,86601,,,,,0
2023-08-14,27.74,28.41,27.68,28.35,27.35,27.24,,,,25.9999,1,26.1571,1,89413,,,,,0
2023-08-15,28.13,28.57,27.83,27.86,27.46,27.23,,,,26.1396,1,26.2502,1,91367,,,,,0
2023-08-16,27.61,27.78,27.02,27.04,27.58,27.17,,,,26.1396,1,26.3894,1,121888,,,,,0
2023-08-17,27.01,27.02,26.65,26.66,27.65,27.13,,,,26.1396,1,26.5202,1,101087,,,,,0
2023-08-18,26.33,26.90,26.06,26.74,27.58,27.12,,,,26.1396,1,28.5700,0,77027,,,,,0
2023-08-21,26.80,27.04,26.73,26.91,27.44,27.13,,,,26.1396,1,28.5198,0,54119,,,,,0
2023-08-22,27.08,27.30,26.92,27.08,27.37,27.14,,,,26.1396,1,28.4706,0,56429,,,,,0
2023-08-23,27.26,27.43,27.03,27.24,27.34,27.17,,,,26.1396,1,28.4224,0,45041,,,,,0
2023-08-24,27.33,27.54,26.90,26.93,27.26,27.18,,,,26.1396,1,28.3751,0,106085,,,,,0
2023-08-25,27.05,27.42,26.87,27.29,27.21,27.21,,,,26.1396,1,28.3288,0,49520,,,,,0
2023-08-28,27.36,27.73,27.36,27.65,27.14,27.25,,,,26.1396,1,28.2835,0,47340,,,,,0
2023-08-29,27.65,27.95,27.60,27.89,27.14,27.30,,,,26.1396,1,28.2390,0,56553,,,,,0
2023-08-30,27.79,28.02,27.51,27.57,27.20,27.39,,,,26.1396,1,28.1954,0,51228,,,,,0
2023-08-31,27.68,28.00,27.68,27.79,27.31,27.48,,,,26.2096,1,28.1527,0,102278,,,,,0
2023-09-01,28.07,28.24,27.67,27.86,27.42,27.50,,,,26.3157,1,26.0600,1,57308,,0.1458,0.0574,0.0884,0
2023-09-05,27.62,27.90,27.44,27.62,27.49,27.47,,,,26.3157,1,26.1035,1,65633,,0.1435,0.0746,0.0689,0
2023-09-06,27.51,27.72,27.41,27.57,27.54,27.46,,,,26.3157,1,26.1461,1,62041,,0.1361,0.0869,0.0492,0
2023-09-07,27.45,28.07,27.38,27.90,27.61,27.47,,,,26.3157,1,26.1879,1,121666,,0.1550,0.1005,0.0545,0
2023-09-08,27.90,27.98,27.67,27.88,27.70,27.48,,,,26.3157,1,26.2288,1,54489,,0.1665,0.1137,0.0528,0
2023-09-11,28.00,28.48,27.80,27.96,27.77,27.49,,,,26.5591,1,26.2690,1,97452,,0.1800,0.1270,0.0530,0
2023-09-12,27.67,27.90,27.45,27.56,27.76,27.45,,,,26.5591,1,26.3574,1,54439,,0.1566,0.1329,0.0237,0
2023-09-13,27.58,27.66,27.31,27.61,27.73,27.44,,,,26.5591,1,26.4423,1,60013,,0.1405,0.1344,0.0061,0
2023-09-14,27.67,27.87,27.40,27.58,27.73,27.46,,,,26.5591,1,26.5238,1,57204,,0.1239,0.1323,-0.0085,0
2023-09-15,27.46,27.55,26.77,26.95,27.65,27.48,,,,26.5591,1,26.6021,1,177498,,0.0592,0.1177,-0.0585,0
2023-09-18,26.37,26.75,26.30,26.57,27.52,27.47,,,,26.5591,1,28.4800,0,77502,,-0.0225,0.0896,-0.1122,0
2023-09-19,26.51,26.85,26.40,26.51,27.41,27.45,,,,28.1631,0,28.4364,0,70466,,-0.0910,0.0535,-0.1445,0
2023-09-20,26.54,27.14,26.50,26.68,27.32,27.43,,,,28.1631,0,28.3937,0,41418,,-0.1301,0.0168,-0.1469,0
2023-09-21,26.51,26.91,26.40,26.66,27.20,27.40,,,,28.1631,0,28.3518,0,55288,,-0.1609,-0.0187,-0.1421,0
2023-09-22,26.75,27.09,26.72,26.89,27.10,27.40,,,,28.1631,0,28.3108,0,57655,,-0.1648,-0.0479,-0.1168,0
2023-09-25,26.89,27.36,26.86,27.24,27.03,27.40,,,,28.1631,0,28.2705,0,45129,,-0.1380,-0.0660,-0.0720,0
2023-09-26,27.14,27.23,26.76,26.90,26.96,27.36,27.27,,,28.1631,0,28.2311,0,45811,87191,-0.1426,-0.0813,-0.0613,0
2023-09-27,27.00,27.39,26.99,27.12,26.91,27.32,27.25,,,28.1631,0,28.1925,0,73503,86341,-0.1270,-0.0904,-0.0366,0
2023-09-28,27.03,27.40,26.81,27.23,26.88,27.30,27.23,,,28.1631,0,28.1547,0,43603,83438,-0.1046,-0.0933,-0.0113,0
2023-09-29,27.48,27.61,27.19,27.23,26.90,27.28,27.22,,,28.1631,0,28.1176,0,48475,82351,-0.0858,-0.0918,0.0059,0
2023-10-02,27.22,27.42,27.12,27.30,26.98,27.25,27.23,,,28.1631,0,28.0812,0,40276,81360,-0.0646,-0.0863,0.0218,0
2023-10-03,27.20,27.49,26.76,26.79,27.00,27.21,27.23,,,28.1631,0,28.0456,0,51190,80768,-0.0879,-0.0867,-0.0012,0
2023-10-04,26.83,27.18,26.80,27.04,27.04,27.18,27.24,,,28.1631,0,28.0107,0,57041,80239,-0.0852,-0.0864,0.0012,0
2023-10-05,26.96,27.13,26.67,26.91,27.06,27.13,27.24,,,28.1631,0,27.9765,0,62601,78332,-0.0925,-0.0876,-0.0049,0
2023-10-06,26.73,27.73,26.73,27.63,27.14,27.12,27.26,,,28.1631,0,27.9429,0,43260,77664,-0.0397,-0.0780,0.0383,0
2023-10-09,27.50,27.92,27.46,27.91,27.21,27.12,27.28,,,28.1631,0,26.3000,1,47701,77038,0.0245,-0.0575,0.0820,0
2023-10-10,27.92,28.28,27.85,27.93,27.31,27.13,27.30,,,28.1631,0,26.3323,1,83620,76926,0.0760,-0.0308,0.1068,0
2023-10-11,28.01,28.32,27.91,28.22,27.42,27.16,27.33,,,26.5591,1,26.4102,1,73186,76496,0.1387,0.0031,0.1356,0
2023-10-12,28.29,28.29,27.89,28.01,27.50,27.19,27.38,,,26.5719,1,26.5248,1,60614,75703,0.1695,0.0364,0.1331,0
2023-10-13,27.98,28.06,27.43,27.64,27.54,27.22,27.41,,,26.5719,1,26.6325,1,54293,74170,0.1621,0.0615,0.1006,0
