Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,113.00,114.29,109.74,109.90,,,,,,,0,114.2900,0,418917,,,,,0
2023-07-21,110.87,111.50,108.67,109.87,,,,,,,0,114.2900,0,759806,,,,,0
2023-07-24,110.22,111.62,109.34,111.49,,,,,,,0,114.2900,0,332909,,,,,0
2023-07-25,115.79,118.02,114.32,115.30,,,,,,,0,108.6720,1,736110,,,,,0
2023-07-26,109.58,112.69,107.05,110.64,,,,,,,0,118.0200,0,632905,,,,,0
2023-07-27,113.15,113.20,108.60,109.46,,,,,,,0,118.0200,0,364250,,,,,0
2023-07-28,111.11,113.24,109.72,112.19,,,,,,,0,117.8006,0,320067,,,,,0
2023-07-31,113.43,116.78,113.43,116.72,,,,,,,0,117.5856,0,470428,,,,,0
2023-08-01,115.00,115.84,113.77,114.95,,,,,,,0,117.3749,0,251683,,,,,0
2023-08-02,111.81,112.49,105.41,106.83,111.74,,,,,123.9194,0,117.1684,0,645734,,,,,0
2023-08-03,106.22,107.57,105.00,107.10,111.46,,,,,120.5285,0,116.6980,0,466913,,,,,0
2023-08-04,114.79,115.95,107.30,107.53,111.22,,,,,120.5285,0,115.9962,0,680020,,,,,0
2023-08-07,109.22,110.08,104.77,106.30,110.70,,,,,120.5285,0,115.9500,0,816256,,,,,0
2023-08-08,84.38,89.24,83.87,88.04,107.98,,,,,107.2517,0,115.9500,0,2345465,,,,,0
2023-08-09,87.95,88.87,84.46,86.76,105.59,,,,,106.6151,0,112.7420,0,737885,,,,,0
2023-08-10,88.83,92.16,88.51,90.72,103.71,,,,,106.6151,0,109.8548,0,657874,,,,,0
2023-08-11,88.73,90.96,88.60,89.44,101.44,,,,,106.6151,0,107.2563,0,284097,,,,,0
2023-08-14,88.09,90.30,87.59,89.78,98.75,,,,,106.2510,0,104.9177,0,288679,,,,,0
2023-08-15,89.37,89.65,87.55,88.52,96.10,,,,,104.8444,0,102.8129,0,275156,,,,,0
2023-08-16,88.86,92.14,88.10,90.60,94.48,103.11,,,,104.8444,0,100.9186,0,476946,,,,,0
2023-08-17,90.05,91.00,89.42,90.29,92.80,102.13,,,,104.8444,0,99.2138,0,378243,,,,,0
2023-08-18,89.40,94.25,89.04,93.63,91.41,101.31,,,,104.8444,0,97.6794,0,507241,,,,,0
2023-08-21,94.99,96.48,94.23,94.69,90.25,100.47,,,,104.8444,0,83.8700,1,449550,,,,,0
2023-08-22,95.47,95.87,92.67,93.69,90.81,99.39,,,,104.8444,0,84.1222,1,301092,,,,,0
2023-08-23,93.69,95.98,92.26,95.44,91.68,98.63,,,,104.8444,0,84.3694,1,290968,,,,,0
2023-08-24,97.35,97.35,91.37,91.85,91.79,97.75,,,,104.8444,0,84.6116,1,347937,,,,,0
2023-08-25,91.70,94.00,91.13,92.60,92.11,96.77,,,,104.8444,0,85.1211,1,255715,,,,,0
2023-08-28,93.25,93.43,91.48,92.54,92.38,95.57,,,,104.8444,0,85.6103,1,211907,,,,,0
2023-08-29,92.31,95.05,91.94,93.81,92.91,94.51,,,,104.8444,0,86.0799,1,220022,,,,,0
2023-08-30,92.71,94.20,91.85,94.16,93.27,93.87,,,,104.8029,0,86.5307,1,373476,,,,,0
2023-08-31,94.66,98.14,94.66,96.48,93.89,93.34,,,,104.8029,0,86.9634,1,423557,,,,,0
2023-09-01,97.73,98.84,96.92,97.73,94.30,92.85,,,,104.8029,0,87.6340,1,317515,,,,,0
2023-09-05,95.60,98.02,95.17,98.00,94.63,92.44,,,,104.8029,0,88.5305,1,326820,,,,,0
2023-09-06,97.16,98.30,95.64,97.66,95.03,92.92,,,,104.8029,0,89.3553,1,318665,,-2.8394,-4.8161,1.9766,0
2023-09-07,95.67,96.98,94.64,96.68,95.15,93.42,,,,104.8029,0,90.1140,1,239148,,-2.5471,-4.3623,1.8152,0
