Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,41.52,41.69,41.01,41.62,,,,,,,0,41.0100,1,9772,,,,,0
2023-07-17,41.62,42.35,41.48,42.25,,,,,,,0,41.0100,1,8006,,,,,0
2023-07-18,42.27,42.40,41.47,42.06,,,,,,,0,41.0100,1,9030,,,,,0
2023-07-19,42.06,42.23,41.26,41.34,,,,,,,0,41.0656,1,8929,,,,,0
2023-07-20,41.17,41.29,40.77,40.94,,,,,,,0,42.4000,0,6567,,,,,0
2023-07-21,41.32,41.32,40.53,40.91,,,,,,,0,42.3674,0,7720,,,,,0
2023-07-24,40.96,41.42,40.48,41.09,,,,,,,0,42.2939,0,5983,,,,,0
2023-07-25,40.97,41.60,40.60,41.49,,,,,,,0,42.1851,0,7605,,,,,0
2023-07-26,41.29,41.67,41.14,41.60,,,,,,,0,42.0828,0,6153,,,,,0
2023-07-27,41.84,41.98,41.30,41.64,41.49,,,,,44.0280,0,41.9866,0,6121,,,,,0
2023-07-28,41.74,41.99,41.30,41.56,41.49,,,,,44.0012,0,40.4800,1,8557,,,,,0
2023-07-31,41.65,42.12,41.65,41.93,41.46,,,,,44.0012,0,40.5102,1,10571,,,,,0
2023-08-01,41.74,42.95,41.44,42.94,41.54,,,,,44.0012,0,40.5746,1,12942,,,,,0
2023-08-02,42.38,42.71,41.07,41.75,41.58,,,,,44.0012,0,40.7171,1,17489,,,,,0
2023-08-03,40.08,40.58,34.31,35.67,41.06,,,,,42.2172,0,42.9500,0,29781,,,,,0
2023-08-04,35.59,35.60,31.94,32.02,40.17,,,,,39.1840,0,42.7772,0,16090,,,,,0
2023-08-07,32.23,32.87,32.05,32.11,39.27,,,,,37.5876,0,42.3437,0,9639,,,,,0
2023-08-08,31.84,32.86,31.84,32.41,38.36,,,,,37.2708,0,41.9276,0,8284,,,,,0
2023-08-09,32.45,32.45,30.78,31.01,37.30,,,,,36.5447,0,41.3223,0,7818,,,,,0
2023-08-10,31.09,31.14,30.21,30.32,36.17,38.83,,,,35.3908,0,40.4789,0,7350,,,,,0
2023-08-11,30.16,30.35,29.73,30.32,35.05,38.27,,,,34.4702,0,39.4520,0,8571,,,,,0
2023-08-14,30.46,30.98,30.19,30.66,33.92,37.69,,,,34.4702,0,38.2854,0,7883,,,,,0
2023-08-15,30.66,31.07,30.35,30.37,32.66,37.10,,,,34.4702,0,37.2587,0,12932,,,,,0
2023-08-16,30.43,31.01,30.23,30.44,31.53,36.56,,,,34.4700,0,36.3553,0,8286,,,,,0
2023-08-17,30.46,31.62,30.46,30.76,31.04,36.05,,,,34.4700,0,35.5603,0,15463,,,,,0
