Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,25.60,26.23,25.60,26.09,,,,,,,0,25.6000,1,496,,,,,0
2023-07-17,25.89,26.75,25.89,26.75,,,,,,,0,25.6000,1,990,,,,,0
2023-07-18,26.75,26.75,25.99,26.75,,,,,,,0,25.6000,1,1091,,,,,0
2023-07-19,26.68,27.10,26.25,26.32,,,,,,,0,25.6231,1,874,,,,,0
2023-07-20,26.25,26.78,26.04,26.64,,,,,,,0,25.6824,1,357,,,,,0
2023-07-21,26.72,28.27,26.72,27.56,,,,,,,0,25.7393,1,1521,,,,,0
2023-07-24,27.56,27.92,27.25,27.34,,,,,,,0,25.8914,1,552,,,,,0
2023-07-25,27.40,27.55,27.02,27.23,,,,,,,0,26.0344,1,659,,,,,0
2023-07-26,27.04,27.53,27.00,27.00,,,,,,,0,26.1689,1,508,,,,,0
2023-07-27,27.34,27.34,26.30,26.53,26.82,,,,,29.2970,0,28.2750,0,647,,,,,0
2023-07-28,26.78,27.57,26.78,27.46,26.96,,,,,29.2970,0,28.2354,0,890,,,,,0
2023-07-31,27.33,28.33,27.33,27.72,27.05,,,,,29.2970,0,26.2950,1,665,,,,,0
2023-08-01,27.75,28.06,27.72,27.97,27.18,,,,,29.2970,0,26.3358,1,565,,,,,0
2023-08-02,27.60,28.09,26.99,27.06,27.25,,,,,29.2970,0,26.3758,1,574,,,,,0
2023-08-03,26.50,27.61,26.50,27.10,27.30,,,,,29.2970,0,26.4150,1,726,,,,,0
2023-08-04,27.48,27.50,26.35,26.35,27.18,,,,,29.2970,0,28.3350,0,480,,,,,0
2023-08-07,26.31,26.44,25.35,25.40,26.98,,,,,28.6403,0,28.2954,0,706,,,,,0
2023-08-08,24.95,25.24,24.35,24.75,26.73,,,,,27.5778,0,28.1776,0,732,,,,,0
2023-08-09,24.73,26.09,24.58,25.85,26.62,,,,,27.5778,0,27.9482,0,1427,,,,,0
2023-08-10,26.43,26.44,25.87,26.05,26.57,26.70,,,,27.5778,0,27.7326,0,1313,,,,,0
2023-08-11,26.06,26.25,25.78,26.09,26.43,26.70,,,,27.5778,0,27.5300,0,908,,,,,0
2023-08-14,26.00,26.00,25.03,25.56,26.22,26.64,,,,27.5778,0,27.3395,0,849,,,,,0
2023-08-15,25.50,25.50,24.73,24.97,25.92,26.55,,,,27.5778,0,27.1604,0,499,,,,,0
2023-08-16,25.40,25.60,24.77,24.77,25.69,26.47,,,,27.5778,0,26.9921,0,639,,,,,0
2023-08-17,24.93,25.06,24.11,24.55,25.43,26.37,,,,27.2960,0,26.8339,0,840,,,,,0
2023-08-18,24.25,25.21,24.25,25.15,25.31,26.25,,,,27.2960,0,26.6164,0,548,,,,,0
2023-08-21,24.98,25.58,24.75,25.23,25.30,26.14,,,,27.2960,0,26.4162,0,1524,,,,,0
2023-08-22,25.57,25.57,24.90,24.99,25.32,26.03,,,,27.2960,0,26.2321,0,415,,,,,0
2023-08-23,25.26,25.33,25.01,25.10,25.25,25.93,,,,27.2960,0,26.0628,0,648,,,,,0
2023-08-24,25.11,25.21,24.44,25.07,25.15,25.86,,,,27.2830,0,25.9069,0,1103,,,,,0
2023-08-25,25.07,25.24,24.97,25.13,25.05,25.74,,,,27.2830,0,25.7636,0,528,,,,,0
2023-08-28,25.35,25.35,25.26,25.27,25.02,25.62,,,,27.2830,0,25.6317,0,339,,,,,0
2023-08-29,25.11,26.14,25.11,25.82,25.11,25.51,,,,27.2830,0,24.1150,1,444,,,,,0
2023-08-30,25.76,26.40,25.76,26.33,25.26,25.48,,,,27.2830,0,24.1554,1,959,,-0.4098,-0.6668,0.2569,0
2023-08-31,26.00,26.33,25.76,25.76,25.38,25.41,,,,27.2830,0,24.2452,1,984,,-0.3596,-0.6053,0.2457,0
2023-09-01,26.02,26.54,24.83,24.84,25.35,25.33,,,,27.2830,0,24.3314,1,462,,-0.3899,-0.5623,0.1723,0
2023-09-05,24.84,24.92,23.73,24.53,25.28,25.29,,,,26.8833,0,26.5400,0,1165,,-0.4340,-0.5366,0.1026,0
2023-09-06,24.26,25.98,24.26,25.45,25.33,25.33,,,,26.8833,0,26.5400,0,1217,,-0.3901,-0.5073,0.1172,0
2023-09-07,25.29,26.19,25.09,25.95,25.42,25.33,,,,26.8833,0,26.4838,0,895,,-0.3115,-0.4681,0.1567,0
2023-09-08,26.28,26.48,25.47,25.55,25.46,25.31,,,,26.8833,0,23.7300,1,815,,-0.2782,-0.4301,0.1520,0
2023-09-11,25.69,26.19,25.48,25.93,25.54,25.30,,,,26.8833,0,23.7850,1,563,,-0.2186,-0.3878,0.1692,0
2023-09-12,25.88,26.63,25.88,26.04,25.62,25.32,,,,26.8833,0,23.8389,1,742,,-0.1607,-0.3424,0.1817,0
2023-09-13,26.05,26.05,25.39,25.43,25.58,25.34,,,,26.8833,0,23.9505,1,720,,-0.1622,-0.3064,0.1442,0
2023-09-14,26.04,26.04,25.62,25.74,25.52,25.39,,,,26.8833,0,24.0577,1,898,,-0.1367,-0.2724,0.1357,0
2023-09-15,25.73,25.87,25.27,25.30,25.48,25.43,,,,26.8833,0,24.1606,1,4169,,-0.1503,-0.2480,0.0977,0
2023-09-18,25.38,25.53,24.57,24.62,25.45,25.40,,,,26.8833,0,24.2594,1,670,,-0.2135,-0.2411,0.0276,0
2023-09-19,24.58,24.58,24.13,24.20,25.42,25.35,,,,26.7953,0,26.6300,0,571,,-0.2941,-0.2517,-0.0424,0
2023-09-20,24.65,24.65,23.90,23.97,25.27,25.30,,,,26.6963,0,26.5800,0,436,,-0.3722,-0.2758,-0.0964,0
2023-09-21,23.97,24.09,23.79,24.04,25.08,25.25,,,,26.2091,0,26.4728,0,702,,-0.4236,-0.3054,-0.1182,0
2023-09-22,24.10,24.48,23.97,24.12,24.94,25.20,25.79,,,26.2091,0,26.3118,0,425,829,-0.4527,-0.3348,-0.1178,0
2023-09-25,24.15,24.85,24.15,24.66,24.81,25.18,25.76,,,26.2091,0,26.1605,0,676,833,-0.4272,-0.3533,-0.0739,0
2023-09-26,24.46,25.62,24.46,24.95,24.70,25.16,25.72,,,26.2091,0,26.0183,0,1213,837,-0.3792,-0.3585,-0.0207,0
2023-09-27,24.97,25.55,24.90,24.96,24.66,25.12,25.69,,,26.2091,0,25.8846,0,904,833,-0.3365,-0.3541,0.0176,0
2023-09-28,25.50,26.00,25.29,25.36,24.62,25.07,25.67,,,26.2091,0,23.7900,1,900,834,-0.2673,-0.3367,0.0694,0
2023-09-29,25.48,26.33,25.30,26.00,24.69,25.08,25.66,,,26.2091,0,23.8342,1,1056,848,-0.1590,-0.3012,0.1422,0
2023-10-02,25.70,26.14,25.34,26.00,24.83,25.14,25.63,,,26.2091,0,23.9340,1,1830,854,-0.0723,-0.2554,0.1831,0
2023-10-03,25.99,26.40,25.61,26.28,25.03,25.23,25.60,,,23.8998,1,24.0299,1,1598,875,0.0187,-0.2006,0.2193,0
2023-10-04,26.25,28.66,26.25,27.63,25.40,25.34,25.61,,,24.5445,1,24.1721,1,1835,898,0.1975,-0.1210,0.3185,0
2023-10-05,27.71,29.59,27.71,29.10,25.91,25.49,25.65,,,25.4426,1,24.5311,1,2989,948,0.4527,-0.0062,0.4589,0
2023-10-06,29.21,31.80,28.83,31.27,26.62,25.78,25.75,,,26.5373,1,25.0370,1,3793,1011,0.8205,0.1591,0.6614,0
2023-10-09,31.00,32.08,29.99,31.46,27.30,26.06,25.83,,,27.0081,1,25.8486,1,3826,1070,1.1145,0.3502,0.7643,0
2023-10-10,31.51,32.84,30.55,31.86,27.99,26.35,25.91,,,27.3838,1,26.7210,1,1434,1085,1.3640,0.5530,0.8111,0
2023-10-11,31.86,32.87,31.27,31.98,28.69,26.68,25.99,,,27.7099,1,27.7000,1,2734,1128,1.5536,0.7531,0.8005,0
2023-10-12,32.12,32.40,31.16,31.57,29.31,26.97,26.08,,,27.7099,1,28.6306,1,1077,1138,1.6517,0.9328,0.7189,0
