Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,54.85,54.90,53.85,54.57,,,,,,,0,53.8500,1,146570,,,,,0
2023-07-19,55.51,55.75,53.51,54.10,,,,,,,0,55.7500,0,149825,,,,,0
2023-07-20,53.49,54.08,52.66,52.76,,,,,,,0,55.7500,0,137894,,,,,0
2023-07-21,53.33,53.46,52.15,52.32,,,,,,,0,55.7500,0,100004,,,,,0
2023-07-24,52.45,52.48,51.44,52.08,,,,,,,0,55.5340,0,93036,,,,,0
2023-07-25,52.66,53.80,52.29,53.57,,,,,,,0,55.2065,0,131284,,,,,0
2023-07-26,53.39,53.97,52.66,53.69,,,,,,,0,54.9052,0,113119,,,,,0
2023-07-27,54.59,54.71,53.54,54.16,,,,,,,0,51.4400,1,203864,,,,,0
2023-07-28,54.75,55.08,53.39,54.03,,,,,,,0,51.5055,1,137290,,,,,0
2023-07-31,54.61,55.32,54.51,54.69,53.60,,,,,59.1958,0,51.6485,1,125995,,,,,0
2023-08-01,54.50,55.56,53.80,55.19,53.66,,,,,59.0598,0,51.8688,1,223304,,,,,0
2023-08-02,48.63,50.42,47.13,47.85,53.03,,,,,55.1348,0,55.5600,0,626366,,,,,0
2023-08-03,47.76,48.38,46.98,47.74,52.53,,,,,53.8279,0,55.5600,0,209335,,,,,0
2023-08-04,48.12,48.35,47.16,47.26,52.03,,,,,53.6428,0,55.2168,0,162886,,,,,0
2023-08-07,47.38,48.70,47.28,48.28,51.65,,,,,53.6428,0,54.8873,0,101238,,,,,0
2023-08-08,47.48,47.72,46.46,47.20,51.01,,,,,52.7914,0,54.5710,0,121262,,,,,0
