Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,39.52,40.36,39.32,40.10,,,,,,,0,39.3200,1,58101,,,,,0
2023-07-18,40.03,41.21,39.64,41.03,,,,,,,0,39.3200,1,33981,,,,,0
2023-07-19,41.55,41.75,40.90,41.34,,,,,,,0,39.3200,1,60489,,,,,0
2023-07-20,40.96,41.31,40.37,40.77,,,,,,,0,39.4172,1,29204,,,,,0
2023-07-21,41.44,41.78,40.74,41.19,,,,,,,0,39.5105,1,37116,,,,,0
2023-07-24,41.44,41.47,39.98,40.37,,,,,,,0,39.6467,1,34670,,,,,0
2023-07-25,40.21,41.23,40.00,41.06,,,,,,,0,39.7747,1,48952,,,,,0
2023-07-26,40.54,41.35,40.50,40.84,,,,,,,0,39.8950,1,32839,,,,,0
2023-07-27,41.90,41.99,39.80,40.25,,,,,,,0,41.7800,0,35557,,,,,0
2023-07-28,40.96,41.56,40.49,41.51,40.85,,,,,44.7861,0,41.9930,0,35831,,,,,0
2023-07-31,42.00,42.51,41.66,42.10,41.05,,,,,44.7861,0,39.8000,1,67242,,,,,0
2023-08-01,37.00,37.57,34.42,35.90,40.53,,,,,41.6155,0,42.5100,0,288999,,,,,0
2023-08-02,35.47,35.52,33.76,34.24,39.82,,,,,40.3394,0,42.5100,0,102590,,,,,0
2023-08-03,34.07,34.57,33.71,33.99,39.15,,,,,39.5297,0,42.1598,0,68843,,,,,0
2023-08-04,34.06,34.62,33.21,33.40,38.37,,,,,39.1888,0,41.6528,0,59352,,,,,0
2023-08-07,33.47,34.03,32.90,33.54,37.68,,,,,38.5504,0,40.9774,0,81190,,,,,0
2023-08-08,32.79,32.90,32.15,32.69,36.85,,,,,37.5189,0,40.1696,0,230308,,,,,0
2023-08-09,32.65,33.23,32.49,33.15,36.08,,,,,37.5189,0,39.2073,0,208583,,,,,0
2023-08-10,33.15,33.29,32.16,32.27,35.28,,,,,37.3088,0,38.3604,0,91760,,,,,0
2023-08-11,32.00,32.10,31.64,31.76,34.30,37.58,,,,36.1844,0,37.6152,0,52340,,,,,0
2023-08-14,31.73,32.94,31.51,32.75,33.37,37.21,,,,36.1844,0,36.7786,0,88585,,,,,0
2023-08-15,32.73,32.97,32.38,32.52,33.03,36.78,,,,36.1844,0,35.9357,0,51934,,,,,0
2023-08-16,32.52,33.03,32.52,32.84,32.89,36.36,,,,36.1844,0,35.2276,0,45733,,,,,0
2023-08-17,32.86,32.86,32.04,32.18,32.71,35.93,,,,36.1216,0,34.6327,0,38716,,,,,0
2023-08-18,32.03,33.19,31.82,33.08,32.68,35.52,,,,36.1216,0,34.1331,0,50272,,,,,0
2023-08-21,33.24,33.74,32.73,32.82,32.61,35.14,,,,36.1216,0,31.5100,1,44136,,,,,0
2023-08-22,33.05,33.49,32.63,33.30,32.67,34.76,,,,36.1216,0,31.5546,1,50936,,,,,0
2023-08-23,33.39,34.16,33.20,33.88,32.74,34.41,,,,36.1216,0,31.5983,1,38623,,,,,0
2023-08-24,34.09,34.10,32.67,32.89,32.80,34.04,,,,36.1216,0,31.7008,1,63103,,,,,0
2023-08-25,32.93,33.34,32.66,33.24,32.95,33.63,,,,36.1216,0,31.7991,1,26379,,,,,0
2023-08-28,33.26,33.36,32.48,32.64,32.94,33.15,,,,36.1216,0,31.8936,1,22189,,,,,0
2023-08-29,32.51,33.35,32.47,33.33,33.02,33.03,,,,36.1216,0,31.9842,1,32617,,,,,0
2023-08-30,33.24,33.81,33.08,33.77,33.11,33.00,,,,36.1216,0,32.0713,1,41527,,,,,0
2023-08-31,33.77,34.10,33.49,33.81,33.28,32.99,,,,36.1216,0,32.1548,1,50600,,-1.6011,-2.2439,0.6428,0
2023-09-01,33.89,33.98,32.72,32.74,33.24,32.96,,,,36.1216,0,32.2350,1,40051,,-1.5381,-2.1027,0.5647,0
2023-09-05,32.55,32.65,31.72,31.80,33.14,32.87,,,,35.2747,0,34.1600,0,64719,,-1.5461,-1.9914,0.4453,0
2023-09-06,31.62,32.09,31.30,32.05,33.02,32.84,,,,34.7141,0,34.1112,0,42546,,-1.5149,-1.8961,0.3812,0
2023-09-07,31.61,32.25,31.42,32.23,32.85,32.80,,,,34.7141,0,33.9988,0,39946,,-1.4588,-1.8087,0.3498,0
2023-09-08,32.15,32.26,30.88,30.96,32.66,32.73,,,,34.6511,0,33.8908,0,50548,,-1.4996,-1.7468,0.2473,0
2023-09-11,30.81,31.39,30.72,31.14,32.45,32.70,,,,34.0304,0,33.7102,0,52767,,-1.5001,-1.6975,0.1974,0
2023-09-12,30.61,31.14,30.10,30.12,32.20,32.57,,,,33.6073,0,33.4709,0,60418,,-1.5647,-1.6709,0.1062,0
2023-09-13,29.97,30.13,28.40,28.60,31.72,32.37,,,,32.4709,0,33.1338,0,92404,,-1.7188,-1.6805,-0.0383,0
2023-09-14,29.07,29.17,28.08,28.92,31.24,32.18,,,,31.8391,0,32.5658,0,86618,,-1.7944,-1.7033,-0.0911,0
2023-09-15,28.85,29.07,28.30,28.92,30.75,32.01,,,,31.8056,0,31.9375,0,219370,,-1.8331,-1.7292,-0.1039,0
2023-09-18,28.44,28.87,28.13,28.21,30.29,31.77,,,,31.5473,0,31.3972,0,76570,,-1.8993,-1.7632,-0.1360,0
2023-09-19,28.11,28.69,27.89,28.55,29.97,31.56,,,,31.2730,0,30.9325,0,43459,,-1.9023,-1.7911,-0.1113,0
2023-09-20,28.57,30.00,28.19,28.19,29.58,31.30,,,,31.2730,0,30.4457,0,44484,,-1.9117,-1.8152,-0.0965,0
2023-09-21,27.74,27.91,27.37,27.44,29.10,30.98,,,,30.7909,0,30.0368,0,38696,,-1.9572,-1.8436,-0.1136,0
